particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
        Polytechnic University of the Philippines,615354,101896,25851,565830,114114,0,627549,90684,0,,
        Rizal Technological University,140674,19791,583,135247,21047,1000,151500,18942,0,,
        Technological University of the Philippines,341892,76573,3012,317751,83098,0,355626,62638,0,,
        University of the Philippines System,4901790,325213,1352187,4629605,1358332,1282935,5295620,653999,0,,
,,,,,,,,,,,
     Region I - ILOCOS,1091020,158932,9616,1059328,164880,31000,1202340,150528,0,1,
        Don Mariano Marcos Memorial State University,342460,51451,1440,358775,39550,5000,412970,35775,0,,
        Ilocos Sur Polytechnic State College,86570,7876,1012,85643,8907,10000,95342,8514,0,,
        Mariano Marcos State University,275490,41648,345,257856,48094,1000,291216,43285,0,,
        Pangasinan State University,200487,31882,4438,186761,37123,0,210405,33411,0,,
        University of Northern Philippines,186013,26075,2381,170293,31206,15000,192407,29543,0,,
,,,,,,,,,,,
     CORDILLERA ADMINISTRATIVE REGION,501619,93980,19723,480950,114576,13000,539960,79765,0,1,
        Abra State Institute of Science and Technology,64945,9579,400,63719,12621,0,71279,7759,0,,
        Apayao State College,32535,4633,4300,31331,5170,5000,34384,3753,0,,
        Benguet State University,212222,37460,3002,201690,41085,0,227412,32477,0,,
        Ifugao State University (Ifugao State,,,,,,,,,,,
           College of Agriculture and Forestry),80144,9667,4478,77117,23730,1000,86991,13257,0,,
        Kalinga-Apayao State College,55382,8877,3012,52810,13989,0,59564,7236,0,,
        Mountain Province State Polytechnic College,56391,23764,4531,54283,17981,7000,60330,15283,0,,
,,,,,,,,,,,
     Region II - CAGAYAN VALLEY,783686,127346,23143,739537,183039,1000,843965,120565,0,1,
        Batanes State College (Batanes,,,,,,,,,,,
           Polytechnic College),12907,2009,2904,14536,2865,0,15921,1958,0,,
        Cagayan State University,231815,48567,2088,234828,50668,1000,266297,49508,0,,
        Isabela State University,344895,49060,11236,310969,82623,0,356050,45804,0,,
        Nueva Vizcaya State University (,,,,,,,,,,,
           NVSIT and NVSPC),166038,22566,3903,153350,41235,0,176247,19112,0,,
        Quirino State College,28031,5144,3012,25854,5648,0,29450,4183,0,,
,,,,,,,,,,,
     Region III - CENTRAL LUZON,1254524,271815,131163,1143673,247551,13670,1301367,236782,0,1,
        Aurora State College of Technology,26642,9205,12400,27912,9358,6670,30451,4507,0,,
        Bataan Peninsula State University,132272,21793,18851,122017,27224,0,125607,22445,0,,
        Central Luzon State University,254993,43519,25859,222235,36053,0,254357,37630,0,,
        Bulacan State University,141063,39649,30117,137282,42509,3000,161826,44109,0,,
        Bulacan Agricultural State College,37496,4597,2686,34393,5148,0,40786,3857,0,,
        Don Honorio Ventura Technological,,,,,,,,,,,
           State University (DHVCAT),83848,15640,3012,77615,11158,1000,87959,11191,0,,
        Nueva Ecija University of Science and Technology,150525,24739,3345,138132,24994,0,163980,26244,0,,
        Pampanga Agricultural College,88199,10097,5007,75852,9456,3000,85260,8367,0,,
        Philippine Merchant Marine Academy,53434,34454,3183,54217,37669,0,60045,36250,0,,
        Ramon Magsaysay Technological University,85357,39968,2988,74645,14656,0,85745,13190,0,,
        Tarlac College of Agriculture,88303,7384,19067,80225,8499,0,91704,7649,0,,
        Tarlac State University,112392,20770,4648,99148,20827,0,113647,21343,0,,
,,,,,,,,,,,
     Region IV-A - CALABARZON,737219,193157,26376,721381,182179,11000,826504,166270,0,1,
        Batangas State University,156317,47396,14022,155956,54684,0,176424,49216,0,,
        Cavite State University,153100,54548,671,155201,30872,10000,177077,31891,0,,
        Laguna State Polytechnic University,,,,,,,,,,,
           (Laguna State Polytechnic College),133445,33232,2646,128038,24338,1000,147639,22357,0,,
        Southern Luzon State University,,,,,,,,,,,
           (Southern Luzon Polytechnic College),103528,28035,2833,101223,37686,0,116323,31667,0,,
        University of Rizal System,190829,29946,6204,180963,34599,0,209041,31139,0,,
,,,,,,,,,,,
     Region IV-B - MIMAROPA,491408,79047,18154,483134,97346,1000,547472,70768,0,1,
        Marinduque State College,48030,23347,2367,46626,10604,0,52584,8861,0,,
        Mindoro State College of Agriculture,,,,,,,,,,,
           and Technology,64328,6803,5523,60654,6853,0,67979,5380,0,,
        Occidental Mindoro State College,,,,,,,,,,,
           (Occidental Mindoro National College),82005,11268,4417,79006,10058,0,88701,9052,0,,
        Palawan State University,129957,17577,0,130916,45672,0,147510,28699,0,,
        Romblon State University (Romblon,,,,,,,,,,,
           State College),85302,9292,2195,83641,8937,0,93758,8043,0,,
        Western Philippines University,81786,10760,3652,82291,15222,1000,96940,10733,0,,
,,,,,,,,,,,
     Region V - BICOL,952387,214850,161913,942823,218241,145520,1061686,163855,0,1,
        Bicol University,316725,76055,127545,303078,86165,107520,342525,69313,0,,
        Camarines Norte State College,101128,11961,4479,98446,10092,0,109564,9545,0,,
        Camarines Sur Polytechnic Colleges,69357,18264,6016,69644,23127,0,78080,24283,0,,
        Central Bicol State University of,,,,,,,,,,,
           Agriculture  (Camarines Sur State,,,,,,,,,,,
           Agricultural College),138004,24872,2679,141823,39294,28000,162522,16518,0,,
        Catanduanes State Colleges,124252,43573,2833,140095,18917,0,156369,17025,0,,
"        Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,
           State College of Agriculture and Technology,32336,6089,3660,29891,6487,0,33340,4938,0,,
        Partido State University,85319,20180,9795,81152,19218,10000,90746,8296,0,,
        Sorsogon State College,85266,13856,4906,78694,14941,0,88540,13937,0,,
,,,,,,,,,,,
     Region VI - WESTERN VISAYAS,1298673,205789,35685,1247053,195762,31000,1418889,179837,0,1,
        Aklan State University,137637,23069,6024,131666,16149,1000,149199,14534,0,,
        Capiz State University,195507,27742,3012,189884,24528,0,224503,22075,0,,
        Carlos C. Hilado Memorial State College,95306,11347,1032,90163,12443,0,100495,13023,0,,
        Guimaras State College,23274,2211,3012,21480,3515,0,24588,2264,0,,
        Iloilo State College of Fisheries,111802,16108,2612,111907,9014,30000,127129,9465,0,,
        Negros State College of Agriculture,30773,10345,5351,28955,10106,0,32029,7745,0,,
        Northern Iloilo Polytechnic State College,143448,15425,3012,144115,17462,0,160373,15716,0,,
        Northern Negros State College of,,,,,,,,,,,
           Science and Technology,20180,3852,2882,19620,4630,0,21745,3812,0,,
        University of Antique (Polytechnic,,,,,,,,,,,
           State College of Antique),78150,14594,2980,75988,18623,0,86515,10731,0,,
        Western Visayas College of Science,,,,,,,,,,,
           and Technology,157205,25840,2772,147558,23738,0,170216,24925,0,,
        West Visayas State University,305391,55256,2996,285717,55554,0,322097,55547,0,,
,,,,,,,,,,,
     Region VII - CENTRAL VISAYAS,509403,122547,61904,509203,138470,7000,573115,128332,0,1,
        Cebu Normal University,59348,22803,3007,60843,37909,0,68591,36310,0,,
        Cebu Technological University (Cebu,,,,,,,,,,,
           State College of Science and Technology),206783,37579,2672,209408,31080,3000,233992,32634,0,,
        Bohol Island State University ,,,,,,,,,,,
           (Central Visayas State College of,,,,,,,,,,,
"           Agr.,  Forestry and Tech.)",101551,27255,3012,98252,23668,3000,109186,21301,0,,
        Negros Oriental State University,,,,,,,,,,,
           (Central Visayas Polytechnic College),115860,32420,51000,116042,41300,0,133861,34470,0,,
        Siquijor State College,25861,2490,2213,24658,4513,1000,27485,3617,0,,
,,,,,,,,,,,
     Region VIII - EASTERN VISAYAS,1210585,173681,41185,1133154,191266,8312,1276425,148801,0,1,
        Eastern Samar State University,155755,15359,4566,141741,12258,0,159278,11032,0,,
        Eastern Visayas State University,,,,,,,,,,,
           (Leyte Institute of Technology),157722,23261,5396,147571,27947,5000,168683,22002,0,,
        Leyte Normal University,75066,21395,2539,69134,19678,0,78436,17738,0,,
        Visayas State University (Leyte State University),244387,43232,4063,229460,32586,0,255939,30540,0,,
        Naval State University (Naval,,,,,,,,,,,
           Institute of Technology),62030,10159,2805,58097,11388,1000,66140,9349,0,,
        Palompon Institute of Technology,68583,6410,3012,63680,12250,0,71356,8663,0,,
        Southern Leyte State University,,,,,,,,,,,
           (Southern Leyte State College of,,,,,,,,,,,
           Sci. and Tech. and TONC),105621,13476,6075,103183,32112,0,115300,11550,0,,
        Samar State College of Agriculture,,,,,,,,,,,
           and Forestry,18166,2024,2259,15719,2822,2312,0,0,0,,
        Samar State University (Samar State,,,,,,,,,,,
           Polytechnic College),91475,12671,1612,85944,11075,0,95639,10442,0,,
        Northwest Samar State University,,,,,,,,,,,
           (TTMIST and SSCAF),45337,11846,4024,42112,11747,0,66305,11312,0,,
        University of Eastern Philippines,186443,13848,4834,176513,17403,0,199349,16173,0,,
,,,,,,,,,,,
     Region IX - ZAMBOANGA PENINSULA,483024,62457,53977,479378,71205,21000,538596,68171,0,1,
        J. H. Cerilles State College,38253,6927,43012,46995,9320,20000,52309,8574,0,,
        Jose Rizal Memorial State University,,,,,,,,,,,
           (Jose Rizal Memorial State College),115831,13215,1501,116987,13125,0,130602,11813,0,,
        Western Mindanao State University,212014,29220,2603,200802,33269,0,228064,35095,0,,
        Zamboanga City State Polytechnic College,53243,4279,3112,51064,4854,1000,56898,3469,0,,
        Zamboanga State College of Marine,,,,,,,,,,,
           Sciences and Technology,63683,8816,3749,63530,10637,0,70723,9220,0,,
,,,,,,,,,,,
     Region X - NORTHERN MINDANAO,737090,145207,34466,718039,152259,4000,823313,139079,0,1,
        Bukidnon State College,64497,15305,2837,61937,15227,0,70148,14249,0,,
        Camiguin Polytechnic State College,22867,5451,12012,21429,5334,0,23751,4208,0,,
        Central Mindanao University,217049,36287,2799,200880,35368,0,225288,37136,0,,
        Mindanao University of Science and Technology,82538,17145,8693,81315,24470,3000,93188,20444,0,,
        MSU-Iligan Institute of Technology,310510,64364,3371,314584,62966,0,368582,56669,0,,
        Misamis Oriental State College of,,,,,,,,,,,
           Agriculture and Technology,25800,4320,1742,24519,5512,0,27415,4061,0,,
        Northwestern Mindanao State College,,,,,,,,,,,
           of Science and Technology,13829,2335,3012,13375,3382,1000,14941,2312,0,,
,,,,,,,,,,,
     Region XI - DAVAO REGION,251285,57314,14906,233768,67345,61000,264444,46321,0,1,
        Davao del Norte State College,31885,4200,4249,29814,5443,1000,32951,3999,0,,
        Davao Oriental State College of,,,,,,,,,,,
           Science and Technology,40268,5239,6463,37082,6987,10000,41548,5388,0,,
        Southern Philippines Agri-Business,,,,,,,,,,,
           and Marine and Aquatic School of Technology,31062,3199,2993,29450,9255,0,33156,3122,0,,
        University of Southeastern Philippines,148070,44676,1201,137422,45660,50000,156789,33812,0,,
,,,,,,,,,,,
     Region XII - MAIN SOCCSKSARGEN,387354,61245,10382,395841,60724,4612,447161,55253,0,1,
        Cotabato City State Polytechnic College,61143,9143,3489,59745,8734,0,65970,6961,0,,
        Cotabato Foundation College of,,,,,,,,,,,
           Science and Technology,54051,11192,3010,54699,11453,0,60589,9408,0,,
        Sultan Kudarat State University,,,,,,,,,,,
           (Sultan Kudarat Polytechnic State College),74135,11035,3012,71494,8640,3612,82831,7594,0,,
        University of Southern Mindanao,198025,29875,871,209903,31897,1000,237771,31290,0,,
,,,,,,,,,,,
     AUTONOMOUS REGION IN MUSLIM MINDANAO,1733676,120055,49798,1541286,113222,32288,1754421,100151,0,1,
        Adiong Memorial Polytechnic State College,12142,2786,4012,11023,4331,800,12401,2998,0,,
        Basilan State College,33741,5679,5624,32210,6830,8988,35836,5247,0,,
        Mindanao State University,1343274,71963,31277,1206426,77340,15000,1373959,75957,0,,
        MSU-Tawi-Tawi College of Technology,,,,,,,,,,,
           and Oceanography,272107,31407,3012,224064,15266,0,254492,9239,0,,
        Sulu State College,39343,3255,2861,36994,3930,7500,42476,2637,0,,
        Tawi-Tawi Regional Agricultural College,33069,4965,3012,30569,5525,0,35257,4073,0,,
,,,,,,,,,,,
     CARAGA ADMINISTRATIVE REGION,236630,30923,12569,233483,35420,1000,265414,32555,0,1,
        Agusan del Sur State College of,,,,,,,,,,,
           Agriculture and Technology,21988,6308,3033,22193,4739,0,24857,3365,0,,
        Caraga State University (Northern,,,,,,,,,,,
           Mindanao State Institute of,,,,,,,,,,,
           Science and Technology),56988,9654,3603,55966,12985,0,63593,11659,0,,
        Surigao del Sur State University,,,,,,,,,,,
           (Surigao del Sur Polytechnic State College),84237,8082,2900,85379,9941,0,98514,10438,0,,
        Surigao State College of Technology,73417,6879,3033,69945,7755,1000,78450,7093,0,,
,,,,,,,,,,,
   Department of Energy,207176,2814741,56992,188798,3877899,44404,227217,1095115,44308,1,
     Office of the Secretary,207176,2814741,56992,188798,3877899,44404,227217,1095115,44308,,
,,,,,,,,,,,
   Department of Environment and Natural Resources,6404266,4411625,2323544,5624362,4961364,2268953,6205054,4263281,2609188,1,
     Office of the Secretary,4478356,2923407,1986889,3937770,3309071,2058347,4283666,2808577,2255347,,
     Environmental Management Bureau,225496,215453,40287,199484,429399,178931,220205,300203,231871,,
     Land Registration Authority,624139,253402,43674,492522,180650,0,540201,219270,30730,,
     Mines and Geo-Sciences Bureau,388443,158306,52552,365791,181743,25875,411096,239437,66906,,
     National Commission on Indigenous Peoples,409328,241330,26805,383075,268800,5800,435717,249030,6380,,
     National Mapping and Resource,,,,,,,,,,,
        Information Authority,253030,592156,173337,221592,543567,0,254169,411026,16569,,
     National Water Resources Board,0,0,0,0,0,0,32723,10994,1385,,
     Palawan Council for Sustainable,,,,,,,,,,,
        Development Staff,25474,27571,0,24128,48134,0,27277,24744,0,,
,,,,,,,,,,,
   Department of Finance,5295055,20603214,1461060,5602537,4841397,381579,5695732,4945520,1585068,1,
     Office of the Secretary,149852,278193,147668,138650,427674,4340,148310,505820,1305292,,
     Bureau of Customs,1222477,4204930,152715,1039488,1035515,246000,1113255,846572,0,,
     Bureau of Internal Revenue,3191795,2249453,296166,3745574,3044839,39966,3688420,3258547,46630,,
     Bureau of Local Government Finance,107871,60908,4559,99174,74938,6836,111744,63049,14107,,
     Bureau of the Treasury,306824,13684979,820575,280266,116593,0,302534,132553,194626,,
     Central Board of Assessment Appeals,8172,1067,124,7370,1071,0,7723,1155,0,,
     Cooperative Development Authority,202151,62940,17047,181532,75052,26000,202457,71848,0,,
     Fiscal Incentives Review Board,0,102,0,0,123,0,0,0,0,,
     Insurance Commission,59300,41190,22061,57271,45975,58437,64453,54675,24113,,
     National Tax Research Center,27537,10396,145,24561,11519,0,28185,11301,300,,
     Privatization and Management Office,19076,9056,0,28651,8098,0,28651,0,0,,
,,,,,,,,,,,
   Department of Foreign Affairs,5053912,5649500,216822,5534920,6869244,392861,5305722,5643699,151745,1,
     Office of the Secretary,5022840,5620805,213275,5506724,6840665,392791,5276217,5619558,151545,,
     Foreign Service Institute,25344,16851,3498,22751,12034,0,23489,11500,200,,
     Technical Cooperation Council of the Philippines,988,1780,49,961,4409,70,1011,2288,0,,
     UNESCO National Commission of the Philippines,4740,10064,0,4484,12136,0,5005,10353,0,,
,,,,,,,,,,,
   Department of Health,7930511,8828051,4514007,7547234,15270910,6466276,8504887,15889773,8937031,1,
     Office of the Secretary,7760434,8221626,4479583,7426165,11346343,6466276,8374036,15421547,8926937,,
     Commission on Population,126454,290068,23545,87731,186371,0,94889,193141,10094,,
     National Nutrition Council,43623,316357,10879,33338,3738196,0,35962,275085,0,,
,,,,,,,,,,,
   Department of the Interior and Local Government,71297153,17646399,3884640,53382181,9107339,3969729,74935418,10022010,3216188,1,
     Office of the Secretary,1801964,382260,27126,1673103,829663,0,1878305,856386,0,,
     Bureau of Fire Protection,6089312,646136,899889,4814166,860052,1400245,6254787,915022,1052000,,
     Bureau of Jail Management and Penology,2841997,1425247,353246,2336077,1921108,239120,3266001,1831844,55208,,
     Local Government Academy,14370,65075,1548,13791,74607,0,16684,89819,0,,
     National Police Commission,960938,111355,12723,1181477,135530,0,1224295,118064,0,,
     Philippine National Police,59082247,14641472,2581140,42847899,4811239,2320364,61714404,5721374,2100000,,
     Philippine Public Safety College,506325,374854,8968,515668,475140,10000,580942,489501,8980,,
,,,,,,,,,,,
   Department of Justice,5257236,2268610,730470,4471443,2066567,342295,5499297,2134097,64391,1,
     Office of the Secretary,2260087,254086,477422,1860212,328905,192443,2205471,367652,35891,,
     Bureau of Corrections,503449,949798,5755,433481,925980,40392,499296,1043832,3500,,
     Bureau of Immigration,261323,220393,87308,228626,132261,0,263815,136718,0,,
     Commission on the Settlement of Land Problems,20909,2301,750,19870,1688,0,0,0,0,,
     National Bureau of Investigation,528879,303487,114265,488000,324296,76514,530893,270546,25000,,
     Office of the Government Corporate Counsel,55905,10286,375,51018,11975,0,58386,10678,0,,
     Office of the Solicitor General,313559,99909,28146,213838,146224,22946,317453,108404,0,,
     Parole and Probation Administration,391405,57484,3434,347602,64629,0,389887,66581,0,,
     Presidential Commission on Good Government,45499,311422,1141,44334,44995,0,48106,44995,0,,
     Public Attorney's Office,876221,59444,11874,784462,85614,10000,1185990,84691,0,,
,,,,,,,,,,,
   Department of Labor and Employment,2896545,8158634,761554,2850858,3584367,182358,3155116,3299074,169463,1,
     Office of the Secretary,797039,1471329,53704,780702,1313091,54100,807054,1174945,11500,,
     Institute for Labor Studies,13681,6733,4700,12322,6952,1410,12323,6690,2915,,
     National Conciliation and Mediation Board,72004,51325,2074,61318,54937,0,75050,51339,1383,,
     National Labor Relations Commission,368888,96681,2140,328188,113363,0,375523,107048,10260,,
     National Maritime Polytechnic,35196,27740,34618,30284,35601,1500,33556,27418,34932,,
     National Wages and Productivity Commission,76075,42790,11886,78576,44592,10792,88897,42428,13492,,
     Philippine Overseas Employment Administration,158054,133505,10018,146404,121090,19318,157486,127449,26420,,
     Professional Regulation Commission,160000,260141,47191,150490,216725,44561,187053,238508,48561,,
     Technical Education and Skills,,,,,,,,,,,
        Development Authority,1215608,6068390,595223,1262574,1678016,50677,1418174,1523249,20000,,
,,,,,,,,,,,
   Department of National Defense,79838325,18083396,2957840,41419005,16269807,147115,82500774,17083582,5085752,1,
     DND Proper (Office of the Secretary),94729,328982,62031,86723,382948,0,93111,223497,0,,
     Government Arsenal,176154,205600,680,158178,214983,0,148080,272846,10000,,
     National Defense College of the Philippines,22446,28719,11403,26975,27445,12115,28765,29792,0,,
     Office of Civil Defense,72315,284091,0,63909,26598,0,68898,27495,0,,
,,,,,,,,,,,
     Philippine Veterans Affairs Office,15784937,541829,19361,485789,565894,0,13205143,633760,53000,1,
        Philippine Veterans Affairs Office (Proper),15355724,209780,0,88795,225152,0,12769168,249769,0,,
        Military Shrines Service,13263,11730,83,12084,12098,0,12504,12402,0,,
        Veterans Memorial Medical Center,415950,320319,19278,384910,328644,0,423471,371589,53000,,
,,,,,,,,,,,
     Armed Forces of the Philippines,63687744,16694175,2864365,40597431,15051939,135000,68956777,15896192,5022752,1,
        Philippine Army (Land Forces),28225328,4048666,0,25600702,4931858,0,28456742,5130454,20752,,
        Philippine Air Force (Air Forces),6332656,3463290,0,5528445,3762628,0,6128246,4038242,0,,
        Philippine Navy (Maritime Forces),8192852,3556860,0,7015516,3518911,105000,7696721,3672259,0,,
        General Headquarters (Proper),20936908,5625359,2864365,2452768,2838542,30000,26675068,3055237,5002000,,
,,,,,,,,,,,
   Department of Public Works and Highways,4221229,12965125,141608385,3860241,14953900,116760316,4184102,15758565,90687201,1,
     Office of the Secretary,4221229,12965125,141608385,3860241,14953900,116760316,4184102,15758565,90687201,,
,,,,,,,,,,,
   Department of Science and Technology,1587998,3031272,1252352,1313582,3767324,246854,1421715,4062874,611764,1,
     Office of the Secretary,269396,361221,259559,238787,1970925,47236,253071,1945565,82790,,
     Advanced Science and Technology Institute,18353,13879,6311,16313,21795,0,21837,23549,10065,,
     Food and Nutrition Research Institute,63147,34908,2172,49649,54407,0,53976,66168,21092,,
     Forest Products Research and Development Institute,68537,27385,17468,59868,19424,7500,56177,18690,21261,,
     Industrial Technology Development Institute,177123,25616,27429,115628,41877,0,108915,41588,22250,,
     Metals Industry Research and Development Center,80264,24842,2588,67797,27832,0,74750,28298,25030,,
     National Academy of Science and Technology,5244,26752,2523,5031,30980,210,5595,32247,0,,
     National Research Council of the Philippines,18707,203020,173,15308,16677,0,16712,17291,6000,,
"     Philippine Atmospheric, Geophysical and",,,,,,,,,,,
        Astronomical Services Administration,275764,189218,252181,229081,385146,169358,258693,602144,214764,,
"     Philippine Council for Agriculture,",,,,,,,,,,,
        Forestry and Natural Resources,,,,,,,,,,,
        Research and Development,87250,364585,8324,59226,209046,450,66997,227437,1782,,
     Philippine Council for Aquatic and,,,,,,,,,,,
        Marine Research and Development,18206,23127,4200,15840,19870,0,16797,20918,0,,
     Philippine Council for Health Research,,,,,,,,,,,
        and Development,18502,46196,837,16670,39046,0,17748,59338,1700,,
     Philippine Institute of Volcanology and Seismology,66047,44494,101146,57112,51703,3000,66416,76458,62793,,
     Philippine Nuclear Research Institute,85275,39232,31891,73021,34033,0,67776,45365,27505,,
     Philippine Science High School,193651,169624,499800,185617,214976,19100,214844,187157,77000,,
     Philippine Textile Research Institute,38298,15658,4138,25354,14609,0,31142,15326,13877,,
     Science Education Institute,18133,744725,9870,16322,459023,0,17550,492739,990,,
     Science and Technology Information Institute,30665,26488,3588,16181,18062,0,17593,18956,7150,,
     Technology Application and Promotion Institute,25536,40130,7500,22862,30801,0,25429,34552,13000,,
     Philippine Council for Advanced Science,,,,,,,,,,,
        and Technology Research and Development,13554,161369,9554,13103,78124,0,14439,79747,1335,,
     Philippine Council for Industry and,,,,,,,,,,,
        Energy Research and Development,16346,448803,1100,14812,28968,0,15258,29341,1380,,
,,,,,,,,,,,
   Department of Social Welfare and Development,755247,12729637,409004,734553,14616932,90800,816793,33148524,354101,1,
     Office of the Secretary,738975,12697627,407585,697147,14537213,88000,771568,33085055,351251,,
     Council for the Welfare of Children,10752,11904,0,9992,11691,0,10539,11672,1200,,
     Inter-Country Adoption Board,5520,20106,1419,4799,16883,2800,5617,18110,1250,,
     National Youth Commission,0,0,0,22615,51145,0,29069,33687,400,,
,,,,,,,,,,,
   Department of Tourism,477211,1365624,36572,305994,1246006,51000,311933,1140082,0,1,
     Office of the Secretary,304330,1298232,14643,224170,1163344,1000,230231,1073747,0,,
     Intramuros Administration,18243,16754,1956,23330,17091,50000,19885,12881,0,,
     National Parks Development Committee,154638,50638,19973,58494,65571,0,61817,53454,0,,
,,,,,,,,,,,
   Department of Trade and Industry,1141395,1569312,411799,948407,1541324,24250,1048481,1243436,271424,1,
     Office of the Secretary,968530,1383174,366709,800124,1341128,23000,885135,1044565,250000,,
     Board of Investments,96002,114442,40296,81038,122999,0,90751,122999,19812,,
     Construction Industry Authority of the Philippines,25412,16663,208,22496,17925,0,25153,17815,0,,
     Construction Manpower Development Foundation,11507,10361,143,10189,10810,0,11031,9929,412,,
     Philippine Trade Training Center,17805,17240,3737,16499,17523,750,16256,17701,1200,,
     Product Development and Design Center of,,,,,,,,,,,
        the Philippines,22139,27432,706,18061,30939,500,20155,30427,0,,
,,,,,,,,,,,
   Department of Transportation and Communications,3496056,6529872,15445218,2716689,8389833,6051583,3575222,11063847,17707000,1,
     Office of the Secretary,3134514,6187922,15384845,2384410,8102305,6001083,3219384,10758189,17653050,,
     Civil Aeronautics Board,26996,14522,3603,24301,15335,500,25636,14920,0,,
     Maritime Industry Authority,143205,195845,14551,133723,169500,0,151241,184631,3850,,
     Office of Transportation Cooperatives,10749,3429,300,9426,3444,0,10573,4006,100,,
     Office for Transportation Security,171295,124193,41919,156697,95306,50000,159322,97869,50000,,
     Toll Regulatory Board,9297,3961,0,8132,3943,0,9066,4232,0,,
,,,,,,,,,,,
   National Economic and Development Authority,1178539,1099726,791837,1071524,2901994,119111,1171114,970749,45837,1,
     Office of the Director-General,407571,267328,51694,379859,266696,29570,426292,316078,21037,,
     National Statistical Coordination Board,56418,36219,431,45019,40847,1202,49513,35950,4800,,
     National Statistics Office,672005,766829,717862,608003,2562353,88339,651286,586805,0,,
     Philippine National Volunteer Service,,,,,,,,,,,
