particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
          News and Information Bureau,"47,112",0,487,0,0,0,0,0,"5,654",0,254,0,568,0,254,0,420,"4,982",0,0,"6,449",0,"66,180"
          Philippine Information Agency,"80,798",0,0,0,0,0,0,0,"9,697",0,443,0,958,0,443,0,"1,649","8,577",0,0,"11,246",0,"113,811"
          Presidential Broadcast Staff (RTVM),"25,937",0,0,0,0,0,0,0,"3,114",0,148,0,310,0,148,0,456,"2,778",0,0,"3,757",0,"36,648"
,,,,,,,,,,,,,,,,,,,,,,,
     Other Executive Offices,"1,455,822",0,"54,944","34,452",0,0,0,"1,189","175,409",0,"7,359",0,"15,577",0,"7,361",0,"101,544","151,851","16,040",0,"233,132",0,"2,254,680"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Commission on Filipinos Overseas,"13,838",0,0,0,0,0,0,0,"1,661",0,68,0,162,0,69,0,588,"1,435",0,0,"1,718",0,"19,539"
          Commission on Higher Education,"155,538",0,94,0,0,0,0,0,"18,667",0,734,0,"1,731",0,732,0,"10,901","16,009",0,0,"18,661",0,"223,067"
          Commission on the Filipino Language,"14,496",0,0,0,0,0,0,327,"1,740",0,63,0,155,0,63,0,"1,480","1,469",0,0,"1,597",0,"21,390"
          Dangerous Drugs Board,"23,396",0,0,0,0,0,0,70,"2,809",0,135,0,260,0,135,0,"1,642","2,512",0,0,"4,650",0,"35,609"
          Energy Regulatory Commission,"92,666",0,0,0,0,0,0,0,"10,649",0,288,0,669,0,291,0,"3,801","8,924","16,040",0,"5,016",0,"138,344"
          Film Development Council of the Philippines,"3,410",0,"1,697",0,0,0,0,0,410,0,14,0,35,0,14,0,665,340,0,0,339,0,"6,924"
          Games and Amusements Board,"30,014",0,0,0,0,0,0,0,"3,604",0,183,0,350,0,183,0,"1,100","3,258",0,0,"4,669",0,"43,361"
          Housing and Land Use Regulatory Board,"88,951",0,0,0,0,0,0,0,"10,678",0,439,0,"1,028",0,439,0,"4,408","9,226",0,0,"11,087",0,"126,256"
          Housing and Urban Development Coordinating Council,"20,021",0,"10,579",0,0,0,0,0,"2,403",0,90,0,220,0,90,0,"1,604","2,039",0,0,"2,271",0,"39,317"
          Mindanao Development Authority,0,0,0,"27,266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,266"
          Movie and Television Review and,,,,,,,,,,,,,,,,,,,,,,,
                Classification Board,"9,765",0,0,0,0,0,0,0,"1,174",0,59,0,113,0,59,0,"2,802","1,055",0,0,"1,466",0,"16,493"
          National Anti-Poverty Commission,"5,514",0,0,0,0,0,0,0,662,0,26,0,54,0,26,0,"16,576",565,0,0,"2,072",0,"25,495"
          Climate Change Commission,0,0,"18,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,569"
