Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
          Office of Transportation Cooperatives,0,0,0,0,0,300,0,0,0,0,0,0,300
          Office for Transportation Security,0,0,0,0,0,"1,204",0,0,"40,715",0,0,0,"41,919"
,,,,,,,,,,,,,
     National Economic and Development Authority,"20,000",0,0,650,"94,284","664,404",0,"12,499",0,0,0,0,"791,837"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Director-General,0,0,0,650,"9,216","33,905",0,"7,923",0,0,0,0,"51,694"
          National Statistical Coordination Board,0,0,0,0,0,431,0,0,0,0,0,0,431
          National Statistics Office,0,0,0,0,"85,068","629,118",0,"3,676",0,0,0,0,"717,862"
          Statistical Research and Training Center,"20,000",0,0,0,0,0,0,0,0,0,0,0,"20,000"
          Tariff Commission,0,0,0,0,0,950,0,900,0,0,0,0,"1,850"
,,,,,,,,,,,,,
     Presidential Communications Operations Office,0,0,0,0,0,"26,181",0,"8,355","15,147","6,113",0,0,"55,796"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Presidential Communications Operations Office (Proper),0,0,0,0,0,700,0,"1,500",0,0,0,0,"2,200"
          Bureau of Broadcast Services,0,0,0,0,0,"16,113",0,0,"10,515","6,113",0,0,"32,741"
          Bureau of Communications Services,0,0,0,0,0,951,0,808,0,0,0,0,"1,759"
          National Printing Office,0,0,0,0,0,"2,818",0,"1,900","3,998",0,0,0,"8,716"
          News and Information Bureau,0,0,0,0,0,391,0,750,0,0,0,0,"1,141"
          Philippine Information Agency,0,0,0,0,0,"5,208",0,"3,397",251,0,0,0,"8,856"
          Presidential Broadcast Staff (RTVM),0,0,0,0,0,0,0,0,383,0,0,0,383
,,,,,,,,,,,,,
     Other Executive Offices,"121,772",0,0,0,"298,210","136,749",0,"19,810","52,280",0,0,0,"628,821"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Commission on Filipinos Overseas,0,0,0,0,0,520,0,0,0,0,0,0,520
          Commission on Higher Education,0,0,0,0,"41,159","21,629",0,"9,960",0,0,0,0,"72,748"
          Commission on the Filipino Language,0,0,0,0,0,200,0,0,0,0,0,0,200
          Dangerous Drugs Board,0,0,0,0,0,"4,500",0,0,0,0,0,0,"4,500"
          Energy Regulatory Commission,0,0,0,0,"5,498","10,501",0,"5,750","2,801",0,0,0,"24,550"
          Games and Amusements Board,0,0,0,0,0,139,0,0,0,0,0,0,139
          Housing and Land Use Regulatory Board,0,0,0,0,0,"12,854",0,0,0,0,0,0,"12,854"
          Housing and Urban Development Coordinating Council,0,0,0,0,0,"5,090",0,0,0,0,0,0,"5,090"
          Movie and Television Review and,,,,,,,,,,,,,
                Classification Board,0,0,0,0,"12,235",239,0,0,0,0,0,0,"12,474"
          National Anti-Poverty Commission,"100,000",0,0,0,0,908,0,987,0,0,0,0,"101,895"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,
                     Arts (Proper),"21,772",0,0,0,"100,000","4,955",0,0,0,0,0,0,"126,727"
               National Historical Commission of the,,,,,,,,,,,,,
                     Philippines (National Historical Institute),0,0,0,0,"54,228","1,884",0,173,0,0,0,0,"56,285"
               The National Library of the Philippines,,,,,,,,,,,,,
                     (The National Library),0,0,0,0,0,"19,647",0,0,0,0,0,0,"19,647"
               National Archives of the Philippines,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,
                     Archives Office),0,0,0,0,0,"1,056",0,0,0,0,0,0,"1,056"
          National Council on Disability Affairs,0,0,0,0,0,"2,993",0,0,0,0,0,0,"2,993"
          National Intelligence Coordinating Agency,0,0,0,0,0,"11,583",0,0,0,0,0,0,"11,583"
          National Security Council,0,0,0,0,0,0,0,"1,659",0,0,0,0,"1,659"
          National Water Resources Board,0,0,0,0,0,"1,282",0,0,0,0,0,0,"1,282"
          National Youth Commission,0,0,0,0,0,"2,853",0,0,0,0,0,0,"2,853"
          National Commission on Muslim Filipinos,,,,,,,,,,,,,
                (Office on Muslim Affairs),0,0,0,0,0,150,0,0,0,0,0,0,150
          Optical Media Board,0,0,0,0,0,575,0,0,37,0,0,0,612
          Philippine Commission on Women (National,,,,,,,,,,,,,
                Commission on the Role of Filipino Women),0,0,0,0,0,"1,812",0,0,0,0,0,0,"1,812"
          Philippine Drug Enforcement Agency,0,0,0,0,"5,387","15,000",0,0,"46,000",0,0,0,"66,387"
          Philippine Sports Commission,0,0,0,0,"77,006",0,0,0,0,0,0,0,"77,006"
          Presidential Commission for the Urban Poor,0,0,0,0,0,755,0,0,0,0,0,0,755
          Presidential Legislative Liaison Office,0,0,0,0,0,243,0,"1,281",0,0,0,0,"1,524"
          Presidential Management Staff,0,0,0,0,"2,697","15,381",0,0,"3,442",0,0,0,"21,520"
,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,0,0,0,"1,000,000","127,683","95,227",0,750,"15,000","558,696",0,0,"1,797,356"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Autonomous Regional Government in Muslim Mindanao,0,0,0,"1,000,000","127,683","95,227",0,750,"15,000","558,696",0,0,"1,797,356"
,,,,,,,,,,,,,
