particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),"29,746",0,533,0,0,0,0,0,0,"3,553",189,0,270,0,197,0,0,"1,613","3,407",0,0,"5,829",0,"45,337"
               University of Eastern Philippines,"122,847",0,"3,636",0,0,864,0,0,0,"14,816",760,0,"1,253",0,754,0,0,"3,554","14,104",0,0,"23,855",0,"186,443"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"316,288",0,"11,448",0,0,"2,762",0,0,0,"38,051","2,009",0,"2,782",0,"2,040",0,166,"10,756","36,352",0,0,"60,370",0,"483,024"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"24,923",0,862,0,0,0,0,0,0,"2,907",170,0,335,0,161,0,0,"1,033","2,776",0,0,"5,086",0,"38,253"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"75,699",0,"2,683",0,0,410,0,0,0,"9,113",504,0,578,0,515,0,84,353,"9,148",0,0,"16,744",0,"115,831"
               Western Mindanao State University,"139,960",0,"4,097",0,0,"2,004",0,0,0,"16,720",819,0,"1,231",0,836,0,0,"7,950","15,251",0,0,"23,146",0,"212,014"
               Zamboanga City State Polytechnic College,"35,117",0,754,0,0,257,0,0,0,"4,256",224,0,326,0,218,0,0,"1,026","4,118",0,0,"6,947",0,"53,243"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"40,589",0,"3,052",0,0,91,0,0,0,"5,055",292,0,312,0,310,0,82,394,"5,059",0,0,"8,447",0,"63,683"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"471,882",0,"13,139",0,0,"5,561",0,0,0,"57,133","2,844",0,"4,644",0,"2,683",0,0,"29,660","53,453",0,0,"96,091",0,"737,090"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State College,"40,245",0,"2,017",0,0,"1,277",0,0,0,"4,837",221,0,480,0,217,0,0,"2,942","4,265",0,0,"7,996",0,"64,497"
               Camiguin Polytechnic State College,"15,395",0,163,0,0,0,0,0,0,"1,825",100,0,146,0,96,0,0,461,"1,604",0,0,"3,077",0,"22,867"
               Central Mindanao University,"141,037",0,"3,791",0,0,"2,588",0,0,0,"16,466",946,0,"1,273",0,940,0,0,"4,543","16,340",0,0,"29,125",0,"217,049"
               Mindanao University of Science and Technology,"44,568",0,"1,742",0,0,210,0,0,0,"5,282",274,0,324,0,233,0,0,"14,614","4,963",0,0,"10,328",0,"82,538"
               MSU-Iligan Institute of Technology,"208,695",0,"2,465",0,0,743,0,0,0,"25,936","1,175",0,"2,238",0,"1,074",0,0,"4,760","23,954",0,0,"39,470",0,"310,510"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,"14,608",0,936,0,0,51,0,0,0,"1,903",86,0,143,0,82,0,0,"2,144","1,486",0,0,"4,361",0,"25,800"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"7,334",0,"2,025",0,0,692,0,0,0,884,42,0,40,0,41,0,0,196,841,0,0,"1,734",0,"13,829"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"153,571",0,"8,345",0,0,"2,955",0,0,0,"18,215",901,0,"1,817",0,874,0,14,"5,864","17,402",0,0,"41,327",0,"251,285"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,"20,458",0,253,0,0,63,0,0,0,"2,475",132,0,244,0,117,0,14,499,"2,390",0,0,"5,240",0,"31,885"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"24,585",0,"1,144",0,0,22,0,0,0,"3,017",155,0,297,0,151,0,0,785,"2,938",0,0,"7,174",0,"40,268"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,"19,717",0,0,0,0,0,0,0,0,"2,370",126,0,230,0,128,0,0,764,"2,226",0,0,"5,501",0,"31,062"
               University of Southeastern Philippines,"88,811",0,"6,948",0,0,"2,870",0,0,0,"10,353",488,0,"1,046",0,478,0,0,"3,816","9,848",0,0,"23,412",0,"148,070"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"254,605",0,"8,605",0,0,"2,080",0,"1,126",0,"30,933","1,522",0,"2,693",0,"1,383",0,0,"5,583","31,399",0,0,"47,425",0,"387,354"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,"40,269",0,942,0,0,507,0,"1,126",0,"4,749",210,0,536,0,210,0,0,958,"4,805",0,0,"6,831",0,"61,143"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"34,459",0,"2,101",0,0,408,0,0,0,"4,155",238,0,376,0,223,0,0,608,"4,065",0,0,"7,418",0,"54,051"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"50,381",0,"1,773",0,0,229,0,0,0,"5,959",278,0,680,0,162,0,0,443,"5,473",0,0,"8,757",0,"74,135"
               University of Southern Mindanao,"129,496",0,"3,789",0,0,936,0,0,0,"16,070",796,0,"1,101",0,788,0,0,"3,574","17,056",0,0,"24,419",0,"198,025"
,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"155,177",0,"9,195",0,0,401,0,0,0,"18,801",964,0,"1,013",0,"1,049",0,13,"2,430","16,729",0,0,"30,858",0,"236,630"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,"14,684",0,262,0,0,373,0,0,0,"2,276",82,0,53,0,91,0,0,164,"1,693",0,0,"2,310",0,"21,988"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),"36,336",0,"2,703",0,0,0,0,0,0,"4,294",226,0,446,0,218,0,13,398,"4,195",0,0,"8,159",0,"56,988"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),"55,432",0,"3,453",0,0,28,0,0,0,"6,429",366,0,237,0,449,0,0,688,"6,062",0,0,"11,093",0,"84,237"
               Surigao State College of Technology,"48,725",0,"2,777",0,0,0,0,0,0,"5,802",290,0,277,0,291,0,0,"1,180","4,779",0,0,"9,296",0,"73,417"
,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"1,153,524",0,"30,531",0,0,"39,699",0,"8,621",0,"135,147","6,685",0,"10,125",0,"6,369",0,0,"14,528","123,640",0,0,"204,807",0,"1,733,676"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,"7,852",0,67,0,0,224,0,0,0,941,52,0,78,0,50,0,0,335,911,0,0,"1,632",0,"12,142"
               Basilan State College,"23,467",0,254,0,0,6,0,0,0,"2,735",138,0,207,0,139,0,0,278,"2,609",0,0,"3,908",0,"33,741"
               Mindanao State University,"904,281",0,"23,095",0,0,"21,427",0,"2,924",0,"107,875","5,188",0,"7,164",0,"5,024",0,0,"10,670","98,254",0,0,"157,372",0,"1,343,274"
               MSU-Tawi-Tawi College of Technology and Oceanography,"171,027",0,"5,949",0,0,"15,753",0,"5,697",0,"17,874","1,034",0,"2,225",0,957,0,0,"1,988","16,715",0,0,"32,888",0,"272,107"
               Sulu State College,"25,858",0,792,0,0,512,0,0,0,"3,081",165,0,247,0,160,0,0,731,"2,757",0,0,"5,040",0,"39,343"
               Tawi-Tawi Regional Agricultural College,"21,039",0,374,0,0,"1,777",0,0,0,"2,641",108,0,204,0,39,0,0,526,"2,394",0,0,"3,967",0,"33,069"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"142,102",0,0,0,0,712,0,0,0,"17,045",727,0,"1,710",0,697,0,0,"6,124","15,959",0,0,"22,100",0,"207,176"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"142,102",0,0,0,0,712,0,0,0,"17,045",727,0,"1,710",0,697,0,0,"6,124","15,959",0,0,"22,100",0,"207,176"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"3,812,514","36,498","299,834",0,0,"102,929","4,010","3,087",0,"467,655","27,853",0,"46,889",0,"27,374",0,"1,664","91,073","454,975","2,721","8,481","983,288","33,421","6,404,266"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,708,935",0,"226,693",0,0,"80,326",0,0,0,"326,203","19,872",0,"33,642",0,"19,886",0,0,"52,340","313,734",0,0,"696,725",0,"4,478,356"
          Environmental Management Bureau,"136,162",0,"8,801",0,0,"2,462",0,0,0,"17,211",804,0,"1,596",0,747,0,0,"2,681","14,935",0,0,"40,097",0,"225,496"
          Land Registration Authority,"332,132",0,"57,176",0,0,"10,045",0,"2,405",0,"47,340","3,132",0,"4,433",0,"2,855",0,513,"10,076","44,806","2,721",0,"106,505",0,"624,139"
          Mines and Geo-Sciences Bureau,"271,474",0,0,0,0,"4,636",0,0,0,"28,991","1,320",0,"2,403",0,"1,314",0,0,"6,724","28,118",0,0,"43,463",0,"388,443"
          National Commission on Indigenous Peoples,"260,126",0,0,0,0,"1,601",0,0,0,"31,011","1,785",0,"3,049",0,"1,652",0,0,"14,035","40,236",0,0,"55,833",0,"409,328"
          National Mapping and Resource Information Authority,"86,760","36,498","7,164",0,0,"3,585","4,010",682,0,"14,874",852,0,"1,564",0,834,0,"1,151","3,929","11,306",0,"8,481","37,919","33,421","253,030"
          Palawan Council for Sustainable Development Staff,"16,925",0,0,0,0,274,0,0,0,"2,025",88,0,202,0,86,0,0,"1,288","1,840",0,0,"2,746",0,"25,474"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"3,466,645",0,"22,809",0,0,"111,136",0,"7,478",0,"400,149","21,148",0,"34,715",0,"20,841",0,"7,551","74,510","381,142",0,0,"746,931",0,"5,295,055"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"88,596",0,211,0,0,413,0,376,0,"10,745",443,0,684,0,437,0,356,"6,455","9,930",0,0,"31,206",0,"149,852"
          Bureau of Customs,"773,473",0,"2,502",0,0,"63,348",0,"4,737",0,"87,062","5,426",0,"5,060",0,"5,201",0,0,"13,572","82,964",0,0,"179,132",0,"1,222,477"
          Bureau of Internal Revenue,"2,130,042",0,0,0,0,"36,777",0,672,0,"247,133","12,710",0,"24,846",0,"12,683",0,"3,248","31,383","235,353",0,0,"456,948",0,"3,191,795"
          Bureau of Local Government Finance,"71,654",0,0,0,0,952,0,0,0,"8,418",392,0,746,0,383,0,0,"4,080","7,964",0,0,"13,282",0,"107,871"
          Bureau of the Treasury,"201,298",0,0,0,0,"4,995",0,"1,693",0,"24,232","1,056",0,"1,641",0,"1,041",0,"3,947","11,808","22,478",0,0,"32,635",0,"306,824"
          Central Board of Assessment Appeals,"4,858",0,0,0,0,0,0,0,0,468,28,0,56,0,26,0,0,991,520,0,0,"1,225",0,"8,172"
          Cooperative Development Authority,"136,348",0,"1,048",0,0,"4,615",0,0,0,"15,073",768,0,"1,214",0,751,0,0,"3,448","15,107",0,0,"23,779",0,"202,151"
          Insurance Commission,"41,489",0,0,0,0,0,0,0,0,"4,864",217,0,381,0,216,0,0,"1,970","4,733",0,0,"5,430",0,"59,300"
          National Tax Research Center,"18,887",0,0,0,0,8,0,0,0,"2,154",108,0,87,0,103,0,0,803,"2,093",0,0,"3,294",0,"27,537"
          Privatization and Management Office,0,0,"19,048",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,076"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"480,613",0,"384,224",0,0,"35,790",0,0,223,"55,653","2,278",0,"5,449",0,"2,280",0,0,"14,164","62,433",0,0,"4,010,805",0,"5,053,912"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"462,616",0,"382,692",0,0,"34,578",0,0,0,"53,602","2,183",0,"5,254",0,"2,184",0,0,"11,375","60,534",0,0,"4,007,822",0,"5,022,840"
          Foreign Service Institute,"14,770",0,929,0,0,"1,212",0,0,0,"1,666",78,0,161,0,78,0,0,"2,480","1,528",0,0,"2,442",0,"25,344"
          Technical Cooperation Council of the Philippines,417,0,234,0,0,0,0,0,0,50,3,0,5,0,3,0,0,72,53,0,0,151,0,988
          UNESCO National Commission of the Philippines,"2,810",0,369,0,0,0,0,0,223,335,14,0,29,0,15,0,0,237,318,0,0,390,0,"4,740"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"4,597,403",0,"116,508",0,0,"110,504",0,"8,340",0,"557,624","31,766",0,"48,334",0,"29,898",0,"21,850","50,683","516,125",0,0,"1,841,476",0,"7,930,511"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"4,516,398",0,"116,206",0,0,"108,690",0,"7,293",0,"547,912","31,275",0,"47,459",0,"29,419",0,"21,709","44,011","507,012",0,0,"1,783,050",0,"7,760,434"
          Commission on Population,"58,788",0,302,0,0,"1,012",0,"1,047",0,"6,984",367,0,563,0,361,0,0,"4,966","6,620",0,0,"45,444",0,"126,454"
          National Nutrition Council,"22,217",0,0,0,0,802,0,0,0,"2,728",124,0,312,0,118,0,141,"1,706","2,493",0,0,"12,982",0,"43,623"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"2,388,919","26,397,004","26,555",0,0,"3,986,460","282,844","2,628,000",504,"274,547","14,995","174,749","21,423","185,229","13,967","165,590","3,515","135,995","265,585",0,"9,902,344","1,870,231","22,558,697","71,297,153"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,206,342",0,"19,184",0,0,"46,890",0,0,0,"136,201","5,816",0,"11,902",0,"5,424",0,"3,515","31,497","116,828",0,0,"218,365",0,"1,801,964"
          Bureau of Fire Protection,"73,342","2,417,007",0,0,0,0,"282,844","287,397",0,"9,701",654,"18,600",595,"32,731",585,"18,433",0,578,"25,903",0,"437,081","297,871","2,185,990","6,089,312"
          Bureau of Jail Management and Penology,"15,344","1,248,450",0,0,0,"92,460",0,"58,533",0,"1,811",99,"9,532",137,"14,436",29,"2,690",0,795,"1,758",0,"277,401","87,400","1,031,122","2,841,997"
          Local Government Academy,"9,888",0,0,0,0,0,0,0,0,"1,180",55,0,119,0,53,0,0,264,"1,107",0,0,"1,704",0,"14,370"
          National Police Commission,"223,748",0,"1,603",0,0,"3,932",0,0,504,"25,681","1,242",0,"2,090",0,"1,248",0,0,"16,477","24,054",0,0,"61,530","598,829","960,938"
          Philippine National Police,"774,287","22,530,786",0,0,0,"3,843,178",0,"2,282,070",0,"92,213","6,746","145,362","6,222","136,806","6,254","143,212",0,"2,019","89,271",0,"9,187,862","1,176,909","18,659,050","59,082,247"
          Philippine Public Safety College,"85,968","200,761","5,768",0,0,0,0,0,0,"7,760",383,"1,255",358,"1,256",374,"1,255",0,"84,365","6,664",0,0,"26,452","83,706","506,325"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"2,935,628",0,"35,169",0,0,"74,132",0,"5,849",230,"332,774","14,557",0,"19,989",0,"14,282",0,0,"486,649","306,094","9,550",0,"1,022,333",0,"5,257,236"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,134,253",0,"4,337",0,0,"17,686",0,"1,699",230,"126,584","4,560",0,"4,263",0,"4,451",0,0,"252,619","119,133",0,0,"590,272",0,"2,260,087"
          Bureau of Corrections,"307,107",0,0,0,0,"8,787",0,0,0,"34,112","2,538",0,"3,048",0,"2,545",0,0,"1,970","34,753",0,0,"108,589",0,"503,449"
          Bureau of Immigration,"165,773",0,"8,400",0,0,"10,025",0,0,0,"19,390","1,191",0,"1,665",0,"1,140",0,0,696,"16,740",0,0,"36,303",0,"261,323"
          Commission on the Settlement of Land Problems,"12,380",0,0,0,0,179,0,0,0,"1,361",81,0,104,0,75,0,0,"1,290","1,470",822,0,"3,147",0,"20,909"
          National Bureau of Investigation,"331,551",0,"13,063",0,0,"7,467",0,0,0,"39,504","1,925",0,"2,723",0,"1,875",0,0,"16,618","37,723",0,0,"76,430",0,"528,879"
          Office of the Government Corporate Counsel,"29,280",0,"1,231",0,0,252,0,"2,773",0,"2,888",74,0,364,0,97,0,0,"6,805","3,423","4,472",0,"4,246",0,"55,905"
          Office of the Solicitor General,"163,928",0,0,0,0,"1,362",0,0,0,"15,040",730,0,"1,844",0,719,0,0,"28,619","18,405","4,256",0,"78,656",0,"313,559"
          Parole and Probation Administration,"260,027",0,0,0,0,"8,679",0,"1,377",0,"30,349","1,269",0,"1,827",0,"1,229",0,0,"18,764","27,132",0,0,"40,752",0,"391,405"
          Presidential Commission on Good Government,"25,741",0,"8,138",0,0,0,0,0,0,"2,749",123,0,184,0,119,0,0,"2,928","2,457",0,0,"3,060",0,"45,499"
          Public Attorney's Office,"505,588",0,0,0,0,"19,695",0,0,0,"60,797","2,066",0,"3,967",0,"2,032",0,0,"156,340","44,858",0,0,"80,878",0,"876,221"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"1,699,508",0,"39,084",0,0,"32,507",0,"31,613","11,518","189,192","9,285",0,"16,321",0,"8,520",0,"1,275","151,000","183,675","5,169",0,"517,878",0,"2,896,545"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"421,078",0,"4,032",0,0,"8,237",0,"26,270",0,"45,441","2,050",0,"3,652",0,"1,764",0,0,"18,076","41,781",0,0,"224,658",0,"797,039"
          Institute for Labor Studies,"9,072",0,566,0,0,119,0,0,0,986,43,0,99,0,43,0,0,619,919,0,0,"1,215",0,"13,681"
          National Conciliation and Mediation Board,"47,438",0,0,0,0,"1,781",0,0,0,"5,646",236,0,384,0,232,0,0,"3,135","5,194",0,0,"7,958",0,"72,004"
          National Labor Relations Commission,"229,603",0,74,0,0,"11,980",0,"3,559",0,"19,995","1,120",0,"2,561",0,"1,057",0,219,"32,197","25,462","4,035",0,"37,026",0,"368,888"
          National Maritime Polytechnic,"22,186",0,0,0,0,675,0,0,0,"2,514",128,0,319,0,128,0,0,"2,678","2,430",0,0,"4,138",0,"35,196"
          National Wages and Productivity Commission,"39,659",0,"2,330",0,0,531,0,0,"11,518","4,800",201,0,246,0,186,0,"1,056","2,902","4,571",0,0,"8,075",0,"76,075"
          Philippine Overseas Employment Administration,"106,232",0,"2,564",0,0,"1,070",0,0,0,"12,735",517,0,"1,159",0,492,0,0,"6,231","11,584",0,0,"15,470",0,"158,054"
          Professional Regulation Commission,"66,900",0,476,0,0,"1,650",0,0,0,"7,818",450,0,443,0,427,0,0,"57,283","7,738","1,134",0,"15,681",0,"160,000"
          Technical Education and Skills Development Authority,"757,340",0,"29,042",0,0,"6,464",0,"1,784",0,"89,257","4,540",0,"7,458",0,"4,191",0,0,"27,879","83,996",0,0,"203,657",0,"1,215,608"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"1,408,255","18,853,194","475,275",0,0,"3,067,193",0,"2,552,669",0,"163,049","10,962","148,051","14,400","189,913","11,014","143,159",0,"15,729","205,664",0,"31,038,873","1,968,057","19,572,868","79,838,325"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"49,777",0,"13,129",0,0,163,0,"1,232",0,"6,024",303,0,586,0,280,0,0,"3,061","5,905",0,0,"14,269",0,"94,729"
          Government Arsenal,"89,298",0,0,0,0,"4,469",0,"3,873",0,"10,737",745,0,"1,057",0,729,0,0,255,"10,920",0,0,"54,071",0,"176,154"
          National Defense College of the Philippines,"10,851",0,741,0,0,0,0,0,0,"1,283",71,0,129,0,68,0,0,"4,333","1,242",0,0,"3,728",0,"22,446"
          Office of Civil Defense,"46,022",0,"1,266",0,0,"1,348",0,725,0,"5,343",292,0,544,0,293,0,0,"2,444","5,140",0,0,"8,898",0,"72,315"
          Philippine Veterans Affairs Office,"249,524",0,"90,271",0,0,"9,737",0,0,0,"30,144","1,903",0,"2,988",0,"1,753",0,0,"4,069","29,973",0,"15,263,336","101,239",0,"15,784,937"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"48,162",0,"14,042",0,0,469,0,0,0,"5,699",361,0,556,0,338,0,0,"3,386","5,742",0,"15,263,336","13,633",0,"15,355,724"
               Military Shrines Service,"8,232",0,53,0,0,352,0,0,0,950,75,0,82,0,64,0,0,84,"1,003",0,0,"2,368",0,"13,263"
               Veterans Memorial Medical Center,"193,130",0,"76,176",0,0,"8,916",0,0,0,"23,495","1,467",0,"2,350",0,"1,351",0,0,599,"23,228",0,0,"85,238",0,"415,950"
,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"962,783","18,853,194","369,868",0,0,"3,051,476",0,"2,546,839",0,"109,518","7,648","148,051","9,096","189,913","7,891","143,159",0,"1,567","152,484",0,"15,775,537","1,785,852","19,572,868","63,687,744"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"175,991","11,948,536","48,758",0,0,"1,666,047",0,0,0,"20,739","1,535","97,872","1,567","113,129","1,442","96,361",0,526,"22,862",0,0,"918,372","13,111,591","28,225,328"
               Philippine Air Force (Air Forces),"239,802","2,584,918","27,299",0,0,"574,021",0,"24,656",0,"28,147","1,925","18,411","2,628","45,788","2,659","15,471",0,250,"27,685",0,0,"353,210","2,385,786","6,332,656"
               Philippine Navy (Maritime Forces),"188,045","3,657,653","58,142",0,0,"722,542",0,0,0,"16,716","1,438","27,816","1,341","26,078","1,327","27,536",0,252,"18,975",0,0,"236,662","3,208,329","8,192,852"
               General Headquarters (Proper),"358,945","662,087","235,669",0,0,"88,866",0,"2,522,183",0,"43,916","2,750","3,952","3,560","4,918","2,463","3,791",0,539,"82,962",0,"15,775,537","277,608","867,162","20,936,908"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"2,821,117",0,"6,603",0,0,"68,423",0,"19,731",0,"318,267","18,527",0,"26,195",0,"18,639",0,"5,772","37,051","296,012",0,0,"584,892",0,"4,221,229"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,821,117",0,"6,603",0,0,"68,423",0,"19,731",0,"318,267","18,527",0,"26,195",0,"18,639",0,"5,772","37,051","296,012",0,0,"584,892",0,"4,221,229"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"880,195",0,"4,437",0,0,"36,798",0,"5,905","1,602","97,719","4,569",0,"8,416",0,"4,353",0,"2,608","25,190","88,828",0,0,"427,378",0,"1,587,998"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"124,772",0,535,0,0,"2,924",0,"1,865",0,"14,711",590,0,"1,328",0,576,0,266,"7,682","13,428",0,0,"100,719",0,"269,396"
          Advanced Science and Technology Institute,"7,563",0,117,0,0,96,0,0,0,925,40,0,37,0,12,0,0,601,857,0,0,"8,105",0,"18,353"
          Food and Nutrition Research Institute,"33,845",0,272,0,0,"1,235",0,0,0,"4,057",190,0,177,0,188,0,53,"1,048","3,759",0,0,"18,323",0,"63,147"
          Forest Products Research and Development Institute,"43,209",0,0,0,0,"3,262",0,0,0,"4,916",241,0,471,0,233,0,0,"1,392","4,284",0,0,"10,529",0,"68,537"
          Industrial Technology Development Institute,"101,639",0,790,0,0,"14,368",0,0,0,"8,709",393,0,640,0,380,0,5,"1,949","8,230",0,0,"40,020",0,"177,123"
          Metals Industry Research and Development Center,"40,828",0,0,0,0,"1,580",0,"1,924",0,"4,910",220,0,381,0,219,0,42,979,"4,542",0,0,"24,639",0,"80,264"
          National Academy of Science and Technology,"2,600",0,0,0,0,235,0,0,113,317,12,0,30,0,11,0,0,255,293,0,0,"1,378",0,"5,244"
          National Research Council of the Philippines,"8,256",0,0,0,0,"1,137",0,"1,215",257,988,44,0,99,0,43,0,9,430,976,0,0,"5,253",0,"18,707"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,"178,101",0,319,0,0,"4,882",0,0,0,"18,417",933,0,"1,926",0,909,0,0,851,"16,901",0,0,"52,525",0,"275,764"
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,,,,,,,,,,,,,
                and Natural Resources Research and Development,"41,400",0,0,0,0,373,0,901,0,"4,971",224,0,370,0,225,0,0,"2,263","4,637",0,0,"31,886",0,"87,250"
          Philippine Council for Aquatic and Marine,,,,,,,,,,,,,,,,,,,,,,,,
