municipality/city,position,name,nickname,party_affiliation,votes_obtained
Arayat,Councilor,"Mallari, Sixto Jr. Cortez",Pogi,Kapanalig at Kambihan Ning Memalen Pampangan,16259
Arayat,Councilor,"Caguiat, Rodolfo Dalusong",Rudy,Kapanalig at Kambihan Ning Memalen Pampangan,15618
Arayat,Councilor,"Hipolito, Elmer Parungao",Elmer,Kapanalig at Kambihan Ning Memalen Pampangan,13823
Bacolor,Mayor,"Hizon, Jose Maria Olalia",Jomar,Independent,19238
Bacolor,Vice Mayor,"Canlas, Ananias Jr. Liangco",Jun,Kapanalig at Kambihan Ning Memalen Pampangan,18005
Bacolor,Councilor,"Balingit, Wilfredo Hernandez",Willy,Independent,16292
Bacolor,Councilor,"Yalung, Ricardo Miranda",Ric,Independent,15608
Bacolor,Councilor,"Sta. Cruz, Ariel Cunanan",Yek,Independent,14754
Bacolor,Councilor,"Blanco, Efren Singian",Steekie,Kapanalig at Kambihan Ning Memalen Pampangan,14096
Bacolor,Councilor,"Batac-Valerio, Emily Mateo",Emilybatac,Independent,13872
Bacolor,Councilor,"Angeles, Darwin Manalo",Win,Kapanalig at Kambihan Ning Memalen Pampangan,12999
Bacolor,Councilor,"San Pedro, Voltaire Jingco",Bong,Independent,12258
Bacolor,Councilor,"Caballa, Nilo Manuntag",Pogi,Kapanalig at Kambihan Ning Memalen Pampangan,12190
Candaba,Mayor,"Maglanque, Rene Estacio",Rene,Independent,14730
Candaba,Vice Mayor,"Evangelista, Normita Lapuz",Babes,Independent,20402
Candaba,Councilor,"Macapagal, Thelma Cuellar",Thelma Lema,Kapanalig at Kambihan Ning Memalen Pampangan,22076
Candaba,Councilor,"Baylon, Amy Rose Dela Pe",Amy,Nationalista Party,20718
Candaba,Councilor,"Sagum, Michael Dan Vinuya",Michael V.,Nationalista Party,16670
Candaba,Councilor,"Turla, Randy Manalili",Randy,Independent,15894
Candaba,Councilor,"David, Carolyn Foz",Carol,Kapanalig at Kambihan Ning Memalen Pampangan,15356
Candaba,Councilor,"Sombillo, Charina Lacanilao",Cha-Cha,Independent,14822
Candaba,Councilor,"Salac, Erlinda Pamintuan",Donya,Kapanalig at Kambihan Ning Memalen Pampangan,14352
Candaba,Councilor,"Pelayo, Luis Soliman",Goding,Kapanalig at Kambihan Ning Memalen Pampangan,14249
Florida Blanca,Mayor,"Guerrero, Eduardo Dizon",Eddie,Kapanalig at Kambihan Ning Memalen Pampangan,18611
Florida Blanca,Vice Mayor,"Montemayor, Joe Rey Paule",Joerey,Kapanalig at Kambihan Ning Memalen Pampangan,19143
Florida Blanca,Councilor,"Galang, Michael Lugtu",Mike,United Nationalist Alliance,19440
Florida Blanca,Councilor,"Ong, Jocelyn Mariano",Josie,Kapanalig at Kambihan Ning Memalen Pampangan,17776
Florida Blanca,Councilor,"Dimla, Arnold Malit",Pogi,Kapanalig at Kambihan Ning Memalen Pampangan,17221
Florida Blanca,Councilor,"Lingad, Romeo Jr. Pascual",Jun,Kapanalig at Kambihan Ning Memalen Pampangan,15808
Florida Blanca,Councilor,"Baluyut, Bonifacio Merca",Bon,Kapanalig at Kambihan Ning Memalen Pampangan,15199
Florida Blanca,Councilor,"Capulong, Ronnie Songco",Ronnieboy,Kapanalig at Kambihan Ning Memalen Pampangan,14926
Florida Blanca,Councilor,"Garcia, Renato Cruz",Nato,Kapanalig at Kambihan Ning Memalen Pampangan,13388
Florida Blanca,Councilor,"Isip, Dennis Aviso",Dens,United Nationalist Alliance,11521
Guagua,Mayor,"Torres, Dante Datu",Dante,Liberal Party,20539
Guagua,Vice Mayor,"Twa, Anthonny Sarmiento",Ton,Kapanalig at Kambihan Ning Memalen Pampangan,28794
Guagua,Councilor,"Torres, Baby Howell Diwa",Pogi,Liberal Party,23333
Guagua,Councilor,"Guilas, Romeo Zamora",Romy,Liberal Party,22923
Guagua,Councilor,"Enriquez, Roanne Leonila Reyes",Roan,Kapanalig at Kambihan Ning Memalen Pampangan,21710
Guagua,Councilor,"Carreon, Joan Manugue",Joan,Liberal Party,21636
Guagua,Councilor,"Eusoof, Sajid Khan Mercado",White Lies,Kapanalig at Kambihan Ning Memalen Pampangan,21455
Guagua,Councilor,"Sunglao, Roy Andrew Calma",Roy Popong,Kapanalig at Kambihan Ning Memalen Pampangan,20510
Guagua,Councilor,"Ponio, Eugene Paul Eusoof",Eugene Boy,Kapanalig at Kambihan Ning Memalen Pampangan,17127
Guagua,Councilor,"Corpuz, Michelle Rivera",Michelle,Kapanalig at Kambihan Ning Memalen Pampangan,15763
Lubao,Mayor,"Cayabyab, Mylyn Pineda",Mylyn P. Cayabyab,Kapanalig at Kambihan Ning Memalen Pampangan,45743
Lubao,Vice Mayor,"Diaz, Robertito Vitug",Tito,Kapanalig at Kambihan Ning Memalen Pampangan,31544
Lubao,Councilor,"Montemayor, Jay Bonto",Jbm,Kapanalig at Kambihan Ning Memalen Pampangan,31636
Lubao,Councilor,"Tu, Gonzalo Vitug",Buck,Kapanalig at Kambihan Ning Memalen Pampangan,29900
Lubao,Councilor,"Paule, Romulo Diwa",Bhong,Kapanalig at Kambihan Ning Memalen Pampangan,28015
Lubao,Councilor,"Carlos, Carlos Ii Yoshisaki",Caloy,Kapanalig at Kambihan Ning Memalen Pampangan,27731
Lubao,Councilor,"Belleza, Marlon Isip",Marlon,Kapanalig at Kambihan Ning Memalen Pampangan,27664
Lubao,Councilor,"Santos, Emmanuel Susi",Manny Santos,Kapanalig at Kambihan Ning Memalen Pampangan,27432
Lubao,Councilor,"Beltran, Christopher Lopez",Chris,Kapanalig at Kambihan Ning Memalen Pampangan,27184
Lubao,Councilor,"Susi, Jun John Cruz",John Susi,Kapanalig at Kambihan Ning Memalen Pampangan,25227
Mabalacat,City Mayor,"Morales, Marino Pineda",Boking,Kapanalig at Kambihan Ning Memalen Pampangan,34229
Mabalacat,City Vice-Mayor,"Halili, Christian Castro",Christian,Independent,32661
Mabalacat,Councilor,"Jocson, Benjamin Deang",Benny,Liberal Party,36933
Mabalacat,Councilor,"Aquino, Gerald Guttrie Pineda",Geld,Independent,31898
Mabalacat,Councilor,"Galang, Froylan Lacson",Froy,Kapanalig at Kambihan Ning Memalen Pampangan,28926
Mabalacat,Councilor,"Pe, Roland Dungca",Rox,Kapanalig at Kambihan Ning Memalen Pampangan,28749
Mabalacat,Councilor,"Yumul, Rogelio Quizon",Jeng,Kapanalig at Kambihan Ning Memalen Pampangan,27950
Mabalacat,Councilor,"Garbo, Krizzanel Catacutan",Win-Win,Kapanalig at Kambihan Ning Memalen Pampangan,27782
Mabalacat,Councilor,"Sotto, Eduardo Dizon",Eddie,Kapanalig at Kambihan Ning Memalen Pampangan,27596
Mabalacat,Councilor,"Rivera, Carlo Ni Castro",Carlo,Kapanalig at Kambihan Ning Memalen Pampangan,24508
Mabalacat,Councilor,"Tiglao, Amauri Del Mundo",Bok,Kapanalig at Kambihan Ning Memalen Pampangan,23313
Mabalacat,Councilor,"Morales, Dwight Oliver Paras",Dwight-Dwt,Kapanalig at Kambihan Ning Memalen Pampangan,23289
Macabebe,Mayor,"Balgan, Annette Flores",Madam Annette,Kapanalig at Kambihan Ning Memalen Pampangan,19480
Macabebe,Vice Mayor,"Flores, Vince Edward Figueras",Vince,Kapanalig at Kambihan Ning Memalen Pampangan,18808
Macabebe,Councilor,"Balgan, Mary Claire Therese Flores",Bembong,Kapanalig at Kambihan Ning Memalen Pampangan,17201
Macabebe,Councilor,"Yumang, Dennis Duque",Bos,Kapanalig at Kambihan Ning Memalen Pampangan,12929
Macabebe,Councilor,"Yanga, Geminiano Yumul",Emy,Kapanalig at Kambihan Ning Memalen Pampangan,12901
Macabebe,Councilor,"Simpauco, Emilia Lalic",Emie,Kapanalig at Kambihan Ning Memalen Pampangan,12658
Macabebe,Councilor,"Aniciete, Adrian Nabong",Adi,Kapanalig at Kambihan Ning Memalen Pampangan,11996
Macabebe,Councilor,"Yabut, Germelino Yabut",Taburong,Kapanalig at Kambihan Ning Memalen Pampangan,11732
Macabebe,Councilor,"Pacia, Michael Gaddi",Mike,Kapanalig at Kambihan Ning Memalen Pampangan,11456
Macabebe,Councilor,"Henson, Arlon Reyes",Lon,Kapanalig at Kambihan Ning Memalen Pampangan,11216
Magalang,Mayor,"Pecson, Romulo Feliciano",Romy,Kapanalig at Kambihan Ning Memalen Pampangan,16565
Magalang,Vice Mayor,"Lacson, Norman Lising",Man,Nationalist People's Coalition,21727
Magalang,Councilor,"Lacson, Maria Lourdes Paras",Malu,Nationalist People's Coalition,17104
Magalang,Councilor,"Zemel, Harry Jr. Banal",Tisoy,Nationalist People's Coalition,14986
Magalang,Councilor,"Gonzales, Rodolfo Pineda",Rudy,Nationalist People's Coalition,14357
Magalang,Councilor,"Tanglao, June Castro",June,Kapanalig at Kambihan Ning Memalen Pampangan,14059
Magalang,Councilor,"Cruz, Joel Jimenez",Pastor,Independent,13561
Magalang,Councilor,"Gonzales, Koko Pangan",Koko,Liberal Party,12668
Magalang,Councilor,"Aquino, Larry Castro",Larry,Kapanalig at Kambihan Ning Memalen Pampangan,11782
Magalang,Councilor,"Guzman, Dante Tapang",Dan,Kapanalig at Kambihan Ning Memalen Pampangan,11553
Masantol,Mayor,"Guintu, Danilo Sonza",Dan,Liberal Party,20784
Masantol,Vice Mayor,"Ignacio, Fortunato Alvin Jr. Jimenez",Alvin,Kapanalig at Kambihan Ning Memalen Pampangan,11325
Masantol,Councilor,"Nulud, Ralph Emmanuel Panganiban",Rap-Rap,Liberal Party,12351
Masantol,Councilor,"Bondoc, Christopher Sonza",Chris,Kapanalig at Kambihan Ning Memalen Pampangan,10882
Masantol,Councilor,"Balingit, Jimmy Pacia",Jimmy,Liberal Party,10768
Masantol,Councilor,"Viray, Princess Dian Canilao",Dian,Kapanalig at Kambihan Ning Memalen Pampangan,9713
Masantol,Councilor,"Guinto, Edgardo Viray",Edgar,Liberal Party,8741
Masantol,Councilor,"Lacap, Epifanio Jr. Mallari",Boboy,Kapanalig at Kambihan Ning Memalen Pampangan,8235
Masantol,Councilor,"Lacap, Carlito Canilao",Lito,Liberal Party,8194
Masantol,Councilor,"Manansala, Benedicto Viray",Benny,Kapanalig at Kambihan Ning Memalen Pampangan,8083
Mexico,Mayor,"Manalastas, Roy Dizon",Roy,Nationalist People's Coalition,27429
Mexico,Vice Mayor,"Pangan, Jonathan Del Rosario",Doc,Nationalista Party/Kapanalig at Kambihan Ning Memalen Pampangan,29303
Mexico,Councilor,"Gonzales, Rudencio Santos",Ruding,Nationalist People's Coalition,27915
Mexico,Councilor,"Punzalan, Ernest Christian Aguas",Jun-Jun,Nationalist People's Coalition,21433
Mexico,Councilor,"Simbulan, Louise Angelica Deala",Louise,Nationalist People's Coalition,19638
Mexico,Councilor,"Dizon, Fernando Rivera",Perry,Nationalist People's Coalition,19089
Mexico,Councilor,"Ventura, Elimar Maniago",Elimar,Nationalist People's Coalition,18048
Mexico,Councilor,"David, Eduardo Guevarra",Dapul,Nationalist People's Coalition,18015
Mexico,Councilor,"Vitangcul, Eduardo Tiglao",Silip Mata,Liberal Party,17338
Mexico,Councilor,"Sambile, Noel Reyes",Noel,Nationalista Party/Kapanalig at Kambihan Ning Memalen Pampangan,16531
Minalin,Mayor,"Flores, Edgardo Galope",Edgar,Nationalist People's Coalition,11579
Minalin,Vice Mayor,"Daag, Querolico Dimatulac",Tom,Liberal Party,8806
Minalin,Councilor,"Tizon, Edgar Galang",Gandung,Nationalist People's Coalition,9591
Minalin,Councilor,"Yambao, Gregorio Maria Tulud",Jake,Nationalist People's Coalition,8872
Minalin,Councilor,"Pingol, Nilo Lacsina",Loy,Nationalist People's Coalition,8588
Minalin,Councilor,"Suba, Enrico Poblete",Rico,Kapanalig at Kambihan Ning Memalen Pampangan,8559
Minalin,Councilor,"Malonzo, Primitiva Manuit",Priming,Nationalist People's Coalition,8469
Minalin,Councilor,"Lacsina, Louie Gonzales",Isik,Independent,8407
Minalin,Councilor,"Garcia, Eduardo Mandap",Eddie,Nationalist People's Coalition,8301
Minalin,Councilor,"Mercado, Rondon Musngi",Aket,Kapanalig at Kambihan Ning Memalen Pampangan,7831
Porac,Mayor,"Flores, Edgardo Galope",Edgar,Nationalist People's Coalition,11579
Porac,Vice Mayor,"Daag, Querolico Dimatulac",Tom,Liberal Party,8806
Porac,Councilor,"Tizon, Edgar Galang",Gandung,Nationalist People's Coalition,9591
Porac,Councilor,"Yambao, Gregorio Maria Tulud",Jake,Nationalist People's Coalition,8872
Porac,Councilor,"Pingol, Nilo Lacsina",Loy,Nationalist People's Coalition,8588
Porac,Councilor,"Suba, Enrico Poblete",Rico,Kapanalig at Kambihan Ning Memalen Pampangan,8559
Porac,Councilor,"Malonzo, Primitiva Manuit",Priming,Nationalist People's Coalition,8469
Porac,Councilor,"Lacsina, Louie Gonzales",Isik,Independent,8407
Porac,Councilor,"Garcia, Eduardo Mandap",Eddie,Nationalist People's Coalition,8301
Porac,Councilor,"Mercado, Rondon Musngi",Aket,Kapanalig at Kambihan Ning Memalen Pampangan,7831
San Fernanado City,City Mayor,"Santiago, Edwin David",Edsa,Liberal Party,56901
San Fernanado City,City Vice-Mayor,"Lazatin, Jaime Tirona",Jimmy,United Nationalist Alliance,47064
San Fernanado City,Councilor,"Hizon, Angelica Olalia",Angie,Partido Demokratiko Pilipino,54352
San Fernanado City,Councilor,"Henson, Ralph Daniel Mercado",Dein,Liberal Party,52434
San Fernanado City,Councilor,"Tulabut, Noel Tiodin",Noel,Liberal Party,47404
San Fernanado City,Councilor,"Lagman, Benedict Jasper Simon Ramos",Bjtiger,Partido Demokratiko Pilipino,44456
San Fernanado City,Councilor,"Macalino, Ayzel Mari Grace Nucup",Ayzel,Partido Demokratiko Pilipino,39999
San Fernanado City,Councilor,"Lingat, Nelson Galang",Nelson,Liberal Party,39130
San Fernanado City,Councilor,"Ocampo, Joselito Regala",Lito,Liberal Party,38638
San Fernanado City,Councilor,"Quiwa, Harvey Amurao",Saludu,Liberal Party,38634
San Fernanado City,Councilor,"Dizon, Celestino Singian",Tino,Liberal Party,38515
San Fernanado City,Councilor,"Calimlim, Jacklyn Rachelle Galang",Jack,Liberal Party,31048
San Luis,Mayor,"Macapagal, Venancio Sagum",Asyong,Kapanalig at Kambihan Ning Memalen Pampangan,13770
San Luis,Vice Mayor,"Salas, Leonardo Jr. Suba",Jr,Kapanalig at Kambihan Ning Memalen Pampangan,13333
San Luis,Councilor,"Lagman, Cesar Dimacali",Cesar,Kapanalig at Kambihan Ning Memalen Pampangan,11951
San Luis,Councilor,"Sagum, Jerry Santos",Jer,Kapanalig at Kambihan Ning Memalen Pampangan,11552
San Luis,Councilor,"Ocampo, Florentino Jr. Francisco",Junfloren,Kapanalig at Kambihan Ning Memalen Pampangan,11099
San Luis,Councilor,"Estacio, Allan Pe",Allan,Kapanalig at Kambihan Ning Memalen Pampangan,10923
San Luis,Councilor,"Suba, Esmeralda Du",Esmer,Kapanalig at Kambihan Ning Memalen Pampangan,10654
San Luis,Councilor,"Mangalus, Mario Natividad",Mar,Kapanalig at Kambihan Ning Memalen Pampangan,10164
San Luis,Councilor,"Mangulabnan, Edilberto Ingal",Berto,Kapanalig at Kambihan Ning Memalen Pampangan,9836
San Luis,Councilor,"Taruc, Bryan Gamboa",Kambal,Liberal Party,9456
San Simon,Mayor,"Wong, Leonora Capule",Wong,Kapanalig at Kambihan Ning Memalen Pampangan,13326
San Simon,Vice Mayor,"Almario, Honorato Maniacup",Keko,Kapanalig at Kambihan Ning Memalen Pampangan,13062
San Simon,Councilor,"Santos, Romanoel Lazatin",Dading,Liberal Party,11068
San Simon,Councilor,"Canlas, Josephine Ann Dayrit",Ann,Kapanalig at Kambihan Ning Memalen Pampangan,11022
San Simon,Councilor,"Dagdag, Irene Bucu",Irene,Independent,10733
San Simon,Councilor,"Marcelo, Dominique Ramos",Nikki,Kapanalig at Kambihan Ning Memalen Pampangan,10449
San Simon,Councilor,"Tayag, Rudy Tagarro",Dey,Liberal Party,9872
San Simon,Councilor,"Pineda, Beda Santos",Beda,Kapanalig at Kambihan Ning Memalen Pampangan,9312
San Simon,Councilor,"Cari, George Macalino",George,Kapanalig at Kambihan Ning Memalen Pampangan,8390
San Simon,Councilor,"Figueroa, Roseler Santos",Russel,Liberal Party,8344
Santa Ana,Mayor,"Concepcion, Rommel Montoya",Omeng,Kapanalig at Kambihan Ning Memalen Pampangan,10655
Santa Ana,Vice Mayor,"Nolasco, Mediatrix Gonzales",Medy,Kapanalig at Kambihan Ning Memalen Pampangan,13216
Santa Ana,Councilor,"Nacpil, Rhodora Concepcion",Oday,Kapanalig at Kambihan Ning Memalen Pampangan,11683
Santa Ana,Councilor,"Concepcion, Rameses Montoya",Tek,Kapanalig at Kambihan Ning Memalen Pampangan,8898
Santa Ana,Councilor,"Gaddi, Jerome Ian Sumang",Jerome,Independent,7517
Santa Ana,Councilor,"Montoya, Reynaldo Zamora",Rey,Independent,7327
Santa Ana,Councilor,"Guevarra, Reinhart Alfonso",Soy,Kapanalig at Kambihan Ning Memalen Pampangan,7191
Santa Ana,Councilor,"Diaz, Arthur Mangune",Art,Independent,7175
Santa Ana,Councilor,"Montoya, Restituto Lulu",Resty,Independent,6196
Santa Ana,Councilor,"Buan, Rodolfo Cunanan",Pong Balot,Kapanalig at Kambihan Ning Memalen Pampangan,6035
Santa Rita,Mayor,"Pineda, Yolanda Miranda",Yolly,Kapanalig at Kambihan Ning Memalen Pampangan,14811
Santa Rita,Vice Mayor,"Guanlao, Homobono Cunanan",Bonong,Kapanalig at Kambihan Ning Memalen Pampangan,11874
Santa Rita,COUNCILOR,,,,
Santa Rita,Councilor,"Carreon, Mercedita Bonaobra",Mercy,Independent,10853
Santa Rita,Councilor,"Valencia, Romeo Lapid",Romy,Kapanalig at Kambihan Ning Memalen Pampangan,9344
Santa Rita,Councilor,"Magcalas, Rebecca Diamzon",Becca,Independent,8134
Santa Rita,Councilor,"Amio, Felix Santos",Katu,Kapanalig at Kambihan Ning Memalen Pampangan,7727
Santa Rita,Councilor,"Hurtado, Alex Lusung",Bong,Kapanalig at Kambihan Ning Memalen Pampangan,7213
Santa Rita,Councilor,"Cubacub, Edison Santos",Bot,Independent,6950
Santa Rita,Councilor,"Gopez, Renato Quiambao",Nat,Kapanalig at Kambihan Ning Memalen Pampangan,6871
Santa Rita,Councilor,"Santos, Orlando Carlos",Orling,Kapanalig at Kambihan Ning Memalen Pampangan,6622
Santo Tomas,Mayor,"Naguit, Joselito Figueroa",Lito,Kapanalig at Kambihan Ning Memalen Pampangan,12880
Santo Tomas,Vice Mayor,"Arceo, Mark Louie Tongol",Mark Louie,Kapanalig at Kambihan Ning Memalen Pampangan,11396
Santo Tomas,Councilor,"Zablan, Ricardo Figueroa",Berong,Kapanalig at Kambihan Ning Memalen Pampangan,9006
Santo Tomas,Councilor,"Nuqui, Melanio Magat",Mely,Kapanalig at Kambihan Ning Memalen Pampangan,8238
Santo Tomas,Councilor,"Pineda, Marvin Naguit",Vhines,Kapanalig at Kambihan Ning Memalen Pampangan,7929
Santo Tomas,Councilor,"Mu, Juanito Bondoc",Nito,Kapanalig at Kambihan Ning Memalen Pampangan,6954
Santo Tomas,Councilor,"David, Angel Sibug",Gel,Kapanalig at Kambihan Ning Memalen Pampangan,6903
Santo Tomas,Councilor,"Lugtu, Vener Yutuc",Vener,Kapanalig at Kambihan Ning Memalen Pampangan,6558
Santo Tomas,Councilor,"Basilio, Albino Pineda",Alvin,Nationalist People's Coalition,6465
Santo Tomas,Councilor,"Calma, Nestor Mandap",Nesty,Kapanalig at Kambihan Ning Memalen Pampangan,6299
Sasmuan Sexmoan,Mayor,"Velasco, Nardo Mangalindan",Nardo,Nationalist People's Coalition,8241
Sasmuan Sexmoan,Vice Mayor,"Banting, Renato Arce",Capt Tato,Nationalist People's Coalition,5277
Sasmuan Sexmoan,Councilor,"Angeles, Jesus Magtuloy",Boyet,Nationalist People's Coalition,8905
Sasmuan Sexmoan,Councilor,"Sunga, Carlos Jr. Magat",Boyet,Nationalist People's Coalition,7845
Sasmuan Sexmoan,Councilor,"Sarmiento, Ariel Sapnu",Ariel,Kapanalig at Kambihan Ning Memalen Pampangan,7252
Sasmuan Sexmoan,Councilor,"Velasco, Ferdinand Banal",Bong,Nationalist People's Coalition,5752
Sasmuan Sexmoan,Councilor,"Lozano, Rowena Marucut",Weng,Nationalist People's Coalition,5436
Sasmuan Sexmoan,Councilor,"Tungul, Arturo Magpayo",Turo,Kapanalig at Kambihan Ning Memalen Pampangan,5261
Sasmuan Sexmoan,Councilor,"Arce, Serafin Guevarra",Bobot,Nationalist People's Coalition,5250
Sasmuan Sexmoan,Councilor,"Lopez, Michael Angelo Tungcab",Mike,Kapanalig at Kambihan Ning Memalen Pampangan,5218
