city-or_municipality,position,name,nickname,party_affiliation,votes_obtained
Maco,Councilor,"Cutler, Carlos Jr. Magallanes",Nonoy,-,10394
Maco,Councilor,"Umbrosa, Marlito Capuras",Matoy,-,10415
Maco,Councilor,"Dandoy, Ceferino Otos",Dodo,-,10722
Maco,Councilor,"Sebumpan, Jose Mychel Mendoza",Mysel,-,10866
Maco,Councilor,"Sapilan, Mario Jr. Botohan",Carlo,-,13990
Maco,Councilor,"Cabinum, Prescila Masiga",Mader Lily,-,10226
Maragusan San Mariano,Mayor,"Colina, Cesar Sr. Clarion",Cesar,-,10936
Maragusan San Mariano,Vice-Mayor,"Colita, Emmanuel Sr. Bolongon",Emmie,Lakas-Christian Muslim Democrats,10097
Maragusan San Mariano,Councilor,"Salamilao, Simeon Sr. Sadongdong",Sammy,-,7171
Maragusan San Mariano,Councilor,"Abyan, Emmanuel  Lolo",Eman,-,7281
Maragusan San Mariano,Councilor,"Varona, Ulysses Sr. Mandalones",Uly,-,7331
Maragusan San Mariano,Councilor,"Gran, Gerardo Dumagan",Gerry,-,7489
Maragusan San Mariano,Councilor,"Campoamor, Jesse Longjas",Jeje,-,7529
Maragusan San Mariano,Councilor,"Sismar, Rodrigo Sr. Pedrita",Drigo Sismar,-,8209
Maragusan San Mariano,Councilor,"Calunsag, Jorge Panarez",Jorje,-,8500
Maragusan San Mariano,Councilor,"Perias, Gilbert Sacurom",Embit,-,6990
Mawab,Mayor,"Jampayas, Evalina Julian",Lina,Lakas-Christian Muslim Democrats,9284
Mawab,Vice-Mayor,"Gonzaga, Ruprio Sambas",Binggot,Lakas-Christian Muslim Democrats,8441
Mawab,Councilor,"Javier, Rodulfo Macas",Rudy,-,6040
Mawab,Councilor,"Golo, Rogelio Duran",Boy,-,6507
Mawab,Councilor,"Nio, Ariel Oczon",Aying,-,6720
Mawab,Councilor,"Carnicer, Rolando Geolina",Tonton,-,6793
Mawab,Councilor,"Esuerte, Amadeo Jr. Rodio",Jojo,-,7623
Mawab,Councilor,"Moto, Anecito Mahinay",Cito,-,7813
Mawab,Councilor,"Bitoy, Robert Lim",Bobby,-,8195
Mawab,Councilor,"Villegas, Rene Barabad",Eboy,-,5776
Monkayo,Mayor,"Brillantes, Manuel Jr. Belenson",Jun-Jun,Liberal Party,17957
Monkayo,Vice-Mayor,"Cabag, Avelino Tingson",Nonoy,Liberal Party,19354
Monkayo,Councilor,"Saldua, Symmar Manipes",Sim,-,11869
Monkayo,Councilor,"Urdaneta, Allys Joy Chavez",Joy,-,12141
Monkayo,Councilor,"Bacolod, Moises Asintesta",Kumander Mesing,-,12301
Monkayo,Councilor,"Tumaob, Erlinda Hechanova",Lyn,-,13022
Monkayo,Councilor,"Caballes, Joel Libres",Joker,-,13124
Monkayo,Councilor,"Basanes, Joel Borces",Jb1,-,13816
Monkayo,Councilor,"Gabato, Grace Lily Amacio",Getget,-,15119
Monkayo,Councilor,"Novelero, Junar Tanghian",Junar Eling,-,9384
Montevista,Mayor,"Jauod, Teopista Tenorio",Pistay,Lakas-Christian Muslim Democrats,9077
Montevista,Vice-Mayor,"Juario, Jose Sarguilla",Joe,Liberal Party,8305
Montevista,Councilor,"Toyong, Jaime Vega",Jimmy,-,7032
Montevista,Councilor,"Garcia, Roberto Son",Bert,-,7326
Montevista,Councilor,"Palmaria, Erlinda Antang",Linda,-,7451
Montevista,Councilor,"Abucejo, Roel Cabigas",Bebot Ayos,-,7581
Montevista,Councilor,"Pabilona- Sanat, Visitacion Cainday",Mahal Vising,-,7791
Montevista,Councilor,"Rabanoz, Felipe Clarenon",Boy,-,7825
Montevista,Councilor,"Atugan,  Miles Avila",Miles,-,9011
Montevista,Councilor,"Jauod, Joseph Tenorio",Jojo,-,6596
Nabunturan,Mayor,"Humol, Macario Tubo",Dodong,Lakas-Christian Muslim Democrats,20907
Nabunturan,Vice-Mayor,"Clarin, Romeo Calamba",Romy,Lakas-Christian Muslim Democrats,21651
Nabunturan,Councilor,"Asion-Trinidad, Cheryl Arafiles",Che,-,7709
Nabunturan,Councilor,"Minoza, Edilberto Pepito",Ed,-,7838
Nabunturan,Councilor,"Tabas, Alfonso Jr. Lago",Simbal,-,8236
Nabunturan,Councilor,"Secuya, Vivencia Lumactud",Vinsay,-,9519
Nabunturan,Councilor,"Arangcon, Editha Ferniz",Edith,-,11201
Nabunturan,Councilor,"Caballero, Raul  Benoya",Raul,-,11570
Nabunturan,Councilor,"Tan, Darwin Cerbo",Awing,-,16099
Nabunturan,Councilor,"Cabuga, Iluminada Calamba",Lumen,-,11148
New Bataan,Mayor,"Balbin, Lorenzo Jr. Lucero",Boy,Lakas-Christian Muslim Democrats,8210
New Bataan,Vice-Mayor,"Rafols, Margarito Trasporto",Lorie,Lakas-Christian Muslim Democrats,6434
New Bataan,Councilor,"Capuyan, Virgilio Dollolasa",Billy,Lakas-Christian Muslim Democrats,4406
New Bataan,Councilor,"Micate, Mar Alegado",Mar,Lakas-Christian Muslim Democrats,4688
New Bataan,Councilor,"Calicdan, Armando Cabayao",Arman,Lakas-Christian Muslim Democrats,4982
New Bataan,Councilor,"Relampagos, Goley Bajalla",Goly,Lakas-Christian Muslim Democrats,5102
New Bataan,Councilor,"Vargas, Justino Dales",Just,Lakas-Christian Muslim Democrats,5135
New Bataan,Councilor,"Gabunan, Jesus Tanusay",Jess,Lakas-Christian Muslim Democrats,5246
New Bataan,Councilor,"Corpuz, Rogelio Tolentino",Boy,-,5737
New Bataan,Councilor,"Recto, Jose Bigcas",Nonoy Recto,Partido ng Demokratikong Pilipino-Lakas ng Bayan,4017
Pantukan,Mayor,"Sarenas, Jc Celso Villafuerte",Tok,Lakas-Christian Muslim Democrats,14575
Pantukan,Vice-Mayor,"Ranain, Hyrone Ranain",Ron,Lakas-Christian Muslim Democrats,10789
Pantukan,Councilor,"Canedo, Rey Ebe",Rey,Lakas-Christian Muslim Democrats,9281
Pantukan,Councilor,"Flores, Lusvisminda Dagon",Lotlot,Lakas-Christian Muslim Democrats,9674
Pantukan,Councilor,"Baguio, Eleuterio Tatoy",Terio,Lakas-Kabalikat ng Malayang Pilipino,9886
Pantukan,Councilor,"Barrios, Rolando Samonte",Dodong,Lakas-Christian Muslim Democrats,10137
Pantukan,Councilor,"Derla, Lily Pond",Lily,Lakas-Christian Muslim Democrats,10476
Pantukan,Councilor,"Rasay, Emma Lantaya",Emma,Lakas-Christian Muslim Democrats,10693
Pantukan,Councilor,"Jayson, Ricky Flores",Rick,Lakas-Christian Muslim Democrats,10897
Pantukan,Councilor,"Acedillo, Roberto Batulanon",Bobong,Lakas-Christian Muslim Democrats,8245
