city_or_municipality,position,name,party_affiliation,votes_obtained
Boljoon,Councilor,"Getubig, Restycel Estavilla",One Cebu,3517
Boljoon,Councilor,"Roma, Rodolfo Lucero",One Cebu,3248
Boljoon,Councilor,"Nicanor, Leonila Batoctoy",Independent,2912
Boljoon,Councilor,"Navarro, Proculogenus Derama",Independent,2712
Boljoon,Councilor,"Simo, Mary Lou Caballero",Independent,1949
Boljoon,Councilor,"Alcala, Maria Theresa Nicanor",Independent,1820
Boljoon,Councilor,"Niere, Marvin Ian Estavilla",Liberal Party,1779
Borbon,Mayor,"Sepulveda, Bernard Antigua",Barug Alang sa Kauswagan ng Demokrasya,9736
Borbon,Vice-Mayor,"Dotillos, Noel Taylaran",Barug Alang sa Kauswagan ng Demokrasya,10622
Borbon,Councilor,"Vergara, Neal Mangubat",Barug Alang sa Kauswagan ng Demokrasya,10688
Borbon,Councilor,"Melgo, Jessie Roy Ii Ramos",Barug Alang sa Kauswagan ng Demokrasya,10254
Borbon,Councilor,"Larra, Fernando Manuel Gonzalez",Barug Alang sa Kauswagan ng Demokrasya,9104
Borbon,Councilor,"Sepulveda, Vicente Iii Dela Cruz",Barug Alang sa Kauswagan ng Demokrasya,7625
Borbon,Councilor,"Urot, Expedito Ruiz",Barug Alang sa Kauswagan ng Demokrasya,7252
Borbon,Councilor,"Antigua, Raul Ilano",Barug Alang sa Kauswagan ng Demokrasya,6467
Borbon,Councilor,"Flores, Emelio Mariquit",Barug Alang sa Kauswagan ng Demokrasya,6438
Borbon,Councilor,"Mangubat, Mardonio Guia",Barug Alang sa Kauswagan ng Demokrasya,5935
Carcar City,City Mayor,"Apura, Nicepuro Lauron",One Cebu,25337
Carcar City,City Vice-Mayor,"Barcenas, Mario Patricio Paraz",One Cebu,35695
Carcar City,Councilor,"Barcenas, Ma. Bernadith Rocaberte",One Cebu,25756
Carcar City,Councilor,"Velez, Roy Olivar",One Cebu,23299
Carcar City,Councilor,"Montesclaros, Rogelio Tecson",One Cebu,23134
Carcar City,Councilor,"Fernandez, Jeson Bacus",Independent,20635
Carcar City,Councilor,"Del Rosario, Victor Ian Pizana",One Cebu,20180
Carcar City,Councilor,"Quijano, Giovanni Aragon",One Cebu,19999
Carcar City,Councilor,"Gantuangco, Archilles Quijano",Independent,18482
Carcar City,Councilor,"Nacua, Harlod Bolocboloc",One Cebu,18215
Carcar City,Councilor,"Sandoy, Elvi Gocotano",One Cebu,17079
