month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
March,22:00 - 22:59,1804,68523,1369,40325,2266,14816,5736,55743,1245,3211,8866,5715,16238,22427,9279,11053,13361,16286,8504,4785,33994,11271,13935,6959,24269,34267
March,23:00 - 23:59,3,3323,1,753,5,69,0,83,0,2,0,2,1,2,1,2,0,1,0,0,0,0,0,0,0,1
March,00:00 - 00:59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
March,01:00 - 01:59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,04:00 - 04:59,3601,0,3318,0,2559,0,5534,2,186,0,75,0,383,0,0,0,13,0,0,0,0,0,0,0,0,0
April,05:00 - 05:59,109166,8164,45148,10242,27663,4180,56165,17570,3275,2709,5179,12301,27689,25379,12276,14845,23303,18718,5799,18163,10982,35320,18910,21816,50772,37692
April,06:00 - 06:59,238955,38131,100282,43204,44680,18530,66741,61293,8692,13436,17542,38875,67544,76904,31979,35073,58977,50782,14135,51547,32015,93486,51295,64781,138786,96249
April,07:00 - 07:59,269393,55657,91614,73858,35763,36162,66580,88537,14126,33902,29689,69574,89329,116933,47448,58366,85724,59944,20038,86705,39042,128022,66527,91274,209117,123267
April,08:00 - 08:59,238572,59381,83748,69010,36900,31746,73488,94054,15100,37493,28029,92998,86418,138687,45348,59229,89113,58885,16182,84071,35211,133139,61396,89583,202536,128408
April,09:00 - 09:59,191468,66701,70496,54509,38647,26788,81894,96150,14770,38671,24109,85782,81558,128692,38923,52172,83387,52908,16586,53579,34605,133502,52718,65063,168216,126954
April,10:00 - 10:59,137806,65200,57363,44224,36467,21913,85645,87968,14329,29747,20905,63241,72491,104771,34785,37906,69777,50210,19066,36086,34606,100908,43636,43730,137481,121965
April,11:00 - 11:59,133992,73905,55855,39625,36927,19476,91866,90296,14361,19836,23926,58531,74797,96385,33794,32967,65882,51831,19810,29238,38390,102291,42540,36463,132476,123833
April,12:00 - 12:59,121045,75890,52869,41848,34317,19068,90474,92572,13557,16276,25991,54960,76801,89755,32642,33257,61489,49067,20455,28454,44710,84182,42090,34062,127567,127707
April,13:00 - 13:59,109065,72237,49089,44016,31640,20245,89709,92532,13922,16334,26849,51835,74119,81388,32033,34693,57193,46000,20038,30936,48618,73173,40670,34037,127060,124412
April,14:00 - 14:59,93007,78506,44738,43730,30615,20151,85720,97289,15689,14993,31662,45106,75225,77595,33853,33277,54276,50700,24796,27370,57826,68000,44435,30804,122782,126097
April,15:00 - 15:59,84207,92935,47345,50439,30580,22002,84474,109405,16564,13913,37518,41287,83535,76674,36277,31594,55334,54264,31370,18555,72974,58863,49755,26977,127601,129659
April,16:00 - 16:59,89544,114352,56035,63095,36516,27312,91230,131482,20869,13265,45379,40066,96165,80124,42084,33253,61849,63370,41859,16436,97224,61179,71681,26863,146105,146760
April,17:00 - 17:59,109290,154016,75243,87847,52819,36994,104904,156254,32540,12948,64743,44374,109802,94951,52851,41841,66481,80341,65217,18779,122198,72657,112230,31104,171064,171047
April,18:00 - 18:59,113490,179706,68768,102699,42730,40872,110971,170955,26771,12800,75828,46731,113946,101189,50844,48461,58483,88599,64877,21416,133410,78164,113283,33455,171438,198596
April,19:00 - 19:59,113107,180975,54156,106575,33082,39563,96997,169365,19995,11845,56460,41951,100151,99483,43548,54058,51098,87787,51362,24126,130386,70659,91670,32829,155728,186816
April,20:00 - 20:59,102350,149326,38844,96399,23938,35153,81723,143768,17372,9610,40023,33591,83609,86800,33979,52617,43864,69648,31777,27011,118463,55507,68130,30725,122903,141574
April,21:00 - 21:59,81032,104231,27252,70840,13220,24829,59694,108026,8160,6736,30121,21797,63592,67141,24329,36607,36915,55252,19873,20323,103954,38997,39657,21964,84106,105413
April,22:00 - 22:59,1080,72338,1126,41741,994,15197,4576,57201,1159,2943,8764,5266,15492,21685,9638,11191,14000,16003,9040,4804,35075,11355,14306,6568,22409,36460
