month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
March,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,04:00 - 04:59,120,0,111,0,85,0,184,0,6,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
April,05:00 - 05:59,3639,272,1505,341,922,139,1872,586,109,90,173,410,923,846,409,495,777,624,193,605,366,1177,630,727,1692,1256
April,06:00 - 06:59,7965,1271,3343,1440,1489,618,2225,2043,290,448,585,1296,2251,2563,1066,1169,1966,1693,471,1718,1067,3116,1710,2159,4626,3208
April,07:00 - 07:59,8980,1855,3054,2462,1192,1205,2219,2951,471,1130,990,2319,2978,3898,1582,1946,2857,1998,668,2890,1301,4267,2218,3042,6971,4109
April,08:00 - 08:59,7952,1979,2792,2300,1230,1058,2450,3135,503,1250,934,3100,2881,4623,1512,1974,2970,1963,539,2802,1174,4438,2047,2986,6751,4280
April,09:00 - 09:59,6382,2223,2350,1817,1288,893,2730,3205,492,1289,804,2859,2719,4290,1297,1739,2780,1764,553,1786,1154,4450,1757,2169,5607,4232
April,10:00 - 10:59,4594,2173,1912,1474,1216,730,2855,2932,478,992,697,2108,2416,3492,1160,1264,2326,1674,636,1203,1154,3364,1455,1458,4583,4066
April,11:00 - 11:59,4466,2464,1862,1321,1231,649,3062,3010,479,661,798,1951,2493,3213,1126,1099,2196,1728,660,975,1280,3410,1418,1215,4416,4128
April,12:00 - 12:59,4035,2530,1762,1395,1144,636,3016,3086,452,543,866,1832,2560,2992,1088,1109,2050,1636,682,948,1490,2806,1403,1135,4252,4257
April,13:00 - 13:59,3635,2408,1636,1467,1055,675,2990,3084,464,544,895,1728,2471,2713,1068,1156,1906,1533,668,1031,1621,2439,1356,1135,4235,4147
April,14:00 - 14:59,3100,2617,1491,1458,1021,672,2857,3243,523,500,1055,1504,2508,2587,1128,1109,1809,1690,827,912,1928,2267,1481,1027,4093,4203
April,15:00 - 15:59,2807,3098,1578,1681,1019,733,2816,3647,552,464,1251,1376,2785,2556,1209,1053,1844,1809,1046,618,2432,1962,1659,899,4253,4322
April,16:00 - 16:59,2985,3812,1868,2103,1217,910,3041,4383,696,442,1513,1336,3206,2671,1403,1108,2062,2112,1395,548,3241,2039,2389,895,4870,4892
April,17:00 - 17:59,3643,5134,2508,2928,1761,1233,3497,5208,1085,432,2158,1479,3660,3165,1762,1395,2216,2678,2174,626,4073,2422,3741,1037,5702,5702
April,18:00 - 18:59,3783,5990,2292,3423,1424,1362,3699,5699,892,427,2528,1558,3798,3373,1695,1615,1949,2953,2163,714,4447,2605,3776,1115,5715,6620
April,19:00 - 19:59,3770,6033,1805,3553,1103,1319,3233,5646,667,395,1882,1398,3338,3316,1452,1802,1703,2926,1712,804,4346,2355,3056,1094,5191,6227
April,20:00 - 20:59,3412,4978,1295,3213,798,1172,2724,4792,579,320,1334,1120,2787,2893,1133,1754,1462,2322,1059,900,3949,1850,2271,1024,4097,4719
April,21:00 - 21:59,2701,3474,908,2361,441,828,1990,3601,272,225,1004,727,2120,2238,811,1220,1231,1842,662,677,3465,1300,1322,732,2804,3514
April,22:00 - 22:59,36,2411,38,1391,33,507,153,1907,39,98,292,176,516,723,321,373,467,533,301,160,1169,379,477,219,747,1215
April,23:00 - 23:59,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,03:00 - 03:59,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,04:00 - 04:59,146,11,137,11,90,3,188,20,6,2,8,10,41,23,14,14,0,0,0,0,0,0,0,0,0,0
May,05:00 - 05:59,3662,312,1490,399,891,156,1929,645,111,103,179,461,975,939,435,515,718,579,203,539,348,904,605,651,1622,1130
May,06:00 - 06:59,7685,1180,3206,1445,1378,588,2352,1959,273,443,564,1255,2215,2476,1133,1110,1835,1567,446,1530,1040,2598,1566,2016,4333,3109
May,07:00 - 07:59,8907,1825,3041,2334,1126,1111,2199,2786,460,1057,954,2153,2944,3760,1605,1894,2719,2008,666,2599,1270,3742,2112,2948,6736,3987
May,08:00 - 08:59,8099,1871,2752,2173,1169,973,2465,2987,478,1201,869,3009,2804,4606,1469,1879,2705,2021,521,2579,1122,3808,1916,2880,6342,4047
May,09:00 - 09:59,6247,2138,2285,1705,1221,841,2748,3049,478,1228,707,2845,2619,4337,1254,1620,2573,1770,516,1581,1098,3806,1644,1970,5424,3885
May,10:00 - 10:59,4596,2198,1920,1451,1174,698,2872,2815,442,957,651,2086,2323,3578,1112,1195,2203,1670,596,1063,1097,3094,1419,1384,4382,3865
May,11:00 - 11:59,4487,2381,1816,1281,1167,613,3102,2910,457,651,750,1917,2452,3208,1108,1007,2075,1711,625,853,1238,3126,1365,1158,4397,3891
May,12:00 - 12:59,4110,2497,1747,1389,1108,631,3050,3087,452,533,834,1792,2514,3012,1092,1054,1991,1703,659,847,1477,2704,1381,1123,4348,4188
May,13:00 - 13:59,3685,2401,1622,1438,1007,674,2971,3137,466,522,893,1733,2486,2791,1062,1136,1925,1609,654,904,1648,2292,1309,1101,4242,4088
May,14:00 - 14:59,3096,2617,1525,1473,1011,662,2863,3359,505,503,1073,1476,2526,2558,1128,1079,1826,1639,816,787,1861,2008,1467,994,4194,4132
May,15:00 - 15:59,2895,3119,1622,1698,1015,752,2874,3775,553,463,1270,1396,2822,2565,1225,1008,1816,1836,1034,603,2399,1908,1643,910,4416,4405
May,16:00 - 16:59,3061,3811,1903,2123,1221,889,3065,4313,691,424,1534,1312,3216,2671,1376,1109,2003,2209,1365,502,3141,1886,2357,890,4954,4859
May,17:00 - 17:59,3686,5209,2511,2918,1678,1189,3523,5308,1049,423,2132,1477,3665,3157,1783,1375,2160,2685,2145,565,3902,2217,3656,1038,5728,5712
May,18:00 - 18:59,3747,5939,2243,3488,1331,1335,3582,5782,881,408,2456,1475,3818,3342,1671,1559,1936,2807,2153,674,4409,2261,3740,1072,5742,6348
May,19:00 - 19:59,3764,5855,1787,3410,1019,1231,3117,5556,680,366,1891,1334,3267,3280,1451,1764,1683,2833,1677,729,4311,2138,2902,1044,5118,6050
May,20:00 - 20:59,3350,4708,1306,3117,753,1116,2590,4778,583,305,1315,1072,2785,2891,1123,1751,1477,2378,1059,782,4104,1806,2324,981,4070,4886
May,21:00 - 21:59,2610,3500,882,2379,415,815,1826,3574,272,214,1010,700,2138,2143,800,1192,1225,1888,657,642,3625,1262,1359,717,2851,3531
May,22:00 - 22:59,42,2391,40,1411,32,481,169,1886,39,103,290,188,536,714,293,371,525,635,303,176,1377,412,539,250,852,1369
May,23:00 - 23:59,0,45,0,8,0,1,0,1,0,0,0,0,0,0,0,0,22,34,12,9,48,21,24,13,42,78
May,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,04:00 - 04:59,47,0,88,0,66,0,81,0,4,0,3,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0
June,05:00 - 05:59,3518,270,1530,372,855,128,1889,610,113,100,179,436,991,940,446,534,867,618,193,559,371,1082,620,812,1679,1268
June,06:00 - 06:59,7425,1163,3134,1503,1453,567,2286,2070,296,445,598,1279,2200,2526,1204,1320,2176,1607,453,1548,977,3032,1592,2471,4396,3388
June,07:00 - 07:59,8700,1769,2959,2392,1146,1036,2100,2766,452,998,921,2169,2906,3711,1669,1962,2910,1880,652,2604,1184,4136,2139,3367,6432,3956
June,08:00 - 08:59,7745,1791,2653,2320,1196,978,2416,3051,466,1200,884,3044,2898,4588,1550,1883,2865,1910,512,2627,1031,4359,1965,3294,6206,4127
June,09:00 - 09:59,6151,2117,2302,1796,1316,810,2727,3134,473,1215,747,2833,2744,4226,1294,1685,2714,1764,539,1686,1067,4433,1746,2329,5354,4083
June,10:00 - 10:59,4505,2214,1844,1485,1163,729,2778,2879,444,947,676,2074,2315,3443,1159,1256,2316,1655,615,1110,1048,3364,1418,1528,4363,4009
June,11:00 - 11:59,4407,2338,1802,1303,1130,614,3011,2903,460,634,772,1862,2433,3130,1112,1072,2170,1685,637,872,1179,3359,1355,1264,4333,3914
June,12:00 - 12:59,4094,2520,1802,1393,1114,636,3068,3132,467,541,860,1794,2524,3076,1129,1149,2169,1806,685,878,1375,2950,1397,1235,4302,4108
June,13:00 - 13:59,3742,2450,r,1403,1031,676,3007,3191,456,541,901,1762,2488,2788,1134,1202,2101,1715,663,982,1559,2571,1358,1223,4370,4166
June,14:00 - 14:59,3158,2720,1547,1531,1005,700,2937,3406,504,525,1067,1565,2550,2696,1173,1143,1959,1761,820,819,1754,2337,1486,1053,4234,4207
June,15:00 - 15:59,2806,3150,1624,1728,1005,738,2890,3710,577,462,1273,1402,2840,2571,1254,1090,1936,1942,1053,599,2291,2027,1673,929,4449,4266
June,16:00 - 16:59,3065,3817,2004,2097,1225,891,3077,4276,706,445,1568,1352,3260,2780,1452,1209,2140,2287,1393,535,3023,2160,2425,948,5046,4875
June,17:00 - 17:59,3559,5201,2522,3039,1681,1231,3483,5193,1013,438,2123,1447,3597,3220,1750,1454,2198,2664,2138,592,3785,2389,3689,1094,5668,5629
