month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
May,22:00 - 22:59,0.05%,4.43%,0.12%,3.96%,0.17%,3.26%,0.36%,3.06%,0.44%,1.04%,1.50%,0.68%,1.16%,1.37%,1.39%,1.64%,1.57%,1.89%,1.88%,0.98%,3.48%,0.98%,1.62%,1.08%,1.07%,1.86%
May,23:00 - 23:59,0.00%,0.08%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.10%,0.08%,0.05%,0.12%,0.05%,0.07%,0.06%,0.05%,0.11%
May,00:00 - 00:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
May,01:00 - 01:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
May,02:00 - 02:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
June,03:00 - 03:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
June,04:00 - 04:59,0.06%,0.00%,0.26%,0.00%,0.35%,0.00%,0.17%,0.00%,0.04%,0.00%,0.02%,0.01%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
June,05:00 - 05:59,4.58%,0.49%,4.50%,1.02%,4.49%,0.86%,3.97%,0.98%,1.25%,1.01%,0.91%,1.56%,2.12%,1.79%,2.02%,2.22%,2.43%,1.82%,1.20%,3.01%,0.99%,2.32%,1.83%,3.10%,2.10%,1.71%
June,06:00 - 06:59,9.67%,2.13%,9.21%,4.11%,7.63%,3.82%,4.80%,3.32%,3.28%,4.47%,3.04%,4.58%,4.71%,4.80%,5.46%,5.48%,6.09%,4.72%,2.81%,8.34%,2.60%,6.51%,4.70%,9.44%,5.51%,4.58%
June,07:00 - 07:59,11.33%,3.24%,8.69%,6.55%,6.02%,6.99%,4.41%,4.44%,5.02%,10.04%,4.68%,7.76%,6.23%,7.05%,7.57%,8.15%,8.15%,5.53%,4.04%,14.02%,3.15%,8.88%,6.31%,12.86%,8.06%,5.35%
June,08:00 - 08:59,10.08%,3.28%,7.80%,6.35%,6.28%,6.60%,5.07%,4.90%,5.17%,12.07%,4.50%,10.90%,6.21%,8.71%,7.03%,7.82%,8.02%,5.62%,3.17%,14.14%,2.74%,9.35%,5.80%,12.58%,7.78%,5.58%
June,09:00 - 09:59,8.01%,3.88%,6.76%,4.91%,6.91%,5.47%,5.73%,5.03%,5.25%,12.21%,3.80%,10.14%,5.88%,8.02%,5.87%,7.00%,7.60%,5.19%,3.34%,9.08%,2.84%,9.51%,5.15%,8.89%,6.71%,5.52%
June,10:00 - 10:59,5.87%,4.06%,5.42%,4.06%,6.11%,4.92%,5.83%,4.62%,4.92%,9.52%,3.44%,7.42%,4.96%,6.54%,5.26%,5.21%,6.48%,4.87%,3.81%,5.98%,2.79%,7.22%,4.18%,5.84%,5.47%,5.42%
June,11:00 - 11:59,5.74%,4.28%,5.29%,3.57%,5.93%,4.14%,6.32%,4.66%,5.10%,6.38%,3.93%,6.66%,5.21%,5.94%,5.05%,4.45%,6.07%,4.95%,3.94%,4.69%,3.14%,7.21%,4.00%,4.83%,5.43%,5.29%
June,12:00 - 12:59,5.33%,4.62%,5.29%,3.81%,5.85%,4.29%,6.44%,5.03%,5.18%,5.44%,4.38%,6.42%,5.41%,5.84%,5.12%,4.77%,6.07%,5.31%,4.24%,4.73%,3.66%,6.33%,4.12%,4.71%,5.39%,5.55%
June,13:00 - 13:59,4.87%,4.49%,4.99%,3.84%,5.41%,4.57%,6.32%,5.13%,5.06%,5.44%,4.58%,6.31%,5.33%,5.29%,5.14%,4.99%,5.88%,5.04%,4.10%,5.28%,4.15%,5.52%,4.01%,4.67%,5.48%,5.63%
June,14:00 - 14:59,4.11%,4.98%,4.54%,4.19%,5.28%,4.73%,6.17%,5.47%,5.59%,5.27%,5.43%,5.60%,5.46%,5.12%,5.32%,4.75%,5.48%,5.18%,5.07%,4.41%,4.67%,5.01%,4.38%,4.02%,5.31%,5.69%
June,15:00 - 15:59,3.65%,5.77%,4.77%,4.73%,5.28%,4.98%,6.07%,5.96%,6.40%,4.64%,6.48%,5.02%,6.09%,4.88%,5.69%,4.52%,5.42%,5.71%,6.52%,3.22%,6.09%,4.35%,4.93%,3.55%,5.58%,5.77%
June,16:00 - 16:59,3.99%,6.99%,5.89%,5.74%,6.44%,6.02%,6.46%,6.87%,7.83%,4.47%,7.98%,4.84%,6.99%,5.28%,6.58%,5.02%,5.99%,6.72%,8.62%,2.88%,8.04%,4.64%,7.15%,3.62%,6.33%,6.59%
