province,position,name,nickname,party_affiliation,votes_obtained
Cebu,Provincial Board Member,"Maambong, Victor Alinsug",Vic,Lakas-Christian Muslim Democrats,99350
Compostela Valley,Provincial Governor,"Caballero, Jose Rufo",Joecab,Lakas-Christian Muslim Democrats,158893
Compostela Valley,Provincial Vice-Governor,"Gentugaya, Ramil Lao",Ramil,Lakas-Christian Muslim Democrats,113902
Compostela Valley,Provincial Board Member,"Zamora-Apsay, Maria Carmen Solamillo","Maricar, Ika, Maricar Zamora",Lakas-Christian Muslim Democrats,62656
Compostela Valley,Provincial Board Member,"Colina, Cesar Clarion",Loloy,Lakas-Christian Muslim Democrats,56390
Compostela Valley,Provincial Board Member,"Codilla, Armando Codog",Boy/Dodong,Lakas-Christian Muslim Democrats,48101
Compostela Valley,Provincial Board Member,"Yanong, Manolo Tecson",Noli,Lakas-Christian Muslim Democrats,39689
Compostela Valley,Provincial Board Member,"Andres, William Samonte",Willie,Lakas-Christian Muslim Democrats,39635
Compostela Valley,Provincial Board Member,"Uy, Arturo Tao",Chiongkee,Lakas-Christian Muslim Democrats,66560
Compostela Valley,Provincial Board Member,"Caballero, Kristine Mae Taytayan",Kris,Lakas-Christian Muslim Democrats,65507
Compostela Valley,Provincial Board Member,"Seras, Amado Lorejo",Arman,Lakas-Christian Muslim Democrats,63627
Compostela Valley,Provincial Board Member,"Arafol, Graciano Jr. Cillero",Jun Ocoy Arafol,Lakas-Christian Muslim Democrats,62475
Compostela Valley,Provincial Board Member,"Flores , Ruben Delos Reyes",Ruben,Lakas-Christian Muslim Democrats,55489
Cotabato-North,Provincial Governor,"Pinol, Emmanuel Fantin",Pareng Gov,Lakas-Christian Muslim Democrats,277683
Cotabato-North,Provincial Vice-Governor,"Sacdalan, Jesus Nonato",Susing,Lakas-Christian Muslim Democrats,241252
Cotabato-North,Provincial Board Member,"Macasarte-Espuelas, Shirlyn Demegillo",Neneng Macasarte,LIHOK/Lakas-Christian Muslim Democrats,78939
Cotabato-North,Provincial Board Member,"Garcesa, Eliseo Jr. Dogoldogol",Jun,Lakas-Christian Muslim Democrats,78089
Cotabato-North,Provincial Board Member,"Dela Serna, Manuel Tabar",Maning,Lakas-Christian Muslim Democrats,72781
Cotabato-North,Provincial Board Member,"Sorupia, Vicente Jr. Candole",Boy,Independent,62747
Cotabato-North,Provincial Board Member,"Malingco, Farida Unggui",Faring,Lakas-Christian Muslim Democrats,60612
Cotabato-North,Provincial Board Member,"Jubilan, Solema Palacios",Inday Sol,Lakas-Christian Muslim Democrats,120155
Cotabato-North,Provincial Board Member,"Pagal, Reynaldo Gabales",Rey,Lakas-Christian Muslim Democrats,105885
Cotabato-North,Provincial Board Member,"Baynosa, Freddie Calinao",Toto Freddie,Lakas-Christian Muslim Democrats,102719
Cotabato-North,Provincial Board Member,"Cadungon, Van Doloroso",Van,Lakas-Christian Muslim Democrats,100709
Cotabato-North,Provincial Board Member,"Tejada, Jose Inserto",Pingping,Lakas-Christian Muslim Democrats,95199
Davao Del Norte,Provincial Governor,"Gementiza, Gelacio Poralan",Yayong,Lakas-Christian Muslim Democrats,226120
Davao Del Norte,Provincial Vice-Governor,"Del Rosario, Antonio Garcia",Anthony,Lakas-Christian Muslim Democrats,250007
Davao Del Norte,Provincial Board Member,"Aala, Shirley Belen Rafol",Shirl,Lakas-Christian Muslim Democrats,87081
Davao Del Norte,Provincial Board Member,"Lemos, Meliton Duquiatan",Boy,Lakas-Christian Muslim Democrats,77239
Davao Del Norte,Provincial Board Member,"Zulueta, Alan Degayo",Alan,Lakas-Christian Muslim Democrats,73294
Davao Del Norte,Provincial Board Member,"Bermudez, Macario II Aguilon",Bong,Lakas-Christian Muslim Democrats,72122
Davao Del Norte,Provincial Board Member,"Alvarez, Emelita Villanueva/Apostol",Emily,Nationalist People's Coalition,69933
Davao Del Norte,Provincial Board Member,"Duco, Hernanie Ledesma",Nanie,Lakas-Christian Muslim Democrats,96592
Davao Del Norte,Provincial Board Member,"Silvosa, Jose Sr Dela Luz",Joe,Lakas-Christian Muslim Democrats,96210
Davao Del Norte,Provincial Board Member,"Gentiles, Franklin Dumlao",Frank,Lakas-Christian Muslim Democrats,95705
Davao Del Norte,Provincial Board Member,"Royo, Salvador Relox",Salving,Lakas-Christian Muslim Democrats,84744
Davao Del Norte,Provincial Board Member,"Valera, Gaspar Rabanal",Pal,Lakas-Christian Muslim Democrats,78123
Davao Del Sur,Provincial Governor,"Bautista, Benjamin Jr. Peralta",Joseph,Nationalist People's Coalition,144932
