province,position,name,nickname,party_affliation,votes_obtained,ledgist_district
Cebu,"Member, Sangguniang Panlalawigan","Magpale, Miguel Antonio Almendras",Migs,Bakud,98073,Fifth
Cebu,"Member, Sangguniang Panlalawigan","Sybico, Jude Thaddeus Durano",Jude Durano,Bakud,96369,Fifth
Cebu,"Member, Sangguniang Panlalawigan","Ouano, Thadeo Zambo",Teddy,Liberal Party,112754,Sixth
Cebu,"Member, Sangguniang Panlalawigan","Sitoy, Arleigh Jay Consular",Arleigh,Liberal Party,80317,Sixth
Compostella Valley,Provincial Governor,"Uy, Arturo Tao",Chiongkee,Liberal Party,188598,-
Compostella Valley,Provincial Vice-Governor,"Zamora, Manuel Esquivel",Waykurat,Liberal Party,149410,-
Compostella Valley,"Member, Sangguniang Panlalawigan","Gentugaya, Ramil Lao",Ramil,Liberal Party,72908,First
Compostella Valley,"Member, Sangguniang Panlalawigan","Galicia, Paul Pregua",Toto,Liberal Party,60607,First
Compostella Valley,"Member, Sangguniang Panlalawigan","Lopoz, Arvin Dexter Monforte",Dex,Liberal Party,57694,First
Compostella Valley,"Member, Sangguniang Panlalawigan","Jauod, Joseph Tenorio",Jojo,Liberal Party,54691,First
Compostella Valley,"Member, Sangguniang Panlalawigan","Barte, Neri Rapista",Nonong,Liberal Party,51989,First
Compostella Valley,"Member, Sangguniang Panlalawigan","Uy, Jayvee Tyron Lim",Tyron,Liberal Party,94313,Second
Compostella Valley,"Member, Sangguniang Panlalawigan","Gonzaga, Ruwel Peter Sambas",Ruwel,Liberal Party,88602,Second
Compostella Valley,"Member, Sangguniang Panlalawigan","Richa, Cesar Dollamar",Sar,Liberal Party,79510,Second
Compostella Valley,"Member, Sangguniang Panlalawigan","Takasan, Moran Balonggo",Ran,Liberal Party,73367,Second
Compostella Valley,"Member, Sangguniang Panlalawigan","Humol, Macario Tubo",Dodong,Liberal Party,69766,Second
Coabato (North Cot.),Provincial Governor,"Tali, Emmylou Jacolo",Lala,Liberal Party,242839,-
Coabato (North Cot.),Provincial Vice-Governor,"Ipong, Gregorio Tocmo",Dodong,Independent,326834,-
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Macasarte, Shirlyn Demegillo",Neneng,Liberal Party,92832,First
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Cabaya, Loreto Jr. Vargas",Nonoy,Liberal Party,74177,First
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Antao, Kelie Ugalingan",Maestro,Independent,66432,First
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Garcesa, Eliseo Jr. Dogoldogol",Nonoy,Liberal Party,66114,First
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Pagal, Airene Claire Apolinario",Aying,Independent,90191,Second
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Cadungon, Cristobal Doloroso",Cris,Liberal Party,80532,Second
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Baynosa, Noel Sy",Noel,Independent,62962,Second
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Valdevieso, Maybell Tupas",Maybell,Liberal Party,77243,Third
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Cerebo, Joemar Serrano",Kano,Liberal Party,66740,Third
Coabato (North Cot.),"Member, Sangguniang Panlalawigan","Dalumpines, Ivy Martia Lei Celarta",Ballitoc,Pwersa ng Masang Pilipino,59662,Third
Davao (Davao Del Norte),Provincial Governor,"Del Rosario, Rodolfo Paguia",Rdr,Liberal Party,308645,-
Davao (Davao Del Norte),Provincial Vice-Governor,"Suaybaguio, Victorio Jr. Ri",Baby,Liberal Party,258223,-
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Aala, Shirley Belen Rafol",Shirl,Liberal Party,96301,First
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Millan, Raymond Joey Diamante",Joey,Liberal Party,92353,First
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Eliot, Vicente Sr. Castor",Enting,Liberal Party,86160,First
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","De Veyra, Alfredo Demagnaong",Fred,Independent,83061,First
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","So, Robert Lao",Tete Buenas,Liberal Party,79142,First
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Gavina, Janet Gamao",Jan,KB,92038,Second
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Dujali, Alan Ruales",Aldo,Independent,76880,Second
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Duco, Hernanie Ledesma",Nanie,KB,75075,Second
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Dacalus, Ely Cartagena",Nene,KB,72416,Second
Davao (Davao Del Norte),"Member, Sangguniang Panlalawigan","Evangelista, Ernesto Tayco",Erneng,KB,69909,Second
Davao Del Sur,Provincial Governor,"Bautista, Claude Peralta",Auding,Nationalist People's Coalition,215927,-
Davao Del Sur,Provincial Vice-Governor,"Almendras, Aileen Condevillamar",Aileen,Nationalist People's Coalition,184662,-
Davao Del Sur,"Member, Sangguniang Panlalawigan","Llanos, Nonito Iii Avila",Dondon,Nationalist People's Coalition,96223,First
Davao Del Sur,"Member, Sangguniang Panlalawigan","Cagas, John Tracy Fortich",Tracy,Nacionalista Party,95495,First
Davao Del Sur,"Member, Sangguniang Panlalawigan","Gabutero, Lani Montero",Lani,Nationalist People's Coalition,93596,First
Davao Del Sur,"Member, Sangguniang Panlalawigan","Cadungog, Victoriano Pace",Vic,Nacionalista Party,87746,First
Davao Del Sur,"Member, Sangguniang Panlalawigan","Molina, Ricardo Jr. Sarabillo",Dodong,Nacionalista Party,80226,First
Davao Del Sur,"Member, Sangguniang Panlalawigan","Colina, Allan Guzman",Lan,Nationalist People's Coalition,53925,Second
Davao Del Sur,"Member, Sangguniang Panlalawigan","Joyce, Jason John Arciaga",Jason,Nationalist People's Coalition,50855,Second
Davao Del Sur,"Member, Sangguniang Panlalawigan","Lopez, Romeo Tan",Boy,Nationalist People's Coalition,47197,Second
Davao Del Sur,"Member, Sangguniang Panlalawigan","Lumain, Alexander Maglajos",Alex,Nationalist People's Coalition,45861,Second
Davao Del Sur,"Member, Sangguniang Panlalawigan","Baliota, Alberto I Uy",Matoy,Nacionalista Party,45524,Second
Davao Oriental,Provincial Governor,"Malanyaon, Corazon Nu",Cora,Nacionalista Party,149297,-
Davao Oriental,Provincial Vice-Governor,"Almario, Joel Mayo Zosa",Mayo,Lakas-Christian Muslim Democrats,146941,-
Davao Oriental,"Member, Sangguniang Panlalawigan","Lara, Ronald Velasco",Pepot,Nacionalista Party,43733,First
Davao Oriental,"Member, Sangguniang Panlalawigan","Palma Gil, Mario Jose Toroba",Jepot,Nacionalista Party,37610,First
Davao Oriental,"Member, Sangguniang Panlalawigan","Tambilawan, Anna Louise Rico",Analoy,Nacionalista Party,35523,First
Davao Oriental,"Member, Sangguniang Panlalawigan","Caubang, Dante Monday",Dan,Nacionalista Party,32075,First
Davao Oriental,"Member, Sangguniang Panlalawigan","Villademosa, Joselito Baniel",Nonoy,Nacionalista Party,29827,First
Davao Oriental,"Member, Sangguniang Panlalawigan","Uy, Ni Lopez",Ni,Nacionalista Party,72734,Second
Davao Oriental,"Member, Sangguniang Panlalawigan","Roflo, Capistrano Jr. Vidal",Dennis,Nacionalista Party,65585,Second
Davao Oriental,"Member, Sangguniang Panlalawigan","Linsag, Daud Villaruz",Dondon,Nacionalista Party,57689,Second
Davao Oriental,"Member, Sangguniang Panlalawigan","Macatabog, Anacleto Pacio",Lito,Nacionalista Party,53983,Second
Davao Oriental,"Member, Sangguniang Panlalawigan","Rabat, Louis Philippe Nakpil",Louie,Liberal Party,50351,Second
Dinagat Islands,Provincial Governor,"Ecleo, Glenda Buray",Mommy Glen,Nacionalista Party,23385,-
Dinagat Islands,Provincial Vice-Governor,"Ecleo, Benglen Buray",Glen,Nacionalista Party,23585,-
Dinagat Islands,"Member, Sangguniang Panlalawigan","Ta-Asan, Jimmy Magallanes",Jimmy,Nacionalista Party,9341,First
Dinagat Islands,"Member, Sangguniang Panlalawigan","Luib, Ronald Olarte",Dodoy,Nacionalista Party,9054,First
Dinagat Islands,"Member, Sangguniang Panlalawigan","Ensoy, Antonio Ca",Tony,Nacionalista Party,8631,First
Dinagat Islands,"Member, Sangguniang Panlalawigan","Ladaga, Rolizareth Torralba",Babie,Liberal Party,8551,First
Dinagat Islands,"Member, Sangguniang Panlalawigan","Ecleo, Romeo Palapo",Eukim,Nacionalista Party,7658,First
Dinagat Islands,"Member, Sangguniang Panlalawigan","Menil, Mario Pegoro",Mar,Nacionalista Party,11098,Second
Dinagat Islands,"Member, Sangguniang Panlalawigan","Ecleo, Joslyn Itable",Angel,Nacionalista Party,11087,Second
Dinagat Islands,"Member, Sangguniang Panlalawigan","Gulfo, Nilo Petilo",Neil,Nacionalista Party,10929,Second
Dinagat Islands,"Member, Sangguniang Panlalawigan","Alcaria, Bernardino Jr. Famat",Ben,Nacionalista Party,9875,Second
Dinagat Islands,"Member, Sangguniang Panlalawigan","Sarita, Norberto Andilab",Bebie,Nacionalista Party,9801,Second
Eastern Samar,Provincial Governor,"Nicart, Conrado Jr. Basada",Aklan,Liberal Party,109095,-
Eastern Samar,Provincial Vice-Governor,"Picardal, Marcelo Ferdinand Abogado",DIndependento,Laban ng Demokratikong Pilipino,79593,-
Eastern Samar,"Member, Sangguniang Panlalawigan","Suyot, Byron Macabasag",Byron,Liberal Party,42737,First
Eastern Samar,"Member, Sangguniang Panlalawigan","Balase, Peregerio Roncales",Perry,Nacionalista Party,42399,First
Eastern Samar,"Member, Sangguniang Panlalawigan","Montallana, Joji Norombaba",Joji,Liberal Party,41100,First
Eastern Samar,"Member, Sangguniang Panlalawigan","Cabato, Celestino Apigo",Tinoy,Liberal Party,40103,First
Eastern Samar,"Member, Sangguniang Panlalawigan","Alvarez, Karen Domingo",Karen,Liberal Party,39627,First
Eastern Samar,"Member, Sangguniang Panlalawigan","Cabacaba, Gorgonio Baguis",Goyo,Liberal Party,46977,Second
Eastern Samar,"Member, Sangguniang Panlalawigan","Abuda, Jonas Bernardo",Onang,Liberal Party,45369,Second
Eastern Samar,"Member, Sangguniang Panlalawigan","Goteesan, Maria Caridad Sison",Maricar Sison,Liberal Party,39980,Second
Eastern Samar,"Member, Sangguniang Panlalawigan","Cablao, Nestorio Ogania",Nestonette,Nacionalista Party,37774,Second
Eastern Samar,"Member, Sangguniang Panlalawigan","Baldono, Jenny Galo",Jenny,Liberal Party,32436,Second
Guimaras,Provincial Governor,"Gumarin, Samuel Tayo",Nonoy Sam,Liberal Party,40859,-
Guimaras,Provincial Vice-Governor,"De Asis, Vicente Beltran",Etik,Liberal Party,38896,-
Guimaras,"Member, Sangguniang Panlalawigan","Beltran, Cyril Cabardo",Cy,Liberal Party,21708,First
Guimaras,"Member, Sangguniang Panlalawigan","Haba, Dan Elby Ca",Dag,Independent,13868,First
Guimaras,"Member, Sangguniang Panlalawigan","Haba, Roy Pillora",Roy,United Nationalist Alliance,13069,First
Guimaras,"Member, Sangguniang Panlalawigan","Fernandez, Rex Galanza",Toto Rex,Liberal Party,12777,First
Guimaras,"Member, Sangguniang Panlalawigan","Gano, David Gallego",Bombo David,Liberal Party,22304,Second
Guimaras,"Member, Sangguniang Panlalawigan","Gando, John Edward Ganancial",Edward,Liberal Party,20252,Second
Guimaras,"Member, Sangguniang Panlalawigan","De La Cruz, Josefina Gacho",Phine,Liberal Party,18031,Second
Guimaras,"Member, Sangguniang Panlalawigan","Gonzaga, Diosdado Galleto",Dado,Liberal Party,17625,Second
Ifugao,Provincial Governor,"Habawel, Denis Bautista",Dennis,Independent,38177,-
Ifugao,Provincial Vice-Governor,"Mayam-O, Pedro Guhmi",Pete,Liberal Party,35248,-
Ifugao,"Member, Sangguniang Panlalawigan","Gullitiw, Jose Timmacdog",Jordan,Independent,22508,First
Ifugao,"Member, Sangguniang Panlalawigan","Bimohya, Geronimo Taguiling",Emmo,Independent,20450,First
Ifugao,"Member, Sangguniang Panlalawigan","Mangyao, Robert Buminaang",Bert,Liberal Party,19526,First
Ifugao,"Member, Sangguniang Panlalawigan","Bunnol, Victor Jr. Hagada",Jun,Independent,19350,First
Ifugao,"Member, Sangguniang Panlalawigan","Atluna, Samson Tanggana",Sam,Independent,15600,Second
Ifugao,"Member, Sangguniang Panlalawigan","Maguiwe, Noli Gopeng",Noli,Liberal Party,14578,Second
Ifugao,"Member, Sangguniang Panlalawigan","Dulnuan, James Frederick Facullo",Ricky,Independent,13791,Second
Ifugao,"Member, Sangguniang Panlalawigan","Juguiad, Federico Jr. Gumahi",Bom,Independent,12633,Second
Ilocos Norte,Provincial Governor,"Marcos, Maria Imelda Romualdez",Imee,Nacionalista Party,244092,-
Ilocos Norte,Provincial Vice-Governor,"Barba, Eugenio Angelo Marcos",Angelo,Nacionalista Party,182122,-
Ilocos Norte,"Member, Sangguniang Panlalawigan","Farinas, Ria Christina Gerodias",Ria,Nationalist People's Coalition,99656,First
Ilocos Norte,"Member, Sangguniang Panlalawigan","Respicio, Juan Conrado Ii Absing",Conrad,Nacionalista Party,76823,First
Ilocos Norte,"Member, Sangguniang Panlalawigan","Salenda, Portia Pamela Respicio",Portia,Nacionalista Party,75336,First
Ilocos Norte,"Member, Sangguniang Panlalawigan","Lazo, Vicentito Mandac",Toto,Nacionalista Party,65413,First
Ilocos Norte,"Member, Sangguniang Panlalawigan","Balbag, Rogelio Ramos",Roger,Nacionalista Party,64253,First
Ilocos Norte,"Member, Sangguniang Panlalawigan","Chua, Albert Daguio",Albert,Nacionalista Party,77710,Second
Ilocos Norte,"Member, Sangguniang Panlalawigan","Crisostomo, Da Vinci Manuel",Vins,Liberal Party,69100,Second
Ilocos Norte,"Member, Sangguniang Panlalawigan","Gaoat, Ramon Manarpiis",Doctor Mon,Nacionalista Party,69039,Second
Ilocos Norte,"Member, Sangguniang Panlalawigan","Nalupta, James Paul Castro",Goro,Nacionalista Party,61732,Second
Ilocos Norte,"Member, Sangguniang Panlalawigan","Garcia, Joel Reyes",Abogado Joel,Nacionalista Party,53746,Second
Ilocos Sur,Provincial Governor,"Singson, Ryan Luis Verzosa",Ryan,Nacionalista Party,208715,-
Ilocos Sur,Provincial Vice-Governor,"Savellano, Deogracias Victor ""Dv"" Barbers",Dv,Nacionalista Party,185112,-
Ilocos Sur,"Member, Sangguniang Panlalawigan","Purisima, Christian Abaya",Basi,Nacionalista Party,83567,First
Ilocos Sur,"Member, Sangguniang Panlalawigan","Baterina, Ismael Rosario",Maing,Nacionalista Party,82136,First
Ilocos Sur,"Member, Sangguniang Panlalawigan","Singson, Jeremias Crisologo",Jerry,Nacionalista Party,76838,First
Ilocos Sur,"Member, Sangguniang Panlalawigan","Oandasan, Constante Tolentino",Tante,Nacionalista Party,61189,First
Ilocos Sur,"Member, Sangguniang Panlalawigan","Yabes, Edgar Ibea",Ed,Nacionalista Party,56457,First
Ilocos Sur,"Member, Sangguniang Panlalawigan","Zaragoza, Anicka Nicoli Singson",Anicka,Liberal Party,95655,Second
Ilocos Sur,"Member, Sangguniang Panlalawigan","Gironella, Joselle Festejo",Xel,Nacionalista Party,93359,Second
Ilocos Sur,"Member, Sangguniang Panlalawigan","Tudayan, Robert Bandao",Opong,Nacionalista Party,93062,Second
Ilocos Sur,"Member, Sangguniang Panlalawigan","Sanidad, Pablito Jr. Fianza",Sonny Boy,Independent,86096,Second
Ilocos Sur,"Member, Sangguniang Panlalawigan","Singson, Jaime Maglanoc",Jimboy,Nacionalista Party,84343,Second
Iloilo,Provincial Governor,"Defensor, Arthur Sr. Doligosa",Art,Liberal Party,431520,-
Iloilo,Provincial Vice-Governor,"Tupas, Raul Causing",Boboy,Liberal Party/Ugyon,438280,-
Iloilo,"Member, Sangguniang Panlalawigan","Garin, Ninfa Serag",Neneng,Liberal Party,90349,First
Iloilo,"Member, Sangguniang Panlalawigan","Valencia, Dennis Tilos",Drv,Nationalist People's Coalition,57979,First
Iloilo,"Member, Sangguniang Panlalawigan","Mondejar, June Samarista",Jun,Liberal Party,65363,Second
Iloilo,"Member, Sangguniang Panlalawigan","Sonza, Demetrio Procalla-Simora",Demy,Liberal Party,49687,Second
Iloilo,"Member, Sangguniang Panlalawigan","Gallar, Emmanuel Rodriguez",Manny-Gallar,Liberal Party,79440,Third
Iloilo,"Member, Sangguniang Panlalawigan","Tirador, Licurgo Peremne",Curging,Liberal Party,68074,Third
Iloilo,"Member, Sangguniang Panlalawigan","Bautista, Carmen Rita Monfort",Mitch,Liberal Party,80448,Fourth
Iloilo,"Member, Sangguniang Panlalawigan","Hidalgo, Maria Shalene Palmares",Sha,United Nationalist Alliance/Ai,57593,Fourth
Iloilo,"Member, Sangguniang Panlalawigan","Tupas, Nielo Causing",Bongbong,Ugyon,95786,Fifth
Iloilo,"Member, Sangguniang Panlalawigan","Salcedo, Jesus Cacao",Jr,United Nationalist Alliance/Ai,53403,Fifth
Isabela,Provincial Governor,"Dy, Faustino Iii De Guzman",Bojie,Nationalist People's Coalition,358998,-
Isabela,Provincial Vice-Governor,"Albano, Antonio Taguinod",Tonypet,Independent,293139,-
Isabela,"Member, Sangguniang Panlalawigan","Angobung, Ric Justice Estrada",Ric J,Nationalist People's Coalition,81217,First
Isabela,"Member, Sangguniang Panlalawigan","Bello, Kiryll Santos",Kit,Nationalist People's Coalition,78610,First
Isabela,"Member, Sangguniang Panlalawigan","Tugade, Rolando Legaspi",Rolly,Nationalist People's Coalition,70838,First
Isabela,"Member, Sangguniang Panlalawigan","Dy, Faustino Iv Uytiepo",Dondon,Nationalist People's Coalition,73963,Second
Isabela,"Member, Sangguniang Panlalawigan","Go, Ed Christopher Siquian",Tope,Nacionalista Party,70434,Second
Isabela,"Member, Sangguniang Panlalawigan","Abuan, Karen Galapia",Karen,Nationalist People's Coalition,97135,Third
Isabela,"Member, Sangguniang Panlalawigan","Alejandro, Manuel Alejandro",Manning,Nationalist People's Coalition,72914,Third
Isabela,"Member, Sangguniang Panlalawigan","Arreola, Randolph Joseph Payang",Randy,Independent,61721,Third
Isabela,"Member, Sangguniang Panlalawigan","Alili, Alfredo Victoriano",Fred,Nationalist People's Coalition,50571,Fourth
Isabela,"Member, Sangguniang Panlalawigan","Sable, Abegail Vendiola",Abe,Independent,43908,Fourth
Kalinga,Provincial Governor,"Baac, Jocel Collado",Jocel,Liberal Party,63213,-
Kalinga,Provincial Vice-Governor,"Mangaoang, Allen Jesse Capuyan",Sonny,Nacionalista Party,52140,-
Kalinga,"Member, Sangguniang Panlalawigan","Saclag, Alonzo Jr. Canao",Jun,Independent,16946,First
Kalinga,"Member, Sangguniang Panlalawigan","Odiem, Dave Quinones",Dave,Liberal Party,16343,First
Kalinga,"Member, Sangguniang Panlalawigan","Alunday, Chester Amiyan",Ocal,Independent,15317,First
Kalinga,"Member, Sangguniang Panlalawigan","Kitongan, Emilio Taya-An",Lunes,Nacionalista Party,14355,First
Kalinga,"Member, Sangguniang Panlalawigan","Lammawin, Camilo Jr. Tolentino",Ctl,Nacionalista Party,34422,Second
Kalinga,"Member, Sangguniang Panlalawigan","Diasen, Mark Aldrich Reyes",Macroy,Independent,27290,Second
Kalinga,"Member, Sangguniang Panlalawigan","Puday, Jerry Cudiam",Jerry,Independent,26443,Second
Kalinga,"Member, Sangguniang Panlalawigan","Bongngat, Gelacio Dumpao",Gel,Lakas-Christian Muslim Democrats,21916,Second
La Union,Provincial Governor,"Ortega, Manuel Campos",Manoling,Nationalist People's Coalition,281544,-
La Union,Provincial Vice-Governor,"Nisce, Aureo Augusto Querol",Aureo,Nationalist People's Coalition,266240,-
La Union,"Member, Sangguniang Panlalawigan","Ortega, Francisco Jr. Campos",Kit,Nationalist People's Coalition,99377,First
La Union,"Member, Sangguniang Panlalawigan","Orros, Jonathan Justo Abrogar",Jay Jay,Lakas-Christian Muslim Democrats,92483,First
La Union,"Member, Sangguniang Panlalawigan","Ostrea, Joaquin Jr. Concepcion",Boy,Nationalist People's Coalition,86326,First
La Union,"Member, Sangguniang Panlalawigan","Mosuela, Reynaldo Mi",Rey,Nationalist People's Coalition,74811,First
La Union,"Member, Sangguniang Panlalawigan","Aragon, Victoria Lucina",Vicky,Nationalist People's Coalition,70622,First
La Union,"Member, Sangguniang Panlalawigan","Bacurnay, Nancy Corazon Macusi",Bacurnay,Liberal Party,120567,Second
La Union,"Member, Sangguniang Panlalawigan","Madarang, Robert Jr. Bollido",Jhun,Nationalist People's Coalition,114785,Second
La Union,"Member, Sangguniang Panlalawigan","Rivera, Christian Ibay",Ian,Nationalist People's Coalition,107590,Second
La Union,"Member, Sangguniang Panlalawigan","Rillera, Ruperto Jr. Abenoja",Jun,Nationalist People's Coalition,104835,Second
La Union,"Member, Sangguniang Panlalawigan","Flores, Bellarmin Ii Ancheta",Larry,Nationalist People's Coalition,99148,Second
Laguna,Provincial Governor,"Ejercito, Emilio Ramon ""E.R."" Pelayo",Jeorge Estregan,United Nationalist Alliance,549310,-
Laguna,Provincial Vice-Governor,"Hernandez, Ramil Laurel",Ramil,Nacionalista Party,509817,-
Laguna,"Member, Sangguniang Panlalawigan","Almarinez, Dave Miranda",Dave,Nacionalista Party,140045,First
Laguna,"Member, Sangguniang Panlalawigan","Almoro, Carlo Malapitan",Carlo,Liberal Party,115421,First
Laguna,"Member, Sangguniang Panlalawigan","Alatiit, Gabnulang Alibusan",Gab,United Nationalist Alliance,110156,First
Laguna,"Member, Sangguniang Panlalawigan","Bagnes, Neptali Banasihan",Ninoy,United Nationalist Alliance,136692,Second
Laguna,"Member, Sangguniang Panlalawigan","Oruga, Pursino Cabrera",Pursing,Liberal Party,134346,Second
Laguna,"Member, Sangguniang Panlalawigan","Unico, Juan Mendoza",Johnny,United Nationalist Alliance,120745,Second
Laguna,"Member, Sangguniang Panlalawigan","Agapay, Katherine Cartabio",Karen,Independent,126922,Third
Laguna,"Member, Sangguniang Panlalawigan","Alarva, Angelica Banaag","Angelica Jones Alarva ""Aj""",United Nationalist Alliance,79595,Third
Laguna,"Member, Sangguniang Panlalawigan","Agarao, Joseph Kris Benjamin Baltazar",Benjo,Liberal Party,118262,Fourth
Laguna,"Member, Sangguniang Panlalawigan","San Luis, Rai-Ann Agustine Lavi",Rai-Ann,Independent,95448,Fourth
Lanao De Norte,Provincial Governor,"Dimaporo, Mohamad Khalid Quibranza",Khalid,Nationalist People's Coalition,137475,-
Lanao De Norte,Provincial Vice-Governor,"Atay, Maria Cristina Navarro",Cristy,Nationalist People's Coalition,105704,-
Lanao De Norte,"Member, Sangguniang Panlalawigan","Matalines, Grecille Interone",Sharp,Nationalist People's Coalition,51352,First
Lanao De Norte,"Member, Sangguniang Panlalawigan","Bagol, Casimero Capangpangan",Casmer,Nationalist People's Coalition,43093,First
Lanao De Norte,"Member, Sangguniang Panlalawigan","Zamora, Baldomero Nisnisal",Bal,Nationalist People's Coalition,38661,First
Lanao De Norte,"Member, Sangguniang Panlalawigan","Dibaratun, Macarupung Butong",Mac,Nationalist People's Coalition,36246,First
Lanao De Norte,"Member, Sangguniang Panlalawigan","Maruhom, Mohammad Moamar Jack Sarip",Jackmar,Nationalist People's Coalition,32338,First
Lanao De Norte,"Member, Sangguniang Panlalawigan","Baguio, Benny Ponce",Ben,Nationalist People's Coalition,55675,Second
Lanao De Norte,"Member, Sangguniang Panlalawigan","Omar, Osop Blangan",Jose,Liberal Party,49016,Second
Lanao De Norte,"Member, Sangguniang Panlalawigan","Ali, Abdul Harris Umpa",Harris,Nationalist People's Coalition,48353,Second
Lanao De Norte,"Member, Sangguniang Panlalawigan","Cauntongan, Tawantawan Mamantar",Tawa,Nationalist People's Coalition,44940,Second
Lanao De Norte,"Member, Sangguniang Panlalawigan","Usop, Superman Ampaso",Perry,Nationalist People's Coalition,42142,Second
Lanao Del Sur,Provincial Governor,"Adiong, Mamintal Jr. Alonto",Bombit,Liberal Party,186879,-
Lanao Del Sur,Provincial Vice-Governor,"Marohombsar, Arsad Alawi",Rpk,Liberal Party,144318,-
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Macarambon, Rolan Abdul Rashid Ambol",Fiat,Liberal Party,81096,First
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Diron, Ashari Sumndad",Hasdy,Liberal Party,63250,First
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Salic, Jeraham Dagalangit",Jhe,Padayon Pilipino,63145,First
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Lucman, Omar Hassan Dianalan",Pogi,Liberal Party,59395,First
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Ganda, Nasser Jr. Dacula",Nash,Independent,51540,First
Lanao Del Sur,"Member, Sangguniang Panlalawigan","BalIndependentong, Amir-Oden Sarip",Oden,Liberal Party,52672,Second
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Macacua, Adbulharris BalIndependentong",Harris,Liberal Party,51970,Second
Lanao Del Sur,"Member, Sangguniang Panlalawigan","MIndependentalano, Macapandi Sumang",Pandi,Liberal Party,44999,Second
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Macapodi, Taha Pandapatan",Tanjie,Liberal Party,43155,Second
Lanao Del Sur,"Member, Sangguniang Panlalawigan","Abdullatif, Alibasher Imam",Abuali,OP,32527,Second
Lanao Del Sur,Assemblyman,"Adiong, Ziaur-Rahman Alonto",Adiong Ziaur-Rahman Zia Lp,Liberal Party,92849,First
Lanao Del Sur,Assemblyman,"Gandamra, Majul Usman",Mg,Liberal Party,92396,First
Lanao Del Sur,Assemblyman,"Pandi, Janimah Derogongan",Doc Jan,Liberal Party,71260,First
Lanao Del Sur,Assemblyman,"BalIndependentong, Yasser Alonto",Mao,Liberal Party,67920,Second
Lanao Del Sur,Assemblyman,"Menor, Alexander Boloto-Malawani",Alex,Liberal Party,60245,Second
Lanao Del Sur,Assemblyman,"Macapodi, Hosni Boloto",Hosni,Independent,50556,Second
Leyte,Provincial Governor,"Petilla, Leopoldo Dominico Loreto",Mic,Liberal Party,394243,-
Leyte,Provincial Vice-Governor,"Loreto, Carlo Petilla",Opaw,Liberal Party,315528,-
Leyte,"Member, Sangguniang Panlalawigan","Merilo, Gina Egonio",Gina,Liberal Party,57410,First
Leyte,"Member, Sangguniang Panlalawigan","Abellanosa, Ranulfo San Juan",Bob,Liberal Party,35318,First
Leyte,"Member, Sangguniang Panlalawigan","Apostol, Anlie Go",Anlie,Liberal Party,76921,Second
Leyte,"Member, Sangguniang Panlalawigan","Villasin, Niccolo Jaojoco",Nicco,Liberal Party,55628,Second
Leyte,"Member, Sangguniang Panlalawigan","Ang, Alan Pere",Alan,Liberal Party,36562,Third
Leyte,"Member, Sangguniang Panlalawigan","Bagulaya, Ma. Mimietta Satorre",Mimyet,Liberal Party,30571,Third
Leyte,"Member, Sangguniang Panlalawigan","Bertulfo, Deborah Gocela",Ebon,Liberal Party,50389,Fourth
Leyte,"Member, Sangguniang Panlalawigan","Arevalo, Mesias Palanas",Independentoy,Liberal Party,42919,Fourth
Leyte,"Member, Sangguniang Panlalawigan","Cayunda, Florante Jr. Ares",Junjun,Liberal Party,104266,Fifth
Leyte,"Member, Sangguniang Panlalawigan","Gacis, Emmanuel Laporre",Boboy,Liberal Party,75439,Fifth
MaguIndependentanao,Provincial Governor,"Mangudadatu, Esmael Gaguil",Toto,Liberal Party,195473,-
MaguIndependentanao,Provincial Vice-Governor,"Sinsuat, Lester Seismondo",Dls,Liberal Party,174406,-
MaguIndependentanao,"Member, Sangguniang Panlalawigan","Sinsuat, Russman Jr. Untong",Drs Jr,Liberal Party,86899,First
MaguIndependentanao,"Member, Sangguniang Panlalawigan","Limbona, Asnawi Sinsuat",Jojo,Liberal Party,69212,First
