province,position,name,nickname,party_affliation,votes_obtained,ledgist_district
Bukidnon,"Member, Sangguniang Panlalawigan","Centillas, Renato Del Campo",Rene,BPP,40838,Fourth
Bukidnon,"Member, Sangguniang Panlalawigan","Pepito, Ranulfo Eduave",Manolo,BPP,30070,Fourth
Bulacan,Provincial Governor,"Sy-Alvarado, Wilhelmino Manucdoc",Willy Alvarado,National Unity Party,894593,-
Bulacan,Provincial Vice-Governor,"Fernando, Daniel Ramirez",Dan,National Unity Party,914960,-
Bulacan,"Member, Sangguniang Panlalawigan","Fermin, Michael Cristobal",Mike,National Unity Party,167051,First
Bulacan,"Member, Sangguniang Panlalawigan","Ople, Felix Vasquez",Toti,National Unity Party,157104,First
Bulacan,"Member, Sangguniang Panlalawigan","Ople, Therese Cheryll Baun",Ayee,National Unity Party,151776,First
Bulacan,"Member, Sangguniang Panlalawigan","Dela Cruz, Enrique, Jr. Villanueva",Buko,National Unity Party,153263,Second
Bulacan,"Member, Sangguniang Panlalawigan","Posadas, Ramon Rivera",Monet,National Unity Party,121988,Second
Bulacan,"Member, Sangguniang Panlalawigan","Castro, Rino Valero",Nono,National Unity Party,108383,Third
Bulacan,"Member, Sangguniang Panlalawigan","Sulit, Ernesto Salvador",Erning,Liberal Party,85069,Third
Bulacan,"Member, Sangguniang Panlalawigan","Delos Santos, Enrique Jr. Angkiangko",Jon Jon,National Unity Party,193446,Fourth
Bulacan,"Member, Sangguniang Panlalawigan","Sarmiento, Eulogio Iii Cordova",King,National Unity Party,170113,Fourth
Bulacan,"Member, Sangguniang Panlalawigan","Baluyut, Allan Ray Agbayani",Leng,Nacionalista Party,149556,Fourth
Cagayan,Provincial Governor,"Antonio, Alvaro Trinidad",Bong,United Nationalist Alliance,282647,-
Cagayan,Provincial Vice-Governor,"Fausto, Leonides Noveno",Odi,Nacionalista Party,237990,-
Cagayan,"Member, Sangguniang Panlalawigan","Nolasco, Ramon Cases",Mon,United Nationalist Alliance,92580,First
Cagayan,"Member, Sangguniang Panlalawigan","Pascual, Maria Olivia Bautista",Olive,United Nationalist Alliance,83962,First
Cagayan,"Member, Sangguniang Panlalawigan","Garcia, Romeo Sayson",Romy,United Nationalist Alliance,68852,First
Cagayan,"Member, Sangguniang Panlalawigan","Vargas, Melvin Jr. Kamatoy",Boy,National Unity Party,82995,Second
Cagayan,"Member, Sangguniang Panlalawigan","Viloria, Vilmer Ventula",Vilmer,United Nationalist Alliance,54222,Second
Cagayan,"Member, Sangguniang Panlalawigan","Daguna, Alexander Stacy",Alex,National Unity Party,31146,Second
Cagayan,"Member, Sangguniang Panlalawigan","Turingan, Karen Kaye Tavas",Karen,Nacionalista Party,88778,Third
Cagayan,"Member, Sangguniang Panlalawigan","Catabay-Lauigan, Mila Perpetua Anog",Mila,National Unity Party,88693,Third
Cagayan,"Member, Sangguniang Panlalawigan","Abraham, Winnoco Reyes",Wino,Nacionalista Party,74839,Third
Cagayan,"Member, Sangguniang Panlalawigan","Guzman, Christian Roa",Toto,Liberal Party,68072,Third
Camarines Norte,Provincial Governor,"Tallado, Edgardo Angeles",Egay,Liberal Party,116270,-
Camarines Norte,Provincial Vice-Governor,"Pimentel, Jonah Pedro Guinto",Jonah,Liberal Party,100319,-
Camarines Norte,"Member, Sangguniang Panlalawigan","Pardo, Pamela Morfe",Pamela,Liberal Party,45781,First
Camarines Norte,"Member, Sangguniang Panlalawigan","Malubay, Teresita De Leon",Tessie,National Unity Party,45388,First
Camarines Norte,"Member, Sangguniang Panlalawigan","Quibral, Reynoir Villacrusis",Lolo Ponyong,National Unity Party,41486,First
Camarines Norte,"Member, Sangguniang Panlalawigan","Lausin, Erwin Lacson",Wino,National Unity Party,40562,First
Camarines Norte,"Member, Sangguniang Panlalawigan","Canlas, Arthur Michael Gabriel",Mike,National Unity Party,39568,First
