year,vehicle_use,vehicle_type,total_ph,ncr,car,region_I,region_II,region_III,region_IV,region_V,region_VI,region_VII,region_VIII,region_IX,region_X,region_XI,region_XII,region_XIII
2012,For Hire,Cars,36426,22746,258,0,0,0,141,90,1498,7442,479,0,1422,2269,76,5
2012,For Hire,UV,219986,68955,6816,7344,5346,33509,32123,6826,12852,16569,3837,3329,7429,8246,4637,2168
2012,For Hire,SUV,128,3,0,0,2,0,58,0,1,50,0,0,12,0,0,2
2012,For Hire,Buses,27298,10838,221,1573,770,3471,3631,919,1146,1989,611,434,543,610,318,224
2012,For Hire,Trucks,23867,8350,498,460,395,1649,741,992,1606,3183,569,405,1580,1505,1688,246
2012,For Hire,MC/TC,658675,75351,8797,73310,61970,113969,154736,30173,44938,25711,10807,12027,8181,13391,17259,8055
2012,For Hire,Trailers,3404,1370,2,109,140,452,114,75,29,305,45,37,208,329,171,18
2012,Government,Cars,3653,1747,23,57,38,887,269,29,77,279,34,33,44,102,25,9
2012,Government,UV,37447,9212,920,1655,1370,3654,3683,1068,1953,3855,1252,2102,1815,1953,2028,927
2012,Government,SUV,2453,815,63,70,125,290,181,37,84,300,67,79,86,139,67,50
2012,Government,Buses,613,122,13,38,25,114,32,6,19,203,7,6,14,10,1,3
2012,Government,Trucks,8994,1374,122,403,503,829,493,240,700,1594,415,403,439,549,661,269
2012,Government,MC/TC,17230,2765,212,569,761,1662,1281,724,873,1620,641,1034,1026,1906,1621,535
2012,Government,Trailers,1814,138,0,3,3,11,1,1,3,1623,3,2,8,11,5,2
2012,Diplomatic,Cars,3060,2772,0,0,0,0,284,0,1,0,0,0,2,0,1,0
2012,Tax-Exempt,Cars,148,0,0,1,0,141,1,0,1,0,0,2,2,0,0,0
2012,Tax-Exempt,UV,102,0,0,0,1,98,0,0,2,0,0,0,0,0,0,1
2012,Tax-Exempt,SUV,188,0,0,0,0,182,0,0,0,0,0,3,3,0,0,0
2012,Tax-Exempt,Buses,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2012,Tax-Exempt,Trucks,67,0,0,0,0,65,0,0,0,0,0,2,0,0,0,0
2012,Tax-Exempt,MC/TC,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2012,Tax-Exempt,Trailers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Private,Cars,788372,419526,8753,24968,9748,86760,104657,9675,27812,42251,4457,5572,13534,16597,11307,2755
2011,Private,UV,1483265,495569,30238,65060,41930,197419,212737,28914,70456,129642,22425,35899,49355,41417,47254,14950
2011,Private,SUV,281600,155544,4174,7081,4842,26638,24194,2843,10239,17908,2897,3601,7515,7489,5057,1578
2011,Private,Buses,8769,3840,44,150,202,1503,2045,91,237,269,47,45,126,118,37,15
2011,Private,Trucks,298789,63301,5611,11901,14567,45493,26823,9252,25474,28377,8725,8285,14622,13988,17771,4599
2011,Private,MC/TC,3206255,656148,18033,188473,130904,433229,431032,134465,174169,294745,91795,140998,111849,191504,145270,63641
2011,Private,Trailers,29373,15642,107,516,2075,4036,988,210,641,1893,208,197,731,1125,878,126
2011,For Hire,Cars,33131,21673,346,0,0,2,1,0,1502,5746,442,0,1372,1932,109,6
2011,For Hire,UV,229307,71578,7377,7533,5240,37925,32311,6770,13632,16775,3760,3613,7246,7548,5798,2201
2011,For Hire,SUV,23,0,0,0,0,0,9,0,0,6,2,3,3,0,0,0
2011,For Hire,Buses,25262,9389,234,1626,853,3304,2971,1121,1398,1773,671,356,501,590,282,193
2011,For Hire,Trucks,21786,7289,32,479,365,1661,692,710,1438,3018,555,540,1444,1406,1909,248
2011,For Hire,MC/TC,658466,75998,8051,73418,58394,121369,153507,27937,45460,25395,10341,12213,7816,13396,17188,7983
2011,For Hire,Trailers,2971,1156,3,95,132,366,171,44,22,199,41,49,259,243,177,14
2011,Government,Cars,3326,1624,27,64,52,763,283,29,55,155,37,29,59,87,43,19
2011,Government,UV,35694,8467,906,1678,1438,3762,3555,1038,1986,3717,1168,1700,1768,1946,1697,868
2011,Government,SUV,2265,644,71,93,117,296,234,37,84,166,50,154,80,108,81,50
2011,Government,Buses,403,116,12,31,27,98,20,4,8,30,15,7,21,5,1,8
2011,Government,Trucks,8734,1531,154,391,479,806,428,222,776,1144,379,419,454,589,686,276
2011,Government,MC/TC,16728,2319,212,600,608,1619,1254,623,937,1420,640,813,1153,2241,1664,625
2011,Government,Trailers,174,113,0,3,9,4,1,0,3,11,2,2,8,5,8,5
2011,Diplomatic,Cars,3597,3283,0,0,0,0,310,0,0,0,0,0,3,0,1,0
2011,Tax-Exempt,Cars,161,0,0,0,0,157,0,0,0,0,0,3,1,0,0,0
2011,Tax-Exempt,UV,136,0,0,0,1,133,0,0,0,0,0,2,0,0,0,0
2011,Tax-Exempt,SUV,211,0,0,1,0,203,0,0,0,0,0,2,5,0,0,0
2011,Tax-Exempt,Buses,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
2011,Tax-Exempt,Trucks,76,0,0,0,0,71,0,0,0,0,0,5,0,0,0,0
2011,Tax-Exempt,MC/TC,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2011,Tax-Exempt,Trailers,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2010,Private,Cars,759683,401801,8613,24547,11450,84266,98854,9731,26772,41139,4243,5101,11273,18166,11643,2084
2010,Private,UV,1448901,488610,28186,65183,42924,203009,215877,27954,70185,115549,22444,33009,40974,43226,40327,11444
2010,Private,SUV,258804,144669,3615,6388,6004,24354,20227,2539,9129,16308,2688,3039,5746,7772,4901,1425
2010,Private,Buses,7753,3147,38,139,154,1199,2108,105,222,156,53,34,137,198,34,29
2010,Private,Trucks,288427,60744,5343,11739,13929,46582,25318,7809,25850,26796,8511,7449,12690,14496,17703,3468
2010,Private,MC/TC,2841646,595200,15029,175034,100755,371721,378059,128606,150882,265060,83955,118212,102442,163034,143146,50511
2010,Private,Trailers,26163,13282,87,571,1937,3943,933,200,653,1818,209,194,545,1053,691,47
2010,For Hire,Cars,41787,28576,432,2,0,14,0,10,1686,5975,394,2,1393,2858,436,9
2010,For Hire,UV,217320,61116,7452,7802,5293,37575,29479,6947,13758,15398,3951,4557,7361,8054,6408,2169
2010,For Hire,SUV,18,0,6,0,0,1,1,0,0,8,0,1,0,0,0,1
2010,For Hire,Buses,26566,10684,235,2032,912,3266,2228,1311,1546,1465,694,362,633,639,399,160
2010,For Hire,Trucks,21373,7642,187,444,443,1548,655,557,1555,2819,526,410,1235,1391,1744,217
2010,For Hire,MC/TC,624078,70080,7502,69742,55683,111306,148427,26193,42259,23254,9365,13153,8133,12228,19433,7320
2010,For Hire,Trailers,3034,1288,0,95,174,353,171,45,21,183,35,37,232,280,109,11
2010,Government,Cars,3355,1820,30,76,64,628,263,33,57,127,14,45,46,90,49,13
2010,Government,UV,34464,8397,836,1616,1335,3662,3409,1011,2064,3158,1095,1749,1621,2111,1628,772
2010,Government,SUV,2196,769,59,70,116,294,141,33,66,179,48,110,90,107,68,46
2010,Government,Buses,590,353,11,22,31,57,26,11,11,19,10,6,13,15,1,4
2010,Government,Trucks,7974,795,126,365,476,753,413,281,830,1198,391,399,475,598,597,277
2010,Government,MC/TC,16415,2144,194,518,591,1628,997,673,857,1289,582,982,1101,2505,1761,593
2010,Government,Trailers,66,2,0,2,10,3,5,0,3,4,2,3,8,12,10,2
2010,Diplomatic,Cars,3591,3276,0,0,0,0,309,0,0,0,1,0,4,0,1,0
2010,Tax-Exempt,Cars,167,0,0,0,0,163,0,0,0,0,0,2,2,0,0,0
2010,Tax-Exempt,UV,110,0,0,1,1,107,0,0,0,0,0,0,1,0,0,0
2010,Tax-Exempt,SUV,195,0,0,1,1,192,0,0,0,0,0,0,0,0,0,1
2010,Tax-Exempt,Buses,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2010,Tax-Exempt,Trucks,129,0,0,0,0,125,0,0,0,0,0,4,0,0,0,0
2010,Tax-Exempt,MC/TC,10,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0
2010,Tax-Exempt,Trailers,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
