city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Cuenca,Mayor,"Endaya, Celerino Atienza",Lerry,Lakas-Kampi,3992
Cuenca,Mayor,"Mendoza, Rodolfo Cornejo",Tikboy,-,10049
Cuenca,Vice-Mayor,"Hernandez, Edilberto Belino",Edil,Lakas-Kampi,8601
Cuenca,Vice-Mayor,"Cuevas, Lucina Magpantay",Luchie,Lakas-Kampi,4853
Cuenca,Councilor,"De Gracia, Ariosto Bonsol",Aries,-,7026
Cuenca,Councilor,"Carandang, Reynato Gonzalbo",Tato,Lakas-Kampi,6437
Cuenca,Councilor,"Ramos, Isagani Jr. Plata",Ram,Lakas-Kampi,6410
Cuenca,Councilor,"Mendoza, Pedro Asinas",Laki,Lakas-Kampi,6345
Cuenca,Councilor,"Ocampo, Aileen Ramos",Aileen,Independent,6266
Cuenca,Councilor,"Malibiran, Norberto Sr. Masangkay",Norbing,Lakas-Christian Muslim Democratics,6188
Cuenca,Councilor,"De Castro, Benjamin Siscar",Yulo,Lakas-Kampi,7706
Cuenca,Councilor,"Mendoza, Antonio Carino",Mendo,-,3055
Cuenca,Councilor,"Pantas, Nestor Marquez",Nestor,-,3267
Cuenca,Councilor,"Mauleon, Cornelio Sandoval",Kap. Cone,-,4014
Cuenca,Councilor,"Matibag, Dakila Catabay",Dhax,-,4226
Cuenca,Councilor,"Cuevas, Romulo Palma",Romy,-,4396
Cuenca,Councilor,"Hosena, Lordlito Marquez",Orly,-,4559
Cuenca,Councilor,"La Rosa, Danilo Magsombol",Danny,-,4765
Cuenca,Councilor,"Arada, Ismael Matibag",Mel,-,3089
Cuenca,Councilor,"Reyes, Rolando Ilao",Lando,Lakas-Kampi,5855
Ibaan,Mayor,"Hernandez, Remegio Alday",Reming,Lakas-Christian Muslim Democratics,11720
Ibaan,Vice-Mayor,"Rosal, Norberto Real",Berting Asyong,Lakas-Christian Muslim Democratics,9800
Ibaan,Councilor,"Rosos, Felix Samson",Felix,Lakas-Christian Muslim Democratics,7269
Ibaan,Councilor,"Guerra, Rogelio Paradela",Roger,Lakas-Kampi,7555
Ibaan,Councilor,"Panganiban, Pedro  Reyes",Pedring Balbas,Lakas-Christian Muslim Democratics,7631
Ibaan,Councilor,"Patimo, Vido Maputi",Vido,Lakas-Christian Muslim Democratics,8079
Ibaan,Councilor,"Maputi, Victoriano Reus",Turing,Lakas-Christian Muslim Democratics,9609
Ibaan,Councilor,"Benitez, Antonio Cabio",Tonibeo,Lakas-Christian Muslim Democratics,9720
Ibaan,Councilor,"Blanco, ISr.ael Torralba",Pael,Independent,11293
Ibaan,Councilor,"Pabito, Francisco Quinery",Kiko,Lakas-Christian Muslim Democratics,6715
Laurel,Mayor,"Panganiban, John Benedict Petrasanta",Dick,Lakas-Kampi,6023
Laurel,Vice-Mayor,"Amo, Randy James Espinal",Randy,Lakas-Christian Muslim Democratics,6853
Laurel,Councilor,"Ulitin, Eduardo Masicat",Eddie,-,4192
Laurel,Councilor,"Dalisay, Wilfredo Canta",Willy,Lakas-Christian Muslim Democratics,4276
Laurel,Councilor,"Vergara, Eriberto De Castro",Ruby,Lakas-Kampi,4467
Laurel,Councilor,"Landicho, Andreo Maala",Andy,Lakas-Christian Muslim Democratics,4590
Laurel,Councilor,"Villanueva , Florencio Orlanes",Florie,Lakas-Kampi,5409
Laurel,Councilor,"Rodriguez, Angelito  Mendoza",Lito,Lakas-Christian Muslim Democratics,5541
Laurel,Councilor,"Austria, Felimon Palo",Emon,Independent,6981
Laurel,Councilor,"De Villa, Oliva Carandang",Olive,-,3884
Lemery,Mayor,"Alilio, Eulalio Mendoza",Larry,-,18244
Lemery,Vice-Mayor,"Ornales, Geraldine Catapang",Gerald,-,19341
Lemery,Councilor,"Marcellana, Dante Carolino",Dan,-,13912
Lemery,Councilor,"Vidal, Melecio Aliling",Mel,-,14115
Lemery,Councilor,"Balboa, Lenelita Romero",Leny,-,14845
Lemery,Councilor,"De Castro, Rodolfo Aviso",Jon Jon,-,14943
Lemery,Councilor,"Solis, Honorlito Balboa",Norly,-,15085
Lemery,Councilor,"Vergara, Vincent Umali",Vincent,-,15267
Lemery,Councilor,"Eguia, Rosendo Reyes",Roger,-,15869
Lemery,Councilor,"Suayan, Niego Bruce",Igo,-,13908
Lian,Mayor,"Guce, Ruben Ramos",Ben,Lakas-Christian Muslim Democratics,14765
Lian,Mayor,"Vergara, Osita Pugay",Ossie,Lakas-Kampi,12130
Lian,Vice-Mayor,"Briones, Entiquio Miral",Tikyo,Lakas-Christian Muslim Democratics,14748
Lian,Vice-Mayor,"Manalo, Gerardo Delos Reyes ",Gerry,Lakas-Kampi,9897
Lian,Councilor,"De Villa, Francisco Luna",Kiko,Independent,10992
Lian,Councilor,"Ozaeta, W. De Castro",Ter,Lakas-Christian Muslim Democratics,10315
Lian,Councilor,"Salamo, Rolando Castillo",Lando,Lakas-Kampi,10066
Lian,Councilor,"Umali, Godfrey Aguila",Odie,Lakas-Christian Muslim Democratics,9727
Lian,Councilor,"Apritado, Ronald  Ilao",Bong,Lakas-Christian Muslim Democratics,9675
Lian,Councilor,"Alday, Gerald Guce",Gerald,Lakas-Christian Muslim Democratics,10491
Lian,Councilor,"Dimaculangan, Nicanor Jr. Macalinga",Nick,Lakas-Christian Muslim Democratics,10552
Lian,Councilor,"Jonson, Leopoldo Aguinaldo",Leo,Independent,7750
Lian,Councilor,"Caisip, Carlito Cabadin",Carling,Lakas-Christian Muslim Democratics,7557
Lian,Councilor,"Palahang, Jay-Ar Javier",Jay-Ar,Independent,7429
Lian,Councilor,"Bonuan, Exequel Limon",Exy,Lakas-Christian Muslim Democratics,7323
Lian,Councilor,"Delos Reyes, Jaime  Cunamay",Jimmy,Lakas-Christian Muslim Democratics,6911
Lian,Councilor,"Butiong, Lauro Abratique",Ompong,Lakas-Kampi,6456
Lian,Councilor,"Masipag, Florencio Jr. Maperazo",Boyet,Independent,6957
Lian,Councilor,"Agbing, Jose Nereus Masilungan",Joner,Lakas-Christian Muslim Democratics,12178
Lian,Councilor,"Magbago, Benito Arteza",Ben,Lakas-Kampi,8703
Lipa City,Mayor,"Gozos, Oscar Lucero",Oca,-,60702
Lipa City,Vice-Mayor,"Lopez, Lydio Jr. Altamirano",Lydio,Lakas-Christian Muslim Democratics,62282
Lipa City,Councilor,"Macasaet, Romy Iii Mendoza",3Rd,Lakas-Christian Muslim Democratics,31153
Lipa City,Councilor,"Catipon, Leonilo Atienza",Nilo,Lakas-Christian Muslim Democratics,31206
Lipa City,Councilor,"Montealto, Raul Abrenica",Kap,Lakas-Christian Muslim Democratics,32828
Lipa City,Councilor,"Mendoza, Aries Emmanuel Dioso",Bibong,Lakas-Christian Muslim Democratics,38349
Lipa City,Councilor,"Rocafort, Avior Recio",Tagumpay,Lakas-Christian Muslim Democratics,40885
Lipa City,Councilor,"Hernandez, Maria Concepcion Rufino",Concon,Lakas-Christian Muslim Democratics,40979
Lipa City,Councilor,"Dy, Pang Lim",Kiana,Lakas-Kampi,43416
Lipa City,Councilor,"Umali, Ralph Peter Sheker",King,Nationalist People's Coalition,43462
Lipa City,Councilor,"Silva, Merlo Pena",Merlo,Lakas-Christian Muslim Democratics,44298
Lipa City,Councilor,"Mauhay, Dominador Magtibay",Domeng,Lakas-Christian Muslim Democratics,30925
Lobo,Mayor,"Manalo, Virgilio Ramirez",Ver,Lakas-Christian Muslim Democratics,6932
Lobo,Vice-Mayor,"Sulit, Romeo Marasigan",Meo,Lakas-Kampi,8754
Lobo,Councilor,-,-,-,-
Lobo,Councilor,"Sulit, Amador Ambrocio Zaraspe",Doy,Lakas-Kampi,5026
Lobo,Councilor,"Andaya, Mikael II Celis",Eto,Lakas-Kampi,5039
Lobo,Councilor,"Ramirez, Fausto Lucero",Tito Fau,Lakas-Christian Muslim Democratics,5352
Lobo,Councilor,"Godoy, Mario Caeg",Mario,Lakas-Kampi,5682
Lobo,Councilor,"Magtibay, Carlos Sanchez",Carlo,Lakas-Christian Muslim Democratics,5719
Lobo,Councilor,"Lat, Mario Evangelista",Mar,Lakas-Kampi,6695
Lobo,Councilor,"Cueto, Michael Cueto",Kamandag,-,8018
Lobo,Councilor,"Catada, Marvonyll Panganiban",Marnell,Lakas-Christian Muslim Democratics,4913
Mabini,Mayor,"Villanueva, Nilo Magtibay",Nilo,Lakas-Christian Muslim Democratics,8486
Mabini,Vice-Mayor,"Sandoval, Rowell Mendoza",Ruel,Lakas-Kampi,9232
Mabini,Councilor,"Guera, Gil Gilera",Bobet,Lakas-Christian Muslim Democratics,6398
Mabini,Councilor,"Bulaclac, Jacinto Jr. Nicolas",Sir B,Lakas-Kampi,7077
Mabini,Councilor,"Amboy, Emiliano Casapao",Polan,Lakas-Kampi,7339
Mabini,Councilor,"Cruzat, Angel Castillo",Angeles,Lakas-Kampi,7772
Mabini,Councilor,"Sawali, Felix Ortega",Elis,Lakas-Kampi,7847
Mabini,Councilor,"Schmid, Julsie  Bautista",Dulce,Lakas-Kampi,8377
Mabini,Councilor,"Arago, Catalino Escalona",Boyet,Lakas-Kampi,8390
Mabini,Councilor,"Villanueva, Trinidad Calangi",Kaka Trining,-,6390
Malvar,Mayor,"Reyes, Cristeta Cuevas",Tita,Lakas-Christian Muslim Democratics,9779
Malvar,Vice-Mayor,"Magpantay, Simeon Bulaklak",Sammy,United Opposition,8316
Malvar,Councilor,"Kalaw, Voltaire Saludo",Bong,Lakas-Christian Muslim Democratics,6623
Malvar,Councilor,"Dela Pena, Edelwisa  Antonio",Edel,Lakas-Christian Muslim Democratics,7549
Malvar,Councilor,"Lantin, Arnel Vicente Mendoza",Zaldy,United Opposition,7835
Malvar,Councilor,"Lat, Arnel Reyes",Nibong,Lakas-Christian Muslim Democratics,6899
Malvar,Councilor,"Runes, Edgar Linga",Ed,Lakas-Christian Muslim Democratics,7647
Malvar,Councilor,"Tagle, Willie Magabo",Willie,Lakas-Christian Muslim Democratics,8728
Malvar,Councilor,"Cabello, Rosana Carlos",Osang,United Opposition,7215
Malvar,Councilor,"Hidalgo, Francisco Ojales",Francing Hidalgo,United Opposition,6287
Mataas na Kahoy,Mayor,"Sombrano, Danilo Mendoza",Danny,Lakas-Kampi,6288
Mataas na Kahoy,Vice-Mayor,"Landicho, Roy Lubi",Roy,Lakas-Kampi,4746
Mataas na Kahoy,Councilor,"Laqui, Romeo Benamer",Romy,Lakas-Kampi,4470
Mataas na Kahoy,Councilor,"Hernandez, Joel Delavin",Jojo,Lakas-Christian Muslim Democratics,4508
Mataas na Kahoy,Councilor,"Lubis, Romulo De Castro",Mulo,Lakas-Christian Muslim Democratics,4576
Mataas na Kahoy,Councilor,"Tibayan, Benigno Gonzales",Benny,Lakas-Christian Muslim Democratics,4630
Mataas na Kahoy,Councilor,"Dimaano, Ferdinand Loleng",Puto,Lakas-Kampi,5426
Mataas na Kahoy,Councilor,"Panopio, Geminiano Jr. Arcenal",Jologs,Independent,5562
Mataas na Kahoy,Councilor,"Magpantay, Enrique Landicho",Ricky,Lakas-Kampi,5621
Mataas na Kahoy,Councilor,"Subol, Renando Manguiat",Nanding,Lakas-Christian Muslim Democratics,4391
Nasugbo,Mayor,"Barcelon, Antonio Alarma",Tony,-,20704
Nasugbo,Vice-Mayor,"Villafania, Apolo Valencia",Apol,Lakas-Christian Muslim Democratics,19249
Nasugbo,Councilor,"Bautista, Jacinto Villacrusis",Jimmy,Lakas-Christian Muslim Democratics,11655
Nasugbo,Councilor,"Rinoza , Rommel Balingit",Rommel,Lakas-Christian Muslim Democratics,11883
Nasugbo,Councilor,"Chuidian, Leonardo Villaviray",Dick,United Opposition,12008
Nasugbo,Councilor,"Limboc , Wilfredo Villaflor",Willy,-,12699
Nasugbo,Councilor,"Bragado, Ruperto Belleza",Rupeert,Lakas-Christian Muslim Democratics,12929
Nasugbo,Councilor,"Panganiban, Cindy Dela Cuesta",Cindy,United Opposition,13310
Nasugbo,Councilor,"Sanchez, Mildred Belo",Belo,Lakas-Christian Muslim Democratics,14315
Nasugbo,Councilor,"Villarin, Juner  Samonte",Papay,Lakas-Christian Muslim Democratics,10902
Padre Garcia,Mayor,"Gutierrez, Prudencio Aclan",Dacio,Lakas-Christian Muslim Democratics,11636
Padre Garcia,Vice-Mayor,"Convento, Pedro Lubi",Peter,Lakas-Christian Muslim Democratics,10022
Padre Garcia,Councilor,"De Silva, Brigido Vergara",Bedong,Lakas-Christian Muslim Democratics,8341
Padre Garcia,Councilor,"Gonzales, Artemio Padua",Teming,Lakas-Christian Muslim Democratics,7398
Padre Garcia,Councilor,"Banaag, Adonna Kalaw",Donna,Lakas-Christian Muslim Democratics,6825
Padre Garcia,Councilor,"Padua, Eleator Comia",Ator,Lakas-Christian Muslim Democratics,9131
Padre Garcia,Councilor,"Vidal, Melvin Vergara",Mhel,Independent,6480
Padre Garcia,Councilor,"Generoso, Ramil Cornejo",Ramil,Lakas-Christian Muslim Democratics,6294
Padre Garcia,Councilor,"Tapalla, Emilio Munlawin",Emil,Independent,6047
Padre Garcia,Councilor,"Kasilag, Cristopher Leyrit",Bong,Lakas-Kampi,6771
San Jose,Mayor,"Mindanao, Danilo Salapare",Danny,Lakas-Christian Muslim Democratics,22012
San Jose,Vice-Mayor,"Marasigan, Octavio Antonio Lizaso",Anthony,Lakas-Christian Muslim Democratics,19638
San Jose,Councilor,"Salud, Joaquin Jr. Marcial",Joax,Lakas-Kampi,13102
San Jose,Councilor,"Patron, Jessie Madlangbayan",Jess,Lakas-Christian Muslim Democratics,13281
San Jose,Councilor,"Pasco, Noelito MaLabanan",Noel,Lakas-Christian Muslim Democratics,13880
San Jose,Councilor,"Perez, Adelaida Limbo",Adie,Lakas-Christian Muslim Democratics,16596
San Jose,Councilor,"Robles, Meynardo De Villa",Meynard,Lakas-Christian Muslim Democratics,18030
San Jose,Councilor,"Macalintal, Pedro De Torres",Pedring,Lakas-Christian Muslim Democratics,19459
San Jose,Councilor,"De Chavez, Rodello Andal",Bibingka,Lakas-Christian Muslim Democratics,21262
San Jose,Councilor,"Mercado, Alexander Sevilla",Alex,Lakas-Christian Muslim Democratics,12836
San Nicolas,Mayor,"Sandoval, Epifanio Rodriguez",Peping,Lakas-Christian Muslim Democratics,5079
San Nicolas,Vice-Mayor,"Enriquez, William Barrion",,Lakas-Christian Muslim Democratics,4966
San Nicolas,Councilor,"Malaluan, Marivic Mendoza",Haydee,Lakas-Kampi,4363
San Nicolas,Councilor,"Hernandez, Ireneo Dimailig",Totoy,Lakas-Christian Muslim Democratics,4381
San Nicolas,Councilor,"De Sagun, Lester Dinglasan",Pilo,-,4385
San Nicolas,Councilor,"De Sagun, Ruelito Matienzo",Ruel,Lakas-Kampi,4483
San Nicolas,Councilor,"Alvaira, Leonardo Alvarez",Ding,Lakas-Christian Muslim Democratics,4492
San Nicolas,Councilor,"Bancoro, Lynne Atienza",Lynne,Lakas-Kampi,4697
San Nicolas,Councilor,"Nohay, Joseph Mendoza",Joseph,Lakas-Kampi,4743
San Nicolas,Councilor,"Barrion, Roberto Balba",Bet,Lakas-Christian Muslim Democratics,4250
San Pascual,Mayor,"Dimayuga, Antonio Arguelles",Tony,Lakas-Christian Muslim Democratics,11201
San Pascual,Vice-Mayor,"Manalo, Lanilo Marquez",Lani,Lakas-Christian Muslim Democratics,7828
San Pascual,Councilor,"Dimatatac, Norman Aguilar",Norman,Lakas-MD,7603
San Pascual,Councilor,"Chavez, Moises Guia",Isis,Lakas-Kampi,6270
San Pascual,Councilor,"Mauhay, Antonio Baltazar",Tony,Lakas-Kampi,6388
San Pascual,Councilor,"Reyes , Efren Malapitan",Efren,Lakas-Kampi,6475
San Pascual,Councilor,"Aguila, Roumel Grantoza",Rommel,Lakas-Christian Muslim Democratics,6805
San Pascual,Councilor,"Fernandez, Ramel Velasquez",Uban,Lakas-Christian Muslim Democratics,7385
San Pascual,Councilor,"Tamayo, Rolando Teodoro",Boy,Lakas-Kampi,7840
San Pascual,Councilor,"Fider, Davis Gregory Kenrick",Jay,Lakas-Kampi,8177
Santa Teresita,Mayor,"Mendoza, Anna Marie Ilagan",Ana,Lakas-Christian Muslim Democratics,4497
Santa Teresita,Vice-Mayor,"Seguinal, MaAurea Velasco",Marie,Lakas-Christian Muslim Democratics,4262
Santa Teresita,Councilor,"Cabral, Araceli Ilagan",Cely,Lakas-Kampi,2868
Santa Teresita,Councilor,"Alvaera, Recilita Bobadilla",Recy,Lakas-Kampi,2967
Santa Teresita,Councilor,"Onal, Alfredo Gamara",Fred,Lakas-Christian Muslim Democratics,3147
Santa Teresita,Councilor,"Atienza, Ernesto Salazar",Nestor,Lakas-Kampi,3269
Santa Teresita,Councilor,"Atienza, Ronilo Baet",Ronie,Lakas-Christian Muslim Democratics,3700
Santa Teresita,Councilor,"Maralit , Antonio Tipan",Tony,Lakas-Christian Muslim Democratics,3829
Santa Teresita,Councilor,"Manalo, Rodolfo Adalin",Rudy,Lakas-Christian Muslim Democratics,4047
Santa Teresita,Councilor,"Mayuga, Felix Castro",Felix,Lakas-Kampi,2818
Santo Tomas,Mayor,"Sanchez, Edna Padilla",Edna,Kabalikat ng Malayang Pilipino,22259
Santo Tomas,Vice-Mayor,"Silva, Armenius Oba",Arman,Kabalikat ng Malayang Pilipino,22070
Santo Tomas,Councilor,"Mangaban, Renato Santos",Atoy,Lakas-Christian Muslim Democratics,13831
Santo Tomas,Councilor,"Malipol, Adolfo Malijan",Ompo,Lakas-Christian Muslim Democratics,15387
Santo Tomas,Councilor,"Mabilangan, Danilo Palicpic",Danny,Kabalikat ng Malayang Pilipino,18316
Santo Tomas,Councilor,"Maligaya, Ross Allan Dimaculangan",Allan,Lakas-Christian Muslim Democratics,19186
Santo Tomas,Councilor,"Malijan, Gerardo Malapascua",Gerry,Kabalikat ng Malayang Pilipino,20419
Santo Tomas,Councilor,"Villegas, Karl Jerome Riego",Bokbok,-,19986
Santo Tomas,Councilor,"Jaurigue, Catherine Malibol",Poknat,Kabalikat ng Malayang Pilipino,23242
Santo Tomas,Councilor,"Navarro, Raul Navarro",Raul,Kabalikat ng Malayang Pilipino,13545
Taal,Mayor,"Montenegro, Michael Dimailig",M.M,Lakas-Kampi,10742
Taal,Vice-Mayor,"Albufera, Jovito Marasigan",Jovits,Lakas-Christian Muslim Democratics,12308
Taal,Councilor,"Villamin, Aida Carbonell",Aida,Lakas-Kampi,7868
Taal,Councilor,"Mercado, Jayson Baldoza",Jay,Lakas-Christian Muslim Democratics,7933
Taal,Councilor,"Casanova, Bonifacio Franco Punzalan",Frank,Lakas-Kampi,8109
Taal,Councilor,"Legaspi, Federico Barwel",Teddy,Independent,8263
Taal,Councilor,"Dawis , Ronnel Magsino",Rd,Independent,8687
Taal,Councilor,"Alcantara, Severiano Caraos",Eber,Lakas-Christian Muslim Democratics,8916
Taal,Councilor,"Baleros, Randy Villostas",Andy,Lakas-Christian Muslim Democratics,9902
Taal,Councilor,"Alvarez, Edward Ebonite",Edward,Lakas-Kampi,7546
Talisay,Mayor,"Manimtim, Florencio Jr. Mendoza",Jojie,Lakas-Kampi,8424
