cities,position,name,nickname,party_affiliation,votes_obtained
Sibonga,Councilor,"Camomot, Antonio Llanos",Tony,Lakas-Kabalikat ng Malayang Pilipino Alayon Alang sa Kalambu-an ng Kalinaw,8320
Sibonga,Councilor,"Codilla, Thomas Canape",Tommy,United Opposition,8666
Sibonga,Councilor,"Patalinghug, Gina Alicaya",Gin,United Opposition,8744
Sibonga,Councilor,"Uytico, Gonzalo Pastor",Lolong,United Opposition,9116
Sibonga,Councilor,"Sevilla, Mark Lester Hong",Mark,Lakas-Christian Muslim Democrats,9142
Sibonga,Councilor,"Dadula, Metodio Suarez",Bebe,Lakas-Kabalikat ng Malayang Pilipino-Alayon Alang sa Kalambu-an ng Kalinaw,7730
Tabogon,Mayor,"Dungcog, Eusebio Apuya",Eboy,Lakas-Christian Muslim Democrats,10424
Tabogon,Vice-Mayor,"Catam-Isan, Felix Cuyos",Felix,Lakas-Christian Muslim Democrats,6624
Tabogon,Councilor,"Neis, Benjamin Remulta",Ben,Lakas-Kabalikat ng Malayang Pilipino,4842
Tabogon,Councilor,"Arpon, Alfonso Mendoza",Ponso,Lakas-Christian Muslim Democrats,5169
Tabogon,Councilor,"Alivio, Merlino Ramil",Lenie,Lakas-Christian Muslim Democrats,5428
Tabogon,Councilor,"Quinain, Roland Ornopia",Lan,Lakas-Christian Muslim Democrats,6227
Tabogon,Councilor,"Manloloyo, Venerando Bacus",Vene,Lakas-Christian Muslim Democrats,7616
Tabogon,Councilor,"Serafin, Ronald Ace Tiangco",Ace,Independent,11212
Tabogon,Councilor,"Duterte, Zigfred Povadora",Dodong,Lakas-Kabalikat ng Malayang Pilipino,11525
Tabogon,Councilor,"Talisic, Antonio Roble",Tsip,Lakas-Christian Muslim Democrats,4741
Tabuelan,Mayor,"Gerona, Casiano Dabalos",Titi Casi,Lakas-Christian Muslim Democrats,6174
Tabuelan,Vice-Mayor,"Gerona, Rex Casiano To",Tata,Lakas-Christian Muslim Democrats,6323
Tabuelan,Councilor,"Menchavez, Juan Jr. Suico",Johnny,Lakas-Kabalikat ng Malayang Pilipino,3986
Tabuelan,Councilor,"Gerona, Marianito Pasaylo",Boy,Lakas-Christian Muslim Democrats,4158
Tabuelan,Councilor,"Montecalvo, Virginia Abanera",Virgie,Lakas-Christian Muslim Democrats,4264
Tabuelan,Councilor,"Oca, Jean Olandia",Padi Rey,Lakas-Christian Muslim Democrats,4292
Tabuelan,Councilor,"Salubre, Fausto Simbajon",Toto,Lakas-Christian Muslim Democrats,4496
Tabuelan,Councilor,"Arellano, Ramon Balingcasag",Inday Meme,Lakas-Christian Muslim Democrats,4909
Tabuelan,Councilor,"Momo, Silvestre Paumba",Bestre,Lakas-Christian Muslim Democrats,6907
Tabuelan,Councilor,"Trazo, Moises Go",Coach,Lakas-Christian Muslim Democrats,3834
Toledo City,Mayor,"Zambo, Arlene Espinosa",Dydee,Lakas-Christian Muslim Democrats,36706
Toledo City,Vice-Mayor,"Espinosa, Aurelio Plaza",Rudy,Lakas-Christian Muslim Democrats,31126
Toledo City,Councilor,"Abad, Merly Jamero",Merly,Lakas-Kabalikat ng Malayang Pilipino,18040
Toledo City,Councilor,"Mendoza, Arturo Arcipe",Boy,Lakas-Christian Muslim Democrats,18062
Toledo City,Councilor,"Mercado, Alfonso Jr. Go",Jun,Lakas-Christian Muslim Democrats,20203
Toledo City,Councilor,"Pepito, Ricardo Diamante",Kuya Nick,Lakas-Kabalikat ng Malayang Pilipino,20296
Toledo City,Councilor,"Macapobre, Felicisima Alqueza",Inday Sima,Lakas-Christian Muslim Democrats,22469
Toledo City,Councilor,"De Pio, Amelia Ortilla",Jaz,Lakas-Christian Muslim Democrats,23928
Toledo City,Councilor,"Largo, Teresito Lucob",Atty,Lakas-Christian Muslim Democrats,24948
Toledo City,Councilor,"Borja, Antonio Jr. Espina",Junjun,Lakas-Christian Muslim Democrats,26401
Toledo City,Councilor,"Espinosa, Mark Eric Garcia",Eric,Lakas-Christian Muslim Democrats,27145
Toledo City,Councilor,"Perales, Amuerfino Amadora",Amiboy,Lakas-Christian Muslim Democrats,30435
