region,city,total_income,total_local_sources,total_tax_revenue,real_property_tax,business_tax,total_non_tax_revenue,receipts_from_economic_enterprise,fees_or_charges,loans_and_borrowings,other_receipts,aids_and_allotments,internal_revenue_allotment,national_ aids,national_wealth,total_expenditures,current_expenditures,general_government,public_welfare_and_internal_safety,economic_development,operation_of_economic_enterprise,other_charges,capital_outlay,excess_deficit_of_income_over_expenditures,
 CAR , Total ,297.93,163.46,111.30,33.57,77.73,52.16,19.77,18.28,0.00,14.11,134.46,134.46,0.00,0.00,292.85,287.20,65.48,84.13,32.09,35.66,69.84,5.65,5.07,
 Region I , Dagupan City ,207.52,100.27,53.19,12.18,41.02,47.08,8.49,5.64,0.00,32.95,107.25,107.25,0.00,0.00,181.05,131.93,52.46,34.16,26.63,7.90,10.77,49.12,26.47,
 Region I , Laoag City ,161.69,54.57,31.86,12.53,19.33,22.71,0.03,5.90,12.00,4.78,107.12,101.20,5.92,0.00,147.59,122.45,40.02,19.97,28.39,4.55,29.53,25.14,14.10,
 Region I , San Carlos City ,148.83,17.51,9.51,4.03,5.48,8.00,6.03,1.97,0.00,0.00,131.32,130.32,1.00,0.00,161.91,107.54,34.60,21.48,17.67,0.66,33.13,54.37,-13.08,
 Region I , Total ,518.04,172.35,94.56,28.74,65.82,77.78,14.55,13.51,12.00,37.73,345.69,338.77,6.92,0.00,490.55,361.92,127.08,75.62,72.69,13.11,73.43,128.64,27.48,
 Region II , Santiago City ,164.85,34.97,22.14,9.32,12.81,12.84,7.31,3.20,0.00,2.32,129.87,129.87,0.00,0.00,145.35,107.02,33.64,11.03,21.53,30.59,10.22,38.33,19.50,
 Region II , Total ,164.85,34.97,22.14,9.32,12.81,12.84,7.31,3.20,0.00,2.32,129.87,129.87,0.00,0.00,145.35,107.02,33.64,11.03,21.53,30.59,10.22,38.33,19.50,
 Region III , Angeles City ,294.54,119.12,72.31,32.64,39.67,46.82,16.48,7.54,0.07,22.73,175.41,164.41,11.00,0.00,275.56,272.30,47.58,70.20,27.21,9.51,117.80,3.26,18.98,
 Region III , Cabanatuan City ,256.93,84.69,44.47,15.30,29.17,40.21,14.49,4.18,16.17,5.37,172.24,172.24,0.00,0.00,258.32,222.12,49.06,69.39,34.76,38.37,30.54,36.20,-1.39,
 Region III , Olongapo City ,446.42,291.82,42.91,20.72,22.19,248.91,244.06,4.84,0.00,0.00,154.60,154.60,0.00,0.00,435.29,435.29,113.44,47.81,13.95,260.09,0.00,0.00,11.13,
 Region III , Palayan City ,77.21,3.32,1.02,0.66,0.36,2.30,0.06,0.18,0.00,2.05,73.90,73.90,0.00,0.00,73.43,73.43,27.21,8.72,15.32,0.00,22.19,0.00,3.78,
 Region III , San Jose City ,151.93,36.82,15.13,7.72,7.40,21.70,7.19,2.65,8.53,3.32,115.11,115.11,0.00,0.00,155.14,128.11,44.12,12.52,22.51,3.95,45.01,27.03,-3.21,
 Region III , Total ,1227.03,535.77,175.83,77.04,98.79,359.94,282.30,19.41,24.77,33.46,691.26,680.26,11.00,0.00,1197.74,1131.25,281.41,208.65,113.74,311.92,215.53,66.49,29.29,
 Region IV , Batangas City ,473.98,299.98,238.54,198.86,39.68,61.44,26.63,4.81,30.00,0.00,174.00,174.00,0.00,0.00,448.43,302.20,68.38,82.44,58.37,12.51,80.50,146.22,25.55,
 Region IV , Cavite City ,117.72,28.80,18.22,6.41,11.81,10.58,3.33,3.50,0.00,3.76,88.92,88.92,0.00,0.00,126.59,124.15,26.98,33.54,36.18,2.29,25.16,2.45,-8.87,
 Region IV , Lipa City ,243.77,92.83,57.69,30.27,27.42,35.15,5.36,9.00,7.45,13.34,150.94,150.94,0.00,0.00,232.63,211.88,72.70,41.34,73.96,0.00,23.88,20.74,11.14,
 Region IV , Lucena City ,194.05,66.74,48.44,27.55,20.89,18.30,5.01,3.56,0.00,9.74,127.31,125.95,1.36,0.00,190.01,136.17,59.27,44.16,25.77,3.42,3.56,53.84,4.04,
 Region IV , Puerto Princesa City ,577.87,135.04,30.15,17.12,13.03,104.89,10.50,4.22,90.00,0.16,442.83,438.65,4.18,0.00,555.17,432.15,160.01,48.36,42.30,38.57,142.91,123.02,22.70,
 Region IV , San Pablo City ,328.96,175.59,52.96,19.99,32.96,122.63,3.93,2.96,0.00,115.74,153.37,153.37,0.00,0.00,346.85,338.47,71.18,28.70,19.47,4.84,214.27,8.38,-17.89,
 Region IV , Tagaytay City ,110.66,40.82,32.84,21.90,10.93,7.98,3.67,3.52,0.80,0.00,69.84,62.64,7.20,0.00,99.91,67.65,34.81,8.34,6.68,4.22,13.60,32.26,10.75,
 Region IV , Trece Martires City ,88.96,27.95,21.76,11.18,10.58,6.19,3.08,2.33,0.00,0.78,61.01,61.01,0.00,0.00,86.73,68.33,38.51,8.41,8.51,2.42,10.47,18.40,2.23,
 Region IV-A , Total ,2135.96,867.76,500.59,333.29,167.31,367.17,61.50,33.90,128.25,143.52,1268.20,1255.47,12.73,0.00,2086.32,1681.00,531.84,295.30,271.24,68.27,514.35,405.31,49.64,
 Region V , Iriga City ,125.18,24.87,8.80,2.70,6.09,16.07,3.69,1.41,9.60,1.37,100.31,100.31,0.00,0.00,142.07,106.40,49.77,11.95,32.41,6.97,5.29,35.68,-16.90,
 Region V , Legaspi City ,208.70,82.81,38.33,18.19,20.13,44.48,3.29,4.01,24.83,12.35,125.89,125.89,0.00,0.00,234.99,221.97,59.74,57.78,30.86,4.87,68.73,13.02,-26.29,
 Region V , Naga City ,200.96,87.83,57.55,23.24,34.31,30.28,22.47,4.78,1.50,1.53,113.13,112.54,0.60,0.00,191.56,188.39,77.27,28.12,46.87,12.92,23.21,3.18,9.40,
 Region V , Total ,534.84,195.50,104.67,44.14,60.53,90.83,29.45,10.20,35.93,15.25,339.34,338.74,0.60,0.00,568.63,516.75,186.77,97.84,110.15,24.76,97.23,51.87,-33.79,
 Region VI , Bacolod City ,408.96,179.45,120.61,46.28,74.33,58.84,28.31,27.84,0.00,2.69,229.51,229.51,0.00,0.00,339.09,295.57,125.84,63.20,91.25,0.00,15.28,43.52,69.88,
 Region VI , Bago City ,212.36,45.50,25.67,21.58,4.08,19.83,2.03,4.08,5.94,7.79,166.87,166.87,0.00,0.00,185.99,134.86,27.93,33.58,49.18,4.79,19.38,51.13,26.37,
 Region VI , Cadiz City ,210.03,25.04,14.20,10.14,4.06,10.84,9.57,0.82,0.00,0.44,184.99,184.99,0.00,0.00,178.28,161.76,57.23,45.12,25.99,30.79,2.63,16.52,31.75,
 Region VI , Iloilo City ,414.72,224.64,182.26,71.30,110.96,42.38,11.25,13.71,0.00,17.42,190.08,190.08,0.00,0.00,360.73,324.05,137.90,99.57,27.87,37.97,20.74,36.69,53.99,
 Region VI , La Carlota City ,123.57,28.93,24.20,19.57,4.64,4.73,1.46,0.21,0.00,3.05,94.64,94.64,0.00,0.00,109.34,94.86,50.99,23.28,10.20,3.42,6.97,14.48,14.24,
 Region VI , Roxas City ,152.09,44.22,26.93,11.01,15.92,17.29,5.96,10.14,0.00,1.19,107.87,107.87,0.00,0.00,131.21,125.08,66.83,6.97,16.21,29.31,5.76,6.13,20.88,
 Region VI , Sagay City ,59.86,18.14,13.10,9.98,3.12,5.04,2.05,0.74,0.00,2.25,41.73,32.60,9.12,0.00,57.00,54.58,22.96,10.15,1.50,2.30,17.67,2.42,2.86,
 Region VI , San Carlos City ,281.85,112.76,16.44,16.44,0.00,96.32,10.09,0.96,0.03,85.24,169.10,169.10,0.00,0.00,267.12,215.52,33.06,43.65,46.36,16.50,75.96,51.60,14.73,
 Region VI , Silay City ,158.03,31.04,20.26,14.25,6.02,10.78,1.83,1.44,1.28,6.23,126.99,126.49,0.50,0.00,149.79,142.88,50.31,23.07,22.78,8.69,38.03,6.91,8.24,
 Region VI , Total ,2021.49,709.71,443.68,220.54,223.14,266.04,72.56,59.93,7.25,126.30,1311.78,1302.15,9.62,0.00,1778.55,1549.15,573.05,348.59,291.33,133.77,202.41,229.39,242.94,
 Region VII , Bais City ,146.87,20.67,10.74,7.50,3.24,9.93,2.28,0.75,0.00,6.91,126.19,126.19,0.00,0.00,129.79,119.62,48.25,15.19,24.20,1.65,30.32,10.18,17.07,
 Region VII , Canlaon City ,103.50,12.96,1.99,1.24,0.75,10.97,1.82,0.78,0.00,8.37,90.54,90.54,0.00,0.00,89.10,74.07,36.47,7.84,9.67,1.60,18.49,15.02,14.40,
 Region VII , Cebu City ,999.23,624.94,471.59,209.00,262.60,153.35,40.92,39.86,41.56,31.01,374.29,374.29,0.00,0.00,963.80,963.80,309.69,206.80,102.03,145.66,199.62,0.00,35.43,
 Region VII , Danao City ,132.12,35.18,12.37,7.60,4.77,22.80,7.68,1.42,0.00,13.70,96.95,96.95,0.00,0.00,123.98,119.51,39.01,12.45,31.96,13.20,22.89,4.48,8.14,
 Region VII , Dumaguete City ,149.43,76.17,30.61,12.99,17.62,45.55,0.00,12.09,0.58,32.88,73.27,73.27,0.00,0.00,158.69,142.22,24.46,37.39,19.23,37.11,24.03,16.47,-9.26,
 Region VII , Lapu-Lapu City ,284.45,169.66,90.16,61.93,28.23,79.49,3.56,16.28,44.07,15.59,114.79,114.79,0.00,0.00,264.80,182.28,55.49,32.09,15.83,11.60,67.27,82.52,19.65,
 Region VII , Mandaue City ,240.82,114.00,75.85,34.97,40.88,38.15,15.91,8.51,0.00,13.74,126.82,126.82,0.00,0.00,222.19,218.75,84.04,44.80,27.70,3.32,58.90,3.44,18.63,
 Region VII , Tagbilaran City ,225.38,146.44,34.52,10.17,24.35,111.92,11.05,4.88,89.00,7.00,78.93,78.93,0.00,0.00,219.82,110.07,36.06,19.94,25.70,11.40,16.97,109.75,5.56,
 Region VII , Toledo City ,181.40,45.64,15.28,4.80,10.48,30.36,4.53,14.95,0.00,10.89,135.76,130.57,5.15,0.04,193.02,181.52,58.21,37.42,24.55,18.80,42.55,11.50,-11.62,
 Region VII , Total ,2463.20,1245.67,743.13,350.21,392.92,502.54,87.74,99.50,175.21,140.09,1217.54,1212.35,5.15,0.04,2365.20,2111.84,691.67,413.93,280.85,244.35,481.05,253.35,98.01,
 Region VIII , Calbayog City ,291.52,42.26,14.18,5.04,9.14,28.08,3.79,1.38,0.00,22.91,249.26,249.26,0.00,0.00,270.66,193.02,84.27,43.81,21.12,9.12,34.70,77.64,20.86,
 Region VIII , Ormoc City ,254.37,47.83,20.17,4.19,15.97,27.66,14.57,4.33,0.00,8.76,206.54,206.54,0.00,0.00,265.18,189.65,45.44,25.14,50.82,13.70,54.56,75.53,-10.81,
 Region VIII , Tacloban City ,208.10,80.24,46.22,17.40,28.81,34.02,5.90,23.41,0.00,4.71,127.86,127.86,0.00,0.00,194.29,183.62,51.55,56.96,19.80,9.85,45.47,10.67,13.80,
 Region VIII , Total ,753.99,170.33,80.57,26.64,53.93,89.76,24.26,29.12,0.00,36.37,583.66,583.66,0.00,0.00,730.13,566.29,181.25,125.91,91.73,32.66,134.73,163.84,23.86,
 Region IX , Dapitan City ,145.49,5.92,1.32,0.53,0.79,4.60,3.58,0.56,0.00,0.46,139.57,139.57,0.00,0.00,144.70,144.70,75.06,8.30,34.88,19.49,6.97,0.00,0.79,
 Region IX , Dipolog City ,160.01,35.64,7.04,3.08,3.96,28.60,7.71,1.85,0.00,19.03,124.37,124.37,0.00,0.00,141.39,141.39,38.71,14.56,18.21,28.93,40.99,0.00,18.62,
 Region IX , Pagadian City ,188.94,40.96,16.26,4.09,12.17,24.70,16.35,3.87,0.00,4.48,147.99,147.99,0.00,0.00,164.73,77.51,53.73,19.26,0.00,1.11,3.41,87.22,24.21,
 Region IX , Zamboanga City ,763.84,285.71,78.67,19.06,59.61,207.04,12.44,12.55,0.99,181.06,478.13,478.13,0.00,0.00,552.61,552.61,109.73,3.56,70.87,14.63,353.83,0.00,211.23,
 Region IX , Total ,1258.29,368.23,103.29,26.76,76.53,264.94,40.09,18.82,0.99,205.04,890.06,890.06,0.00,0.00,1003.44,916.21,277.23,45.68,123.96,64.15,405.20,87.22,254.85,
 Region X , Butuan City ,404.83,95.92,53.54,21.98,31.55,42.38,23.18,4.02,0.00,15.18,308.91,285.36,23.55,0.00,390.91,299.84,62.56,98.40,42.79,37.25,58.83,91.06,13.92,
 Region X , Cagayan de Oro City ,517.98,251.42,162.72,35.77,126.95,88.69,20.51,21.87,19.24,27.07,266.57,266.57,0.00,0.00,471.45,412.06,159.63,81.71,65.95,12.61,92.14,59.39,46.53,
 Region X , Gingoog City ,177.33,26.76,13.04,7.05,6.00,13.72,3.60,1.60,0.00,8.51,150.57,150.57,0.00,0.00,176.67,170.73,44.22,15.83,37.49,4.98,68.22,5.94,0.66,
 Region X , Oroquieta City ,116.87,13.17,6.63,2.47,4.16,6.54,3.07,0.77,0.00,2.70,103.70,103.69,0.01,0.00,112.08,87.36,24.86,11.87,32.72,1.91,16.00,24.71,4.79,
 Region X , Ozamis City ,156.97,39.60,21.02,6.49,14.53,18.58,7.95,3.36,0.00,7.27,117.37,117.37,0.00,0.00,161.35,149.02,72.56,25.43,27.91,0.00,23.13,12.34,-4.38,
 Region X , Surigao City ,164.80,32.83,16.12,4.81,11.31,16.72,11.85,1.90,0.00,2.97,131.96,131.96,0.00,0.00,161.31,104.74,29.63,17.23,21.69,6.90,29.29,56.57,3.49,
 Region X , Tangub City ,113.41,26.88,3.54,2.14,1.40,23.34,6.73,0.19,0.00,16.42,86.53,86.53,0.00,0.00,102.64,96.78,26.27,17.13,28.34,0.76,24.28,5.86,10.77,
 Region X , Total ,1652.18,486.58,276.62,80.72,195.91,209.96,76.89,33.70,19.24,80.13,1165.61,1142.05,23.56,0.00,1576.41,1320.53,419.74,267.61,256.88,64.42,311.89,255.87,75.77,
 Region XI , Davao City ,1535.45,736.82,360.68,146.93,213.74,376.15,34.52,38.25,108.30,195.08,798.62,798.62,0.00,0.00,1413.13,1006.57,383.04,203.17,154.25,60.76,205.36,406.56,122.31,
 Region XI , General Santos City ,367.89,139.27,75.74,20.05,55.68,63.53,13.10,23.48,0.00,26.96,228.61,228.61,0.00,0.00,336.24,320.65,83.97,78.90,53.28,2.09,102.40,15.60,31.64,
 Region XI , Total ,1903.33,876.10,436.41,166.99,269.43,439.68,47.62,61.73,108.30,222.03,1027.24,1027.24,0.00,0.00,1749.38,1327.22,467.01,282.08,207.52,62.85,307.76,422.16,153.96,
 Region XII , Cotabato City ,179.16,47.36,32.12,13.94,18.18,15.24,5.93,3.94,0.00,5.37,131.80,131.58,0.22,0.00,183.88,165.11,70.60,25.51,4.58,58.88,5.55,18.77,-4.72,
 Region XII , Iligan City ,570.38,287.42,232.26,163.90,68.36,55.17,13.80,11.52,5.00,24.85,282.95,282.95,0.00,0.00,507.25,450.00,155.84,123.48,48.92,27.77,93.99,57.25,63.13,
 Region XII , Marawi City ,93.23,2.70,2.08,0.05,2.02,0.62,0.03,0.59,0.00,0.00,90.53,89.11,1.42,0.00,93.14,65.14,29.04,7.14,6.97,0.57,21.42,28.01,0.09,
 Region XII , Total ,842.77,337.48,266.46,177.89,88.56,71.03,19.75,16.05,5.00,30.22,505.29,503.65,1.64,0.00,784.27,680.24,255.48,156.12,60.46,87.22,120.96,104.03,58.50,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
