city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Matnog,Councilor,"Estrelon, Carlos Jr. Garrido",Bong,Liberal Party,7051
Matnog,Councilor,"Gacis, Joseph Alan Gabito",Alan,Liberal Party,6696
Matnog,Councilor,"Ubaldo, Emilio Iii Garcia",Jay,Liberal Party,6599
Matnog,Councilor,"Garalde, Evelyn So",Belen,Unites Nationalist Alliance,5592
Matnog,Councilor,"Gavarra, Natividad Ubaldo",Dagay,Independent,5547
Pilar,Mayor,"Sy-Reyes, Dennis Almeda",Manoy,Nationalista PartyC,21971
Pilar,Vice-Mayor,"Lao, Celso Jr. Yap",Jun-Jun,Nationalista PartyC,17756
Pilar,Councilor,"Millano, Liezel Ansano",Zel,Nationalista PartyC,11939
Pilar,Councilor,"Gacosta, Francis Marchan",Cis,Nationalista PartyC,10669
Pilar,Councilor,"Abogado, Telesforo Jr. Greigo",Jun,Nationalista PartyC,9493
Pilar,Councilor,"Tee, Ramon Lerit",Talamon,Nationalista PartyC,9388
Pilar,Councilor,"Mananes, Ambrosio Pancho",Bosyo,Independent,9150
Pilar,Councilor,"Garchitorena, Arthur John Santos",Art,Nationalista PartyC,8781
Pilar,Councilor,"Romo, Marlyn Llona",Parabulong,Nationalista PartyC,8630
Pilar,Councilor,"Reyes, Sergio Jr. Blacer",Jun,Nationalista PartyC,8468
Prieto Diaz,Mayor,"Doma, Benito Lubrica",Boytee,Liberal Party,5355
Prieto Diaz,Vice-Mayor,"Destajo, Edwin Borjal",Edwin,Liberal Party,5568
Prieto Diaz,Councilor,"Emano, Alice Deticio",Alice,Unites Nationalist Alliance,4933
Prieto Diaz,Councilor,"Domalaon, Avon Deputo",Avon,Liberal Party,4681
Prieto Diaz,Councilor,"Bayoca, Vicente Boquio",Ente,Liberal Party,4484
Prieto Diaz,Councilor,"Destajo, Manuel Emano",Maning,Liberal Party,4322
Prieto Diaz,Councilor,"Dogelio, Joel Destajo",Boyet,Liberal Party,4280
Prieto Diaz,Councilor,"Bayoca, Erna Dionela",Erna,Unites Nationalist Alliance,4204
Prieto Diaz,Councilor,"Emata, Glenn Domalaon",Glenn,Liberal Party,4120
Prieto Diaz,Councilor,"Emano, Nenita Deticio",Nene,Nationalista Party,3959
Santa Magdalena,Mayor,"Gamos, Alejandro Escarlan",Andoy,Liberal Party,4813
Santa Magdalena,Vice-Mayor,"Gallanosa, Jocelyn Barreda",Teyen,Unites Nationalist Alliance,4188
Santa Magdalena,Councilor,"Correa, Gina Frayna",Gina,Independent,4059
Santa Magdalena,Councilor,"Frivaldo, Amparo Fullero",Dindin,Liberal Party,3804
Santa Magdalena,Councilor,"Fungo, Roy Acbo",Roy,Independent,3802
Santa Magdalena,Councilor,"Espela, Ramon Ragas",Rr,Liberal Party,3717
Santa Magdalena,Councilor,"Correa, Eric Garados",Eric,Liberal Party,3632
Santa Magdalena,Councilor,"Fuentes, Laureano Manga",Lanong,Liberal Party,3584
Santa Magdalena,Councilor,"Correa, Norman Galag",Man,Liberal Party,3526
Santa Magdalena,Councilor,"Jordan, Salvador Barbin",Buddy,Liberal Party,3439
Sorsogon City,City Mayor,"Lee, Sally Ante",Sally,Unites Nationalist Alliance,33895
Sorsogon City,City Vice-Mayor,"Dichoso, Ma. Charo Lastrilla",Cha,Nationalista PartyC,23282
Sorsogon City,Councilor - 1St District,"Destacamento, I Don",I,Nationalista PartyC,8331
Sorsogon City,Councilor - 1St District,"Divina, Roque Dechavez",Oking,Nationalista PartyC,8219
Sorsogon City,Councilor - 1St District,"Diolata, Emmanuel Diaz",Tiyo Maning,Independent,7206
Sorsogon City,Councilor - 1St District,"Dioneda, Hilario Dollente",Larry,Nationalista PartyC,7167
Sorsogon City,Councilor - 2Nd District,"Jamisola, Florencio Jr. Jubilo",Jun,Unites Nationalist Alliance,10005
Sorsogon City,Councilor - 2Nd District,"Laura, Joven Grafilo",Joven,Unites Nationalist Alliance,9796
Sorsogon City,Councilor - 2Nd District,"Jamisola, Mary Ellen Dechavez",Ellen,Nationalista PartyC,8919
Sorsogon City,Councilor - 2Nd District,"Lubiano, Ralph Walter Rivera",Chuck,Nationalista PartyC,7604
Sorsogon City,Councilor - 3Rd District,"Ayo, Aldin Valladolid",Coach,Nationalista PartyC,12361
Sorsogon City,Councilor - 3Rd District,"Jebulan, Rogelio Sr. Jardin",Kap,Nationalista PartyC,9529
Sorsogon City,Councilor - 3Rd District,"Duran, Fernando David Iii Hsu",Dave,Unites Nationalist Alliance,9261
Sorsogon City,Councilor - 3Rd District,"Ravanilla, Pedro Alindogan",Peter,Nationalista PartyC,8585
