particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     Region VI - WESTERN VISAYAS,1659409,223512,0,1421625,187068,0,1725960,411965,66934,1,
        Aklan State University,175522,20315,0,139669,15802,0,171023,39451,3550,,
        Capiz State University,280318,26830,0,240473,22716,0,291462,49671,7700,,
        Carlos C. Hilado Memorial State College,116071,12993,0,92146,14937,0,114452,37142,3273,,
        Guimaras State College,28281,3565,0,24576,2515,0,31019,7504,3500,,
        Iloilo State College of Fisheries,138730,18388,0,128127,9754,0,137888,19067,3773,,
        Negros State College of Agriculture,38961,13606,0,33783,8150,0,40594,20883,3550,,
        Northern Iloilo Polytechnic State College,180277,17304,0,156334,16172,0,189570,23734,3773,,
        Northern Negros State College of,,,,,,,,,,,
           Science and Technology,26644,3730,0,23677,4358,0,28625,12802,3500,,
        University of Antique (Polytechnic,,,,,,,,,,,
           State College of Antique),95110,12321,0,87607,13920,0,101871,31586,7700,,
        Western Visayas College of Science,,,,,,,,,,,
           and Technology,196594,26405,0,166911,26951,0,209963,59982,7700,,
        West Visayas State University,382901,68055,0,328322,51793,0,409493,110143,18915,,
,,,,,,,,,,,
     Region VII - CENTRAL VISAYAS,650482,120884,0,560914,140660,0,668126,284078,41373,1,
        Cebu Normal University,73986,30727,0,67225,35632,0,77445,64764,18700,,
        Cebu Technological University (Cebu,,,,,,,,,,,
           State College of Science and Technology),265968,31380,0,228911,37310,0,276916,93421,7700,,
        Bohol Island State University ,,,,,,,,,,,
           (Central Visayas State College of,,,,,,,,,,,
"           Agr.,  Forestry and Tech.)",127532,14911,0,104466,24606,0,127491,44918,3500,,
        Negros Oriental State University,,,,,,,,,,,
           (Central Visayas Polytechnic College),150148,40884,0,132986,38895,0,151075,70719,7700,,
        Siquijor State College,32848,2982,0,27326,4217,0,35199,10256,3773,,
,,,,,,,,,,,
     Region VIII - EASTERN VISAYAS,1495635,176617,9796,1312977,165256,0,1568141,319892,94773,1,
        Eastern Samar State University,184834,20957,198,152359,12501,0,195518,28135,7700,,
        Eastern Visayas State University,,,,,,,,,,,
           (Leyte Institute of Technology),198160,22866,98,179464,26678,0,215417,44072,7700,,
        Leyte Normal University,85303,23600,0,77038,18272,0,92831,44371,18700,,
        Visayas State University (Leyte State University),307969,28976,9500,277232,28836,0,327292,52595,18700,,
        Naval State University (Naval,,,,,,,,,,,
           Institute of Technology),80043,12650,0,68339,12470,0,81109,26656,7700,,
        Palompon Institute of Technology,81865,8250,0,71786,9904,0,83939,16396,7700,,
        Southern Leyte State University,,,,,,,,,,,
           (Southern Leyte State College of,,,,,,,,,,,
           Sci. and Tech. and TONC),130512,16318,0,114848,14720,0,141564,28347,3473,,
        Samar State University (Samar State,,,,,,,,,,,
           Polytechnic College),111401,11182,0,98506,11414,0,111677,20116,7700,,
        Northwest Samar State University,,,,,,,,,,,
           (TTMIST and SSCAF),77382,15735,0,70053,11970,0,79720,27210,7700,,
        University of Eastern Philippines,238166,16083,0,203352,18491,0,239074,31994,7700,,
,,,,,,,,,,,
     Region IX - ZAMBOANGA PENINSULA,631541,56101,150,537761,78695,0,639697,150034,32900,1,
        J. H. Cerilles State College,57061,8770,0,48198,8825,0,61682,17556,3550,,
        Jose Rizal Memorial State University,,,,,,,,,,,
           (Jose Rizal Memorial State College),155601,13052,150,127491,14165,0,156444,22925,3550,,
        Western Mindanao State University,267411,20772,0,227889,39938,0,266182,82905,18700,,
        Zamboanga City State Polytechnic College,68243,3854,0,60515,4627,0,69422,12896,3550,,
        Zamboanga State College of Marine,,,,,,,,,,,
           Sciences and Technology,83225,9653,0,73668,11140,0,85967,13752,3550,,
,,,,,,,,,,,
     Region X - NORTHERN MINDANAO,933436,143696,3000,806886,150074,0,1001790,283864,205673,1,
        Bukidnon State University,85979,15004,0,74295,15788,0,88804,44143,7700,,
        Camiguin Polytechnic State College,27806,4334,0,25180,5203,0,30750,10722,3473,,
        Central Mindanao University,225414,35333,0,217365,42458,0,274972,72763,18700,,
        Mindanao University of Science and Technology,107097,18201,3000,78330,20817,0,88894,40078,18700,,
        MSU-Iligan Institute of Technology,436531,63234,0,369306,58315,0,469479,102119,150000,,
        Misamis Oriental State College of,,,,,,,,,,,
           Agriculture and Technology,33073,5008,0,28769,4634,0,33187,8905,3550,,
        Northwestern Mindanao State College,,,,,,,,,,,
           of Science and Technology,17536,2582,0,13641,2859,0,15704,5134,3550,,
,,,,,,,,,,,
     Region XI - DAVAO REGION,310029,71401,10801,253748,50980,0,310999,108978,33862,1,
        Davao del Norte State College,39617,4124,632,32656,5317,0,39283,8907,3550,,
        Davao Oriental State College of,,,,,,,,,,,
           Science and Technology,52911,6257,0,40546,5545,0,50166,18079,7700,,
        Southern Philippines Agri-Business,,,,,,,,,,,
           and Marine and Aquatic School of Technology,39515,2847,211,34919,3907,0,42226,10876,3550,,
        University of Southeastern Philippines,177986,58173,9958,145627,36211,0,179324,71116,19062,,
,,,,,,,,,,,
     Region XII - MAIN SOCCSKSARGEN,507542,61100,0,447755,56580,0,534861,103466,33423,1,
        Cotabato City State Polytechnic College,71743,8811,0,64754,7163,0,71111,7193,3550,,
        Cotabato Foundation College of,,,,,,,,,,,
           Science and Technology,66966,10452,0,57703,10704,0,66613,10907,3473,,
        Sultan Kudarat State University,,,,,,,,,,,
           (Sultan Kudarat Polytechnic State College),95648,7840,0,80746,9172,0,98036,25823,7700,,
        University of Southern Mindanao,273185,33997,0,244552,29541,0,299101,59543,18700,,
,,,,,,,,,,,
     AUTONOMOUS REGION IN MUSLIM MINDANAO,2169252,103150,15088,1906375,92939,0,2321313,117430,942715,1,
        Adiong Memorial Polytechnic State College,14949,3331,0,13164,3085,0,16118,1468,3473,,
        Basilan State College,42039,5880,9988,37242,6188,0,45827,10986,3550,,
        Mindanao State University,1697404,76218,5100,1501106,66996,0,1821594,77813,868592,,
        MSU-Tawi-Tawi College of Technology,,,,,,,,,,,
           and Oceanography,312261,10266,0,275549,9508,0,330369,9973,60000,,
        Sulu State College,60310,2930,0,40583,2714,0,62916,12173,3550,,
        Tawi-Tawi Regional Agricultural College,42289,4525,0,38731,4448,0,44489,5017,3550,,
,,,,,,,,,,,
     CARAGA ADMINISTRATIVE REGION,309613,39090,1413,267848,34606,0,316290,97576,14123,1,
        Agusan del Sur State College of,,,,,,,,,,,
           Agriculture and Technology,29458,6239,373,24436,3463,0,28003,7086,3473,,
        Caraga State University (Northern,,,,,,,,,,,
           Mindanao State Institute of,,,,,,,,,,,
           Science and Technology),73132,14320,1040,62086,11100,0,70973,28847,3550,,
        Surigao del Sur State University,,,,,,,,,,,
           (Surigao del Sur Polytechnic State College),104820,11013,0,92988,11934,0,113934,34086,3550,,
        Surigao State College of Technology,102203,7518,0,88338,8109,0,103380,27557,3550,,
,,,,,,,,,,,
   Department of Energy,280376,795151,209638,254303,1174261,7386163,317403,1491483,2538181,1,
     Office of the Secretary,280376,795151,209638,254303,1174261,7386163,317403,1491483,2538181,,
,,,,,,,,,,,
   Department of Environment and Natural Resources,6296883,4021583,2902539,5300223,8933988,3230601,5879489,11658345,6090670,1,
     Office of the Secretary,5204262,3078307,2459092,4364919,7775568,2727780,4813536,8844247,4729265,,
     Environmental Management Bureau,262007,302118,167728,236086,358322,238271,266205,459507,368950,,
     Mines and Geo-Sciences Bureau,456681,192589,57179,384911,245183,112400,439360,463160,135600,,
     National Mapping and Resource,,,,,,,,,,,
        Information Authority,301576,411096,216435,248363,511940,151262,282623,1843789,852737,,
