particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
          Office of the Secretary,"3,200,754",0,"174,499",0,0,"179,712",0,"10,372",0,"383,439","15,048",0,"31,841",0,"14,682",0,0,"199,480","336,025",0,0,"635,444",0,"5,181,296"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"2,460,669",0,"71,098",0,0,"110,680",0,"9,553",0,"279,765","12,958",0,"25,907",0,"12,632",0,367,"42,403","252,013",0,0,"504,716",0,"3,782,761"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,732,063",0,"64,381",0,0,"87,087",0,"5,408",0,"194,264","9,195",0,"18,448",0,"9,230",0,339,"25,535","175,223",0,0,"378,996",0,"2,700,169"
          Agricultural Credit Policy Council,"13,734",0,0,0,0,"1,225",0,"2,093",0,"1,405",37,0,109,0,37,0,28,"1,593","1,178",0,0,"1,285",0,"22,724"
          Bureau of Fisheries and Aquatic Resources,"307,335",0,"4,291",0,0,"10,431",0,0,0,"35,858","1,532",0,"3,250",0,"1,535",0,0,"4,671","32,897",0,0,"52,135",0,"453,935"
          Cotton Development Administration,"34,908",0,0,0,0,536,0,0,0,"4,079",144,0,387,0,142,0,0,"1,434","3,560",0,0,"5,772",0,"50,962"
          Fertilizer and Pesticide Authority,"21,287",0,54,0,0,"1,113",0,0,0,"2,519",87,0,235,0,86,0,0,721,"2,238",0,0,"3,625",0,"31,965"
          Fiber Industry Development Authority,"120,291",0,734,0,0,"4,600",0,"2,052",0,"14,401",588,0,"1,259",0,594,0,0,"1,104","12,786",0,0,"19,219",0,"177,628"
          Livestock Development Council,"6,213",0,182,0,0,5,0,0,0,733,28,0,65,0,9,0,0,383,637,0,0,"1,675",0,"9,930"
          National Agricultural and Fishery Council,"31,370",0,"1,456",0,0,"4,513",0,0,0,"3,704",149,0,366,0,148,0,0,660,"3,408",0,0,"5,895",0,"51,669"
          National Meat Inspection Service,"101,560",0,0,0,0,"1,080",0,0,0,"12,162",438,0,811,0,440,0,0,"2,136","10,593",0,0,"13,950",0,"143,170"
          Philippine Carabao Center,"52,802",0,0,0,0,90,0,0,0,"5,931",603,0,548,0,256,0,0,"2,299","5,425",0,0,"8,531",0,"76,485"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"39,106",0,0,0,0,0,0,0,0,"4,709",157,0,429,0,155,0,0,"1,867","4,068",0,0,"13,633",0,"64,124"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"702,687",0,"18,057",0,0,725,0,0,0,"623,751",935,0,"1,798",0,940,0,0,"15,520","26,391",0,0,"76,506",0,"1,467,310"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"702,687",0,"9,738",0,0,725,0,0,0,"623,751",935,0,"1,798",0,940,0,0,"15,520","26,391",0,0,"76,506",0,"1,458,991"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,0,0,"8,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,319"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"126,150,956",0,"2,027,877","7,944",0,"706,100",0,"451,495",0,"15,394,893","677,683",0,"1,377,408",0,"655,991",0,"74,436","81,129","12,883,959","106,399",0,"26,223,437",0,"186,819,707"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"126,075,434",0,"2,027,759","7,944",0,"705,146",0,"451,495",0,"15,385,990","677,272",0,"1,376,694",0,"655,620",0,"73,684","77,972","12,875,599","106,399",0,"26,207,774",0,"186,704,782"
          National Book Development Board,"6,974",0,0,0,0,0,0,0,0,789,28,0,70,0,27,0,0,636,699,0,0,848,0,"10,071"
          National Council for Children's Television,"1,514",0,0,0,0,180,0,0,0,180,5,0,13,0,5,0,0,168,154,0,0,167,0,"2,386"
          National Museum,"57,131",0,87,0,0,774,0,0,0,"6,884",333,0,528,0,325,0,752,"2,003","6,429",0,0,"13,160",0,"88,406"
          Philippine High School for the Arts,"9,903",0,31,0,0,0,0,0,0,"1,050",45,0,103,0,14,0,0,350,"1,078",0,0,"1,488",0,"14,062"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"15,454,726",0,"636,928",0,0,"329,120",0,"171,306",0,"1,848,092","76,517",0,"148,940",0,"72,230",0,"9,831","828,049","1,650,605",0,0,"2,832,531",0,"24,058,875"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"4,851,340",0,"293,718",0,0,"126,614",0,"84,859",0,"587,778","23,535",0,"40,978",0,"23,331",0,147,"499,671","539,184",0,0,"953,086",0,"8,024,241"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"88,899",0,"1,462",0,0,60,0,0,0,"10,073",408,0,841,0,398,0,0,"2,415","9,400",0,0,"13,531",0,"127,487"
               Marikina Polytechnic College,"42,774",0,391,0,0,36,0,0,0,"5,076",226,0,410,0,204,0,130,"5,334","4,873",0,0,"8,062",0,"67,516"
               Philippine Normal University,"157,583",0,"3,308",0,0,224,0,0,0,"17,359",557,0,"1,523",0,556,0,0,"67,009","16,437",0,0,"20,134",0,"284,690"
               Philippine State College of Aeronautics,"35,877",0,"1,102",0,0,52,0,0,0,"4,359",170,0,419,0,175,0,0,"3,307","3,915",0,0,"8,076",0,"57,452"
               Polytechnic University of the Philippines,"456,747",0,"24,508",0,0,"8,240",0,"1,515",0,"54,315","2,078",0,"4,442",0,"2,109",0,0,"75,600","48,328",0,0,"85,534",0,"763,416"
               Rizal Technological University,"110,230",0,521,0,0,"1,908",0,0,0,"13,135",487,0,"1,234",0,482,0,17,352,"11,581",0,0,"17,168",0,"157,115"
               Technological University of the Philippines,"223,426",0,"9,207",0,0,734,0,0,0,"27,098","1,032",0,"2,445",0,"1,029",0,0,"45,498","23,459",0,0,"39,650",0,"373,578"
               University of the Philippines System,"3,735,804",0,"253,219",0,0,"115,360",0,"83,344",0,"456,363","18,577",0,"29,664",0,"18,378",0,0,"300,156","421,191",0,0,"760,931",0,"6,192,987"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"862,258",0,"68,398",0,0,"15,282",0,0,0,"109,151","5,582",0,"8,750",0,"3,613",0,0,"34,611","89,254",0,0,"168,241",0,"1,365,140"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"285,615",0,"18,943",0,0,"3,482",0,0,0,"39,200","1,236",0,"2,975",0,923,0,0,"10,661","29,888",0,0,"45,682",0,"438,605"
               Ilocos Sur Polytechnic State College,"72,521",0,"4,440",0,0,"1,135",0,0,0,"8,721",380,0,855,0,372,0,0,"1,317","7,863",0,0,"14,572",0,"112,176"
               Mariano Marcos State University,"206,837",0,"21,800",0,0,"1,730",0,0,0,"22,380","2,523",0,"2,192",0,905,0,0,"15,578","20,375",0,0,"29,820",0,"324,140"
               North Luzon Philippines State College,"11,864",0,535,0,0,135,0,0,0,"1,416",62,0,107,0,61,0,0,152,"1,244",0,0,"3,231",0,"18,807"
               Pangasinan State University,"131,867",0,"20,965",0,0,"5,590",0,0,0,"19,338",722,0,"1,192",0,695,0,0,"4,526","16,691",0,0,"52,725",0,"254,311"
               University of Northern Philippines,"153,554",0,"1,715",0,0,"3,210",0,0,0,"18,096",659,0,"1,429",0,657,0,0,"2,377","13,193",0,0,"22,211",0,"217,101"
,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"430,843",0,"7,100",0,0,"5,515",0,"2,217",0,"50,039","2,309",0,"4,202",0,"1,798",0,642,"17,150","44,584",0,0,"70,251",0,"636,650"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"52,089",0,467,0,0,0,0,0,0,"6,376",573,0,548,0,2,0,150,"3,866","6,770",0,0,"8,294",0,"79,135"
               Apayao State College,"26,036",0,"1,782",0,0,236,0,0,0,"3,231",125,0,309,0,125,0,53,575,"2,844",0,0,"5,351",0,"40,667"
               Benguet State University,"190,456",0,"1,931",0,0,"2,130",0,"2,217",0,"21,266",864,0,"1,756",0,876,0,0,"6,297","18,072",0,0,"28,979",0,"274,844"
               Ifugao State University,"70,019",0,"1,909",0,0,758,0,0,0,"8,385",322,0,686,0,328,0,0,"3,943","7,412",0,0,"10,740",0,"104,502"
               Kalinga-Apayao State College,"49,262",0,235,0,0,"1,678",0,0,0,"5,567",215,0,532,0,261,0,0,"2,279","4,820",0,0,"6,923",0,"71,772"
               Mountain Province State Polytechnic College,"42,981",0,776,0,0,713,0,0,0,"5,214",210,0,371,0,206,0,439,190,"4,666",0,0,"9,964",0,"65,730"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"673,231",0,"18,824",0,0,"16,521",0,"6,080",0,"80,279","3,019",0,"6,283",0,"2,912",0,0,"19,360","75,185",0,0,"101,439",0,"1,003,133"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"11,344",0,"1,746",0,0,35,0,0,0,"1,349",57,0,121,0,55,0,0,260,"1,346",0,0,"1,969",0,"18,282"
               Cagayan State University,"200,484",0,"11,584",0,0,"5,516",0,0,0,"23,372",915,0,"1,486",0,793,0,0,"10,192","23,766",0,0,"31,340",0,"309,448"
               Isabela State University,"297,741",0,"4,180",0,0,"7,244",0,"2,941",0,"35,928","1,319",0,"2,945",0,"1,341",0,0,"3,453","32,700",0,0,"43,778",0,"433,570"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"139,174",0,"1,314",0,0,"1,511",0,"3,139",0,"16,714",616,0,"1,479",0,613,0,0,"4,623","14,846",0,0,"20,622",0,"204,651"
               Quirino State College,"24,488",0,0,0,0,"2,215",0,0,0,"2,916",112,0,252,0,110,0,0,832,"2,527",0,0,"3,730",0,"37,182"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"1,070,049",0,"20,188",0,0,"38,430",0,"15,832",0,"127,684","4,935",0,"10,150",0,"5,048",0,962,"28,625","111,708",0,0,"163,930",0,"1,597,541"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"24,333",0,"1,038",0,0,0,0,0,0,"2,760",119,0,264,0,116,0,0,"2,112","2,449",0,0,"2,887",0,"36,078"
               Bataan Peninsula State University,"101,463",0,"5,001",0,0,853,0,0,0,"12,141",498,0,878,0,496,0,16,"1,124","11,101",0,0,"18,004",0,"151,575"
               Central Luzon State University,"223,052",0,804,0,0,"9,922",0,"10,093",0,"26,212","1,033",0,"1,980",0,"1,032",0,0,"1,893","23,452",0,0,"26,923",0,"326,396"
               Bulacan State University,"129,618",0,0,0,0,"4,008",0,"4,196",0,"15,572",565,0,"1,477",0,561,0,824,"3,678","13,709",0,0,"20,499",0,"194,707"
               Bulacan Agricultural State College,"33,678",0,0,0,0,760,0,0,0,"4,040",152,0,344,0,151,0,122,858,"3,624",0,0,"6,266",0,"49,995"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"70,846",0,"4,769",0,0,0,0,298,0,"8,918",399,0,874,0,368,0,0,938,"7,240",0,0,"10,780",0,"105,430"
               Nueva Ecija University of Science and Technology,"140,208",0,719,0,0,"1,577",0,"1,245",0,"16,682",614,0,"1,435",0,612,0,0,"1,946","13,585",0,0,"19,535",0,"198,158"
               Pampanga Agricultural College,"68,426",0,"1,570",0,0,"4,524",0,0,0,"8,214",329,0,561,0,323,0,0,"4,084","7,336",0,0,"10,960",0,"106,327"
               Philippine Merchant Marine Academy,"37,802",0,"1,622",0,0,68,0,0,0,"5,141",198,0,196,0,199,0,0,"6,850","4,057",0,0,"7,320",0,"63,453"
               Ramon Magsaysay Technological University,"70,999",0,"1,599",0,0,"10,856",0,0,0,"7,925",307,0,488,0,473,0,0,"2,215","7,252",0,0,"10,580",0,"112,694"
               Tarlac College of Agriculture,"70,684",0,"3,063",0,0,"5,645",0,0,0,"8,559",319,0,934,0,317,0,0,"2,008","7,741",0,0,"15,740",0,"115,010"
               Tarlac State University,"98,940",0,3,0,0,217,0,0,0,"11,520",402,0,719,0,400,0,0,919,"10,162",0,0,"14,436",0,"137,718"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"619,206",0,"10,124",0,0,"5,265",0,0,0,"72,937","3,128",0,"6,878",0,"2,968",0,271,"26,521","64,581",0,0,"118,203",0,"930,082"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"132,425",0,"1,603",0,0,921,0,0,0,"16,187",638,0,"1,418",0,635,0,0,"5,288","14,314",0,0,"22,194",0,"195,623"
               Cavite State University,"123,643",0,"3,319",0,0,"1,394",0,0,0,"14,626",563,0,"1,318",0,537,0,0,"10,016","12,965",0,0,"19,537",0,"187,918"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"108,603",0,"1,415",0,0,"1,831",0,0,0,"12,850",582,0,"1,293",0,659,0,0,"1,954","12,472",0,0,"21,513",0,"163,172"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"82,844",0,"1,363",0,0,"1,119",0,0,0,"9,911",581,0,960,0,375,0,271,"4,482","7,483",0,0,"25,274",0,"134,663"
               University of Rizal System,"171,691",0,"2,424",0,0,0,0,0,0,"19,363",764,0,"1,889",0,762,0,0,"4,781","17,347",0,0,"29,685",0,"248,706"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"403,851",0,"7,601",0,0,"3,450",0,"1,213",0,"48,134","2,057",0,"4,770",0,"1,988",0,737,"6,008","43,209",0,0,"86,827",0,"609,845"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"39,987",0,307,0,0,622,0,0,0,"4,808",188,0,473,0,190,0,0,517,"4,125",0,0,"10,262",0,"61,479"
               Mindoro State College of Agriculture and Technology,"53,478",0,728,0,0,418,0,"1,213",0,"6,467",284,0,486,0,265,0,0,363,"5,767",0,0,"9,165",0,"78,634"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),"64,048",0,"2,740",0,0,"1,208",0,0,0,"7,850",330,0,771,0,328,0,0,"1,291","7,141",0,0,"14,140",0,"99,847"
               Palawan State University,"113,076",0,837,0,0,125,0,0,0,"13,597",539,0,"1,314",0,536,0,50,"2,148","12,081",0,0,"31,953",0,"176,256"
               Romblon State University (Romblon State College),"64,335",0,471,0,0,372,0,0,0,"7,373",385,0,785,0,343,0,118,"1,027","6,936",0,0,"10,360",0,"92,505"
               Western Philippines University,"68,927",0,"2,518",0,0,705,0,0,0,"8,039",331,0,941,0,326,0,569,662,"7,159",0,0,"10,947",0,"101,124"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"798,184",0,"24,348",0,0,"12,908",0,"2,619",0,"90,139","3,537",0,"8,205",0,"3,514",0,"1,516","22,202","81,464",0,0,"176,668",0,"1,225,304"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"288,896",0,"4,022",0,0,"5,362",0,"1,606",0,"31,040","1,072",0,"2,796",0,"1,106",0,0,"6,704","27,976",0,0,"35,693",0,"406,273"
               Camarines Norte State College,"87,764",0,"1,478",0,0,241,0,0,0,"10,018",440,0,820,0,438,0,0,"1,314","8,168",0,0,"11,029",0,"121,710"
               Camarines Sur Polytechnic Colleges,"60,275",0,"1,192",0,0,0,0,"1,013",0,"6,360",285,0,739,0,271,0,0,"1,417","6,575",0,0,"13,370",0,"91,497"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"108,000",0,"11,550",0,0,"3,349",0,0,0,"12,874",489,0,"1,229",0,479,0,0,"2,860","11,533",0,0,"31,758",0,"184,121"
               Catanduanes State Colleges,"99,019",0,"3,576",0,0,410,0,0,0,"11,281",472,0,785,0,448,0,305,"7,231","10,467",0,0,"30,618",0,"164,612"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"26,468",0,328,0,0,680,0,0,0,"3,160",135,0,307,0,132,0,73,631,"2,887",0,0,"5,752",0,"40,553"
               Partido State University,"58,947",0,"1,204",0,0,859,0,0,0,"7,093",329,0,712,0,325,0,0,865,"6,249",0,0,"31,790",0,"108,373"
               Sorsogon State College,"68,815",0,998,0,0,"2,007",0,0,0,"8,313",315,0,817,0,315,0,"1,138","1,180","7,609",0,0,"16,658",0,"108,165"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"1,104,503",0,"18,307",0,0,"13,334",0,"6,660",0,"131,630","5,099",0,"10,723",0,"4,979",0,"1,702","18,368","117,737",0,0,"226,367",0,"1,659,409"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"108,840",0,"3,946",0,0,"1,255",0,0,0,"13,402",520,0,"1,235",0,459,0,517,"5,462","11,628",0,0,"28,258",0,"175,522"
               Capiz State University,"192,758",0,"2,509",0,0,"5,031",0,0,0,"22,589",750,0,"1,524",0,743,0,455,"1,574","20,126",0,0,"32,259",0,"280,318"
               Carlos C. Hilado Memorial State College,"74,136",0,347,0,0,536,0,0,0,"9,156",383,0,783,0,395,0,459,"3,775","8,589",0,0,"17,512",0,"116,071"
               Guimaras State College,"18,411",0,245,0,0,366,0,0,0,"2,248",97,0,215,0,80,0,0,197,"1,968",0,0,"4,454",0,"28,281"
               Iloilo State College of Fisheries,"92,242",0,"4,474",0,0,112,0,0,0,"11,122",443,0,888,0,436,0,0,275,"9,732",0,0,"19,006",0,"138,730"
               Negros State College of Agriculture,"25,419",0,112,0,0,"1,220",0,0,0,"3,042",132,0,230,0,130,0,0,180,"2,769",0,0,"5,727",0,"38,961"
               Northern Iloilo Polytechnic State College,"122,493",0,288,0,0,"1,401",0,0,0,"14,441",589,0,"1,409",0,571,0,0,"1,848","12,632",0,0,"24,605",0,"180,277"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"18,159",0,48,0,0,156,0,0,0,"2,163",82,0,206,0,82,0,0,447,"1,938",0,0,"3,363",0,"26,644"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"62,413",0,"1,216",0,0,663,0,"1,034",0,"7,472",309,0,453,0,303,0,0,792,"6,616",0,0,"13,839",0,"95,110"
               Western Visayas College of Science and Technology,"135,605",0,"2,780",0,0,0,0,890,0,"15,549",589,0,"1,272",0,597,0,34,"1,052","14,435",0,0,"23,791",0,"196,594"
               West Visayas State University,"254,027",0,"2,342",0,0,"2,594",0,"4,736",0,"30,446","1,205",0,"2,508",0,"1,183",0,237,"2,766","27,304",0,0,"53,553",0,"382,901"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"432,424",0,"2,321",0,0,"2,907",0,0,0,"52,213","2,209",0,"4,756",0,"1,996",0,"2,567","21,830","45,950",0,0,"81,309",0,"650,482"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"47,903",0,277,0,0,"1,281",0,0,0,"5,876",203,0,371,0,209,0,0,"6,489","4,573",0,0,"6,804",0,"73,986"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"175,702",0,0,0,0,"1,365",0,0,0,"21,927",858,0,"2,029",0,842,0,"2,567","8,950","18,931",0,0,"32,797",0,"265,968"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"81,066",0,863,0,0,261,0,0,0,"9,700",402,0,940,0,412,0,0,"2,781","8,842",0,0,"22,265",0,"127,532"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"105,919",0,885,0,0,0,0,0,0,"11,997",432,0,"1,155",0,411,0,0,"3,009","11,113",0,0,"15,227",0,"150,148"
               Siquijor State College,"21,834",0,296,0,0,0,0,0,0,"2,713",314,0,261,0,122,0,0,601,"2,491",0,0,"4,216",0,"32,848"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"976,400",0,"36,346",0,0,"16,861",0,"1,334",0,"118,247","4,926",0,"9,444",0,"4,942",0,972,"38,014","107,560",0,0,"180,589",0,"1,495,635"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"116,786",0,"2,827",0,0,"2,473",0,183,0,"14,407",641,0,"1,340",0,627,0,0,"5,207","13,127",0,0,"27,216",0,"184,834"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"130,643",0,"1,827",0,0,624,0,0,0,"15,969",628,0,"1,092",0,642,0,0,"9,333","14,218",0,0,"23,184",0,"198,160"
               Leyte Normal University,"58,164",0,387,0,0,0,0,0,0,"6,949",296,0,615,0,294,0,0,"3,221","7,983",0,0,"7,394",0,"85,303"
               Visayas State University (Leyte State University),"191,547",0,"21,294",0,0,"4,218",0,0,0,"23,665",983,0,"1,551",0,996,0,972,"4,238","20,665",0,0,"37,840",0,"307,969"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"50,481",0,920,0,0,"1,994",0,0,0,"6,156",262,0,589,0,250,0,0,563,"5,948",0,0,"12,880",0,"80,043"
               Palompon Institute of Technology,"53,977",0,"1,477",0,0,382,0,0,0,"6,550",252,0,447,0,254,0,0,"2,222","5,850",0,0,"10,454",0,"81,865"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
