particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
          Office of the Secretary,          Office of the Secretary,5106846,14410707,1915841,0,0,0,394570,0,0,4712276,14410707,1915841,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,     Department of Agriculture,3848527,19667158,40210924,0,0,0,313110,208513,73763,3535417,19383245,40062161,0,75400,75000,0,0,0,1
          Office of the Secretary,          Office of the Secretary,2620694,15461675,37548114,0,0,0,217829,57821,67493,2402865,15403854,37480621,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Agricultural Credit Policy Council,          Agricultural Credit Policy Council,21634,8978,1000000,0,0,0,1818,0,0,19816,8978,1000000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Fisheries and Aquatic Resources,          Bureau of Fisheries and Aquatic Resources,577771,3015299,1055874,0,0,0,39272,0,0,538499,3015299,1055874,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cotton Development Administration,          Cotton Development Administration,53232,8882,0,0,0,0,4668,0,0,48564,8882,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fertilizer and Pesticide Authority,          Fertilizer and Pesticide Authority,32111,26772,1843,0,0,0,2823,0,0,29288,26772,1843,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fiber Industry Development Authority,          Fiber Industry Development Authority,173353,72824,19220,0,0,0,15178,0,0,158175,72824,19220,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Livestock Development Council,          Livestock Development Council,10444,32174,5000,0,0,0,864,0,0,9580,32174,5000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Agricultural and Fishery Council,          National Agricultural and Fishery Council,49842,525200,145915,0,0,0,4482,150692,6270,45360,374508,139645,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Meat Inspection Service,          National Meat Inspection Service,160119,143137,311650,0,0,0,13915,0,0,146204,67737,236650,0,75400,75000,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Carabao Center,          Philippine Carabao Center,78652,278157,115448,0,0,0,6768,0,0,71884,278157,115448,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Center for Postharvest,          Philippine Center for Postharvest,,,,,,,,,,,,,,,,,,,
                Development and Mechanization,                Development and Mechanization,70675,94060,7860,0,0,0,5493,0,0,65182,94060,7860,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,     Department of Budget and Management,439390,454333,104435,0,0,0,36149,0,0,403241,454333,104435,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,423742,436834,103792,0,0,0,36149,0,0,387593,436834,103792,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Government Procurement Policy Board -,          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,
                Technical Support Office,                Technical Support Office,15648,17499,643,0,0,0,0,0,0,15648,17499,643,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Education,     Department of Education,204931908,29993168,14280208,0,0,0,17817030,0,0,187114878,29993168,14280208,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,204812486,29795448,13929514,0,0,0,17806987,0,0,187005499,29795448,13929514,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Book Development Board,          National Book Development Board,11322,11819,1400,0,0,0,866,0,0,10456,11819,1400,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Council for Children's Television,          National Council for Children's Television,3318,4488,0,0,0,0,218,0,0,3100,4488,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Museum,          National Museum,88213,132580,342817,0,0,0,7531,0,0,80682,132580,342817,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine High School for the Arts,          Philippine High School for the Arts,16569,48833,6477,0,0,0,1428,0,0,15141,48833,6477,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,     State Universities and Colleges,25129475,6429449,3365000,0,0,0,2153221,0,0,22976254,6429449,3365000,0,0,0,0,0,0,1
          NATIONAL CAPITAL REGION,          NATIONAL CAPITAL REGION,8494653,2556647,1505601,0,0,0,710146,0,0,7784507,2556647,1505601,0,0,0,0,0,0,1
               Eulogio 'Amang' Rodriguez Institute,               Eulogio 'Amang' Rodriguez Institute,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,130950,30814,3550,0,0,0,11356,0,0,119594,30814,3550,0,0,0,0,0,0,0
               Marikina Polytechnic College,               Marikina Polytechnic College,66443,12917,3550,0,0,0,5643,0,0,60800,12917,3550,0,0,0,0,0,0,0
               Philippine Normal University,               Philippine Normal University,298119,138777,18851,0,0,0,21957,0,0,276162,138777,18851,0,0,0,0,0,0,0
               Philippine State College of Aeronautics,               Philippine State College of Aeronautics,55411,16598,3550,0,0,0,4715,0,0,50696,16598,3550,0,0,0,0,0,0,0
               Polytechnic University of the Philippines,               Polytechnic University of the Philippines,797741,173816,7700,0,0,0,62428,0,0,735313,173816,7700,0,0,0,0,0,0,0
               Rizal Technological University,               Rizal Technological University,176394,46873,7700,0,0,0,14861,0,0,161533,46873,7700,0,0,0,0,0,0,0
               Technological University of the Philippines,               Technological University of the Philippines,392220,80405,7700,0,0,0,31861,0,0,360359,80405,7700,0,0,0,0,0,0,0
               University of the Philippines System,               University of the Philippines System,6577375,2056447,1453000,0,0,0,557325,0,0,6020050,2056447,1453000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,          Region I - ILOCOS,1370178,307714,58423,0,0,0,119383,0,0,1250795,307714,58423,0,0,0,0,0,0,1
               Don Mariano Marcos Memorial State University,               Don Mariano Marcos Memorial State University,462574,79091,18700,0,0,0,40660,0,0,421914,79091,18700,0,0,0,0,0,0,0
               Ilocos Sur Polytechnic State College,               Ilocos Sur Polytechnic State College,109900,15954,3550,0,0,0,9491,0,0,100409,15954,3550,0,0,0,0,0,0,0
               Mariano Marcos State University,               Mariano Marcos State University,300709,75811,17000,0,0,0,25908,0,0,274801,75811,17000,0,0,0,0,0,0,0
               North Luzon Philippines State College,               North Luzon Philippines State College,20557,4112,3773,0,0,0,1749,0,0,18808,4112,3773,0,0,0,0,0,0,0
               Pangasinan State University,               Pangasinan State University,240124,76387,7700,0,0,0,20689,0,0,219435,76387,7700,0,0,0,0,0,0,0
               University of Northern Philippines,               University of Northern Philippines,236314,56359,7700,0,0,0,20886,0,0,215428,56359,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,          CORDILLERA ADMINISTRATIVE REGION,633964,167384,49200,0,0,0,54282,0,0,579682,167384,49200,0,0,0,0,0,0,1
               Abra State Institute of Science and Technology,               Abra State Institute of Science and Technology,75087,15478,3550,0,0,0,6377,0,0,68710,15478,3550,0,0,0,0,0,0,0
               Apayao State College,               Apayao State College,41410,8260,3550,0,0,0,3494,0,0,37916,8260,3550,0,0,0,0,0,0,0
               Benguet State University,               Benguet State University,280019,70941,19000,0,0,0,24193,0,0,255826,70941,19000,0,0,0,0,0,0,0
               Ifugao State University,               Ifugao State University,103817,27126,7700,0,0,0,8848,0,0,94969,27126,7700,0,0,0,0,0,0,0
               Kalinga-Apayao State College,               Kalinga-Apayao State College,66925,19442,7700,0,0,0,5617,0,0,61308,19442,7700,0,0,0,0,0,0,0
               Mountain Province State Polytechnic College,               Mountain Province State Polytechnic College,66706,26137,7700,0,0,0,5753,0,0,60953,26137,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,          Region II - CAGAYAN VALLEY,1073041,247729,53111,0,0,0,93920,0,0,979121,247729,53111,0,0,0,0,0,0,1
               Batanes State College (Batanes,               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),19701,4733,3938,0,0,0,1534,0,0,18167,4733,3938,0,0,0,0,0,0,0
               Cagayan State University,               Cagayan State University,330550,86219,7700,0,0,0,28867,0,0,301683,86219,7700,0,0,0,0,0,0,0
               Isabela State University,               Isabela State University,469454,102532,19000,0,0,0,41448,0,0,428006,102532,19000,0,0,0,0,0,0,0
               Nueva Vizcaya State University (,               Nueva Vizcaya State University (,,,,,,,,,,,,,,,,,,,
                     NVSIT and NVSPC),                     NVSIT and NVSPC),214892,46085,18700,0,0,0,18739,0,0,196153,46085,18700,0,0,0,0,0,0,0
               Quirino State College,               Quirino State College,38444,8160,3773,0,0,0,3332,0,0,35112,8160,3773,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,          Region III - CENTRAL LUZON,1614439,491202,91288,0,0,0,140973,0,0,1473466,491202,91288,0,0,0,0,0,0,1
               Aurora State College of Technology,               Aurora State College of Technology,37652,11489,3550,0,0,0,3050,0,0,34602,11489,3550,0,0,0,0,0,0,0
               Bataan Peninsula State University,               Bataan Peninsula State University,156716,51217,7700,0,0,0,13541,0,0,143175,51217,7700,0,0,0,0,0,0,0
               Central Luzon State University,               Central Luzon State University,323266,86123,19400,0,0,0,28389,0,0,294877,86123,19400,0,0,0,0,0,0,0
               Bulacan State University,               Bulacan State University,212194,89361,6892,0,0,0,18846,0,0,193348,89361,6892,0,0,0,0,0,0,0
               Bulacan Agricultural State College,               Bulacan Agricultural State College,53412,9233,3773,0,0,0,4716,0,0,48696,9233,3773,0,0,0,0,0,0,0
               Don Honorio Ventura Technological,               Don Honorio Ventura Technological,,,,,,,,,,,,,,,,,,,
                     State University (DHVCAT),                     State University (DHVCAT),108703,33785,3773,0,0,0,9490,0,0,99213,33785,3773,0,0,0,0,0,0,0
               Nueva Ecija University of Science,               Nueva Ecija University of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,186301,48446,7700,0,0,0,16442,0,0,169859,48446,7700,0,0,0,0,0,0,0
               Pampanga Agricultural College,               Pampanga Agricultural College,111545,25344,7700,0,0,0,9489,0,0,102056,25344,7700,0,0,0,0,0,0,0
               Philippine Merchant Marine Academy,               Philippine Merchant Marine Academy,71274,39306,7700,0,0,0,5942,0,0,65332,39306,7700,0,0,0,0,0,0,0
               Ramon Magsaysay Technological University,               Ramon Magsaysay Technological University,101629,23546,7700,0,0,0,8744,0,0,92885,23546,7700,0,0,0,0,0,0,0
               Tarlac College of Agriculture,               Tarlac College of Agriculture,100783,23008,7700,0,0,0,8894,0,0,91889,23008,7700,0,0,0,0,0,0,0
               Tarlac State University,               Tarlac State University,150964,50344,7700,0,0,0,13430,0,0,137534,50344,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,          Region IV-A - CALABARZON,958728,306021,38697,0,0,0,83049,0,0,875679,306021,38697,0,0,0,0,0,0,1
               Batangas State University,               Batangas State University,207382,72908,7700,0,0,0,18133,0,0,189249,72908,7700,0,0,0,0,0,0,0
               Cavite State University,               Cavite State University,198712,65929,15751,0,0,0,16774,0,0,181938,65929,15751,0,0,0,0,0,0,0
               Laguna State Polytechnic University,               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),                     (Laguna State Polytechnic College),171202,49844,3773,0,0,0,14750,0,0,156452,49844,3773,0,0,0,0,0,0,0
               Southern Luzon State University,               Southern Luzon State University,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),                     (Southern Luzon Polytechnic College),133128,52518,3773,0,0,0,11704,0,0,121424,52518,3773,0,0,0,0,0,0,0
               University of Rizal System,               University of Rizal System,248304,64822,7700,0,0,0,21688,0,0,226616,64822,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,          Region IV-B - MIMAROPA,656052,175107,35569,0,0,0,56608,0,0,599444,175107,35569,0,0,0,0,0,0,1
               Marinduque State College,               Marinduque State College,67240,21031,3773,0,0,0,5877,0,0,61363,21031,3773,0,0,0,0,0,0,0
               Mindoro State College of,               Mindoro State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,84718,16014,3550,0,0,0,7323,0,0,77395,16014,3550,0,0,0,0,0,0,0
               Occidental Mindoro State College,               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),                     (Occidental Mindoro National College),101681,20340,3773,0,0,0,8564,0,0,93117,20340,3773,0,0,0,0,0,0,0
               Palawan State University,               Palawan State University,172758,64773,13000,0,0,0,15102,0,0,157656,64773,13000,0,0,0,0,0,0,0
               Romblon State University (Romblon,               Romblon State University (Romblon,,,,,,,,,,,,,,,,,,,
                     State College),                     State College),116536,21782,3773,0,0,0,10075,0,0,106461,21782,3773,0,0,0,0,0,0,0
               Western Philippines University,               Western Philippines University,113119,31167,7700,0,0,0,9667,0,0,103452,31167,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,          Region V - BICOL,1241243,300362,67335,0,0,0,107053,0,0,1134190,300362,67335,0,0,0,0,0,0,1
               Bicol University,               Bicol University,417539,111403,19000,0,0,0,36552,0,0,380987,111403,19000,0,0,0,0,0,0,0
               Camarines Norte State College,               Camarines Norte State College,126707,19369,3682,0,0,0,10999,0,0,115708,19369,3682,0,0,0,0,0,0,0
               Camarines Sur Polytechnic Colleges,               Camarines Sur Polytechnic Colleges,95542,32846,3550,0,0,0,8322,0,0,87220,32846,3550,0,0,0,0,0,0,0
               Central Bicol State University of,               Central Bicol State University of,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur,                     Agriculture  (Camarines Sur,,,,,,,,,,,,,,,,,,,
                     State Agricultural College),                     State Agricultural College),183803,42135,18700,0,0,0,15237,0,0,168566,42135,18700,0,0,0,0,0,0,0
               Catanduanes State Colleges,               Catanduanes State Colleges,157560,25937,7700,0,0,0,13469,0,0,144091,25937,7700,0,0,0,0,0,0,0
"               Dr. Emilio B. Espinosa, Sr.","               Dr. Emilio B. Espinosa, Sr.",,,,,,,,,,,,,,,,,,,
                     Memorial State College of,                     Memorial State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,40861,11624,3273,0,0,0,3498,0,0,37363,11624,3273,0,0,0,0,0,0,0
               Partido State University,               Partido State University,110379,23678,7700,0,0,0,9557,0,0,100822,23678,7700,0,0,0,0,0,0,0
               Sorsogon State College,               Sorsogon State College,108852,33370,3730,0,0,0,9419,0,0,99433,33370,3730,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,          Region VI - WESTERN VISAYAS,1725960,411965,66934,0,0,0,150806,0,0,1575154,411965,66934,0,0,0,0,0,0,1
               Aklan State University,               Aklan State University,171023,39451,3550,0,0,0,14776,0,0,156247,39451,3550,0,0,0,0,0,0,0
               Capiz State University,               Capiz State University,291462,49671,7700,0,0,0,26003,0,0,265459,49671,7700,0,0,0,0,0,0,0
               Carlos C. Hilado Memorial State College,               Carlos C. Hilado Memorial State College,114452,37142,3273,0,0,0,10024,0,0,104428,37142,3273,0,0,0,0,0,0,0
               Guimaras State College,               Guimaras State College,31019,7504,3500,0,0,0,2699,0,0,28320,7504,3500,0,0,0,0,0,0,0
               Iloilo State College of Fisheries,               Iloilo State College of Fisheries,137888,19067,3773,0,0,0,11939,0,0,125949,19067,3773,0,0,0,0,0,0,0
               Negros State College of Agriculture,               Negros State College of Agriculture,40594,20883,3550,0,0,0,3528,0,0,37066,20883,3550,0,0,0,0,0,0,0
               Northern Iloilo Polytechnic State College,               Northern Iloilo Polytechnic State College,189570,23734,3773,0,0,0,16637,0,0,172933,23734,3773,0,0,0,0,0,0,0
               Northern Negros State College of,               Northern Negros State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,28625,12802,3500,0,0,0,2495,0,0,26130,12802,3500,0,0,0,0,0,0,0
               University of Antique (Polytechnic,               University of Antique (Polytechnic,,,,,,,,,,,,,,,,,,,
                     State College of Antique),                     State College of Antique),101871,31586,7700,0,0,0,8757,0,0,93114,31586,7700,0,0,0,0,0,0,0
               Western Visayas College of Science,               Western Visayas College of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,209963,59982,7700,0,0,0,18425,0,0,191538,59982,7700,0,0,0,0,0,0,0
               West Visayas State University,               West Visayas State University,409493,110143,18915,0,0,0,35523,0,0,373970,110143,18915,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,          Region VII - CENTRAL VISAYAS,668126,284078,41373,0,0,0,57561,0,0,610565,284078,41373,0,0,0,0,0,0,1
               Cebu Normal University,               Cebu Normal University,77445,64764,18700,0,0,0,6292,0,0,71153,64764,18700,0,0,0,0,0,0,0
               Cebu Technological University (Cebu,               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),                     State College of Science and Technology),276916,93421,7700,0,0,0,24048,0,0,252868,93421,7700,0,0,0,0,0,0,0
               Bohol Island State University ,               Bohol Island State University ,,,,,,,,,,,,,,,,,,,
                     (Central Visayas State,                     (Central Visayas State,,,,,,,,,,,,,,,,,,,
"                     College of Agr.,  Forestry","                     College of Agr.,  Forestry",,,,,,,,,,,,,,,,,,,
                     and Tech.),                     and Tech.),127491,44918,3500,0,0,0,10868,0,0,116623,44918,3500,0,0,0,0,0,0,0
               Negros Oriental State University,               Negros Oriental State University,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),                     (Central Visayas Polytechnic College),151075,70719,7700,0,0,0,13291,0,0,137784,70719,7700,0,0,0,0,0,0,0
               Siquijor State College,               Siquijor State College,35199,10256,3773,0,0,0,3062,0,0,32137,10256,3773,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,          Region VIII - EASTERN VISAYAS,1568141,319892,94773,0,0,0,133485,0,0,1434656,319892,94773,0,0,0,0,0,0,1
               Eastern Samar State University,               Eastern Samar State University,195518,28135,7700,0,0,0,16533,0,0,178985,28135,7700,0,0,0,0,0,0,0
               Eastern Visayas State University,               Eastern Visayas State University,,,,,,,,,,,,,,,,,,,
                     (Leyte Institute of Technology),                     (Leyte Institute of Technology),215417,44072,7700,0,0,0,18755,0,0,196662,44072,7700,0,0,0,0,0,0,0
               Leyte Normal University,               Leyte Normal University,92831,44371,18700,0,0,0,7939,0,0,84892,44371,18700,0,0,0,0,0,0,0
               Visayas State University (Leyte,               Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,
                     State University),                     State University),327292,52595,18700,0,0,0,26866,0,0,300426,52595,18700,0,0,0,0,0,0,0
               Naval State University (Naval,               Naval State University (Naval,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),                     Institute of Technology),81109,26656,7700,0,0,0,7038,0,0,74071,26656,7700,0,0,0,0,0,0,0
               Palompon Institute of Technology,               Palompon Institute of Technology,83939,16396,7700,0,0,0,7289,0,0,76650,16396,7700,0,0,0,0,0,0,0
               Southern Leyte State University,               Southern Leyte State University,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College,                     (Southern Leyte State College,,,,,,,,,,,,,,,,,,,
                     of Sci. and Tech. and TONC),                     of Sci. and Tech. and TONC),141564,28347,3473,0,0,0,12223,0,0,129341,28347,3473,0,0,0,0,0,0,0
               Samar State University (Samar State,               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),111677,20116,7700,0,0,0,9533,0,0,102144,20116,7700,0,0,0,0,0,0,0
               Northwest Samar State University,               Northwest Samar State University,,,,,,,,,,,,,,,,,,,
                     (TTMIST and SSCAF),                     (TTMIST and SSCAF),79720,27210,7700,0,0,0,6730,0,0,72990,27210,7700,0,0,0,0,0,0,0
               University of Eastern Philippines,               University of Eastern Philippines,239074,31994,7700,0,0,0,20579,0,0,218495,31994,7700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,          Region IX - ZAMBOANGA PENINSULA,639697,150034,32900,0,0,0,54920,0,0,584777,150034,32900,0,0,0,0,0,0,1
               J. H. Cerilles State College,               J. H. Cerilles State College,61682,17556,3550,0,0,0,5113,0,0,56569,17556,3550,0,0,0,0,0,0,0
               Jose Rizal Memorial State,               Jose Rizal Memorial State,,,,,,,,,,,,,,,,,,,
                     University (Jose Rizal,                     University (Jose Rizal,,,,,,,,,,,,,,,,,,,
                     Memorial State College),                     Memorial State College),156444,22925,3550,0,0,0,13526,0,0,142918,22925,3550,0,0,0,0,0,0,0
               Western Mindanao State University,               Western Mindanao State University,266182,82905,18700,0,0,0,23060,0,0,243122,82905,18700,0,0,0,0,0,0,0
               Zamboanga City State Polytechnic College,               Zamboanga City State Polytechnic College,69422,12896,3550,0,0,0,5966,0,0,63456,12896,3550,0,0,0,0,0,0,0
               Zamboanga State College of Marine,               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,                     Sciences and Technology,85967,13752,3550,0,0,0,7255,0,0,78712,13752,3550,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,          Region X - NORTHERN MINDANAO,1001790,283864,205673,0,0,0,87762,0,0,914028,283864,205673,0,0,0,0,0,0,1
               Bukidnon State University,               Bukidnon State University,88804,44143,7700,0,0,0,7609,0,0,81195,44143,7700,0,0,0,0,0,0,0
               Camiguin Polytechnic State College,               Camiguin Polytechnic State College,30750,10722,3473,0,0,0,2653,0,0,28097,10722,3473,0,0,0,0,0,0,0
               Central Mindanao University,               Central Mindanao University,274972,72763,18700,0,0,0,23448,0,0,251524,72763,18700,0,0,0,0,0,0,0
               Mindanao University of Science and Technology,               Mindanao University of Science and Technology,88894,40078,18700,0,0,0,7573,0,0,81321,40078,18700,0,0,0,0,0,0,0
               MSU-Iligan Institute of Technology,               MSU-Iligan Institute of Technology,469479,102119,150000,0,0,0,42432,0,0,427047,102119,150000,0,0,0,0,0,0,0
               Misamis Oriental State College of,               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,33187,8905,3550,0,0,0,2699,0,0,30488,8905,3550,0,0,0,0,0,0,0
               Northwestern Mindanao State College,               Northwestern Mindanao State College,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,15704,5134,3550,0,0,0,1348,0,0,14356,5134,3550,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,          Region XI - DAVAO REGION,310999,108978,33862,0,0,0,27139,0,0,283860,108978,33862,0,0,0,0,0,0,1
               Davao del Norte State College,               Davao del Norte State College,39283,8907,3550,0,0,0,3373,0,0,35910,8907,3550,0,0,0,0,0,0,0
               Davao Oriental State College of,               Davao Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,50166,18079,7700,0,0,0,4330,0,0,45836,18079,7700,0,0,0,0,0,0,0
               Southern Philippines Agri-Business,               Southern Philippines Agri-Business,,,,,,,,,,,,,,,,,,,
                     and Marine and Aquatic School,                     and Marine and Aquatic School,,,,,,,,,,,,,,,,,,,
                     of Technology,                     of Technology,42226,10876,3550,0,0,0,3658,0,0,38568,10876,3550,0,0,0,0,0,0,0
               University of Southeastern Philippines,               University of Southeastern Philippines,179324,71116,19062,0,0,0,15778,0,0,163546,71116,19062,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,          Region XII - MAIN SOCCSKSARGEN,534861,103466,33423,0,0,0,46568,0,0,488293,103466,33423,0,0,0,0,0,0,1
               Cotabato City State Polytechnic College,               Cotabato City State Polytechnic College,71111,7193,3550,0,0,0,6095,0,0,65016,7193,3550,0,0,0,0,0,0,0
               Cotabato Foundation College of,               Cotabato Foundation College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,66613,10907,3473,0,0,0,5678,0,0,60935,10907,3473,0,0,0,0,0,0,0
               Sultan Kudarat State University,               Sultan Kudarat State University,,,,,,,,,,,,,,,,,,,
                     (Sultan Kudarat Polytechnic,                     (Sultan Kudarat Polytechnic,,,,,,,,,,,,,,,,,,,
                     State College),                     State College),98036,25823,7700,0,0,0,8541,0,0,89495,25823,7700,0,0,0,0,0,0,0
               University of Southern Mindanao,               University of Southern Mindanao,299101,59543,18700,0,0,0,26254,0,0,272847,59543,18700,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,          CARAGA ADMINISTRATIVE REGION,316290,97576,14123,0,0,0,27135,0,0,289155,97576,14123,0,0,0,0,0,0,1
               Agusan del Sur State College of,               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,28003,7086,3473,0,0,0,2417,0,0,25586,7086,3473,0,0,0,0,0,0,0
               Caraga State University (Northern,               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,
                     Science and Technology),                     Science and Technology),70973,28847,3550,0,0,0,6137,0,0,64836,28847,3550,0,0,0,0,0,0,0
               Surigao del Sur State University,               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic,                     (Surigao del Sur Polytechnic,,,,,,,,,,,,,,,,,,,
