region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
I (Ilocos Norte),Vigan,Military,-,-,60,18,-,-,-,167,-,-,-,-,245
II (Cagayan Valley),Bagabag,G. Aviation,-,24,14,15,43,20,4,30,42,-,58,16,266
II (Cagayan Valley),Bagabag,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Bagabag,Military,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Basco,PALEX,4670,4625,6144,6070,6570,3710,2939,2310,3093,2135,3097,3150,48513
II (Cagayan Valley),Basco,WCC Skypasada,459,401,573,631,794,601,426,366,435,322,490,917,6415
II (Cagayan Valley),Basco,North Sky Air,79,54,147,244,335,141,32,62,62,158,129,141,1584
II (Cagayan Valley),Basco,Sky Jet,637,1827,1967,2385,1972,1533,401,462,681,1604,1159,1983,16611
II (Cagayan Valley),Basco,Lion Air,-,-,-,-,-,-,16,-,-,-,27,-,43
II (Cagayan Valley),Basco,Military,-,-,-,-,37,-,-,-,-,-,-,-,37
II (Cagayan Valley),Basco,G. Aviation,1,20,22,10,46,11,-,-,-,-,19,51,180
II (Cagayan Valley),Cauayan,North Sky Air,-,-,-,-,-,-,-,158,-,-,-,-,158
II (Cagayan Valley),Cauayan,Cebu Pacific,4103,30,4043,4812,5193,4953,5112,4804,7455,4510,4365,4320,53700
II (Cagayan Valley),Cauayan,PAL,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Cauayan,Cyclone Airways,617,484,772,506,614,456,259,260,479,-,690,428,5565
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Cauayan,WCC Skypasada,-,-,-,-,16,-,-,-,-,-,-,-,16
II (Cagayan Valley),Cauayan,G. Aviation,37,72,-,79,-,67,87,44,177,821,79,65,1528
II (Cagayan Valley),Itbayat,Sky pasada,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Itbayat,North Sky Air,-,-,-,-,-,-,-,-,17,-,-,-,17
II (Cagayan Valley),Itbayat,Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Itbayat,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-, -   
II (Cagayan Valley),Itbayat,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-, -   
