region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
III (Central Luzon),Plaridel,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
NCR,NAIA,International,1307247,1145000,1343114,1366382,1354551,-,-,-,-,-,-,-,6516294
NCR,NAIA,DOMESTIC,1441753,1336904,1525876,1717338,1737943,-,-,-,-,-,-,-,7759814
NCR,NAIA,G. Aviation,23010,20277,22608,28450,26417,-,-,-,-,-,-,-,120762
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Baler,Cebu Pacific,-,-,2311,-,-,-,-,-,-,-,-,-,2311
III (Central Luzon),Baler,G. Aviation,-,-,46,-,-,-,-,-,-,-,-,-,46
III (Central Luzon),Baler,Military,-,-,12,-,-,-,-,-,-,-,-,-,12
IV-B (MIMAROPA),Busuanga,Air Philippines,7271,6835,7312,8099,6252,6097,-,-,-,-,-,-,41866
IV-B (MIMAROPA),Busuanga,Cebu Pacific,11778,10755,11727,12309,12229,11134,-,-,-,-,-,-,69932
IV-B (MIMAROPA),Busuanga,Sky Jet,-,441,544,1176,1467,169,-,-,-,-,-,-,3797
IV-B (MIMAROPA),Busuanga,Zest Air,4226,3912,4136,4876,1248,-,-,-,-,-,-,-,18398
IV-B (MIMAROPA),Busuanga,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Busuanga,G. Aviation,131,132,179,177,254,20,-,-,-,-,-,-,893
IV-B (MIMAROPA),Calapan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Calapan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Cuyo,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Jomalig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Lubang,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Lubang,G. Aviation,199,3014,1686,2677,2901,-,2951,-,-,-,-,-,13428
IV-B (MIMAROPA),Lubang,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Mamburao,Paco,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Mamburao,G. Aviation,115,118,214,121,120,-,-,38,-,-,-,-,726
IV-B (MIMAROPA),Mamburao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Marinduque,Zest Air,1038,1175,1411,1674,-,-,-,-,-,-,-,-,5298
IV-B (MIMAROPA),Marinduque,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Marinduque,G. Aviation,-,27,-,50,-,-,-,-,-,-,-,-,77
IV-B (MIMAROPA),Marinduque,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Puerto Princesa ,PAL,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa ,PALEX,51860,45669,45096,42762,42562,40704,38836,-,-,-,-,-,307489
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,50249,45586,47865,56922,55497,43157,39907,-,-,-,-,-,339183
IV-B (MIMAROPA),Puerto Princesa ,Seair,5284,6936,6502,10275,9423,7910,5221,-,-,-,-,-,51551
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,22342,18014,26979,36355,26938,17396,4565,-,-,-,-,-,152589
IV-B (MIMAROPA),Puerto Princesa ,Air Asia,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,420,631,542,783,1262,1271,945,-,-,-,-,-,5854
IV-B (MIMAROPA),Puerto Princesa ,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Romblon,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Romblon,Zest Air,1023,1010,993,1163,182,-,-,-,-,-,-,-,4371
IV-B (MIMAROPA),Romblon,G. Aviation,3,67,-,5,65,42,-,-,-,-,-,-,182
IV-B (MIMAROPA),Romblon,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),San Jose,pal,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),San Jose,AirPhil,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),San Jose,Cebu Pacific,4573,4366,4779,5044,6043,5045,4703,-,-,-,-,-,34553
IV-B (MIMAROPA),San Jose,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),San Jose,G. Aviation,79,199,81,280,86,206,158,-,-,-,-,-,1089
IV-B (MIMAROPA),San Jose,Military,23,-,-,35,20,36,8,-,-,-,-,-,122
IV-B (MIMAROPA),Pinamalayan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Wasig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
V (Bicol Region),Bulan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Daet,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Daet,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Legaspi,PAL,-,5751,4097,-,-,-,-,-,-,-,-,-,9848
V (Bicol Region),Legaspi,AirPhil,14509,7443,10605,12434,14911,11444,11288,-,-,-,-,-,82634
V (Bicol Region),Legaspi,Cebu Pacific,18247,21109,27821,32387,32444,26140,24249,-,-,-,-,-,182397
V (Bicol Region),Legaspi,Zest Air,4940,5156,6447,7342,1787,-,-,-,-,-,-,-,25672
V (Bicol Region),Legaspi,G. Aviation,7,39,76,80,43,11,25,-,-,-,-,-,281
V (Bicol Region),Legaspi,Military,-,-,-,-,-,-,9,-,-,-,-,-,9
V (Bicol Region),Masbate,PAL Express,2343,2327,2710,2862,304,1298,2599,-,-,-,-,-,14443
V (Bicol Region),Masbate,Cebu Pacific,-,-,-,-,-,1216,1205,-,-,-,-,-,-
V (Bicol Region),Masbate,Zest Air,2162,2138,2400,2832,822,-,-,-,-,-,-,-,10354
V (Bicol Region),Masbate,G. Aviation,-,-,-,48,1,49,97,-,-,-,-,-,195
V (Bicol Region),Masbate,Military,-,-,-,-,131,7,-,-,-,-,-,-,138
V (Bicol Region),Naga,Cebu Pacific,7330,7150,7767,6977,7107,6029,-,-,-,-,-,-,42360
V (Bicol Region),Naga,PALEX,5461,5399,5825,5978,6367,4979,-,-,-,-,-,-,34009
