region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
IX (Zamboanga Peninsula),Dipolog,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Dipolog,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Dipolog,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Ipil,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Jolo,AirPhil Express,1521,-,1774,1497,1647,1445,18335,1216,1320,1342,1288,1544,32929,-
ARMM,Jolo,PAL,-,-,-,-,-,-,12785,-,-,-,-,-,12785,-
ARMM,Jolo,Cebu Pacific,-,-,-,-,-,-,27082,-,-,-,-,-,27082,-
ARMM,Jolo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Liloy,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Pagadian,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Pagadian,Air Philippines,-,-,-,3759,2532,2059,2134,-,-,-,-,-,10484,-
IX (Zamboanga Peninsula),Pagadian,Cebu Pacific,7628,6796,9025,10473,10478,9035,8903,8125,10492,9930,-,-,90885,-
ARMM,Sanga-Sanga,Air Philippines,3642,3503,3898,3759,2532,2059,2134,-,-,-,-,-,21527,-
ARMM,Sanga-Sanga,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,MosPhil,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Siocon,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Zamboanga,PAL,14596,11550,12702,13027,13154,11674,12785,10796,11874,5354,11991,13005,142508,-
IX (Zamboanga Peninsula),Zamboanga,Cebu Pacific,24913,21405,24823,40442,43351,27238,27082,22606,26600,41751,36251,40454,376916,-
IX (Zamboanga Peninsula),Zamboanga,Air Philippines,27294,24831,26346,28320,23380,21599,18335,21833,19825,24806,21155,26528,284252,-
IX (Zamboanga Peninsula),Zamboanga,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Zamboanga,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Zamboanga,Seair,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Zamboanga,G. Aviation,6,25,-,25,34,28,43,38,35,-,68,74,376,-
XIII (Caraga),Butuan,PAL,6710,5370,6601,7548,7821,6625,6165,6439,5058,3686,5992,6154,74169,-
XIII (Caraga),Butuan,Cebu Pacific,23461,19787,24367,26997,28680,24470,24912,26011,25064,27974,26318,32334,310375,-
XIII (Caraga),Butuan,G. Aviation,40,8,74,64,36,64,71,41,56,58,100,24,636,-
XIII (Caraga),Butuan,Military,219,4,10,-,-,-,7,-,-,-,-,-,240,-
X (Northern Mindanao),Cagayan de Oro,PAL,29963,28473,28599,32065,31956,24663,26532,24912,21386,13285,20020,27705,309559,-
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,60625,54604,62678,76158,80082,62247,58591,54408,56604,74064,71740,75792,787593,-
X (Northern Mindanao),Cagayan de Oro,Air Philippines,29738,23439,-,28531,29872,22729,27166,31675,27477,29699,26023,29115,305464,-
X (Northern Mindanao),Cagayan de Oro,Zest Air,-,-,-,-,-,-,2691,3413,4050,10602,10065,9416,40237,-
X (Northern Mindanao),Cagayan de Oro,G. Aviation,-,-,-,-,-,-,-,-,106,-,-,-,106,-
X (Northern Mindanao),Cagayan de Oro,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
X (Northern Mindanao),Camiguin,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,-
X (Northern Mindanao),Camiguin,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
X (Northern Mindanao),Camiguin,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
X (Northern Mindanao),Ozamis,PAL,4394,4020,4009,4593,5087,3878,3807,3292,2209,200,1923,3069,40481,-
X (Northern Mindanao),Ozamis,Air Philippines,2817,3200,3915,-,3884,3072,3287,4691,2710,6244,5659,8268,47747,-
X (Northern Mindanao),Ozamis,Cebu Pacific,10488,9924,10738,12684,12752,10115,9751,9726,10110,14758,14314,15366,140726,-
X (Northern Mindanao),Ozamis,G. Aviation,-,-,-,-,-,2,-,-,-,-,-,-,2,-
XIII (Caraga),Siargao,Cebu Pacific,333,758,634,847,-,-,911,1021,970,935,715,-,7124,-
XIII (Caraga),Siargao,G. Aviation,1,4,-,45,-,-,7,14,23,23,10,-,127,-
XIII (Caraga),Siargao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XIII (Caraga),Surigao,PAL,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XIII (Caraga),Surigao,Cebu Pacific,2031,1537,2147,2554,2870,-,-,6385,7422,4752,4793,5199,39690,-
XIII (Caraga),Surigao,Air Philippines,4710,4607,9567,3472,8442,-,-,3825,3657,3570,4355,3483,49688,-
XIII (Caraga),Surigao,Zest Air,-,-,-,-,-,-,-,-,-,95,-,-,95,-
XIII (Caraga),Surigao,G. Aviation,45,60,72,92,88,-,-,67,29,-,60,40,553,-
XIII (Caraga),Surigao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XIII (Caraga),Barobo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XIII (Caraga),Bislig,PAL,13879,11788,14208,14281,15107,12121,12496,12452,11743,9611,12064,12527,152277,-
XII (SOCCSKSARGEN),General Santos Tambler,PAL Express,-,-,-,-,-,-,-,-,-,3336,6928,7186,17450,-
XII (SOCCSKSARGEN),General Santos Tambler,Cebu Pacific,23953,22779,25632,32984,34333,26297,24139,22874,22393,28796,25683,32684,322547,-
XII (SOCCSKSARGEN),General Santos Tambler,G. Aviation,3,-,40,11,-,22,-,32,48,22,59,61,298,-
XII (SOCCSKSARGEN),General Santos Tambler,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XII (SOCCSKSARGEN),General Santos Tambler,Silk Air,2375,1787,2161,2536,2615,2589,2380,2394,2044,2284,2002,2230,27397,-
XII (SOCCSKSARGEN),General Santos Tambler,Sriwijaya Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XI (Davao Region),Davao (International),Merpati Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XI (Davao Region),Davao (International),Cebu Pacific,2030,2504,3316,27,40,62,57,11,11,24,43,55,8180,-
XI (Davao Region),Davao (International),Pt. Wings Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XI (Davao Region),Davao (International),PAL,55447,50876,55082,60936,67913,52966,51683,55779,46803,38292,44360,47924,628061,-
XI (Davao Region),Davao (International),Cebu Pacific,90476,86710,96020,107199,118596,95048,91858,96506,91835,109440,102241,120526,1206455,-
XI (Davao Region),Davao (Domestic),Air Philippines,47968,38766,45082,55093,57315,44387,40834,45362,45893,48005,41330,46119,556154,-
XI (Davao Region),Davao (Domestic),Zest Air,12420,15424,20923,23409,23862,17991,10069,10613,13959,16904,15710,16156,197440,-
XI (Davao Region),Davao (Domestic),tiger airways,-,-,-,-,-,-,-,-,-,-,1911,2865,4776,-
XI (Davao Region),Davao (Domestic),G. Aviation,458,538,826,670,537,884,866,834,701,417,856,812,8399,-
XI (Davao Region),Davao (Domestic),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XI (Davao Region),Davao (Domestic),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XI (Davao Region),Mati,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
XIII (Caraga),Tandag,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Cotabato,PAL,7382,6141,6748,6894,7016,5445,-,5488,-,2763,-,-,47877,-
ARMM,Cotabato,Cebu Pacific,9301,8196,9476,8410,8687,8104,-,7920,-,7582,-,-,67676,-
ARMM,Cotabato,Air Philippines,-,-,-,-,-,-,-,-,-,3134,-,-,3134,-
XIII (Caraga),Cotabato,G. Aviation,65,45,175,128,175,69,-,37,-,102,-,-,796,-
ARMM,Cotabato,Military,445,278,202,477,302,502,-,430,-,406,-,-,3042,-
X (Northern Mindanao),Iligan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ARMM,Malabang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,Total,Total,4501460,4061630,4498366,5027275,5222916,4244153,4266008,4258618,3915599,4023169,4290431,4742118,53051888,-
