region,province_or_city,foreign_travelers,overseas_filipino,domestic_travelers,total_2012
VII (Central Visayas),Tubigon,646,0,11280,11926
VII (Central Visayas),Valencia,9,8,131,148
VII (Central Visayas),Cebu,68305,514,87928,156747
VII (Central Visayas),Alcoy,606,0,1763,2369
VII (Central Visayas),Alegria,-,-,-,0
VII (Central Visayas),Badian,5291,0,9847,15138
VII (Central Visayas),Bantayan,4452,8,11974,16434
VII (Central Visayas),Bogo, -   , -   , -   , -   
VII (Central Visayas),Borbon,51, -   ,522,573
VII (Central Visayas),Boljoon,138, -   ,2182,2320
VII (Central Visayas),Cordova,9670, -   ,8420,18090
VII (Central Visayas),Daanbantayan,1706,159,381,2246
VII (Central Visayas),Dalaguete,222, -   ,11674,11896
VII (Central Visayas),Danao City,4390,78,17404,21872
VII (Central Visayas),Moalboal,14009, -   ,12325,26334
VII (Central Visayas),Oslob,974,236,1708,2918
VII (Central Visayas),Poro, -   , -   , -   , -   
VII (Central Visayas),San Fernando,13996, -   ,102,14098
VII (Central Visayas),San Francisco, -   , -   , -   , -   
VII (Central Visayas),San Remegio,437, -   ,965,1402
VII (Central Visayas),Santander,1063, -   ,1227,2290
VII (Central Visayas),Sogod,9253, -   ,5259,14512
VII (Central Visayas),Talisay,2047,33,2175,4255
VII (Central Visayas),Negros Oriental,43665,4587,259728,307980
VII (Central Visayas),Amlan,238,0,556,794
VII (Central Visayas),Bacong,113,0,181,294
VII (Central Visayas),Bais,577,23,783,1383
VII (Central Visayas),Bayawan,306,0,8254,8560
VII (Central Visayas),Canlaon,278,0,9492,9770
VII (Central Visayas),Dauin,7848,7,4055,11910
VII (Central Visayas),Dumaguete,26376,4546,181781,212703
VII (Central Visayas),Mabinay,1118,0,41580,42698
VII (Central Visayas),Manjuyod,154,0,1617,1771
VII (Central Visayas),San Jose,66,0,882,948
VII (Central Visayas),Siaton,933,0,2771,3704
VII (Central Visayas),Sibulan,724,0,4960,5684
VII (Central Visayas),Tanjay,130,11,838,979
VII (Central Visayas),Valencia,229,0,20,249
VII (Central Visayas),Zamboanguita,4575,0,1958,6533
VII (Central Visayas),Region VII (CENTRAL VISAYAS),-,-,-,-
VII (Central Visayas),Siquijor,15207,0,18201,33408
VII (Central Visayas),E. Villanueva,127,0,143,270
VII (Central Visayas),Larena,1703,0,3126,4829
VII (Central Visayas),Lazi,211,0,95,306
VII (Central Visayas),Maria,555,0,3062,3617
VII (Central Visayas),San Juan,10651,0,5511,16162
VII (Central Visayas),Siquijor,1960,0,6264,8224
VII (Central Visayas),Cebu City,333083,7797,850873,1191753
VII (Central Visayas),Lapu-lapu City,587201,2430,254939,844570
VII (Central Visayas),Mandaue City,8714,244,28295,37253
VIII (Eastern Visayas),Total,27578,1212,461682,490472
VIII (Eastern Visayas),Biliran,718, -   ,3012,3730
VIII (Eastern Visayas),Almeria,60, -   ,141,201
VIII (Eastern Visayas),Caibiran,3,-,200,203
VIII (Eastern Visayas),Cabucgayan, -   , -   ,43,43
VIII (Eastern Visayas),Culaba,-,-,27,27
VIII (Eastern Visayas),Kawayan,2, -   ,48,50
VIII (Eastern Visayas),Maripipi, -   ,-,-, -   
VIII (Eastern Visayas),Naval,653, -   ,2553,3206
VIII (Eastern Visayas),Eastern Samar,449, -   ,11797,12246
VIII (Eastern Visayas),Borongan City,57, -   ,6754,6811
VIII (Eastern Visayas),Guiuan,392, -   ,5043,5435
VIII (Eastern Visayas),Others,-,-,-,-
VIII (Eastern Visayas),Leyte,10739, -   ,131474,142213
VIII (Eastern Visayas),Abuyog, -   , -   ,16411,16411
VIII (Eastern Visayas),Bato , -   , -   ,3088,3088
VIII (Eastern Visayas),Hilongos, -   , -   ,5019,5019
VIII (Eastern Visayas),Inopacan,151, -   ,1104,1255
VIII (Eastern Visayas),Isabel,205, -   ,5382,5587
VIII (Eastern Visayas),Kanangga, -   , -   ,1703,1703
VIII (Eastern Visayas),Baybay City,260, -   ,31344,31604
VIII (Eastern Visayas),Ormoc City,10123, -   ,67423,77546
VIII (Eastern Visayas),Others,-,-,-,-
VIII (Eastern Visayas),Northern Samar,318, -   ,49055,49373
VIII (Eastern Visayas),Allen,57,-,3545,3602
VIII (Eastern Visayas),Biri,88,-,499,587
VIII (Eastern Visayas),Capul,20,-,75,95
VIII (Eastern Visayas),Catarman,126, -   ,28098,28224
VIII (Eastern Visayas),Palapag,-,-,40,40
VIII (Eastern Visayas),San Antonio,27,-,16346,16373
VIII (Eastern Visayas),San Roque, -   ,-,452,452
VIII (Eastern Visayas),Samar,3966, -   ,28201,32167
VIII (Eastern Visayas),Calbayog City,3917, -   ,19864,23781
VIII (Eastern Visayas),Catbalogan, -   , -   ,7379,7379
VIII (Eastern Visayas),Basey,23,-,547,570
VIII (Eastern Visayas),Marabut,26, -   ,411,437
VIII (Eastern Visayas),Others, -   , -   , -   , -   
VIII (Eastern Visayas),Southern Leyte,3937,410,55722,60069
VIII (Eastern Visayas),Hinunangan,418, -   ,2144,2562
VIII (Eastern Visayas),Hinundayan,31, -   ,154,185
VIII (Eastern Visayas),Limasawa,90,-,502,592
VIII (Eastern Visayas),Maasin City,1663,410,27501,29574
VIII (Eastern Visayas),Macrohon,1106, -   ,3189,4295
VIII (Eastern Visayas),Padre Burgos,200, -   ,121,321
VIII (Eastern Visayas),Pintuyan,46, -   ,435,481
VIII (Eastern Visayas),Saint Bernard,130, -   ,1217,1347
VIII (Eastern Visayas),Sogod,253, -   ,20459,20712
VIII (Eastern Visayas),Others, -   , -   , -   , -   
VIII (Eastern Visayas),Tacloban City,7451,802,182421,190674
IX (Zamboanga Peninsula),Total,53754,33375,571645,658774
IX (Zamboanga Peninsula),Zamboanga del Norte,4301,433,182301,187035
IX (Zamboanga Peninsula),Dapitan City,1264,109,52148,53521
IX (Zamboanga Peninsula),Dipolog City,3037,324,130153,133514
IX (Zamboanga Peninsula),Zamboanga del Sur,225,39,55307,55571
IX (Zamboanga Peninsula),Pagadian City,225,39,55307,55571
IX (Zamboanga Peninsula),Zamboanga Sibugay, -   , -   ,45632,45632
IX (Zamboanga Peninsula),Isabela City, -   , -   , -   , -   
IX (Zamboanga Peninsula),Zamboanga City ,49228,32903,288405,370536
X (Northern Mindanao),Total,50918,10091,1421811,1482820
X (Northern Mindanao),Bukidnon,2209,84,94787,97080
X (Northern Mindanao),Malaybalay City,913,57,28056,29026
X (Northern Mindanao),Valencia City,94,0,66048,66142
X (Northern Mindanao),Others,1202,27,683,1912
X (Northern Mindanao),Camiguin,8670,647,390902,400219
X (Northern Mindanao),Lanao del Norte ,78, -   ,33338,33416
X (Northern Mindanao),Misamis Occidental ,3058,13,269709,272780
X (Northern Mindanao),Ozamis City,1434,13,224155,225602
X (Northern Mindanao),Tangub City,24, -   ,6344,6368
X (Northern Mindanao),Others,1600, -   ,39210,40810
X (Northern Mindanao),Misamis Oriental,346,187,43239,43772
X (Northern Mindanao),Gingoog City,177,187,40917,41281
X (Northern Mindanao),Others,169, -   ,2322,2491
X (Northern Mindanao),Cagayan de Oro City,35636,9010,505560,550206
X (Northern Mindanao),Iligan City,921,150,84276,85347
XI (Davao Region),Total,84134,10674,1480192,1575000
XI (Davao Region),Compostela Valley,738, -   ,49960,50698
XI (Davao Region),Davao del Norte,1117,70,378797,379984
XI (Davao Region),Island Garden City of Samal, -   , -   , -   , -   
XI (Davao Region),Panabo City, -   , -   , -   , -   
XI (Davao Region),Tagum City, -   , -   , -   , -   
XI (Davao Region),Others,1117,70,378797,379984
XI (Davao Region),Davao del Sur,818, -   ,33456,34274
XI (Davao Region),Davao Oriental,380, -   ,34664,35044
XI (Davao Region),Davao City,81081,10604,983315,1075000
XII (SOCCSKSARGEN),Total,12666,1,268807,281474
XII (SOCCSKSARGEN),North Cotabato,130,0,41762,41892
XII (SOCCSKSARGEN),Kidapawan City,130,0,41762,41892
XII (SOCCSKSARGEN),Others,0,0,0,0
XII (SOCCSKSARGEN),Sarangani,5762,1,27312,33075
XII (SOCCSKSARGEN),South Cotabato,561,0,92635,93196
XII (SOCCSKSARGEN),Koronadal City,383,0,56362,56745
XII (SOCCSKSARGEN),Others,178,0,36273,36451
XII (SOCCSKSARGEN),Sultan Kudarat,222,0,11400,11622
XII (SOCCSKSARGEN),Tacurong City,71,0,9655,9726
XII (SOCCSKSARGEN),Others,151,0,1745,1896
XII (SOCCSKSARGEN),Cotabato City,1730,0,35322,37052
XII (SOCCSKSARGEN),General Santos City,4261,0,60376,64637
Region XIII (CARAGA),Region XIII (CARAGA),42154,3146,699347,744647
Region XIII (CARAGA),Agusan del Norte,869,0,20038,20907
Region XIII (CARAGA),Cabadbaran City,618,0,9219,9837
Region XIII (CARAGA),Others,251,0,10819,11070
Region XIII (CARAGA),Agusan del Sur,196, -   ,72960,73156
Region XIII (CARAGA),Dinagat Islands,149, -   ,3969,4118
Region XIII (CARAGA),Surigao del Norte,29242,1164,212063,242469
Region XIII (CARAGA),Surigao City,18704,637,179624,198965
Region XIII (CARAGA),Others,10538,527,32439,43504
Region XIII (CARAGA),Surigao del Sur,919, -   ,137113,82859
Region XIII (CARAGA),Bislig City,340, -   ,44676,45016
Region XIII (CARAGA),Tandag City,285, -   ,37558,37843
Region XIII (CARAGA),Others,294, -   ,54879,55173
Region XIII (CARAGA),Butuan City,10779,1982,253204,265965
Grand Total,Grand Total,5028804,242369,18587233,23858406
,,,,,
DISTRIBUTION OF REGIONAL TRAVELLERS IN THE PHILIPPINES,,,,,
January-December 2012,,,,,
Source of Data:  Accommodation Establishments as submitted to Department Tourism Regional Offices,,,,,
"Prepared by:  Tourism Research and Statistics Division, Office of Tourism Development Planning, DEPARTMENT OF TOURISM",,,,,
As of 7 August 2013,,,,,
