region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Plaridel,G. Aviation,16100,12618,12048,0,0,0,9014,0,0,0,0,0,49780,-
NCR,NAIA,International,14294,12800,14416,14534,15034,0,0,0,0,0,0,0,71078,-
NCR,NAIA,Domestic,24974,22486,26062,26198,26410,0,0,0,0,0,0,0,126130,-
NCR,NAIA,G. Aviation,6320,5788,6344,7306,6708,0,0,0,0,0,0,0,32466,-
IV-A (CALABARZON)),Alabat,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
III (Central Luzon),Baler,G. Aviation,0,0,48,0,0,0,0,0,0,0,0,0,48,-
III (Central Luzon),Baler,Cebu Pacific,0,0,18,0,0,0,0,0,0,0,0,0,18,-
III (Central Luzon),Baler,Military,0,0,4,0,0,0,0,0,0,0,0,0,4,-
IV-B (MIMAROPA),Busuanga,Air Philippines,124,110,126,120,184,180,0,0,0,0,0,0,844,-
IV-B (MIMAROPA),Busuanga,Cebu Pacific,184,168,186,182,184,180,0,0,0,0,0,0,1084,-
IV-B (MIMAROPA),Busuanga,Sky Jet,0,6,12,28,26,10,0,0,0,0,0,0,82,-
IV-B (MIMAROPA),Busuanga,Asian Spirit,96,80,90,92,26,0,0,0,0,0,0,0,384,-
IV-B (MIMAROPA),Busuanga,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Busuanga,G. Aviation,274,108,120,152,128,94,0,0,0,0,0,0,876,-
IV-B (MIMAROPA),Calapan,G. Aviation,78,166,72,0,0,0,0,0,0,0,0,0,316,-
IV-B (MIMAROPA),Cuyo,Seair,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Cuyo,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
