region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways,6,2,            -  ,            -  ,            -  ,4,             -  ,4,               -  ,            -  ,              -  ,              -  ,16
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,62,20,20,28,12,8,2,70,14,24,28,26,314
II (Cagayan Valley),Tuguegarao (Domestic),Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Iba,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Subic,International, no report submitted ,,,,,,,,,,,,             -  
III (Central Luzon),Subic,Domestic, no report submitted ,,,,,,,,,,,,             -  
III (Central Luzon),Subic,G. Aviation, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Diosdado Macapagal International Airport,International, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Diosdado Macapagal International Airport,Domestic, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Plaridel,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
NCR,NAIA,International,8228,7216,7814,15992,16056,15146,15406,15698,15060,15592,15432,16626,164266
NCR,NAIA,Domestic,12588,11316,11316,25574,26454,23324,22414,23414,20938,23306,23192,24008,247844
NCR,NAIA,G. AVIATION,2640,2662,12494,5418,5912,4834,4206,4732,4138,5054,4792,4788,61670
IV-A (CALABARZON)),Alabat,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Baler,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Busuanga,Air Philippine,114,82,90,            -  ,124,216,192,214,180,192,188,174,1766
IV-B (MIMAROPA),Busuanga,Cebu Pacific,186,164,160,            -  ,218,216,192,214,180,192,188,174,2084
IV-B (MIMAROPA),Busuanga,A. Spirit,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Busuanga,Sky Jet,            -  ,18,24,            -  ,36,16,             -  ,4,4,            -  ,              -  ,12,114
IV-B (MIMAROPA),Busuanga,Air Juan,            -  ,            -  ,            -  ,            -  ,18,18,16,22,24,32,16,36,182
IV-B (MIMAROPA),Busuanga,G. Aviation,336,178,182,            -  ,238,176,142,180,150,132,142,222,2078
IV-B (MIMAROPA),Calapan,G. Aviation,            -  ,            -  ,            -  ,            -  ,402,            -  ,             -  ,            -  ,,            -  ,              -  ,              -  ,402
IV-B (MIMAROPA),Cuyo,Seair, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Cuyo,G. Aviation,            -  ,48,            -  ,            -  ,166,            -  ,138,206,               -  ,            -  ,142,94,794
IV-B (MIMAROPA),Cuyo,Military, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-A (CALABARZON)),Jomalig,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Lubang,G. Aviation,2508,2678,1182,786,1578,1782,1370,1548,7092,1008,1038,258,22828
IV-B (MIMAROPA),Lubang,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Mamburao,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Mamburao,G. Aviation,438,678,678,342,364,592,100,92,366,324,556,86,4616
IV-B (MIMAROPA),Marinduque,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Marinduque,Seair,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Marinduque,G. Aviation,,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Puerto Princesa (International),Maswings,26,24,26,26,26,42,26,28,               -  ,            -  ,              -  ,              -  ,224
IV-B (MIMAROPA),Puerto Princesa ,PAL,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Puerto Princesa ,PALEX,288,248,246,212,182,124,124,124,120,126,120,154,2068
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,284,304,388,364,402,322,270,292,280,290,278,292,3766
IV-B (MIMAROPA),Puerto Princesa ,Air Asia,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Puerto Princesa ,Seair,,70,82,60,62,60,60,62,60,62,66,124,768
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,222,200,244,214,248,240,234,226,236,248,240,220,2772
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,268,224,300,290,324,374,338,342,374,284,338,300,3756
IV-B (MIMAROPA),Puerto Princesa ,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Romblon,Seair,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Romblon,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Romblon,G. Aviation,4,2,2,16,12,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,36
IV-B (MIMAROPA),Romblon,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),San Jose,PAL,,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),San Jose,Air Philippine,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),San Jose,Cebu Pacific,44,46,54,58,64,40,22,28,22,26,26,22,452
IV-B (MIMAROPA),San Jose,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),San Jose,G. Aviation,58,102,166,158,200,144,6,4,2,6,50,8,904
IV-B (MIMAROPA),San Jose,Military,36,6,10,20,30,14,16,            -  ,12,10,14,10,178
IV-B (MIMAROPA),Pinamalayan,Seair, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Wasig,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Bulan,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Daet,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Legaspi,PAL,2,6,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,8
V (Bicol Region),Legaspi,Air Philippine,58,56,62,90,100,84,84,88,82,94,122,108,1028
V (Bicol Region),Legaspi,Cebu Pacific,254,222,222,242,272,246,230,250,208,224,232,228,2830
