region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,,,
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,4,22,34,14,32,20,8,4,18, -   , -   , -   ,156,,,
II (Cagayan Valley),Tuguegarao (Domestic),Military, -   , -   , -   ,4,22, -   ,2, -   ,46, -   , -   , -   ,74,,,
III (Central Luzon),Iba,G. Aviation,796,876,1200,906,1310,1226,804,980,1120,1176,132,546,11072,,,
III (Central Luzon),Subic,International, no report submitted ,,, - , - , - , - , - , - , - , - , - , -   ,,,
III (Central Luzon),Subic,Domestic, no report submitted ,,, - , - , - , - , - , - , - , - , - , -   ,,,
III (Central Luzon),Subic,G. Aviation, no report submitted ,,, - , - , - , - , - , - , - , - , - , - ,,,
III (Central Luzon),Diosdado Macapagal International Airport,International, no report submitted ,,, - , - , - , - , - , - , - , - , - , - ,,,
III (Central Luzon),Diosdado Macapagal International Airport,Domestic, no report submitted ,,, - , - , - , - , - , - , - , - , - , - ,,,
III (Central Luzon),Plaridel,G. Aviation,5292,5998,7262,5802,7022,7926,6082,7282,6960,5046,4952,3648,73272,,,
NCR,NAIA,International,16626,14810,16594,16046,16892,15930,16550,16526,15794,16498,15224,17160,194650,,,
NCR,NAIA,Domestic,24804,23162,25434,26174,27460,25960,25460,25662,24150,25686,23330,26644,303926,,,
NCR,NAIA,G. AVIATION,5368,5692,5558,5404,5402,5060,4688,4924,5488,5260,4894,5536,63274,,,
IV-A (CALABARZON),Alabat,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
III (Central Luzon),Baler,G. Aviation,132,112,216,250,248,184,96,156,178,208,72,220,2072,,,
III (Central Luzon),Baler,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   ,50, -   , -   ,50,,,
IV-B (MIMAROPA),Busuanga,Air Philippines,134,136,124,176,186,190,196,194,188,196,198,218,2136,,,
IV-B (MIMAROPA),Busuanga,Cebu Pacific,170,166,186,188,196,190,196,194,188,196,198,218,2286,,,
IV-B (MIMAROPA),Busuanga,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Busuanga,Sky Jet,4, -   ,6,32,32,32,20,26,26,40,42,62,322,,,
IV-B (MIMAROPA),Busuanga,Air Juan,42,40,38,36,36,38,36,32,34,38,32,34,436,,,
IV-B (MIMAROPA),Busuanga,G. Aviation,298,284,106,100,162,92,136,102,188,40,106,152,1766,,,
IV-B (MIMAROPA),Busuanga,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   ,170, -   , -   ,170,,,
IV-B (MIMAROPA),Calapan,G. Aviation,164,52,258, -   , -   ,298,182,190,296,140,224,110,1914,,,
IV-B (MIMAROPA),Calapan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4, -   , -   , - ,,,
IV-B (MIMAROPA),Cuyo,Seair, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Cuyo,G. Aviation, -   ,80,146, -   , -   , -   , -   , -   , -   , -   ,60,66,352,,,
IV-B (MIMAROPA),Cuyo,Military, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-A (CALABARZON),Jomalig,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Lubang,G. Aviation,904,1042,1422,798,1346,1174,1410,1742,1770,948,1278,550,14384,,,
IV-B (MIMAROPA),Lubang,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Mamburao,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Mamburao,G. Aviation,106,238,90,92,162,82, -   , -   ,98, -   ,120, -   ,988,,,
IV-B (MIMAROPA),Marinduque,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Marinduque,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Marinduque,G. Aviation, - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Puerto Princesa (International),PAL, -   ,10,18,16,18,18,18,16,18,18,16,18,184,,,
IV-B (MIMAROPA),Puerto Princesa ,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Puerto Princesa ,PALEX,160,140,158,168,186,182,170,184,184,184,160,194,2070,,,
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,284,268,334,474,450,406,382,382,392,462,410,458,4702,,,
IV-B (MIMAROPA),Puerto Princesa ,Air Asia or Zest Air,194,170,196,256,256,280,232,246,198,248,212,250,2738,,,
IV-B (MIMAROPA),Puerto Princesa ,Seair,110,112,116,130,184,122,90,86,62, -   , -   , -   ,1012,,,
IV-B (MIMAROPA),Puerto Princesa ,Air Juan, -   , -   , -   , -   , -   , -   , -   , -   , -   ,78,100,116,294,,,
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,304,388, -   ,438,360,420,352,370,254,198,146,176,3406,,,
IV-B (MIMAROPA),Puerto Princesa ,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Romblon,PALEX, -   , -   , -   ,26,28,24,28,22,24,24,22,26,224,,,
IV-B (MIMAROPA),Romblon,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),Romblon,G. Aviation, -   , -   , -   ,16,10,12,2,2,8,8,2,8,68,,,
IV-B (MIMAROPA),Romblon,Military, -   , -   , -   , -   ,2, -   , -   , -   , -   ,6, -   , -   ,8,,,
IV-B (MIMAROPA),San Jose,PAL, - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),San Jose,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),San Jose,Cebu Pacific,24,24,28,26,28,26,20,26,24,26,26,24,302,,,
IV-B (MIMAROPA),San Jose,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
IV-B (MIMAROPA),San Jose,G. Aviation,6,6,4,30,28,16,60, -   ,260,104,86,10,610,,,
IV-B (MIMAROPA),San Jose,Military,18,28,12,16,6, -   ,62,108,30,22,2,6,310,,,
