region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
VI (Western Visayas),Iloilo,Air Philippines,620,536,608,300,308,290,286,302,324,356,368,404,4702
VI (Western Visayas),Iloilo,Zest Air,212,224,248,120,124,120,116,68,84,106,118,124,1664
VI (Western Visayas),Iloilo,G. Aviation,62,166,86,64,90,42,50,168,150,336,260,114,1588
VI (Western Visayas),Iloilo,Military,0,32,6,28,4,4,0,2,4,0,0,0,80
VI (Western Visayas),Kalibo (International),PAL,52,78,42,84,44,92,62,62,60,66,50,0,692
VI (Western Visayas),Kalibo (International),Air Philippines,0,0,0,0,0,0,36,36,48,88,84,0,292
VI (Western Visayas),Kalibo (International),Spirit of Manila ,22,28,34,68,2,34,0,0,0,0,0,0,188
VI (Western Visayas),Kalibo (International),China M. Air,28,26,34,68,40,34,36,34,36,36,34,0,406
VI (Western Visayas),Kalibo (International),China S. Air,0,0,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Kalibo (International),Zest Air,168,176,118,236,132,152,132,328,212,218,204,0,2076
VI (Western Visayas),Kalibo (International),Trans Asia Airlines,6,4,0,0,10,0,0,0,0,0,0,0,20
VI (Western Visayas),Kalibo (Domestic),PAL,194,180,214,428,222,200,208,200,162,144,166,0,2318
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,180,172,192,384,176,164,154,168,136,144,140,0,2010
VI (Western Visayas),Kalibo (Domestic),Air Philippines,0,0,0,0,0,0,58,64,58,64,60,0,304
VI (Western Visayas),Kalibo (Domestic),Zest Air,378,350,316,632,364,324,314,280,276,272,256,0,3762
VI (Western Visayas),Kalibo (Domestic),G. Aviation,508,370,228,456,196,178,76,92,78,82,118,0,2382
VI (Western Visayas),Kalibo (Domestic),Military,0,0,0,0,0,0,28,0,0,0,0,0,28
VI (Western Visayas),Roxas,PAL,62,56,62,60,62,0,62,0,56,0,0,0,420
VI (Western Visayas),Roxas,Cebu Pacific,70,56,58,60,62,60,62,0,60,0,0,0,488
VI (Western Visayas),Roxas,G. Aviation,0,0,0,40,0,0,0,0,0,0,0,0,40
VI (Western Visayas),Roxas,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
VII (Central Visayas),Dumaguete,PAL,162,116,124,120,122,120,124,122,110,66,120,122,1428
VII (Central Visayas),Dumaguete,Cebu Pacific,146,136,158,166,160,158,164,164,160,224,238,228,2102
VII (Central Visayas),Dumaguete,Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0
VII (Central Visayas),Dumaguete,G. Aviation,92,104,194,276,150,144,362,400,316,388,340,196,2962
VII (Central Visayas),Dumaguete,Military,0,0,12,0,6,0,4,4,20,4,6,18,74
VII (Central Visayas),Mactan,International,1692,611,1472,1388,1478,1506,1560,1810,0,0,0,0,11517
VII (Central Visayas),Mactan,Domestic,7780,2879,7720,7448,8164,7496,7198,6870,0,0,0,0,55555
VII (Central Visayas),Mactan,G. Aviation,0,2137,5384,4112,5896,0,0,0,0,0,0,0,17529
VII (Central Visayas),Mactan,Military,0,177,0,448,594,0,0,0,0,0,0,0,1219
