cities,position,name,nickname,party_affiliation,votes_obtained
Libungan,Vice-Mayor,"Malabanan, Victoriano Jr. Canadilla",Bebe,United Opposition,6027
Libungan,Councilor,"Pader, Jose Montgomery Bertumen",Yeye,Lakas-Kabalikat ng Malayang Pilipino,3879
Libungan,Councilor,"Gretare , Noel Andulana",Noel,Lakas-Kabalikat ng Malayang Pilipino,4047
Libungan,Councilor,"Dacoroon, Zosimo Omambong",Choy,Lakas-Christian Muslim Democrats,4156
Libungan,Councilor,"Panadiwan, Imansad Sampatan",Eman,Lakas-Christian Muslim Democrats,4838
Libungan,Councilor,"Cuan, Christopher Maningger",Amping,Independent,5135
Libungan,Councilor,"Wong, Melvie Nagar",Mel,Lakas-Christian Muslim Democrats,5265
Libungan,Councilor,"Antao, Kelie Ugalingan",Maestro,-,5894
Libungan,Councilor,"Neri, Editha Ondoy",Edit,United Opposition,3769
Mlang,Mayor,"Pinol, Joselito Fantin",Lito,Lakas-Christian Muslim Democrats,14930
Mlang,Vice-Mayor,"Abasquez, Bernie Fabila",Berns,Lakas-Christian Muslim Democrats,14365
Mlang,Councilor,"Javier, Hayde Dagol",Hayd,Lakas-Christian Muslim Democrats,9746
Mlang,Councilor,"Sales, Freddie Matias",Fred,Lakas-Christian Muslim Democrats,10263
Mlang,Councilor,"Benito, Regerick Lacaba",Rick,Lakas-Kabalikat ng Malayang Pilipino,10645
Mlang,Councilor,"Paracha, Janirey Embang",Jan,Lakas-Christian Muslim Democrats,11981
Mlang,Councilor,"Tejada, Alberta Pedroso",Inday,Lakas-Kabalikat ng Malayang Pilipino,12191
Mlang,Councilor,"Abonado, Russel Magno",Amay,Lakas-Christian Muslim Democrats,12649
Mlang,Councilor,"Mercado, Joselito Gonzales",Litoy,Independent,13936
Mlang,Councilor,"Dalumpines, Ivy Martia Lei Celarta",Ballitoc,Lakas-Christian Muslim Democrats,9169
Magpet,Mayor,"Pinol, Efren Sr. Fantin",Efren,Lakas-Christian Muslim Democrats,8724
Magpet,Vice-Mayor,"Villasor, Florentino Romero",Toto,Lakas-Christian Muslim Democrats,8437
Magpet,Councilor,"Laguna, Roberto Tampos",Lolong,Lakas-Christian Muslim Democrats,6329
Magpet,Councilor,"Delgado, Jose Jr. Sanmillan",Toto,Lakas-Christian Muslim Democrats,6530
Magpet,Councilor,"Pelonio, Roldan Pandia",Royroy,Philippine Democratic Socialist Party,6769
Magpet,Councilor,"Talotalo, Primitivo Sagayno",Tiboy,Lakas-Christian Muslim Democrats,6864
Magpet,Councilor,"Hernandez, Lorenzo Jr. Garcia",Jun,Lakas-Christian Muslim Democrats,6892
Magpet,Councilor,"Lebrillo, Reuben Sr. Camano",Potot,Lakas-Christian Muslim Democrats,7396
Magpet,Councilor,"Anib, Rodolfo Sr. Coquilla",Dolfo,Lakas-Christian Muslim Democrats,7485
Magpet,Councilor,"Bansalan, Mamerto  Jimena",Omer,Lakas-Christian Muslim Democrats,6238
Makilala,Mayor,"Respicio, Onofre Lucas",Ofring,Lakas-Kabalikat ng Malayang Pilipino,14650
Makilala,Vice-Mayor,"Lalaguna, Manuel Corro",Manoling,Lakas-Kabalikat ng Malayang Pilipino,16372
Makilala,Councilor,"Tabora, Jovencio Baguilod",Joven,Lakas-Christian Muslim Democrats,11152
Makilala,Councilor,"Apostol, William Abalde",Yam,Lakas-Kabalikat ng Malayang Pilipino,12186
Makilala,Councilor,"Cruz, Adelwisa Vale",Lingling,Lakas-Kabalikat ng Malayang Pilipino,12539
Makilala,Councilor,"Colot, Francisco Montallana",Loloy,Lakas-Kabalikat ng Malayang Pilipino,12602
Makilala,Councilor,"Tabanay, Edilberto Enovero",Ed,Lakas-Kabalikat ng Malayang Pilipino,12876
Makilala,Councilor,"Ang, Pedro Lim",Boy,Lakas-Kabalikat ng Malayang Pilipino,15117
Makilala,Councilor,"Cua, Ricky Albarracin",Ricky,Lakas-Kabalikat ng Malayang Pilipino,13891
Makilala,Councilor,"Ramirez, Marlou Lomboy",Marlou,Lakas-Kabalikat ng Malayang Pilipino,9129
Matalam,Mayor,"Valdevieso, Oscar Moreno",Oca,Lakas-Kabalikat ng Malayang Pilipino,13276
Matalam,Vice-Mayor,"Pulanco, Tranquilino Jr. Fusilero",Thur,Philippine Democratic Socialist Party,11524
Matalam,Councilor,"Yarra, Romeo  Atienza",Romy,Philippine Democratic Socialist Party,6981
Matalam,Councilor,"Cabarles, Eugenio Jr. Tayongtong",Jun,Lakas-Kabalikat ng Malayang Pilipino,7159
Matalam,Councilor,"Poblador, Efren Sanon",Fren,Lakas-Kabalikat ng Malayang Pilipino,7484
Matalam,Councilor,"Villamor, Joselito Ferrer",Lito,Lakas-Kabalikat ng Malayang Pilipino,7619
Matalam,Councilor,"Jarabata, Rodrigo Tuscano",Rudy,Lakas-Kabalikat ng Malayang Pilipino,7756
Matalam,Councilor,"Barraca, Modesto Domingo",Mode,Lakas-Kabalikat ng Malayang Pilipino,9212
Matalam,Councilor,"Macapas, Fredrick Sabanal",Pastor,-,10701
Matalam,Councilor,"Dinsay, Federico Lancita",Peding,Lakas-Kabalikat ng Malayang Pilipino,6888
Midsayap,Mayor,"Rabara, Manuel Madiam",Maning,Lakas-Kabalikat ng Malayang Pilipino,16199
Midsayap,Vice-Mayor,"Doletin, Vicente Villa",Enting,Lakas-Christian Muslim Democrats,21240
Midsayap,Councilor,"Jungco, Roland Dalisay",Bobong,Lakas-Christian Muslim Democrats,13027
Midsayap,Councilor,"Montenegro, Alfonso Palencia",Totong,Lakas-Kabalikat ng Malayang Pilipino,13432
Midsayap,Councilor,"Agustin, Roberto Luarca",Bob,Lakas-Kabalikat ng Malayang Pilipino,13719
Midsayap,Councilor,"Casipe, Teodora Solis",Teody,Lakas-Kabalikat ng Malayang Pilipino,14012
Midsayap,Councilor,"Garduque, Albert Luis Lauguico",Abet,Lakas-Kabalikat ng Malayang Pilipino,15890
Midsayap,Councilor,"Superioridad, Jesus Jr. Catolico",Super Jess,Lakas-Kabalikat ng Malayang Pilipino,16344
Midsayap,Councilor,"Sabio, Maria Belen Borra",Bing,Lakas-Kabalikat ng Malayang Pilipino,16563
Midsayap,Councilor,"Acosta, Jesus Tejada ",Jess,Lakas-Christian Muslim Democrats,12119
Pigkawayan,Mayor,"Ruquero, Herminio Sangco",Minyong,Lakas-Christian Muslim Democrats,12889
Pigkawayan,Vice-Mayor,"Blase, Roberto Songcayauon",Nonoy,Lakas-Christian Muslim Democrats,16384
Pigkawayan,Councilor,"Sinarimbo, Casan Guintawan",Cas,Lakas-Christian Muslim Democrats,7223
Pigkawayan,Councilor,"Saljay, Gregorio Iii Begasin",Toto Greggy,Lakas-Kabalikat ng Malayang Pilipino,7219
Pigkawayan,Councilor,"Rahman, Datu Ibrahim Lauban",Ebs,Lakas-Christian Muslim Democrats,8854
Pigkawayan,Councilor,"Panzo, Cenon Castillo",Cenon,Lakas-Christian Muslim Democrats,7634
Pigkawayan,Councilor,"Gomobar, Cirilo Pranza",Ondo,Independent,10626
Pigkawayan,Councilor,"Dillera, Rolando Maturan",Rolly,Lakas-Christian Muslim Democrats,8045
Pigkawayan,Councilor,"Bulaclac, Alex Junsay",Tots,Lakas-Kabalikat ng Malayang Pilipino,7805
Pigkawayan,Councilor,"Tabaque, George Rojo",Nonoy,Lakas-Christian Muslim Democrats,7797
Pikit,Mayor,"Sultan, Sumulong Kadingilan",Sulong,Lakas-Christian Muslim Democrats,17609
Pikit,Vice-Mayor,"Mangansakan, Don Teano",Don,United Opposition,11114
Pikit,Councilor,"Piang, Hassan Padayao",Dindo,Philippine Democratic Socialist Party,7380
Pikit,Councilor,"Ibrahim, Rolando Malingco",Ernie,Lakas-Kabalikat ng Malayang Pilipino,7809
Pikit,Councilor,"Gornez, Jaime Maurin",Pimpim,Lakas-Christian Muslim Democrats,7884
Pikit,Councilor,"Mangansakan, Al Dalandag",Daud,Lakas-Christian Muslim Democrats,8767
Pikit,Councilor,"Afdal, Akmad Guiamil",Ta,Lakas-Christian Muslim Democrats,10401
Pikit,Councilor,"Hamid, Melhan Tayuan",Cong,Lakas-Christian Muslim Democrats,12446
Pikit,Councilor,"Dalandag, Alex Asab",Lex,Lakas-Christian Muslim Democrats,15147
Pikit,Councilor,"Alba, Hussain Eduave",Boy,,7189
President Roxas,Mayor,"Racines, Lucita Verdon",Lucy,Lakas-Kabalikat ng Malayang Pilipino,6478
President Roxas,Vice-Mayor,"Mahimpit, Jaime Hervilla",Toto,Lakas-Christian Muslim Democrats,12716
President Roxas,Councilor,"Gadong, Noel Manimpad",Bady,Puwersa ng Masang Pilipino,5329
President Roxas,Councilor,"Pinero, Norberto Dorado",Norby,Independent,5938
President Roxas,Councilor,"Ovalo, Ramuel Montero",Ram,Lakas-Christian Muslim Democrats,5970
President Roxas,Councilor,"Otong, Eulalio Pacheco",Ulal,Lakas-Kabalikat ng Malayang Pilipino,6128
President Roxas,Councilor,"Mallorca, Noel Calibara",Toto,Lakas-Christian Muslim Democrats,6379
President Roxas,Councilor,"Calayco, Randolph Cueno",Randy,Independent,6663
President Roxas,Councilor,"Dayo, Jane Fordan",Inday Jane,Puwersa ng Masang Pilipino,6782
President Roxas,Councilor,"Hilado, Elizabeth Panolino",Abeth,Lakas-Kabalikat ng Malayang Pilipino,4730
