Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Disbursement_Rate,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,Loan_Status
PH-7311,Manila Third Sewerage Project,WB,Project,LBP,NCR,0.00,0.00,2.78,1.16,3.94,0.00,1.79,3.90,3.57,9.26,0.00,0.00,0.00,0.00,42.56%,0.00,51.58,51.58,16.36,41.50,64.00,64.00,39.41%,25.14,0,7.64%,3/18/06,6/30/12,3/6/06,44.67%,25.56%,47.64,Ongoing
PH-7205,Laguna De Bay Institutional Strengthening and Community Participation (LISCOP) Project,WB,Project,LLDA,IV - A,0.33,0.38,0.42,0.20,1.32,0.21,0.85,0.89,1.04,2.99,0.00,0.00,0.00,0.00,44.28%,0.00,4.32,4.32,2.00,5.00,5.00,5.00,40.00%,3.00,0,30.62%,3/19/06,1/31/11,4/2/04,69.50%,40.00%,3.00,Ongoing
Belgian-1,"LRT Line 1 Rehabilitation II, Modernization II",Belguim,Project,LRTA,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,17.32,17.32,17.32,17.32,100.00%,0.00,0,0.00%,3/20/06,2/28/09,12/14/04,96.16%,100.00%,0.00,Ongoing
PH-P211,"LRT Line 1 Capacity Expansion Project, Phase II",GOJ-JICA,Project,LRTA,NCR,13.62,0.92,18.54,0.00,33.08,14.76,6.52,11.56,0.05,32.89,0.00,0.00,0.00,16.40,100.59%,16.40,46.05,29.65,195.62,195.62,212.02,195.62,100.00%,0.00,16.397,111.57%,3/21/06,9/4/08,9/4/00,104.04%,100.00%,0.00,Closed
Al-9160002,Provincial Towns Water Supply I/II,Germany,Project,LWUA,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,3.36,3.36,17.95,21.30,21.30,21.30,84.25%,3.36,0,0.00%,3/22/06,12/31/06,4/1/00,129.66%,84.25%,3.36,Closed
2012-PHI,MWSS New Water Source Development Project,ADB,Project,MWSS,Nationwide,0.03,0.00,0.06,0.05,0.13,0.08,0.06,0.00,0.00,0.14,0.00,0.00,0.00,0.20,94.37%,0.20,0.33,0.13,1.19,1.43,3.26,1.19,82.91%,0.25,2.071,100.00%,3/23/06,10/21/08,2/17/04,104.16%,100.00%,0.00,Closed
1668-PHI,Southern Philippine Irrigation Sector Project,ADB,Project,NIA,Multi-Regional,2.08,2.61,2.47,1.14,8.30,2.53,2.85,2.11,1.97,9.46,0.00,0.00,0.00,0.00,87.76%,0.00,27.21,27.21,41.10,60.00,60.00,60.00,68.49%,18.90,0,30.51%,3/24/06,6/30/11,10/29/99,78.63%,68.49%,18.90,Ongoing
CHI-1,Banaoang Pump Irrigation Project,China,Project,NIA,I,0.66,0.60,0.00,0.00,1.26,1.11,1.84,3.07,4.77,10.79,0.00,0.00,0.00,0.00,11.63%,0.00,20.56,20.56,22.94,35.00,35.00,35.00,65.55%,12.06,0,6.10%,3/25/06,12/31/11,6/27/02,68.48%,65.55%,12.06,Ongoing
PH-P196,Central Luzon Irrigation Project,GOJ-JICA,Project,NIA,III,13.26,2.08,1.28,12.45,29.07,11.11,5.00,4.95,5.73,26.79,0.00,0.00,0.00,0.00,108.52%,0.00,48.82,48.82,126.75,155.10,155.77,155.77,81.72%,28.35,0,59.55%,3/26/06,1/7/09,1/7/99,99.81%,81.37%,29.02,Ongoing
PH-P202,Bohol Irrigation Project (Phase II),GOJ-JICA,Project,NIA,VII,2.88,1.24,0.21,0.98,5.31,6.17,5.06,2.48,1.43,15.14,0.00,0.00,0.00,0.00,35.05%,0.00,13.81,13.81,55.78,64.00,66.98,66.98,87.15%,8.22,0,38.43%,3/27/06,3/28/09,3/28/00,97.35%,83.28%,11.20,Ongoing
