year,region,species,dimensions,php_per_board_foot
2013,II (Cagayan Valley),Mahogany,"2""x4""x8'",26
2013,II (Cagayan Valley),Narra,"2""x4""x8'",-
2013,II (Cagayan Valley),Tanguile,"2""x4""x8'",-
2013,II (Cagayan Valley),Yakal,"2""x4""x8'",-
2013,III (Central Luzon),A. Manguim,"2""x4""x8'",-
2013,III (Central Luzon),Acacia,"2""x4""x8'",-
2013,III (Central Luzon),Antipolo,"2""x4""x8'",-
2013,III (Central Luzon),Apitong,"2""x4""x8'",37
2013,III (Central Luzon),Bagras,"2""x4""x8'",-
2013,III (Central Luzon),Benguet Pine,"2""x4""x8'",-
2013,III (Central Luzon),Binuang,"2""x4""x8'",-
2013,III (Central Luzon),Dao,"2""x4""x8'",-
2013,III (Central Luzon),Falcata,"2""x4""x8'",-
2013,III (Central Luzon),Gmelina,"2""x4""x8'",29.16
2013,III (Central Luzon),Gubas,"2""x4""x8'",-
2013,III (Central Luzon),Ipil,"2""x4""x8'",-
2013,III (Central Luzon),Kalantas,"2""x4""x8'",-
2013,III (Central Luzon),Lauan,"2""x4""x8'",37
2013,III (Central Luzon),Loktob,"2""x4""x8'",-
2013,III (Central Luzon),Mahogany,"2""x4""x8'",42
2013,III (Central Luzon),Narra,"2""x4""x8'",-
2013,III (Central Luzon),Tanguile,"2""x4""x8'",37
2013,III (Central Luzon),Yakal,"2""x4""x8'",-
2013,IV-A (CALABARZON),A. Manguim,"2""x4""x8'",16
2013,IV-A (CALABARZON),Acacia,"2""x4""x8'",-
2013,IV-A (CALABARZON),Antipolo,"2""x4""x8'",-
2013,IV-A (CALABARZON),Apitong,"2""x4""x8'",45
2013,IV-A (CALABARZON),Bagras,"2""x4""x8'",-
2013,IV-A (CALABARZON),Benguet Pine,"2""x4""x8'",-
2013,IV-A (CALABARZON),Binuang,"2""x4""x8'",-
2013,IV-A (CALABARZON),Dao,"2""x4""x8'",-
2013,IV-A (CALABARZON),Falcata,"2""x4""x8'",-
2013,IV-A (CALABARZON),Gmelina,"2""x4""x8'",24.22
2013,IV-A (CALABARZON),Gubas,"2""x4""x8'",-
2013,IV-A (CALABARZON),Ipil,"2""x4""x8'",19.32
2013,IV-A (CALABARZON),Kalantas,"2""x4""x8'",-
2013,IV-A (CALABARZON),Lauan,"2""x4""x8'",42.8
2013,IV-A (CALABARZON),Loktob,"2""x4""x8'",-
2013,IV-A (CALABARZON),Mahogany,"2""x4""x8'",29.6
2013,IV-A (CALABARZON),Narra,"2""x4""x8'",142.8
2013,IV-A (CALABARZON),Tanguile,"2""x4""x8'",44.6
2013,IV-A (CALABARZON),Yakal,"2""x4""x8'",-
2013,IV-B (MIMAROPA),A. Manguim,"2""x4""x8'",30
2013,IV-B (MIMAROPA),Acacia,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Antipolo,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Apitong,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Bagras,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Benguet Pine,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Binuang,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Dao,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Falcata,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Gmelina,"2""x4""x8'",33.35
2013,IV-B (MIMAROPA),Gubas,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Ipil,"2""x4""x8'",33.13
2013,IV-B (MIMAROPA),Kalantas,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Lauan,"2""x4""x8'",33
2013,IV-B (MIMAROPA),Loktob,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Mahogany,"2""x4""x8'",28.34
2013,IV-B (MIMAROPA),Narra,"2""x4""x8'",80
2013,IV-B (MIMAROPA),Tanguile,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Yakal,"2""x4""x8'",-
2013,V (Bicol Region),A. Manguim,"2""x4""x8'",41.33
2013,V (Bicol Region),Acacia,"2""x4""x8'",37.25
2013,V (Bicol Region),Antipolo,"2""x4""x8'",29.5
2013,V (Bicol Region),Apitong,"2""x4""x8'",39
2013,V (Bicol Region),Bagras,"2""x4""x8'",-
2013,V (Bicol Region),Benguet Pine,"2""x4""x8'",-
2013,V (Bicol Region),Binuang,"2""x4""x8'",28.33
2013,V (Bicol Region),Dao,"2""x4""x8'",32.33
2013,V (Bicol Region),Falcata,"2""x4""x8'",-
2013,V (Bicol Region),Gmelina,"2""x4""x8'",35.87
2013,V (Bicol Region),Gubas,"2""x4""x8'",-
2013,V (Bicol Region),Ipil,"2""x4""x8'",-
2013,V (Bicol Region),Kalantas,"2""x4""x8'",30.67
2013,V (Bicol Region),Lauan,"2""x4""x8'",42.78
2013,V (Bicol Region),Loktob,"2""x4""x8'",27
2013,V (Bicol Region),Mahogany,"2""x4""x8'",38
2013,V (Bicol Region),Narra,"2""x4""x8'",93.33
2013,V (Bicol Region),Tanguile,"2""x4""x8'",38.67
2013,V (Bicol Region),Yakal,"2""x4""x8'",-
2013,VI (Western Visayas),A. Manguim,"2""x4""x8'",-
2013,VI (Western Visayas),Acacia,"2""x4""x8'",-
2013,VI (Western Visayas),Antipolo,"2""x4""x8'",-
2013,VI (Western Visayas),Apitong,"2""x4""x8'",-
2013,VI (Western Visayas),Bagras,"2""x4""x8'",-
2013,VI (Western Visayas),Benguet Pine,"2""x4""x8'",26.06
2013,VI (Western Visayas),Binuang,"2""x4""x8'",-
2013,VI (Western Visayas),Dao,"2""x4""x8'",-
2013,VI (Western Visayas),Falcata,"2""x4""x8'",-
2013,VI (Western Visayas),Gmelina,"2""x4""x8'",25.72
2013,VI (Western Visayas),Gubas,"2""x4""x8'",-
2013,VI (Western Visayas),Ipil,"2""x4""x8'",-
2013,VI (Western Visayas),Kalantas,"2""x4""x8'",-
2013,VI (Western Visayas),Lauan,"2""x4""x8'",55.75
2013,VI (Western Visayas),Loktob,"2""x4""x8'",-
2013,VI (Western Visayas),Mahogany,"2""x4""x8'",28.03
2013,VI (Western Visayas),Narra,"2""x4""x8'",-
2013,VI (Western Visayas),Tanguile,"2""x4""x8'",-
2013,VI (Western Visayas),Yakal,"2""x4""x8'",-
2013,VII (Central Visayas),A. Manguim,"2""x4""x8'",-
2013,VII (Central Visayas),Acacia,"2""x4""x8'",-
2013,VII (Central Visayas),Antipolo,"2""x4""x8'",-
2013,VII (Central Visayas),Apitong,"2""x4""x8'",29
2013,VII (Central Visayas),Bagras,"2""x4""x8'",32
2013,VII (Central Visayas),Benguet Pine,"2""x4""x8'",-
2013,VII (Central Visayas),Binuang,"2""x4""x8'",-
2013,VII (Central Visayas),Dao,"2""x4""x8'",-
2013,VII (Central Visayas),Falcata,"2""x4""x8'",-
2013,VII (Central Visayas),Gmelina,"2""x4""x8'",28
2013,VII (Central Visayas),Gubas,"2""x4""x8'",-
2013,VII (Central Visayas),Ipil,"2""x4""x8'",-
2013,VII (Central Visayas),Kalantas,"2""x4""x8'",-
2013,VII (Central Visayas),Lauan,"2""x4""x8'",44.42
2013,VII (Central Visayas),Loktob,"2""x4""x8'",-
2013,VII (Central Visayas),Mahogany,"2""x4""x8'",32.13
2013,VII (Central Visayas),Narra,"2""x4""x8'",170
2013,VII (Central Visayas),Tanguile,"2""x4""x8'",-
2013,VII (Central Visayas),Yakal,"2""x4""x8'",81.5
2013,VIII (Eastern Visayas),A. Manguim,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Acacia,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Antipolo,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Apitong,"2""x4""x8'",31
2013,VIII (Eastern Visayas),Bagras,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Benguet Pine,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Binuang,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Dao,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Falcata,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Gmelina,"2""x4""x8'",35
2013,VIII (Eastern Visayas),Gubas,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Ipil,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Kalantas,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Lauan,"2""x4""x8'",41.5
2013,VIII (Eastern Visayas),Loktob,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Mahogany,"2""x4""x8'",40
2013,VIII (Eastern Visayas),Narra,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Tanguile,"2""x4""x8'",35
2013,VIII (Eastern Visayas),Yakal,"2""x4""x8'",92.5
2013,IX (Zamboanga Peninsula),A. Manguim,"2""x4""x8'",16.67
2013,IX (Zamboanga Peninsula),Acacia,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Antipolo,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Apitong,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Bagras,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Benguet Pine,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Binuang,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Dao,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Falcata,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Gmelina,"2""x4""x8'",24.34
2013,IX (Zamboanga Peninsula),Gubas,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Ipil,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Kalantas,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Lauan,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Loktob,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Mahogany,"2""x4""x8'",27.11
2013,IX (Zamboanga Peninsula),Narra,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Tanguile,"2""x4""x8'",-
2013,IX (Zamboanga Peninsula),Yakal,"2""x4""x8'",-
2013,X (Northern Mindanao),A. Manguim,"2""x4""x8'",21.8
2013,X (Northern Mindanao),Acacia,"2""x4""x8'",-
2013,X (Northern Mindanao),Antipolo,"2""x4""x8'",-
2013,X (Northern Mindanao),Apitong,"2""x4""x8'",-
2013,X (Northern Mindanao),Bagras,"2""x4""x8'",25
2013,X (Northern Mindanao),Benguet Pine,"2""x4""x8'",-
2013,X (Northern Mindanao),Binuang,"2""x4""x8'",-
2013,X (Northern Mindanao),Dao,"2""x4""x8'",-
2013,X (Northern Mindanao),Falcata,"2""x4""x8'",19.67
2013,X (Northern Mindanao),Gmelina,"2""x4""x8'",17.6
2013,X (Northern Mindanao),Gubas,"2""x4""x8'",-
2013,X (Northern Mindanao),Ipil,"2""x4""x8'",-
2013,X (Northern Mindanao),Kalantas,"2""x4""x8'",-
2013,X (Northern Mindanao),Lauan,"2""x4""x8'",-
2013,X (Northern Mindanao),Loktob,"2""x4""x8'",-
2013,X (Northern Mindanao),Mahogany,"2""x4""x8'",23.95
2013,X (Northern Mindanao),Narra,"2""x4""x8'",-
2013,X (Northern Mindanao),Tanguile,"2""x4""x8'",-
2013,X (Northern Mindanao),Yakal,"2""x4""x8'",-
2013,XI (Davao Region),A. Manguim,"2""x4""x8'",21.57
2013,XI (Davao Region),Acacia,"2""x4""x8'",-
2013,XI (Davao Region),Antipolo,"2""x4""x8'",-
2013,XI (Davao Region),Apitong,"2""x4""x8'",-
2013,XI (Davao Region),Bagras,"2""x4""x8'",25.2
2013,XI (Davao Region),Benguet Pine,"2""x4""x8'",-
2013,XI (Davao Region),Binuang,"2""x4""x8'",-
2013,XI (Davao Region),Dao,"2""x4""x8'",-
2013,XI (Davao Region),Falcata,"2""x4""x8'",-
2013,XI (Davao Region),Gmelina,"2""x4""x8'",21.97
2013,XI (Davao Region),Gubas,"2""x4""x8'",-
2013,XI (Davao Region),Ipil,"2""x4""x8'",-
2013,XI (Davao Region),Kalantas,"2""x4""x8'",-
2013,XI (Davao Region),Lauan,"2""x4""x8'",-
2013,XI (Davao Region),Loktob,"2""x4""x8'",-
2013,XI (Davao Region),Mahogany,"2""x4""x8'",30.2
2013,XI (Davao Region),Narra,"2""x4""x8'",-
2013,XI (Davao Region),Tanguile,"2""x4""x8'",-
2013,XI (Davao Region),Yakal,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),A. Manguim,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Acacia,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Antipolo,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Apitong,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Bagras,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Benguet Pine,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Binuang,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Dao,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Falcata,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Gmelina,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Gubas,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Ipil,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Kalantas,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Lauan,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Loktob,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Mahogany,"2""x4""x8'",42
2013,XII (SOCCSKSARGEN),Narra,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Tanguile,"2""x4""x8'",-
2013,XII (SOCCSKSARGEN),Yakal,"2""x4""x8'",-
2013,XIII (Caraga),A. Manguim,"2""x4""x8'",19
2013,XIII (Caraga),Acacia,"2""x4""x8'",-
2013,XIII (Caraga),Antipolo,"2""x4""x8'",-
2013,XIII (Caraga),Apitong,"2""x4""x8'",-
2013,XIII (Caraga),Bagras,"2""x4""x8'",-
2013,XIII (Caraga),Benguet Pine,"2""x4""x8'",-
2013,XIII (Caraga),Binuang,"2""x4""x8'",-
2013,XIII (Caraga),Dao,"2""x4""x8'",-
2013,XIII (Caraga),Falcata,"2""x4""x8'",9
2013,XIII (Caraga),Gmelina,"2""x4""x8'",22
2013,XIII (Caraga),Gubas,"2""x4""x8'",9
2013,XIII (Caraga),Ipil,"2""x4""x8'",-
2013,XIII (Caraga),Kalantas,"2""x4""x8'",-
2013,XIII (Caraga),Lauan,"2""x4""x8'",-
2013,XIII (Caraga),Loktob,"2""x4""x8'",-
2013,XIII (Caraga),Mahogany,"2""x4""x8'",19
2013,XIII (Caraga),Narra,"2""x4""x8'",-
2013,XIII (Caraga),Tanguile,"2""x4""x8'",-
2013,XIII (Caraga),Yakal,"2""x4""x8'",-
2012,National,A. Manguim,"2""x4""x8'",15.99
2012,National,Acacia,"2""x4""x8'",28.67
2012,National,Antipolo,"2""x4""x8'",27.67
2012,National,Apitong,"2""x4""x8'",32
2012,National,Bagras,"2""x4""x8'",29.73
2012,National,Benguet Pine,"2""x4""x8'",48
2012,National,Binuang,"2""x4""x8'",30.67
2012,National,Dao,"2""x4""x8'",30.67
2012,National,Dita,"2""x4""x8'",28
2012,National,Falcata,"2""x4""x8'",12
2012,National,Gmelina,"2""x4""x8'",24.96
2012,National,Gubas,"2""x4""x8'",6
2012,National,Ipil,"2""x4""x8'",38.5
2012,National,Kalantas,"2""x4""x8'",30.67
2012,National,Lauan,"2""x4""x8'",37.3
2012,National,Loktob,"2""x4""x8'",29.33
2012,National,Mahogany,"2""x4""x8'",29.75
2012,National,Narra,"2""x4""x8'",122.5
2012,National,Tangile,"2""x4""x8'",37.73
2012,National,Yakal,"2""x4""x8'",42.97
2012,NCR,A. Manguim,"2""x4""x8'",-
2012,NCR,Acacia,"2""x4""x8'",-
2012,NCR,Antipolo,"2""x4""x8'",-
2012,NCR,Apitong,"2""x4""x8'",-
2012,NCR,Bagras,"2""x4""x8'",36
2012,NCR,Benguet Pine,"2""x4""x8'",-
2012,NCR,Binuang,"2""x4""x8'",-
2012,NCR,Dao,"2""x4""x8'",-
2012,NCR,Dita,"2""x4""x8'",-
2012,NCR,Falcata,"2""x4""x8'",-
2012,NCR,Gmelina,"2""x4""x8'",34.75
2012,NCR,Gubas,"2""x4""x8'",-
2012,NCR,Ipil,"2""x4""x8'",-
2012,NCR,Kalantas,"2""x4""x8'",-
2012,NCR,Lauan,"2""x4""x8'",59.02
2012,NCR,Loktob,"2""x4""x8'",-
2012,NCR,Mahogany,"2""x4""x8'",34.75
2012,NCR,Narra,"2""x4""x8'",-
2012,NCR,Tangile,"2""x4""x8'",57.6
2012,NCR,Yakal,"2""x4""x8'",-
2012,I (Ilocos Region),A. Manguim,"2""x4""x8'",-
2012,I (Ilocos Region),Acacia,"2""x4""x8'",-
2012,I (Ilocos Region),Antipolo,"2""x4""x8'",-
2012,I (Ilocos Region),Apitong,"2""x4""x8'",-
2012,I (Ilocos Region),Bagras,"2""x4""x8'",-
2012,I (Ilocos Region),Benguet Pine,"2""x4""x8'",-
2012,I (Ilocos Region),Binuang,"2""x4""x8'",-
2012,I (Ilocos Region),Dao,"2""x4""x8'",-
2012,I (Ilocos Region),Dita,"2""x4""x8'",-
2012,I (Ilocos Region),Falcata,"2""x4""x8'",-
2012,I (Ilocos Region),Gmelina,"2""x4""x8'",-
2012,I (Ilocos Region),Gubas,"2""x4""x8'",-
2012,I (Ilocos Region),Ipil,"2""x4""x8'",-
2012,I (Ilocos Region),Kalantas,"2""x4""x8'",-
2012,I (Ilocos Region),Lauan,"2""x4""x8'",-
2012,I (Ilocos Region),Loktob,"2""x4""x8'",-
2012,I (Ilocos Region),Mahogany,"2""x4""x8'",-
2012,I (Ilocos Region),Narra,"2""x4""x8'",-
2012,I (Ilocos Region),Tangile,"2""x4""x8'",59.36
2012,I (Ilocos Region),Yakal,"2""x4""x8'",-
2012,II (Cagayan Valley),A. Manguim,"2""x4""x8'",-
2012,II (Cagayan Valley),Acacia,"2""x4""x8'",-
2012,II (Cagayan Valley),Antipolo,"2""x4""x8'",-
2012,II (Cagayan Valley),Apitong,"2""x4""x8'",19
2012,II (Cagayan Valley),Bagras,"2""x4""x8'",-
2012,II (Cagayan Valley),Benguet Pine,"2""x4""x8'",-
2012,II (Cagayan Valley),Binuang,"2""x4""x8'",-
2012,II (Cagayan Valley),Dao,"2""x4""x8'",-
2012,II (Cagayan Valley),Dita,"2""x4""x8'",-
2012,II (Cagayan Valley),Falcata,"2""x4""x8'",-
2012,II (Cagayan Valley),Gmelina,"2""x4""x8'",24.21
2012,II (Cagayan Valley),Gubas,"2""x4""x8'",-
2012,II (Cagayan Valley),Ipil,"2""x4""x8'",-
2012,II (Cagayan Valley),Kalantas,"2""x4""x8'",-
2012,II (Cagayan Valley),Lauan,"2""x4""x8'",32.63
2012,II (Cagayan Valley),Loktob,"2""x4""x8'",-
2012,II (Cagayan Valley),Mahogany,"2""x4""x8'",-
2012,II (Cagayan Valley),Narra,"2""x4""x8'",-
2012,II (Cagayan Valley),Tangile,"2""x4""x8'",19
2012,II (Cagayan Valley),Yakal,"2""x4""x8'",19
2012,III (Central Luzon),A. Manguim,"2""x4""x8'",-
2012,III (Central Luzon),Acacia,"2""x4""x8'",-
2012,III (Central Luzon),Antipolo,"2""x4""x8'",-
2012,III (Central Luzon),Apitong,"2""x4""x8'",37
2012,III (Central Luzon),Bagras,"2""x4""x8'",-
2012,III (Central Luzon),Benguet Pine,"2""x4""x8'",-
2012,III (Central Luzon),Binuang,"2""x4""x8'",-
2012,III (Central Luzon),Dao,"2""x4""x8'",-
2012,III (Central Luzon),Dita,"2""x4""x8'",-
2012,III (Central Luzon),Falcata,"2""x4""x8'",-
2012,III (Central Luzon),Gmelina,"2""x4""x8'",28.23
2012,III (Central Luzon),Gubas,"2""x4""x8'",-
2012,III (Central Luzon),Ipil,"2""x4""x8'",-
2012,III (Central Luzon),Kalantas,"2""x4""x8'",-
2012,III (Central Luzon),Lauan,"2""x4""x8'",40.1
2012,III (Central Luzon),Loktob,"2""x4""x8'",-
2012,III (Central Luzon),Mahogany,"2""x4""x8'",41.5
2012,III (Central Luzon),Narra,"2""x4""x8'",-
2012,III (Central Luzon),Tangile,"2""x4""x8'",37.67
2012,III (Central Luzon),Yakal,"2""x4""x8'",-
2012,IV-A (CALABARZON),A. Manguim,"2""x4""x8'",-
2012,IV-A (CALABARZON),Acacia,"2""x4""x8'",-
2012,IV-A (CALABARZON),Antipolo,"2""x4""x8'",-
2012,IV-A (CALABARZON),Apitong,"2""x4""x8'",52.22
2012,IV-A (CALABARZON),Bagras,"2""x4""x8'",-
2012,IV-A (CALABARZON),Benguet Pine,"2""x4""x8'",-
2012,IV-A (CALABARZON),Binuang,"2""x4""x8'",-
2012,IV-A (CALABARZON),Dao,"2""x4""x8'",-
2012,IV-A (CALABARZON),Dita,"2""x4""x8'",-
2012,IV-A (CALABARZON),Falcata,"2""x4""x8'",-
2012,IV-A (CALABARZON),Gmelina,"2""x4""x8'",23
2012,IV-A (CALABARZON),Gubas,"2""x4""x8'",-
2012,IV-A (CALABARZON),Ipil,"2""x4""x8'",-
2012,IV-A (CALABARZON),Kalantas,"2""x4""x8'",-
2012,IV-A (CALABARZON),Lauan,"2""x4""x8'",45
2012,IV-A (CALABARZON),Loktob,"2""x4""x8'",-
2012,IV-A (CALABARZON),Mahogany,"2""x4""x8'",29
2012,IV-A (CALABARZON),Narra,"2""x4""x8'",140
2012,IV-A (CALABARZON),Tangile,"2""x4""x8'",54.71
2012,IV-A (CALABARZON),Yakal,"2""x4""x8'",-
2012,IV-B (MIMAROPA),A. Manguim,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Acacia,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Antipolo,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Apitong,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Bagras,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Benguet Pine,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Binuang,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Dao,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Dita,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Falcata,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Gmelina,"2""x4""x8'",27.75
2012,IV-B (MIMAROPA),Gubas,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Ipil,"2""x4""x8'",35
2012,IV-B (MIMAROPA),Kalantas,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Lauan,"2""x4""x8'",33.78
2012,IV-B (MIMAROPA),Loktob,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Mahogany,"2""x4""x8'",23
2012,IV-B (MIMAROPA),Narra,"2""x4""x8'",80
2012,IV-B (MIMAROPA),Tangile,"2""x4""x8'",-
2012,IV-B (MIMAROPA),Yakal,"2""x4""x8'",-
2012,V (Bicol Region),A. Manguim,"2""x4""x8'",-
2012,V (Bicol Region),Acacia,"2""x4""x8'",28.67
2012,V (Bicol Region),Antipolo,"2""x4""x8'",27.67
2012,V (Bicol Region),Apitong,"2""x4""x8'",38.33
2012,V (Bicol Region),Bagras,"2""x4""x8'",-
2012,V (Bicol Region),Benguet Pine,"2""x4""x8'",-
2012,V (Bicol Region),Binuang,"2""x4""x8'",30.67
2012,V (Bicol Region),Dao,"2""x4""x8'",30.67
2012,V (Bicol Region),Dita,"2""x4""x8'",28
2012,V (Bicol Region),Falcata,"2""x4""x8'",-
2012,V (Bicol Region),Gmelina,"2""x4""x8'",29
2012,V (Bicol Region),Gubas,"2""x4""x8'",-
2012,V (Bicol Region),Ipil,"2""x4""x8'",-
2012,V (Bicol Region),Kalantas,"2""x4""x8'",30.67
2012,V (Bicol Region),Lauan,"2""x4""x8'",36
2012,V (Bicol Region),Loktob,"2""x4""x8'",29.33
2012,V (Bicol Region),Mahogany,"2""x4""x8'",29.33
2012,V (Bicol Region),Narra,"2""x4""x8'",100
2012,V (Bicol Region),Tangile,"2""x4""x8'",36
2012,V (Bicol Region),Yakal,"2""x4""x8'",40
2012,VI (Western Visayas),A. Manguim,"2""x4""x8'",-
2012,VI (Western Visayas),Acacia,"2""x4""x8'",-
2012,VI (Western Visayas),Antipolo,"2""x4""x8'",-
2012,VI (Western Visayas),Apitong,"2""x4""x8'",-
2012,VI (Western Visayas),Bagras,"2""x4""x8'",-
2012,VI (Western Visayas),Benguet Pine,"2""x4""x8'",48
2012,VI (Western Visayas),Binuang,"2""x4""x8'",-
2012,VI (Western Visayas),Dao,"2""x4""x8'",-
2012,VI (Western Visayas),Dita,"2""x4""x8'",-
2012,VI (Western Visayas),Falcata,"2""x4""x8'",-
2012,VI (Western Visayas),Gmelina,"2""x4""x8'",33.24
2012,VI (Western Visayas),Gubas,"2""x4""x8'",-
2012,VI (Western Visayas),Ipil,"2""x4""x8'",-
