city_municipality,position,name,nickname,party_affiliation,votes_obtained
Ivisan,Councilor,"San Antonio, Catherine Andrada",Cathy,Lakas-Kampi,6018
Ivisan,Councilor,"Delos Santos, Bito, Sr. Odicta",Bit,Lakas-Kampi,6773
Ivisan,Councilor,"Yap, Noel Navarra",Nonoy,Lakas-Kampi,6992
Ivisan,Councilor,"Pisuena, Raymund Navarra",Nonoy,Independent,7867
Jamindan,Mayor,"Jinon, Ethel Ricaforte",Manang,Lakas-Kampi,10434
Jamindan,Vice-Mayor,"Montorio, Samson Alcayde",Sam,Lakas-Kampi,8996
Jamindan,Councilor,"Leonor, Roy De Blas",Toto,Liberal Party,7019
Jamindan,Councilor,"Orocio, Antonio E III Leonor",Tres,Lakas-Kampi,7494
Jamindan,Councilor,"Luces, Nonelon Gallano",Nelon,Lakas-Kampi,8296
Jamindan,Councilor,"Villasis, Patricio Vergara",Pati,Lakas-Kampi,8916
Jamindan,Councilor,"Villeza, Gerundio Luces",Alon,Lakas-Kampi,9206
Jamindan,Councilor,"Vestidas, Lemuel Valguna",Aran,Lakas-Kampi,9485
Jamindan,Councilor,"Cusay, Ildefonso Vestidas",Ildy,Lakas-Kampi,10173
Jamindan,Councilor,"Valdemar, Mac Artur Luces",Mac,Lakas-Kampi,10202
Ma-ayon,Mayor,"Borres, Wilfredo, Sr. Espinosa",Pedot,Liberal Party,8074
Ma-ayon,Vice-Mayor,"Apolinario, Weldie, Jr. Contreras",Tambol,Liberal Party,7833
Ma-ayon,Councilor,"Dordas, Elmer Daniel",Mer,Independent,5776
Ma-ayon,Councilor,"Dordas, Jane Dador",Nn,Liberal Party,6891
Ma-ayon,Councilor,"Descalzota, Edilberto Bueno",Nonong,Liberal Party,7037
Ma-ayon,Councilor,"Contreras, Rene De Juan",Nono,Liberal Party,7293
Ma-ayon,Councilor,"Diamante, Syvil Grace Duenas",Bic-Bic,Liberal Party,7739
Ma-ayon,Councilor,"Duronio, Wildie Delfin",Weld,Liberal Party,7943
Ma-ayon,Councilor,"Orendez, Maximo Dejasco",Boy,Liberal Party,8112
Ma-ayon,Councilor,"Diaz, Joel Laguda",Wel,Liberal Party,8556
Mambusao,Mayor,"Alba, Jose Jr. Ong",Joe,Lakas-Kampi,12843
Mambusao,Vice-Mayor,"Martinez, Abel Pardo",Doc Abel,Lakas-Kampi,11436
Mambusao,Councilor,"Uy, Maria Rhodora Bayot",Nene,Lakas-Kampi,8190
Mambusao,Councilor,"Apostol, Maria Dee Lacson",Dee,Lakas-Kampi,8307
Mambusao,Councilor,"Kapunan, Cicero, Jr. Martinez",Toto,Lakas-Kampi,10721
Mambusao,Councilor,"Buenavista, Federico Legaspi",Fedy,Lakas-Kampi,10722
Mambusao,Councilor,"Tupaz, Eddie Lopez",Ed,Lakas-Kampi,10759
Mambusao,Councilor,"Lopez, Teodoro Andaya",Teod,Lakas-Kampi,11406
Mambusao,Councilor,"Leal, Wilfredo Estores",Fred,Lakas-Kampi,11701
Mambusao,Councilor,"Arevalo, Elmer Perasol",Nonoy,Lakas-Kampi,12606
Panay,Mayor,"Bermejo, Dante Billanes",Toto Dante,Ugyon Kita Capiz,11546
Panay,Vice-Mayor,"Bernas, Gualberto III Billanes",Diutay,Ugyon Kita Capiz,11955
Panay,Councilor,"Besana, Arturo Beluso",Turing,Ugyon Kita Capiz,7904
Panay,Councilor,"Baria, Lito Bersabal",Lit,Liberal Party,8278
Panay,Councilor,"Balderama, Graciano Buenvenida",Jojo Balderama,Liberal Party,8285
Panay,Councilor,"Deslate-Delicana, Maria Leobeth Bercadez",Neneng,Ugyon Kita Capiz,8324
Panay,Councilor,"Benliro, Edwin Baes",Nonoy,Ugyon Kita Capiz,8410
Panay,Councilor,"Contreras, Nicolai Bayhon",Lai,Ugyon Kita Capiz,8516
Panay,Councilor,"Balatayo, Nicomedes Acejas",Boboy,Ugyon Kita Capiz,9059
Panay,Councilor,"Arches, Alexander , Jr. Billones",Jojo,Ugyon Kita Capiz,9117
Panitan,Mayor,"Belo, Katherine Dequina",Kit,Liberal Party,9386
Panitan,Vice-Mayor,"Derramas, Generoso, Sr. Detoning",Toto-Roso,Liberal Party,10220
Panitan,Councilor,"Dorado, Rex Bayona",Boy,Independent,5726
Panitan,Councilor,"Bito-On, Josephine Dadivas",Pin,Independent,5884
Panitan,Councilor,"Belvis, Abraham Binas",Abe,Liberal Party,6221
Panitan,Councilor,"Fenolan, Francisco Espino",Frank,Liberal Party,6434
Panitan,Councilor,"Diaz, Symor Belo",Toto-Symor,Independent,6563
Panitan,Councilor,"Delfin, Vicente Dadivas",Nonong-Entik,Liberal Party,6780
Panitan,Councilor,"Caldeo, Edgardo Dorado",Boy,Puwersa ng Masang Pilipino,6860
Panitan,Councilor,"Albana, Roberto Legaspi",Bebe,Liberal Party,7737
Pilar,Mayor,"Patricio, Ma Rita Lyn Belita",Inday-Rita,Liberal Party,9308
Pilar,Vice-Mayor,"Patricio, Ruby Benigla",Be,Liberal Party,8395
Pilar,Councilor,"Cantiller, Doujie Jack Barrientos",Jack,Liberal Party,6518
Pilar,Councilor,"Bedeo, Paquito Villaraiz",Jun-Jun,Liberal Party,6570
Pilar,Councilor,"Altabano, Neil Botin",Nel,Liberal Party,7127
Pilar,Councilor,"Obligar, Raymundo Vargas",Ob,Liberal Party,7216
Pilar,Councilor,"Bonilla, Norberto, Jr. Garalda",Boyet,Liberal Party,7389
Pilar,Councilor,"Dichosa, Ariel Albances",Ayi,Ugyon Kita Capiz,7584
Pilar,Councilor,"Pastrana, Fernando Resari",Fer,Ugyon Kita Capiz,7766
Pilar,Councilor,"Perez, Arnold Alba",Dodoy,Ugyon Kita Capiz,8581
Pontevedra,Mayor,"Contreras, Esteban Jose Bacero",Steve,Liberal Party,10928
Pontevedra,Vice-Mayor,"Oquendo, Nelson Gerardo Jr. Maleza",Junjun,Liberal Party,10624
Pontevedra,Councilor,"Avelino, Maximo Mossesgeld",Bong,UGYON,8194
Pontevedra,Councilor,"Boluso, Ricky Girao",Kaws,Liberal Party,8238
Pontevedra,Councilor,"Dumapig, Reu Burgos",Yoyo,Ugyon Kita Capiz,8360
Pontevedra,Councilor,"Salcedo, Harry Jr. Borbon",Dodong,Liberal Party,8366
Pontevedra,Councilor,"Daynolo, Vivian Bernales",Vi,Liberal Party,8468
Pontevedra,Councilor,"Catalan, Allan Batilaran",Bombo,Liberal Party,8897
Pontevedra,Councilor,"Almeida, Maria Nena J Beldia",Kling,Ugyon Kita Capiz,9142
Pontevedra,Councilor,"Cortes, Elmer Bisnar",Dodoy,Ugyon Kita Capiz,11983
President Roxas,Mayor,"Locsin, Raymund Segovia",Toto,Liberal Party,7014
President Roxas,Vice-Mayor,"Golero, Alfonso Locsin",Dodoy,Liberal Party,6741
President Roxas,Councilor,"Ciudad, Arnel Arcangel",Bobong,Liberal Party,5368
President Roxas,Councilor,"Beltran, Junnel Beatriz",Jun,Ugyon Kita Capiz,5440
President Roxas,Councilor,"Badana, Vincent Dangan",Bong-Bong,Liberal Party,5473
President Roxas,Councilor,"Diosaban, Danilo Basinang",Boy,Liberal Party,5517
President Roxas,Councilor,"Buenafe, Medel Baltar",Boboy,Ugyon Kita Capiz,5620
President Roxas,Councilor,"Garra, Luis Beramo",Luis,Liberal Party,5650
President Roxas,Councilor,"Posadas, Ray Victor C Bartolome",Tope,Liberal Party,5802
President Roxas,Councilor,"Loretizo, Bernardo Sinay",Bernie,Liberal Party,5930
Roxas City,Mayor,"Celino, Angel Alan Badoy",Alan,Liberal Party,33122
Roxas City,Vice-Mayor,"Dadivas, Ronnie Tinsay",Ron,Liberal Party,39940
Roxas City,Councilor,"Abela, Julius Lachica",Judge,Liberal Party,22641
Roxas City,Councilor,"Abela, Carla Bolano",Carla,Ugyon Kita Capiz,22792
Roxas City,Councilor,"Billones, Emmanuel, Jr. Andaya","Tawi, Jr.",Liberal Party,24155
Roxas City,Councilor,"Lim, Erlynne Balosa",Lin-Lin,Liberal Party,24328
Roxas City,Councilor,"Agdalipe, Jose Dalmino",Joe,Ugyon Kita Capiz,24925
Roxas City,Councilor,"Anisco, Jeniffer Ann Tullo",Nene,Liberal Party,27419
Roxas City,Councilor,"Viterbo, Matthew James Alvarez",Matty,Liberal Party,29119
Roxas City,Councilor,"Del Rosario, Powell Almalbis",Pow,Liberal Party,33166
Roxas City,Councilor,"Almalbis, Teresa Hontiveros",Inday,Ugyon Kita Capiz,34874
Roxas City,Councilor,"Sicad, Erwin Bofill",Nonoy,Liberal Party,35536
Sapi-an,Mayor,"Orosco, Arturo, Sr. Agapito",Turic,Independent,6874
Sapi-an,Vice-Mayor,"Odrunia, Ralph Concepcion",Dokdong,Independent,6905
Sapi-an,Councilor,"Vista, Elaine Ocbena",Nene,Independent,4739
Sapi-an,Councilor,"Padasas, Reynante Padrogado",Bobong,Independent,4856
Sapi-an,Councilor,"Oloroso, Noel Villanueva",Dodoy,Independent,4876
Sapi-an,Councilor,"Orillos, Imelda Obuyes",Dada,Independent,5046
Sapi-an,Councilor,"Obligar, Redentor Obispado",Redy,Independent,5213
Sapi-an,Councilor,"Obordo, Rodel Ofalla",Dodoy,Liberal Party,5221
Sapi-an,Councilor,"Garcia, Perseus Castro",Pers,Independent,5236
Sapi-an,Councilor,"Cordero, Samson Ga",Padre,Independent,5597
Sigma,Mayor,"Andaya, Maria Tandoc",Mary,Liberal Party,8585
Sigma,Vice-Mayor,"Simon, Rodolfo Bacalangco",Rudy,Liberal Party,8220
Sigma,Councilor,"De Juan, Oscar De Pedro",Oca,Lakas-Kampi,6203
Sigma,Councilor,"Alayon, Crispin Bacalangco",Crispin,Lakas-Kampi,6433
Sigma,Councilor,"Orillanes, Stephen Bermejo",Step,Liberal Party,6509
Sigma,Councilor,"Aguanta, Arminda Baylon",Minda,Liberal Party,6547
Sigma,Councilor,"Gallardo, Renato, Jr. Fanuncio",Toto,Liberal Party,6575
Sigma,Councilor,"Compuesto, Joel Pontoy",Joel,Liberal Party,6708
Sigma,Councilor,"Adrias, Jose Jr. Capapas",Pito,Liberal Party,7539
Sigma,Councilor,"Alayon, Stephen Firmalino",Stephen,Liberal Party,8735
Tapaz,Mayor,"Gardose, Rosemarie Fecara",Rose,Lakas-Kampi,12102
Tapaz,Vice-Mayor,"Gardose, Bob Galicto",Nene,Liberal Party,11813
Tapaz,Councilor,"Farinas, Jelly Gano",Ebong,Lakas-Kampi,9128
Tapaz,Councilor,"Jimenez, Diosdedit, Jr. Gallenero",Bong-Bong,Lakas-Kampi,9252
Tapaz,Councilor,"Palomar, Karen Artuz",Baby,Liberal Party,9958
Tapaz,Councilor,"Glumalid, James Ganzon",Medyo,Liberal Party,10340
Tapaz,Councilor,"Garbo, Teodulfo Garde",Teod,Lakas-Kampi,10478
Tapaz,Councilor,"Gimeno, Ma Jeala Glumalid",Net,Liberal Party,10564
Tapaz,Councilor,"Falsis, Ruskin Binas",Sir,Lakas-Kampi,10750
Tapaz,Councilor,"Gloria, Arturo II Palomar",Totoarthur,Lakas-Kampi,10968
