program,project,location,total_cost,date_started,target_completion_date,project_status_percent_of_Completion ,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Production and Distribution of Vermi-compost and vermi-cast,Province Wide,100000,"August, 2014 ",-,-,24440,-,PR on process
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Farm Mechanization, Post Harvest Facilities and Other Infrastructure Development Services - Farm Production Equipment",-,220000,-,-,-,-,-,not yet implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Farm Mechanization, Post Harvest Facilities and Other Infrastructure Development Services - Post Harvest Facilities ",-,600000,-,-,-,281334.74,-,not yet implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Irrigation Development Services- Construction small scale irrigation system,-,300000,-,-,-,-,-,procurement on process
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Farm to Market Road Development Program- Concreting to Sto. Niño-Ferdinand Farm to Market Road,"Sto. Nino-Ferdinand, Basilisa, Dinagat Islands",400000,3rd Quarter,-,-,400000,-,pre-procurement stage
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Farm to Market Road Development Program- Concreting of Farm-to-Market Road (San Jose),"San Jose, Dinagat Islands",1250000,-,-,-,-,-,not yet implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Sustainable Fishery Development Program- Marine Aquaculture and Capture Development,"Cagdianao, Dinagat, San Jose, Basilisa ",405000,-,"October, 2014",100,404426,-,implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Sustainable Fishery Development Program- Freshwater aquaculture,"San Jose, Basilisa ",35000,-,"May-June, 2014",100,34932,-,distributed/implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Sustainable Fishery Development Program- Fishery Law Enforcement Support Services ,Dinagat ,60000,-,4th quarter,-,-,-,not yet implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Sustainable Fishery Development Program- Establishment of Fish Processing Center,OPAG San Jose,200000,-,3rd quarter,-,90559,-,construction on going
Dinagat Islands Sustainable Agriculture and Fishery Development Program,VI. Techno-Gabay Program and Farmers Information and Technology Service (TGP-FITS) Center,-,100000,-,-,-,-,-,not yet implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Extension Support, Capability Building and Institutional Development- Lowland Rice Techno Demo",-,45000,-,-,-,-,-,procurement on process
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Extension Support, Capability Building and Institutional Development- Corn Techno Demo Inputs ","Rita Glenda, Basilisa",45000,-,"July, 2014",-,10490,-,input distributed
