province,age_group,total_registered_farmers_farm_laborers_and_fishermen_total,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_total,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_total,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_total,number_of_registered_fishermen_male,number_of_registered_fishermen_female
Ifugao,Total,53496,32680,20816,39002,25299,13703,35917,21178,14739,2260,1997,263
Ifugao,5 to 9,31,15,16,0,0,0,31,15,16,0,0,0
Ifugao,10 to 14,275,150,125,3,2,1,272,147,125,11,11,0
Ifugao,15 to 19,2405,1646,759,791,547,244,2122,1483,639,77,74,3
Ifugao,20 to 24,5359,3520,1839,2659,1830,829,4319,2845,1474,201,188,13
Ifugao,25 to 29,6132,4023,2109,3945,2778,1167,4481,2895,1586,237,217,20
Ifugao,30 to 34,6303,4109,2194,4586,3230,1356,4309,2692,1617,284,258,26
Ifugao,35 to 39,6224,3946,2278,4772,3299,1473,4187,2515,1672,308,274,34
Ifugao,40 to 44,5656,3439,2217,4528,3016,1512,3646,2060,1586,285,252,33
Ifugao,45 to 49,5608,3286,2322,4585,2913,1672,3599,1934,1665,276,240,36
Ifugao,50 to 54,4704,2659,2045,3881,2372,1509,2911,1517,1394,195,172,23
Ifugao,55 to 59,4005,2261,1744,3379,2041,1338,2441,1256,1185,174,141,33
Ifugao,60 to 64,2573,1416,1157,2208,1286,922,1501,754,747,101,80,21
Ifugao,65 to 69,1652,870,782,1435,791,644,909,459,450,69,54,15
Ifugao,70 to 74,1268,656,612,1093,597,496,618,311,307,27,23,4
Ifugao,75 to 79,840,438,402,729,381,348,381,190,191,13,12,1
Ifugao,80 to 84,342,183,159,304,162,142,144,80,64,2,1,1
Ifugao,85 years old and over,113,60,53,100,52,48,42,23,19,0,0,0
Ifugao,Don't know,6,3,3,4,2,2,4,2,2,0,0,0
Ifugao,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
Kalinga,Total,50189,33069,17120,26510,21991,4519,34520,20172,14348,1305,1235,70
Kalinga,5 to 9,10,7,3,0,0,0,10,7,3,0,0,0
Kalinga,10 to 14,181,111,70,2,1,1,179,110,69,1,1,0
Kalinga,15 to 19,2371,1688,683,143,126,17,2298,1628,670,46,46,0
Kalinga,20 to 24,4209,3066,1143,944,840,104,3669,2578,1091,91,89,2
Kalinga,25 to 29,5090,3587,1503,2036,1817,219,3988,2620,1368,119,115,4
Kalinga,30 to 34,5783,4005,1778,3016,2658,358,4063,2517,1546,149,143,6
Kalinga,35 to 39,6117,4010,2107,3401,2913,488,4170,2349,1821,158,151,7
Kalinga,40 to 44,5702,3667,2035,3355,2877,478,3784,2026,1758,151,142,9
Kalinga,45 to 49,5652,3555,2097,3504,2925,579,3650,1881,1769,170,163,7
Kalinga,50 to 54,4589,2834,1755,2976,2388,588,2852,1434,1418,131,125,6
Kalinga,55 to 59,3969,2474,1495,2652,2094,558,2364,1200,1164,121,109,12
Kalinga,60 to 64,2618,1674,944,1804,1418,386,1428,739,689,63,56,7
Kalinga,65 to 69,1743,1068,675,1246,912,334,925,474,451,54,48,6
Kalinga,70 to 74,1034,618,416,705,495,210,541,270,271,21,20,1
Kalinga,75 to 79,592,382,210,408,308,100,299,174,125,18,17,1
Kalinga,80 to 84,207,126,81,143,95,48,90,48,42,3,3,0
Kalinga,85 years old and over,75,44,31,52,35,17,30,12,18,3,2,1
Kalinga,Don't know,247,153,94,123,89,34,180,105,75,6,5,1
Kalinga,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
