year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2013,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,565.44
2013,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,847.5
2013,X (Northern Mindanao),marine plywood,4'x8',0.125,3.175,-
2013,X (Northern Mindanao),marine plywood,4'x8',0.1875,4.7625,-
2013,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,316.99
2013,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,620.17
2013,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,1009.44
2013,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,698.82
2013,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,213.35
2013,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,284.17
2013,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,445.69
2013,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,542.52
2013,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,757.5
2013,XI (Davao Region),marine plywood,4'x8',0.125,3.175,-
2013,XI (Davao Region),marine plywood,4'x8',0.1875,4.7625,324.7
2013,XI (Davao Region),marine plywood,4'x8',0.25,6.35,553.93
2013,XI (Davao Region),marine plywood,4'x8',0.5,12.7,614.5
2013,XI (Davao Region),marine plywood,4'x8',0.75,19.05,959.95
2013,XI (Davao Region),plyboard,4'x8',0.75,19.05,858.66
2013,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,184.17
2013,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,244.67
2013,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,445.73
2013,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,342.71
2013,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,-
2013,XII (SOCCSKSARGEN),marine plywood,4'x8',0.125,3.175,-
2013,XII (SOCCSKSARGEN),marine plywood,4'x8',0.1875,4.7625,-
2013,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,370
2013,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,521.67
2013,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,725.03
2013,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,-
2013,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,229.25
2013,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,285
2013,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,312.5
2013,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,496.5
2013,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,675
2013,XIII (Caraga),marine plywood,4'x8',0.125,3.175,287
2013,XIII (Caraga),marine plywood,4'x8',0.1875,4.7625,324
2013,XIII (Caraga),marine plywood,4'x8',0.25,6.35,338.5
2013,XIII (Caraga),marine plywood,4'x8',0.5,12.7,733.25
2013,XIII (Caraga),marine plywood,4'x8',0.75,19.05,1029.38
2013,XIII (Caraga),plyboard,4'x8',0.75,19.05,993.75
2012,National,ordinary plywood,4'x8',0.125,3.175,205.78
2012,National,ordinary plywood,4'x8',0.1875,4.7625,268.9
2012,National,ordinary plywood,4'x8',0.25,6.35,298.22
2012,National,ordinary plywood,4'x8',0.5,12.7,512.06
2012,National,ordinary plywood,4'x8',0.75,19.05,827.27
2012,National,marine plywood,4'x8',0.25,6.35,334.31
2012,National,marine plywood,4'x8',0.5,12.7,623.77
2012,National,marine plywood,4'x8',0.75,19.05,989.08
2012,National,plyboard,4'x8',0.75,19.05,735.78
2012,NCR,ordinary plywood,4'x8',0.125,3.175,-
2012,NCR,ordinary plywood,4'x8',0.1875,4.7625,-
2012,NCR,ordinary plywood,4'x8',0.25,6.35,-
2012,NCR,ordinary plywood,4'x8',0.5,12.7,-
2012,NCR,ordinary plywood,4'x8',0.75,19.05,-
2012,NCR,marine plywood,4'x8',0.25,6.35,-
2012,NCR,marine plywood,4'x8',0.5,12.7,-
2012,NCR,marine plywood,4'x8',0.75,19.05,-
2012,NCR,plyboard,4'x8',0.75,19.05,741.62
2012,CAR,ordinary plywood,4'x8',0.125,3.175,209.96
