year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2009,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,625
2009,XI (Davao Region),marine plywood,4'x8',0.25,6.35,278.2
2009,XI (Davao Region),marine plywood,4'x8',0.5,12.7,611.71
2009,XI (Davao Region),marine plywood,4'x8',0.75,19.05,955.33
2009,XI (Davao Region),plyboard,4'x8',0.75,19.05,632.99
2009,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,183
2009,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,236.46
2009,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,-
2009,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,442.5
2009,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,745
2009,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,282.5
2009,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,635
2009,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,1200
2009,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,629.58
2009,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,-
2009,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,-
2009,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,-
2009,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,475
2009,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,714.5
2009,XIII (Caraga),marine plywood,4'x8',0.25,6.35,423
2009,XIII (Caraga),marine plywood,4'x8',0.5,12.7,711
2009,XIII (Caraga),marine plywood,4'x8',0.75,19.05,777
2009,XIII (Caraga),plyboard,4'x8',0.75,19.05,737.5
2008,National,ordinary plywood,4'x8',0.125,3.175,203.32
2008,National,ordinary plywood,4'x8',0.1875,4.7625,263.85
2008,National,ordinary plywood,4'x8',0.25,6.35,282.95
2008,National,ordinary plywood,4'x8',0.5,12.7,495.46
2008,National,ordinary plywood,4'x8',0.75,19.05,760.79
2008,National,marine plywood,4'x8',0.125,3.175,223.93
2008,National,marine plywood,4'x8',0.1875,4.7625,300.27
2008,National,marine plywood,4'x8',0.25,6.35,323.21
2008,National,marine plywood,4'x8',0.5,12.7,617.93
2008,National,marine plywood,4'x8',0.75,19.05,967.04
2008,National,plyboard,4'x8',0.75,19.05,735.2
2008,NCR,ordinary plywood,4'x8',0.125,3.175,-
2008,NCR,ordinary plywood,4'x8',0.1875,4.7625,-
2008,NCR,ordinary plywood,4'x8',0.25,6.35,-
2008,NCR,ordinary plywood,4'x8',0.5,12.7,-
2008,NCR,ordinary plywood,4'x8',0.75,19.05,-
2008,NCR,marine plywood,4'x8',0.125,3.175,-
2008,NCR,marine plywood,4'x8',0.1875,4.7625,343.7
2008,NCR,marine plywood,4'x8',0.25,6.35,-
2008,NCR,marine plywood,4'x8',0.5,12.7,-
2008,NCR,marine plywood,4'x8',0.75,19.05,968.28
2008,NCR,plyboard,4'x8',0.75,19.05,-
2008,CAR,ordinary plywood,4'x8',0.125,3.175,211.41
2008,CAR,ordinary plywood,4'x8',0.1875,4.7625,270.67
2008,CAR,ordinary plywood,4'x8',0.25,6.35,298.93
2008,CAR,ordinary plywood,4'x8',0.5,12.7,522.09
2008,CAR,ordinary plywood,4'x8',0.75,19.05,807.73
2008,CAR,marine plywood,4'x8',0.125,3.175,-
2008,CAR,marine plywood,4'x8',0.1875,4.7625,-
2008,CAR,marine plywood,4'x8',0.25,6.35,-
2008,CAR,marine plywood,4'x8',0.5,12.7,623.13
2008,CAR,marine plywood,4'x8',0.75,19.05,936.6
2008,CAR,plyboard,4'x8',0.75,19.05,778.43
2008,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,206.33
2008,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,260.75
2008,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,299.78
2008,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,527.59
2008,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,815.97
2008,I (Ilocos Region),marine plywood,4'x8',0.125,3.175,-
2008,I (Ilocos Region),marine plywood,4'x8',0.1875,4.7625,-
2008,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,334.89
2008,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,614.56
2008,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,972.65
2008,I (Ilocos Region),plyboard,4'x8',0.75,19.05,830.78
2008,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,207.65
2008,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,263.66
2008,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,304.24
2008,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,515.27
2008,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,796.17
2008,II (Cagayan Valley),marine plywood,4'x8',0.125,3.175,-
2008,II (Cagayan Valley),marine plywood,4'x8',0.1875,4.7625,284.58
2008,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,343.63
2008,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,649.95
2008,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,970.13
2008,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,-
2008,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,205.87
2008,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,273.45
2008,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,295.12
2008,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,490.15
2008,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,788.49
2008,III (Central Luzon),marine plywood,4'x8',0.125,3.175,-
2008,III (Central Luzon),marine plywood,4'x8',0.1875,4.7625,303.33
2008,III (Central Luzon),marine plywood,4'x8',0.25,6.35,329.65
2008,III (Central Luzon),marine plywood,4'x8',0.5,12.7,602.36
2008,III (Central Luzon),marine plywood,4'x8',0.75,19.05,914.82
2008,III (Central Luzon),plyboard,4'x8',0.75,19.05,721.8
2008,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,204.34
2008,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,261.05
2008,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,280.75
2008,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,500.88
2008,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,815.38
2008,IV-A (CALABARZON),marine plywood,4'x8',0.125,3.175,223.93
2008,IV-A (CALABARZON),marine plywood,4'x8',0.1875,4.7625,299.75
2008,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,341.89
2008,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,609.89
2008,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,934.24
2008,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,745.49
2008,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,225.54
2008,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,280.17
2008,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,302.36
2008,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,511.08
2008,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,878.3
2008,IV-B (MIMAROPA),marine plywood,4'x8',0.125,3.175,-
2008,IV-B (MIMAROPA),marine plywood,4'x8',0.1875,4.7625,-
2008,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,320.5
2008,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,626.19
2008,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,974.45
2008,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,800.61
2008,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,-
2008,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,-
2008,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,-
2008,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,-
2008,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,-
2008,V (Bicol Region),marine plywood,4'x8',0.125,3.175,-
2008,V (Bicol Region),marine plywood,4'x8',0.1875,4.7625,-
2008,V (Bicol Region),marine plywood,4'x8',0.25,6.35,348.33
2008,V (Bicol Region),marine plywood,4'x8',0.5,12.7,716.06
2008,V (Bicol Region),marine plywood,4'x8',0.75,19.05,1079.01
2008,V (Bicol Region),plyboard,4'x8',0.75,19.05,802.92
2008,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,199.56
2008,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,271.49
2008,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,276.05
2008,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,522.22
2008,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,707.98
2008,VI (Western Visayas),marine plywood,4'x8',0.125,3.175,-
2008,VI (Western Visayas),marine plywood,4'x8',0.1875,4.7625,299.6
2008,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,335.88
2008,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,637.96
2008,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,914.85
2008,VI (Western Visayas),plyboard,4'x8',0.75,19.05,701.87
2008,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,207.22
2008,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,261.9
2008,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,291.11
2008,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,508.78
2008,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,794.47
2008,VII (Central Visayas),marine plywood,4'x8',0.125,3.175,-
2008,VII (Central Visayas),marine plywood,4'x8',0.1875,4.7625,298.06
2008,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,317.07
2008,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,638.42
2008,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,942.52
2008,VII (Central Visayas),plyboard,4'x8',0.75,19.05,695.41
2008,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,232.5
2008,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,272
2008,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,301.5
2008,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,532
2008,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,891.75
2008,VIII (Eastern Visayas),marine plywood,4'x8',0.125,3.175,-
2008,VIII (Eastern Visayas),marine plywood,4'x8',0.1875,4.7625,318.55
2008,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,340.83
2008,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,610.25
2008,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,979.25
2008,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,748.5
2008,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,185.42
2008,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,269.48
2008,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,280.41
2008,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,514.73
2008,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,774.18
2008,IX (Zamboanga Peninsula),marine plywood,4'x8',0.125,3.175,-
2008,IX (Zamboanga Peninsula),marine plywood,4'x8',0.1875,4.7625,288.4
2008,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,357.47
2008,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,629.21
2008,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,999.2
2008,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,-
2008,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,191.4
2008,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,240.88
2008,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,261.16
2008,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,496.43
2008,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,774.29
2008,X (Northern Mindanao),marine plywood,4'x8',0.125,3.175,-
2008,X (Northern Mindanao),marine plywood,4'x8',0.1875,4.7625,290.85
2008,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,297.2
2008,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,574.76
2008,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,951.9
2008,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,-
2008,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,191.31
2008,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,249.53
2008,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,242.79
2008,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,401.59
2008,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,630.25
2008,XI (Davao Region),marine plywood,4'x8',0.125,3.175,-
2008,XI (Davao Region),marine plywood,4'x8',0.1875,4.7625,-
2008,XI (Davao Region),marine plywood,4'x8',0.25,6.35,282.36
2008,XI (Davao Region),marine plywood,4'x8',0.5,12.7,506.32
2008,XI (Davao Region),marine plywood,4'x8',0.75,19.05,802.99
2008,XI (Davao Region),plyboard,4'x8',0.75,19.05,630.7
2008,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,196.82
2008,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,255
2008,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,-
2008,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,433.55
2008,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,505
2008,XII (SOCCSKSARGEN),marine plywood,4'x8',0.125,3.175,-
2008,XII (SOCCSKSARGEN),marine plywood,4'x8',0.1875,4.7625,-
2008,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,282.5
2008,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,635
2008,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,1200
2008,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,-
2008,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,181.07
2008,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,-
2008,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,244.21
2008,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,460.14
2008,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,671.14
2008,XIII (Caraga),marine plywood,4'x8',0.125,3.175,-
2008,XIII (Caraga),marine plywood,4'x8',0.1875,4.7625,275.83
2008,XIII (Caraga),marine plywood,4'x8',0.25,6.35,292.71
2008,XIII (Caraga),marine plywood,4'x8',0.5,12.7,594.86
2008,XIII (Caraga),marine plywood,4'x8',0.75,19.05,931.79
2008,XIII (Caraga),plyboard,4'x8',0.75,19.05,630.71
2007,National,ordinary plywood,4'x8',0.125,3.175,204.43
2007,National,ordinary plywood,4'x8',0.1875,4.7625,256.46
2007,National,ordinary plywood,4'x8',0.25,6.35,279.79
2007,National,ordinary plywood,4'x8',0.5,12.7,499.93
2007,National,ordinary plywood,4'x8',0.75,19.05,777.64
2007,National,marine plywood,4'x8',0.125,3.175,265
2007,National,marine plywood,4'x8',0.1875,4.7625,295.34
2007,National,marine plywood,4'x8',0.25,6.35,321.02
2007,National,marine plywood,4'x8',0.5,12.7,616.91
2007,National,marine plywood,4'x8',0.75,19.05,944.52
2007,National,plyboard,4'x8',0.75,19.05,711.28
2007,NCR,ordinary plywood,4'x8',0.125,3.175,192.5
2007,NCR,ordinary plywood,4'x8',0.1875,4.7625,260
2007,NCR,ordinary plywood,4'x8',0.25,6.35,-
2007,NCR,ordinary plywood,4'x8',0.5,12.7,-
2007,NCR,ordinary plywood,4'x8',0.75,19.05,-
2007,NCR,marine plywood,4'x8',0.125,3.175,-
2007,NCR,marine plywood,4'x8',0.1875,4.7625,345
2007,NCR,marine plywood,4'x8',0.25,6.35,-
2007,NCR,marine plywood,4'x8',0.5,12.7,-
2007,NCR,marine plywood,4'x8',0.75,19.05,-
2007,NCR,plyboard,4'x8',0.75,19.05,-
2007,CAR,ordinary plywood,4'x8',0.125,3.175,231.13
2007,CAR,ordinary plywood,4'x8',0.1875,4.7625,255.91
2007,CAR,ordinary plywood,4'x8',0.25,6.35,350
2007,CAR,ordinary plywood,4'x8',0.5,12.7,518.13
2007,CAR,ordinary plywood,4'x8',0.75,19.05,785.22
2007,CAR,marine plywood,4'x8',0.125,3.175,-
2007,CAR,marine plywood,4'x8',0.1875,4.7625,-
2007,CAR,marine plywood,4'x8',0.25,6.35,340.59
2007,CAR,marine plywood,4'x8',0.5,12.7,666.25
2007,CAR,marine plywood,4'x8',0.75,19.05,922.14
2007,CAR,plyboard,4'x8',0.75,19.05,768.72
2007,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,202.75
2007,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,245.94
2007,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,285.14
2007,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,501.13
2007,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,782.04
2007,I (Ilocos Region),marine plywood,4'x8',0.125,3.175,-
2007,I (Ilocos Region),marine plywood,4'x8',0.1875,4.7625,-
2007,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,319.51
2007,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,589.02
2007,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,934.81
2007,I (Ilocos Region),plyboard,4'x8',0.75,19.05,719.1
2007,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,197.25
2007,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,254.82
2007,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,283.05
2007,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,490.77
2007,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,772.63
2007,II (Cagayan Valley),marine plywood,4'x8',0.125,3.175,-
2007,II (Cagayan Valley),marine plywood,4'x8',0.1875,4.7625,165
2007,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,333.47
2007,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,618.6
2007,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,918.15
2007,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,746.72
2007,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,205.59
2007,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,269.01
2007,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,291.99
2007,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,481.1
2007,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,783.82
2007,III (Central Luzon),marine plywood,4'x8',0.125,3.175,330
2007,III (Central Luzon),marine plywood,4'x8',0.1875,4.7625,310
2007,III (Central Luzon),marine plywood,4'x8',0.25,6.35,334.2
2007,III (Central Luzon),marine plywood,4'x8',0.5,12.7,584.09
2007,III (Central Luzon),marine plywood,4'x8',0.75,19.05,922.17
2007,III (Central Luzon),plyboard,4'x8',0.75,19.05,707.13
2007,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,202.28
2007,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,251.24
2007,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,274.86
2007,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,528.34
2007,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,807.46
2007,IV-A (CALABARZON),marine plywood,4'x8',0.125,3.175,185
2007,IV-A (CALABARZON),marine plywood,4'x8',0.1875,4.7625,294.79
2007,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,325.71
2007,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,604.97
2007,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,915.21
2007,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,735.07
2007,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,266.69
2007,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,316
2007,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,293.21
2007,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,486.38
2007,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,807.5
2007,IV-B (MIMAROPA),marine plywood,4'x8',0.125,3.175,-
2007,IV-B (MIMAROPA),marine plywood,4'x8',0.1875,4.7625,-
2007,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,336.96
2007,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,718.67
2007,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,899
2007,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,764.93
2007,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,240
2007,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,272
2007,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,288
2007,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,598
2007,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,875
2007,V (Bicol Region),marine plywood,4'x8',0.125,3.175,-
2007,V (Bicol Region),marine plywood,4'x8',0.1875,4.7625,-
2007,V (Bicol Region),marine plywood,4'x8',0.25,6.35,331
2007,V (Bicol Region),marine plywood,4'x8',0.5,12.7,675
2007,V (Bicol Region),marine plywood,4'x8',0.75,19.05,975
2007,V (Bicol Region),plyboard,4'x8',0.75,19.05,811
2007,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,200.62
2007,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,247.92
2007,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,273.55
2007,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,500.82
2007,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,761.66
2007,VI (Western Visayas),marine plywood,4'x8',0.125,3.175,-
2007,VI (Western Visayas),marine plywood,4'x8',0.1875,4.7625,300.49
2007,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,312.93
2007,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,597.19
2007,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,932.83
2007,VI (Western Visayas),plyboard,4'x8',0.75,19.05,658.23
2007,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,198.57
2007,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,261.43
2007,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,285.36
2007,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,498.9
2007,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,790
2007,VII (Central Visayas),marine plywood,4'x8',0.125,3.175,-
2007,VII (Central Visayas),marine plywood,4'x8',0.1875,4.7625,302.47
2007,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,328.57
2007,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,579.11
2007,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,950
2007,VII (Central Visayas),plyboard,4'x8',0.75,19.05,662.49
2007,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,200
2007,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,260
2007,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,290
2007,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,490
2007,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,900
2007,VIII (Eastern Visayas),marine plywood,4'x8',0.125,3.175,-
2007,VIII (Eastern Visayas),marine plywood,4'x8',0.1875,4.7625,300
2007,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,320
2007,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,600
2007,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,980
2007,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,690
2007,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,193.75
2007,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,270
2007,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,285.63
2007,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,540
2007,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,700.63
2007,IX (Zamboanga Peninsula),marine plywood,4'x8',0.125,3.175,-
2007,IX (Zamboanga Peninsula),marine plywood,4'x8',0.1875,4.7625,301.71
2007,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,330
2007,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,632.5
2007,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,937.5
2007,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,709.2
2007,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,178.08
2007,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,226.44
2007,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,256.25
2007,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,485.58
2007,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,723.33
2007,X (Northern Mindanao),marine plywood,4'x8',0.125,3.175,280
2007,X (Northern Mindanao),marine plywood,4'x8',0.1875,4.7625,271.25
2007,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,295.28
2007,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,594.81
2007,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,918.69
2007,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,611.71
2007,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,196.78
2007,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,258.67
2007,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,225
2007,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,380
2007,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,620
2007,XI (Davao Region),marine plywood,4'x8',0.125,3.175,-
2007,XI (Davao Region),marine plywood,4'x8',0.1875,4.7625,362.67
2007,XI (Davao Region),marine plywood,4'x8',0.25,6.35,265
2007,XI (Davao Region),marine plywood,4'x8',0.5,12.7,541.58
2007,XI (Davao Region),marine plywood,4'x8',0.75,19.05,817.74
2007,XI (Davao Region),plyboard,4'x8',0.75,19.05,753.6
2007,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,160.42
2007,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,197.5
2007,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,235
2007,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,-
2007,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,-
2007,XII (SOCCSKSARGEN),marine plywood,4'x8',0.125,3.175,-
2007,XII (SOCCSKSARGEN),marine plywood,4'x8',0.1875,4.7625,-
2007,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,-
