region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
VIII (Eastern Visayas),Calbayog,Asian Spirit,0,0,0,24,0,0,0,0,26,26,0,0,76
VIII (Eastern Visayas),Calbayog,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Calbayog,Military,0,0,0,0,0,0,0,0,0,4,0,0,4
VIII (Eastern Visayas),Catarman,Asian Spirit,0,46,32,0,34,34,34,38,34,0,0,0,252
VIII (Eastern Visayas),Catarman,G. Aviation,0,6,4,0,0,0,0,2,0,0,0,0,12
VIII (Eastern Visayas),Catbalogan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Guiuan,G. Aviation,0,0,0,0,0,0,0,0,0,30,24,18,72
VIII (Eastern Visayas),Hilongos,G. Aviation,10,18,8,6,16,0,0,0,20,6,0,2,86
VIII (Eastern Visayas),Maasin,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Ormoc,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Ormoc,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Tacloban,PAL,268,116,120,122,130,120,124,248,120,124,240,244,1976
VIII (Eastern Visayas),Tacloban,Cebu Pacific,296,112,120,120,124,120,126,248,120,124,240,284,2034
VIII (Eastern Visayas),Tacloban,Seair,0,0,0,0,24,0,0,0,0,0,0,12,36
VIII (Eastern Visayas),Tacloban,G. Aviation,28,28,28,26,22,16,16,24,20,28,64,20,320
VIII (Eastern Visayas),Tacloban,Military,8,0,0,10,24,8,6,4,10,0,0,4,74
ARMM,Cagayan de Sulu,G. Aviation,0,0,0,10,0,0,0,0,0,0,0,0,10
IX (Zamboanga Peninsula),Dipolog,PAL,62,56,60,60,62,60,62,60,52,56,60,58,708
IX (Zamboanga Peninsula),Dipolog,Asian Spirit,40,32,32,36,34,32,24,28,24,22,26,24,354
IX (Zamboanga Peninsula),Dipolog,G. Aviation,20,24,22,2,14,8,10,14,38,12,0,0,164
IX (Zamboanga Peninsula),Dipolog,Military,6,0,40,2,8,0,0,0,0,8,0,0,64
IX (Zamboanga Peninsula),Ipil,G. Aviation,18,0,26,26,0,0,0,0,18,0,0,0,88
IX (Zamboanga Peninsula),Ipil,Military,40,0,0,0,0,0,0,0,0,0,0,0,40
ARMM,Jolo,Seair,72,76,84,80,0,70,84,100,72,64,0,66,768
ARMM,Jolo,South Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMM,Jolo,Astro Air,0,0,24,26,0,22,32,0,0,0,0,0,104
ARMM,Jolo,G. Aviation,24,34,0,0,0,20,0,0,0,0,0,0,78
ARMM,Jolo,Military,14,132,76,46,0,0,18,16,26,10,0,0,338
IX (Zamboanga Peninsula),Liloy,G. Aviation,0,0,0,0,0,0,0,0,0,2,0,0,2
IX (Zamboanga Peninsula),Pagadian,Asian Spirit,0,0,0,0,0,0,0,0,26,0,0,0,26
IX (Zamboanga Peninsula),Pagadian,Seair,0,0,0,0,0,0,0,4,0,0,0,0,4
IX (Zamboanga Peninsula),Pagadian,G. Aviation,6,46,12,0,0,0,0,18,10,0,0,0,92
IX (Zamboanga Peninsula),Pagadian,Military,18,0,44,0,0,0,0,0,0,6,0,0,68
ARMM,Sanga-Sanga,Seair,22,44,58,62,0,72,0,72,58,54,0,0,442
ARMM,Sanga-Sanga,South Phoenix,8,0,16,14,0,8,0,0,0,0,0,0,46
ARMM,Sanga-Sanga,G. Aviation,2,26,2,0,0,2,0,0,10,0,0,0,42
ARMM,Sanga-Sanga,Military,0,0,0,0,0,0,0,4,0,8,0,0,12
IX (Zamboanga Peninsula),Siocon,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga,PAL,126,112,120,120,120,120,124,124,120,124,120,122,1452
IX (Zamboanga Peninsula),Zamboanga,Cebu Pacific,126,112,120,120,132,138,142,140,138,152,136,174,1630
IX (Zamboanga Peninsula),Zamboanga,Air Philippines,62,56,60,60,60,60,60,58,56,62,66,78,738
IX (Zamboanga Peninsula),Zamboanga,Seair,206,202,166,172,162,144,172,200,156,146,156,142,2024
IX (Zamboanga Peninsula),Zamboanga,South Phoenix,118,104,0,0,0,0,0,0,0,0,0,0,222
IX (Zamboanga Peninsula),Zamboanga,Astro Air,0,0,62,64,56,62,68,0,0,0,0,0,312
IX (Zamboanga Peninsula),Zamboanga,G. Aviation,100,44,0,0,0,40,0,0,0,0,0,0,184
XIII (Caraga),Butuan,PAL,58,56,58,60,62,60,62,62,60,62,60,60,720
XIII (Caraga),Butuan,Cebu Pacific,72,54,56,60,62,60,58,60,54,60,58,60,714
XIII (Caraga),Butuan,G. Aviation,12,34,44,10,42,14,10,66,38,20,20,8,318
XIII (Caraga),Butuan,Military,2,2,26,4,8,16,4,4,10,10,4,20,110
X (Northern Mindanao),Cagayan de Oro,PAL,246,196,182,0,228,194,186,186,180,190,180,204,2172
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,144,112,120,0,128,124,128,128,124,128,120,140,1396
X (Northern Mindanao),Cagayan de Oro,Air Philippines,62,56,60,0,56,58,56,62,56,60,60,60,646
X (Northern Mindanao),Cagayan de Oro,Asian Spirit,64,56,60,0,60,60,52,44,40,46,38,50,570
X (Northern Mindanao),Cagayan de Oro,Seair,48,16,0,0,0,0,0,0,0,0,0,0,64
X (Northern Mindanao),Cagayan de Oro,Aboitiz,4,0,6,0,2,0,0,0,0,0,0,0,12
X (Northern Mindanao),Cagayan de Oro,G. Aviation,36,16,20,0,34,32,0,0,0,0,0,0,138
X (Northern Mindanao),Cagayan de Oro,Military,12,8,14,0,4,0,0,0,0,0,0,0,38
X (Northern Mindanao),Camiguin,Seair,26,0,26,0,26,32,0,28,28,26,26,0,218
X (Northern Mindanao),Camiguin,G. Aviation,10,0,26,0,20,12,0,16,12,42,42,0,180
X (Northern Mindanao),Camiguin,Military,0,0,0,0,10,0,0,0,0,0,0,0,10
X (Northern Mindanao),Ozamis,G. Aviation,8,10,14,12,10,6,6,18,6,8,2,0,100
XIII (Caraga),Siargao,Seair,16,16,24,0,22,12,0,0,0,0,0,12,102
XIII (Caraga),Siargao,G. Aviation,2,6,0,0,0,4,0,0,0,0,0,4,16
XIII (Caraga),Surigao,Asian Spirit,74,60,74,0,84,24,0,0,0,0,0,0,316
XIII (Caraga),Surigao,G. Aviation,10,0,20,0,20,46,0,0,0,0,0,0,96
