particulars_1,particulars_2,particulars_3,code,appropriations,allotment,appropriation_balance,obligations,allotment_balance
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction of RCCP Drainage System- Phase 2,202-48,425000,425000,-,413035,11965
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction of Open Canal Drainage- Phase 2,202-49,688000,688000,-,635898.84,52101.16
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction of Open Canal Drainage- Phase 3,202-64,660000,660000,-,570370.5,89629.5
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction Of Open Canal- Lapu-Lapu,202-82,616000,616000,-,499424,116576
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Concreting of Shouldering- Lapu-Lapu,202-84,390000,390000,-,295817,94183
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Installation of Culvert- Lapu-Lapu,202-85,594000,594000,-,499671.6,94328.4
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction Of Drainage- Ramon Magsaysay,202-86,650000,650000,-,435583.6,214416.4
20% Development Fund,Regular Budget- C.O.- Investment Program,-,8919-307,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Environmental Protection ,-,8919-308,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Mangrove Reforestation Program,-,8919-310,-,-,-,-,-
20% Development Fund,Regular Budget- Drainage System- Mabini Extension,-,8919-311,-,-,-,-,-
20% Development Fund,Regular Budget- Drainage System- Mabini Extension,Land Improvements,202,1600000,1600000,-,-,1600000
20% Development Fund,Regular Budget- Asphalting of Sidewalk and Drainage,-,8919-312,-,-,-,-,-
20% Development Fund,Regular Budget- Asphalting of Sidewalk and Drainage,Land Improvements,202,4500000,4500000,-,-,4500000
20% Development Fund,Regular Budget- Maintenance of City Street Lights,-,8919-313,-,-,-,-,-
20% Development Fund,Regular Budget- Maintenance of City Street Lights,"Electrification, Power and Energy Structure",205,500000,500000,-,-,500000
20% Development Fund,Regular Budget- Installation of Lights-Oval,-,8919-314,-,-,-,-,-
20% Development Fund,Regular Budget- Installation of Lights-Oval,"Electrification, Power and Energy Structure",205,500000,500000,-,-,500000
20% Development Fund,Regular Budget- Asphalting of Roads (Public Cemetery),-,8919-315,-,-,-,-,-
20% Development Fund,Regular Budget- Asphalting of Roads (Public Cemetery),Land Improvements,202,1000000,1000000,-,-,1000000
20% Development Fund,Regular Budget- Water Treatment Facility- Bagsakan,-,8919-316,-,-,-,-,-
20% Development Fund,Regular Budget- Water Treatment Facility- Bagsakan,Land Improvements,202,500000,500000,-,-,500000
Total,-,-,-,23495995.53,23495995.53,-,8264446.58,15231548.95
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,-,8971-200,-,-,-,-,-
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos,876,3871000,3871000,-,3823000,48000
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos- Binaton,876-4,144000,144000,-,-,144000
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos- Dulangan,876-5,175000,175000,-,175000,-
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos- San Jose,876-6,210000,210000,-,80000,130000
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos- Mahayahay,876-7,350000,350000,-,350000,-
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,Subsidy to NGOs or Pos- Kiagot,876-8,250000,250000,-,-,250000
Total,-,-,-,5000000,5000000,-,4428000,572000
Grand Total,-,-,-,83811842.47,83811842.47,-,53577507.2,30234335.27
