functions_programs_projects_activities_1 ,functions_programs_projects_activities_2,appropriations,allotments,obligations,unobligated_balances
Other Structures,Construction of MTP Building and Covered Court (Phase 1) Barangay Manjagao,"150,000.00","150,000.00","144,488.00","5,512.00"
Other Public Infrastructures,Completion of Police Out-Post Barangay Sabang,"60,000.00","60,000.00",0,"60,000.00"
Other Public Infrastructures,Improvement of Different School Buildings,"323,000.00","323,000.00",0,"323,000.00"
Other Public Infrastructures,Repair and Repainting of Livelihood Training and Productivity Center,"150,000.00","150,000.00",0,"150,000.00"
Other Public Infrastructures,Repair of 6 Units Classroom Ipil National High School Barangay Ipil,"232,600.00","232,600.00",0,"232,600.00"
Other Public Infrastructures,Repair of School Building at Lipata Elementary School Barangay Lipata,"285,000.00","285,000.00",0,"285,000.00"
Other Public Infrastructures,Repair of Elementary School Building Barangay Sabang,"90,000.00","90,000.00",0,"90,000.00"
Other Public Infrastructures,Repiar of Covered Court Barangay Cagutsan,"200,000.00","200,000.00",0,"200,000.00"
Other Public Infrastructures,"Completion of Covered Court, Sitio Mahayahay Purok 1, Brgy. Silop","160,000.00","160,000.00",0,"160,000.00"
Hospitals and Health Centers,Reconstruction of Barangay Buenavista Health Center,"490,000.00","490,000.00","121,362.91","368,637.09"
Hospitals and Health Centers,Extension of Day Care Center Canlanipa Homes,"240,000.00","240,000.00",0,"240,000.00"
School Buildings,Improvement of Roberta Quano Memorial Elementary School Barangay Cagniog,"150,000.00","150,000.00",0,"150,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Water System,"500,000.00","500,000.00","473,758.77","26,241.23"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Completion of Water Supply Project Level 11, Barangay Alegria","410,000.00","410,000.00",0,"410,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of San Pedro Water System,"350,000.00","350,000.00","47,177.16","267,822.84"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Catadman Water System,"200,000.00","200,000.00","3,860.74","196,139.26"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Nabago Water System,"350,000.00","350,000.00","13,385.72","326,614.28"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Poctoy Water System,"350,000.00","350,000.00","13,940.00","326,060.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Mabini Water System,"350,000.00","350,000.00","21,274.29","318,725.71"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Construction and Development of Water Facility, Sitio Balibayon, Barangay Rizal","20,000.00","20,000.00","19,890.00",110
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Repair and Improvement Potable Water System Level11, Barangay Sugbay","340,000.00","340,000.00",0,"340,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Manjagao Water System,"350,000.00","350,000.00",0,"350,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cagutsan Water System,"350,000.00","350,000.00","20,990.00","329,010.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Nonoc Water System,"350,000.00","350,000.00","45,394.14","274,605.86"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cantiasay Water System,"350,000.00","350,000.00","31,234.72","293,765.28"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Completion of Potable Water System Level 11, Barangay San Jose","378,000.00","378,000.00","370,534.52","7,465.48"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Completion of Potable Water System Level 11, Sitio Dacuman, Ipil","250,000.00","250,000.00",0,"250,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Rehabilitation Of Kabuwason, Ipil Water System","350,000.00","350,000.00","19,476.11","320,523.89"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation Of Danao Water System,"350,000.00","350,000.00","28,930.78","301,069.22"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cagniog Water System,"173,630.00","173,630.00",0,"173,630.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Replacement of Jetmatic Machine at Purok 2 Barangay Sabang,"5,000.00","5,000.00",0,"5,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Repair of Jetmatic Machine and Pipes at Purok 4, Barangay Sabang","5,000.00","5,000.00",0,"5,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Water System at Purok 2, Barangay Trinidad","100,000.00","100,000.00",0,"100,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Installation of Water Pipeline Barangay Buenavista Phase 1,"160,000.00","160,000.00",0,"160,000.00"
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Rehabilitation of Water System at Memces, Suces, Nmes and Pilot Elementary School","50,000.00","50,000.00","27,015.00","22,985.00"
"Electrification, Power and Energy Structures ",Installation and Repair of Street or Sodium Lights,"1,500,000.00","1,500,000.00","1,201,431.29","298,568.71"
"Electrification, Power and Energy Structures ",Improvement and Development of Street Lighting at Barangay Silop,"140,000.00","140,000.00","5,440.00","134,560.00"
Grand Total,Grand Total,"66,884,683.80","66,884,683.80","34,466,567.92","22,999,434.07"
