company,brand_model
Biosoft Bacolod Information Technology Corporation,Cashbos Plus POS Software Version 1.0
Bistro Americano Corporation,Restaurant Manager Version 14
"Black Cat, Inc.",ePOS Version 1.0
Bluebean Software Co.,Bluebean Pointof Sale Version 1
Bluegates Cube Inc.,E-IPOS Version 1
Bluegates Cube Inc.,Advaced Integrated Point of Sale Version 1
Blues Brothers Inc.,Eye POS Machine V.1.0
Blues Brothers Inc.,Intel Core Eye POS Machine V.1.0
"Bohol Hardware & Electrical Supplies, Inc.",YY Homeware POS System Ver 1.0
Bohol Quality Corporation,Win/DSS Version 2006.1.02
Bohol Quality Megabyte Inc.,Win/DSS Version 2006.1.02
Botikang Pinoy Inc.,BP POS Version 2.29
Bountiful Branches Business Inc,Generic Md POS Ver.2
"Branded Lifestyle,Inc.",IBM Sure POS 300 32H
"Branded Lifestyle,Inc.",Retail Pro Series 8 Version 8
"Branded Lifestyle,Inc.",IBM Sureone 4614-A05
Brian Ong Occidental,Uniwell Nx-5400
Bridgefield Corporation,KFC POS Ver. 7.9.1
Bright Alliance Enterprises Corporation,Clone PC Generic
Bright Alliance Enterprises Corporation,Md POS Version 1.3
Bryan Go Te(Cyber Link Compu Sales),C-ISISPOS+ V1.0
Business Machines Corporation,Toshiba/TEC Brand ECR/CRM MA 1350 Flat Keyboard
Business Machines Corporation,Toshiba/TEC Brand ECR/CRM MA 1350 Standard Keyboard
Business Machines Corporation,Asia Food and Beverage System (Ifab) Version 1.0
Business Machines Corporation,Toshiba/TEC Ma 1650
Business Machines Corporation,Toshiba/TEC Fs 1650
Business Machines Corporation,Toshiba/TEC Brand ECR/CRM MA 1530
Business Machines Corporation,Toshiba/TEC Brand Ecr/CRM FS 1530
Business Machines Corporation,Sam4S Er - 655Ii
Business Machines Corporation,Play Monitoring System Version 1.0
Business Machines Corporation,Car Parking System Version 1.0
Business Machines Corporation,Retail + Version 1.1
Business Machines Corporation,Foreign and Peso Currency Conversion System Ver.05.15.07.2
Business Machines Corporation,Sam4S Er - 5140Ii
Business Machines Corporation,Canteen Billing System (Cbs) Version 1.0
Business Machines Corporation,Retail+POS System Version 1.0
Business Machines Corporation,Fine Dining System Version 1.0
Business Machines Corporation,BISPOS Brand Integrated Touchscreen POS Terminal BisPOS500 Series
Business Machines Corporation,BISPOS Brand Integrated Touchscreen Mini_POS BisPOS310 Series
Business Machines Corporation,Toshiba/TEC Brand Integrated POS Terminal St-6100 Series
Business Machines Corporation,BISPOS Brand Modular POS Terminal BisPOS4000 Series
Business Machines Corporation,BISPOS Brand Touch Screen Mini-Kiosk POS Terminal BisPOS-Mk Series
Business Machines Corporation,SIETO Food and Beverage; Fine Dining System Version 7.1
Business Machines Corporation,SIETO Food and Beverage; Qfast (Fast Food) Version 3.1
Business Support and Technology Corporation,Ahead FoodPOS Terminal Ahead Food POS - Platinum Editiion
Business Support and Technology Corporation,ABS 380M
Business Support and Technology Corporation,Ahead Win POS Touch Screen Platinum Version 8
Business Support and Technology Corporation,Enigma Express Retail Enigma Express Retail
Business Support and Technology Corporation,Ahead Win POS System Version 6C
Business Support and Technology Corporation,LEWIN Lw20F
Business Support and Technology Corporation,Titan-Hermes Software Version 2.01
Business Support and Technology Corporation,Ahead Win POS System Platinum Edition - Version 8
Business Support and Technology Corporation,Ahead FoodPOS System Platinum Edition - Visual Fox Pro Ver 8
Business Support and Technology Corporation,LEWIN Lw-20
Business Support and Technology Corporation,LEWIN Lw10
Business Support and Technology Corporation,Uniwell Lx-5600
Business Support and Technology Corporation,Uniwell Nx-5400
Business Support and Technology Corporation,Sanyo Ecr 340
Business Support and Technology Corporation,Ahead Win POS Terminal Ahead Win POS - Platinum Edition
C & E Publishing Inc.,CePOS Version 1
C.Merchants Corporation,JDA Win/DSS Version 4.228
California Computer Technology Inc.,CCTI Restaurant POS V.1.00 CCTI Restaurant POS V.1.00
California Computer Technology Inc.,CCTI Retail POS V.1.00 CCTI Retail POS V.1.00
Camilo III Cantuba Lozano(Sharp Idea I.T. System Solutions),Sharp Idea POS Dine
Carmen Gatmaytan Tan(Save More Drug),Save More Drug (Smd-POS) Ver. 1.4
Cebu EIV Ventures Corporation,The Burger Man Version 1
Cebu Innosoft Solutions Services Inc.,IPOS 2.1
Celine Marketing Corporation,Epson Lx300+
"Central Food Specialty & Franchise Services, Inc.",Cashiering Sales System Version 1
Centro Escolar University,Enrollment and Registration System Version 1.0
Centro Escolar University,Sun Enterprise 450
"Channel Petro Systems, Inc.",E-Channel PC POS Version 1
"Channel Technologies, Inc.",EFT POS Verifone Vx610 Gprs Version 1.0
"Channel Technologies, Inc.",IBM Eserver X235
Chase Technologies Corporation,IBM Think Center A50
Chase Technologies Corporation,Ahead Bills Payment Ver. 8.1.1138 (Visual Foxpro Ver. 8)
Chase Technologies Corporation,IBM Think Center E50
Chase Technologies Corporation,Ahead Parking System Standard Edition Version 3.60
Chase Technologies Corporation,Ahead WinPOS System Platinum Edition - Ver. 8
Chase Technologies Corporation,Ahead FoodPOS System Platinum Edition-Visual Fox Pro Ver. 8
Chase Technologies Corporation,Ahead WinPOS Terminal Ahead WinPOS-Platinum Edition
Chase Technologies Corporation,Cipherlab 510 Cipherlab 510
Chase Technologies Corporation,Ahead FoodPOS Terminal Ahead FoodPOS-Platinum Edition
Chase Technologies Corporation,Ahead WinPOS Touchscreen Platinum Ver. 8
Chase Technologies Corporation,Ahead Parking Management System Enterprise Version
Chase Technologies Corporation,FoodPOS Sql System Ver. 8.1.1099
Chase Technologies Corporation,WinPOS Sql Version 8.1.1783
Chase Technologies Corporation,Ahead Parking Management System Enterprise Version Ver.2.00
Chase Technologies Corporation,Adtech Modular Parking System Ver. 1.1.717
Chase Technologies Corporation,Ahead WinPOS System Version 6C
Cherry Foodarama Inc.,Titan-Hermes Version 2.01 Version 2.01
Chevron Philippines Inc.,Namos POS Version 6.1.6
Chevron Philippines Inc.,Namos POS Version 6.3
ChilliPOS Solutions Inc.,ChillIPOS Front End Software
Chinoseur Inc.,Epson Tmu-T88
Chiradee Nocedo Base(Basebyte Software Management And Consultancy),Basebyte POS Solution Version 1.0
Christian Literature Crusade,Clc Bookstore POS Version 1
Christian Literature Crusade,Clc Bookstore POS Version 1
"Cinderella Dresses, Inc. F",Win / DSS POS System V 4.228
"Citifashion Specialty Stores, Inc.",JDA Win/DSS Version 4.228
Citron Business Solutions Incorportaed,Ideasoft Version 3.0
City Chix Inc.,Windows 98/Xp/Linux Red Hat 7.0
Clexpert Philippines Inc.,Quick Bill System Ver. 20060601
Coca Cola Bottlers Philippines Inc.,Mobile Direct Store Delivery (M.Dsd) Version 3.0.0
Coca Cola Bottlers Philippines Inc.,Intermec Cn3
"Coffee Edition, Inc.",CePOS Dine-In Version 1.0
Cogent Consulting & Solutions Tech Corporation,Baron POS Version 5
Columbia Business Machines Incorportaed,Alliance Software Fine Dining Edition Uniwell Ix-15
Columbia Business Machines Incorportaed,Uniwell Ex-560
Columbia Business Machines Incorportaed,Alliance POS Fbs Gold Version 4.11.11
Columbia Business Machines Incorportaed,Ecr LEWIN Lw 20S
Columbia Business Machines Incorportaed,Uniwell Lx -5600
Columbia Business Machines Incorportaed,Sanyo Ecr-4100F
Columbia Business Machines Incorportaed,LEWIN Lw-20F
Columbia Business Machines Incorportaed,Uniwell Nx5400
Columbia Business Machines Incorportaed,LEWIN Lw-10S
Columbia Business Machines Incorportaed,Alliance POS RTL Gold Ver. 4.11.11
Columbia Business Machines Incorportaed,Alliance POS RTL Client Network Ver. 4.11.11
Columbia Business Machines Incorportaed,Abs POS System 380M
Columbia Business Machines Incorportaed,Uniwell Dx-895
Columbia Business Machines Incorportaed,Uniwell Nx5400
Columbia Business Machines Incorportaed,Abs POS System Abs-480-P
Columbia Business Machines Incorportaed,Sanyo Ecr-340
Columbia Business Machines Incorportaed,Alliance POS Fbs Client Network Version 4.11.11
Columbia Business Machines Incorportaed,Abs Touch POS 11
"Compress Technology,Inc.",IBM Sureone 4614
"Compress Technology,Inc.",IBM SurePOS 500 4840
"Compress Technology,Inc.",IBM SurePOS 300 4810
"Compress Technology,Inc.",Tillmaster Software Version 1.00
"Compress Technology,Inc.",IBM SurePOS 300 4810-314
"Compress Technology,Inc.",IBM SurePOS 300 Tillmaster Software 4810-314
Computer Expert Online Co.,Expert Resto Online POS Version 1.0
Computer Expert Online Co.,Expert POS Plus Version 1.0
Computer Expert Online Co.,Expert Online POS Version 1.0
Compuware Technologies Corporation,Icom POS430
Compuware Technologies Corporation,Restaurant Manager POS System Version 14
Compuware Technologies Corporation,Restaurant Manager POS System Version 15-18
"Concept Specialist, Inc.",Partner Tech Pt-6800
"Concept Specialist, Inc.",Oasis Point Of Sale Solution Version 3.5
"Concept Specialist, Inc.",Partner Tech Partner Techmodel Pt-4000/Pt1110
Constantino Baneguid Polintan,Tmk POS System Version 1.0
Corporate Fusion Inc.,Retail I and Eztouch Not Applicable
"Cosmotech Philippines, Inc.",Panasonic Js-925Ws
"Cosmotech Philippines, Inc.",Integra POS Master V1.0.20
"Courtesy Point Technologies,Inc.",Epson Mt-100 Touchscreen
"Courtesy Point Technologies,Inc.",Epson Sr-600
"Courtesy Point Technologies,Inc.",Infrasys Gourmate Version 1.15
"Courtesy Point Technologies,Inc.",Presto Restaurant Management POS Software Version 2.4.0
"Courtesy Point Technologies,Inc.",V-Tech Leisure Club Management System Version 9.1.4
