region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
VI (Western Visayas),Iloilo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
VI (Western Visayas),Kalibo (International),Trans Asia,-,-,-,-,-,-,2787,2702,2189,1619,-,-,-,-
VI (Western Visayas),Kalibo (International),Mandarin Airlines,-,-,-,-,-,-,2237,4304,2051,-,2534,1739,-,-
VI (Western Visayas),Kalibo (International),Korean Air,-,-,-,-,-,-,332,1467,-,-,-,-,-,-
VI (Western Visayas),Kalibo (International),Shanghai Airlines,-,-,-,-,-,-,443,2166,-,-,-,-,-,-
VI (Western Visayas),Kalibo (International),China Air,1368,1375,1493,1486,-,-,-,-,-,2481,-,-,-,-
VI (Western Visayas),Kalibo (Domestic),PAL,16983,14155,15262,22971,-,-,19256,27637,25033,26532,24149,28223,220201,-
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,9228,7933,9635,9722,-,-,12053,12930,12783,12680,13333,27872,128169,-
VI (Western Visayas),Kalibo (Domestic),Zest Air,-,-,3711,8823,-,-,7484,8668,7283,8710,7241,14215,66135,-
VI (Western Visayas),Kalibo (Domestic),G. Aviation,7712,3986,5588,8345,-,-,41331,37058,26428,17057,28126,24056,199687,-
VI (Western Visayas),Kalibo (Domestic),Military,104,19,109,-,-,-,3,274,9,-,174,140,832,-
VI (Western Visayas),Roxas,PAL,8479,-,7375,8256,8028,6874,6940,7226,3303,6089,3225,7294,73089,-
VI (Western Visayas),Roxas,Cebu Pacific,8381,-,8311,8559,12303,9956,10454,10230,4642,10917,5349,10360,99462,-
VI (Western Visayas),Roxas,G. Aviation,16,-,38,42,8,45,30,12,12,20,28,68,319,-
VI (Western Visayas),Roxas,Military,-,-,-,-,-,10,-,-,-,-,-,252,262,-
VII (Central Visayas),Dumaguete,PAL,14923,12058,14367,14645,15743,13120,12854,13059,12759,11930,13278,13418,162154,-
VII (Central Visayas),Dumaguete,Cebu Pacific,16963,12309,16797,17525,19588,16485,19550,14766,13997,16437,16183,17590,198190,-
VII (Central Visayas),Dumaguete,Air Philippines,-,-,-,-,-,-,-,-,16,-,-,-,16,-
VII (Central Visayas),Dumaguete,G. Aviation,25,36,9,9,0,16,-,21,11,6,9,13,155,-
VII (Central Visayas),Mactan,International,90707,74464,75626,75283,73723,62411,82905,98922,-,67837,65606,84302,851786,-
VII (Central Visayas),Mactan,Domestic,303412,268355,316865,357878,379340,321237,317071,327087,-,316327,283957,324037,3515566,-
VII (Central Visayas),Mactan,G. Aviation,2488,2230,2975,2763,2784,2417,2252,2371,-,2200,2351,2640,27471,-
VII (Central Visayas),Mactan,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VII (Central Visayas),Siquijor,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
VII (Central Visayas),Tagbilaran,PAL,24642,21274,23318,24801,26919,21752,21671,21659,18481,18109,22279,23191,268096,-
VII (Central Visayas),Tagbilaran,Cebu Pacific,16509,14066,18182,24204,27093,20041,19290,17560,16367,17350,16666,16211,223539,-
VII (Central Visayas),Tagbilaran,Zest Air,-,-,3723,8553,9623,7384,7863,7506,5725,6160,5782,7820,70139,-
VII (Central Visayas),Tagbilaran,G. Aviation,60,123,164,31,40,3,54,77,82,44,28,33,739,-
VII (Central Visayas),Tagbilaran,Military,42,-,-,-,11,-,113,-,-,-,86,22,274,-
VII (Central Visayas),Ubay,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Biliran,G. Aviation,-,-,-,2,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Borongan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Calbayog,PAL Express,3315,2469,3071,3290,4149,2532,1938,1855,969,979,1677,1076,27320,-
VIII (Eastern Visayas),Calbayog,Cebu Pacific,-,525,1402,1611,3553,1616,1438,2185,2971,3090,2091,2408,22890,-
VIII (Eastern Visayas),Calbayog,Zest Air,606,339,632,1190,924,816,938,862,855,781,740,1107,9790,-
VIII (Eastern Visayas),Calbayog,Air Philippines,-,-,-,-,-,-,-,-,-,-,1677,1096,2773,-
VIII (Eastern Visayas),Calbayog,G. Aviation,-,-,-,-,4,-,-,-,-,-,-,-,4,-
VIII (Eastern Visayas),Catarman,PAL Express,3039,2897,3724,4006,4359,3130,32638,2911,2246,2318,2653,1678,65599,-
VIII (Eastern Visayas),Catarman,Air Philippines,-,-,-,-,-,-,-,-,-,-,2653,-,-,-
VIII (Eastern Visayas),Catarman,Cebu Pacific,-,731,1716,2320,275,1945,8597,2782,2896,3319,2456,2907,29944,-
VIII (Eastern Visayas),Catarman,Zest Air,717,667,1068,1512,1505,1400,16132,1646,1348,1009,1099,1403,29506,-
VIII (Eastern Visayas),Catarman,G. Aviation,30,667,2,-,-,-,-,-,-,14,-,-,713,-
VIII (Eastern Visayas),Catbalogan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Guiuan,G. Aviation,1,-,-,-,-,-,-,-,-,-,-,-,1,-
VIII (Eastern Visayas),Hilongos,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
VIII (Eastern Visayas),Maasin,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Ormoc,PAL Express,1990,1501,1033,1915,2209,1650,1765,1760,853,927,1092,1105,17800,-
VIII (Eastern Visayas),Ormoc,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
VIII (Eastern Visayas),Tacloban,PAL,27598,23861,27433,35437,39979,33706,31596,34457,29549,30330,29452,31830,375228,-
VIII (Eastern Visayas),Tacloban,Cebu Pacific,35274,31922,43186,44172,46486,39426,35740,36830,31534,34511,35788,40089,454958,-
