program_project_1,program_project_2,program_project_3,appropriation,disbursement,percent_accomplishment,remarks,,
Economic Development Program,Infrastructure Development,"PR Const. materials Expansion of Brgy. Plaza, Locso-an, Aroroy, Masbate",-,200000,100%,-,,
Economic Development Program,Infrastructure Development,"Rehab. Of Day Care Center Sitio Capiz, Brgy. Luna, Placer, Masbate",-,150000,100%,-,,
Economic Development Program,Infrastructure Development,"Additional works Stockpile Bldg. Masbate Social Center, Masbate City",-,165111.1,100%,-,,
Economic Development Program,Infrastructure Development,"Material Assistance to Brgy. Burabod, Placer, Masbate",-,100000,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Tinago, Aroroy, Masbate",-,663729.86,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Mataba, Aroroy, Masbate",-,663777.64,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Talabaan, Aroroy, Masbate",-,663777.64,100%,-,,
Economic Development Program,Infrastructure Development,"Financial Assistance Const. of Satellite Public Market Manlut-od, Placer, Masbate",-,80000,100%,-,,
Economic Development Program,Infrastructure Development,"Additional works Health Cnter Brgy. Banahao, Dimasalang, Masbate",-,442098,100%,-,,
Economic Development Program,Infrastructure Development,"Brgy. Stage and Day Cre Center, Brgy. Taverna, Placer, Masbate",-,100000,100%,-,,
Economic Development Program,Infrastructure Development,"Const. of Brgy. Talipapa, Brgy. Daraga, Placer, Masbate",-,150000,100%,-,,
Economic Development Program,Infrastructure Development,"Rehab of Day Care Center, Brgy. Tubod, Placer, Masbate",-,100000,100%,-,,
Economic Development Program,Infrastructure Development,"Renovation of Brgy. Health Center, Brgy. Puro, Placer, Masbate",-,100000,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall, Panisijan, Uson, Masbate",-,663729.85,100%,-,,
Economic Development Program,Infrastructure Development,"Const. of Health Center Brgy. Daraga, Placer, Masbate",-,664262,100%,-,,
Economic Development Program,Infrastructure Development,"Const. Agoho Stage w or  roofing, Brgy. Agoho, Esperanza, Masbate",-,199012.4,100%,-,,
Economic Development Program,Infrastructure Development,"Concreting of Batuan-Lagundi Road, Batuan, Masbate",24000000,24000000,90%,-,,
Economic Development Program,Infrastructure Development,Total Monitoring Travel Charge to different projects,-,74280,-,-,,
Total,Total,Total,150201007,149667284.8,-,-,,
