particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
          National Agricultural and Fishery Council,          National Agricultural and Fishery Council,40597,348853,144847,0,0,0,3186,104159,95764,37411,244694,49083,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Meat Inspection Service,          National Meat Inspection Service,109150,58385,34000,0,0,0,9209,0,0,99941,52385,0,0,6000,34000,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Carabao Center,          Philippine Carabao Center,57512,169259,437946,0,0,0,4631,0,0,52881,169259,437946,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,     Department of Budget and Management,355268,374975,231300,0,0,0,28519,0,0,326749,374975,231300,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,355268,374975,231300,0,0,0,28519,0,0,326749,374975,231300,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Education,     Department of Education,140794347,22259680,7788703,0,0,0,11559612,0,0,129234735,22259680,7788703,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,140708861,22140256,7788703,0,0,0,11552809,0,0,129156052,22140256,7788703,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Book Development Board,          National Book Development Board,10190,11404,0,0,0,0,772,0,0,9418,11404,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Council for Children's Television,          National Council for Children's Television,1500,8265,0,0,0,0,117,0,0,1383,8265,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Museum,          National Museum,62135,64956,0,0,0,0,4979,0,0,57156,64956,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine High School for the Arts,          Philippine High School for the Arts,11661,34799,0,0,0,0,935,0,0,10726,34799,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,     State Universities and Colleges,18095479,2914722,24212,0,0,0,1442364,0,0,16653115,2914722,24212,0,0,0,0,0,0,1
          National Capital Region,          National Capital Region,6062004,957687,0,0,0,0,459821,0,0,5602183,957687,0,0,0,0,0,0,0,1
               Eulogio 'Amang' Rodriguez Institute,               Eulogio 'Amang' Rodriguez Institute,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,96772,23073,0,0,0,0,7951,0,0,88821,23073,0,0,0,0,0,0,0,0
               Marikina Polytechnic College,               Marikina Polytechnic College,53306,5693,0,0,0,0,4305,0,0,49001,5693,0,0,0,0,0,0,0,0
               Philippine Normal University,               Philippine Normal University,233760,53156,0,0,0,0,15183,0,0,218577,53156,0,0,0,0,0,0,0,0
               Philippine State College of Aeronautics,               Philippine State College of Aeronautics,50115,9383,0,0,0,0,4036,0,0,46079,9383,0,0,0,0,0,0,0,0
               Polytechnic University of the Philippines,               Polytechnic University of the Philippines,565830,95614,0,0,0,0,39497,0,0,526333,95614,0,0,0,0,0,0,0,0
               Rizal Technological University,               Rizal Technological University,135247,21047,0,0,0,0,10629,0,0,124618,21047,0,0,0,0,0,0,0,0
               Technological University of the Philippines,               Technological University of the Philippines,317751,69598,0,0,0,0,24149,0,0,293602,69598,0,0,0,0,0,0,0,0
               University of the Philippines System,               University of the Philippines System,4609223,680123,0,0,0,0,354071,0,0,4255152,680123,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,          Region I - ILOCOS,1059328,164880,0,0,0,0,87539,0,0,971789,164880,0,0,0,0,0,0,0,1
               Don Mariano Marcos Memorial State University,               Don Mariano Marcos Memorial State University,358775,39550,0,0,0,0,30057,0,0,328718,39550,0,0,0,0,0,0,0,0
               Ilocos Sur Polytechnic State College,               Ilocos Sur Polytechnic State College,85643,8907,0,0,0,0,7001,0,0,78642,8907,0,0,0,0,0,0,0,0
               Mariano Marcos State University,               Mariano Marcos State University,257856,48094,0,0,0,0,21165,0,0,236691,48094,0,0,0,0,0,0,0,0
               Pangasinan State University,               Pangasinan State University,186761,37123,0,0,0,0,15198,0,0,171563,37123,0,0,0,0,0,0,0,0
               University of Northern Philippines,               University of Northern Philippines,170293,31206,0,0,0,0,14118,0,0,156175,31206,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,          Cordillera Administrative Region,480950,88576,0,0,0,0,38521,0,0,442429,88576,0,0,0,0,0,0,0,1
               Abra State Institute of Science and Technology,               Abra State Institute of Science and Technology,63719,8621,0,0,0,0,4998,0,0,58721,8621,0,0,0,0,0,0,0,0
               Apayao State College,               Apayao State College,31331,4170,0,0,0,0,2449,0,0,28882,4170,0,0,0,0,0,0,0,0
               Benguet State University,               Benguet State University,201690,36085,0,0,0,0,16426,0,0,185264,36085,0,0,0,0,0,0,0,0
               Ifugao State University (Ifugao,               Ifugao State University (Ifugao,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture,                     State College of Agriculture,,,,,,,,,,,,,,,,,,,
                     and Forestry),                     and Forestry),77117,14730,0,0,0,0,6042,0,0,71075,14730,0,0,0,0,0,0,0,0
               Kalinga-Apayao State College,               Kalinga-Apayao State College,52810,7989,0,0,0,0,4178,0,0,48632,7989,0,0,0,0,0,0,0,0
               Mountain Province State Polytechnic College,               Mountain Province State Polytechnic College,54283,16981,0,0,0,0,4428,0,0,49855,16981,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,          Region II - CAGAYAN VALLEY,739537,122039,0,0,0,0,60824,0,0,678713,122039,0,0,0,0,0,0,0,1
               Batanes State College (Batanes,               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),14536,1865,0,0,0,0,1033,0,0,13503,1865,0,0,0,0,0,0,0,0
               Cagayan State University,               Cagayan State University,234828,50668,0,0,0,0,19232,0,0,215596,50668,0,0,0,0,0,0,0,0
               Isabela State University,               Isabela State University,310969,43623,0,0,0,0,25935,0,0,285034,43623,0,0,0,0,0,0,0,0
               Nueva Vizcaya State University (,               Nueva Vizcaya State University (,,,,,,,,,,,,,,,,,,,
                     NVSIT and NVSPC),                     NVSIT and NVSPC),153350,21235,0,0,0,0,12519,0,0,140831,21235,0,0,0,0,0,0,0,0
               Quirino State College,               Quirino State College,25854,4648,0,0,0,0,2105,0,0,23749,4648,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,          Region III - CENTRAL LUZON,1130117,237051,0,0,0,0,92812,0,0,1037305,237051,0,0,0,0,0,0,0,1
               Aurora State College of Technology,               Aurora State College of Technology,27112,5008,0,0,0,0,2021,0,0,25091,5008,0,0,0,0,0,0,0,0
               Bataan Peninsula State University,               Bataan Peninsula State University,109261,24574,0,0,0,0,8895,0,0,100366,24574,0,0,0,0,0,0,0,0
               Bulacan Agricultural State College,               Bulacan Agricultural State College,34393,4148,0,0,0,0,2843,0,0,31550,4148,0,0,0,0,0,0,0,0
               Bulacan State University,               Bulacan State University,137282,42009,0,0,0,0,11455,0,0,125827,42009,0,0,0,0,0,0,0,0
               Central Luzon State University,               Central Luzon State University,222235,36053,0,0,0,0,18387,0,0,203848,36053,0,0,0,0,0,0,0,0
               Don Honorio Ventura Technological,               Don Honorio Ventura Technological,,,,,,,,,,,,,,,,,,,
                     State University (DHVCAT),                     State University (DHVCAT),77615,10658,0,0,0,0,6408,0,0,71207,10658,0,0,0,0,0,0,0,0
               Nueva Ecija University of Science,               Nueva Ecija University of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,138132,24994,0,0,0,0,11506,0,0,126626,24994,0,0,0,0,0,0,0,0
               Pampanga Agricultural College,               Pampanga Agricultural College,75852,8456,0,0,0,0,6000,0,0,69852,8456,0,0,0,0,0,0,0,0
               Philippine Merchant Marine Academy,               Philippine Merchant Marine Academy,54217,37669,0,0,0,0,4195,0,0,50022,37669,0,0,0,0,0,0,0,0
               Ramon Magsaysay Technological University,               Ramon Magsaysay Technological University,74645,14656,0,0,0,0,6033,0,0,68612,14656,0,0,0,0,0,0,0,0
               Tarlac College of Agriculture,               Tarlac College of Agriculture,80225,8499,0,0,0,0,6700,0,0,73525,8499,0,0,0,0,0,0,0,0
               Tarlac State University,               Tarlac State University,99148,20327,0,0,0,0,8369,0,0,90779,20327,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,          Region IV-A - CALABARZON,721381,179179,0,0,0,0,59173,0,0,662208,179179,0,0,0,0,0,0,0,1
               Batangas State University,               Batangas State University,155956,54684,0,0,0,0,12849,0,0,143107,54684,0,0,0,0,0,0,0,0
               Cavite State University,               Cavite State University,155201,30372,0,0,0,0,12602,0,0,142599,30372,0,0,0,0,0,0,0,0
               Laguna State Polytechnic University,               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),                     (Laguna State Polytechnic College),128038,24338,0,0,0,0,10420,0,0,117618,24338,0,0,0,0,0,0,0,0
               Southern Luzon State University,               Southern Luzon State University,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),                     (Southern Luzon Polytechnic College),101223,35186,0,0,0,0,8426,0,0,92797,35186,0,0,0,0,0,0,0,0
               University of Rizal System,               University of Rizal System,180963,34599,0,0,0,0,14876,0,0,166087,34599,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,          Region IV-B - MIMAROPA,483134,74846,0,0,0,0,39354,0,0,443780,74846,0,0,0,0,0,0,0,1
               Marinduque State College,               Marinduque State College,46626,9604,0,0,0,0,3863,0,0,42763,9604,0,0,0,0,0,0,0,0
               Mindoro State College of,               Mindoro State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,60654,5853,0,0,0,0,4955,0,0,55699,5853,0,0,0,0,0,0,0,0
               Occidental Mindoro State College,               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),                     (Occidental Mindoro National College),79006,10058,0,0,0,0,6299,0,0,72707,10058,0,0,0,0,0,0,0,0
               Palawan State University,               Palawan State University,130916,30172,0,0,0,0,10853,0,0,120063,30172,0,0,0,0,0,0,0,0
               Romblon State University (Romblon,               Romblon State University (Romblon,,,,,,,,,,,,,,,,,,,
                     State College),                     State College),83641,8937,0,0,0,0,6813,0,0,76828,8937,0,0,0,0,0,0,0,0
               Western Philippines University,               Western Philippines University,82291,10222,0,0,0,0,6571,0,0,75720,10222,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,          Region V - BICOL,937823,164841,0,0,0,0,75895,0,0,861928,164841,0,0,0,0,0,0,0,1
               Bicol University,               Bicol University,303078,66165,0,0,0,0,24900,0,0,278178,66165,0,0,0,0,0,0,0,0
               Camarines Norte State College,               Camarines Norte State College,98446,10092,0,0,0,0,8125,0,0,90321,10092,0,0,0,0,0,0,0,0
               Camarines Sur Polytechnic Colleges,               Camarines Sur Polytechnic Colleges,69644,23127,0,0,0,0,5747,0,0,63897,23127,0,0,0,0,0,0,0,0
               Central Bicol State University of,               Central Bicol State University of,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur,                     Agriculture  (Camarines Sur,,,,,,,,,,,,,,,,,,,
                     State Agricultural College),                     State Agricultural College),136823,16894,0,0,0,0,10265,0,0,126558,16894,0,0,0,0,0,0,0,0
               Catanduanes State Colleges,               Catanduanes State Colleges,140095,18917,0,0,0,0,11366,0,0,128729,18917,0,0,0,0,0,0,0,0
"               Dr. Emilio B. Espinosa, Sr.","               Dr. Emilio B. Espinosa, Sr.",,,,,,,,,,,,,,,,,,,
                     Memorial State College of,                     Memorial State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,29891,5487,0,0,0,0,2401,0,0,27490,5487,0,0,0,0,0,0,0,0
               Partido State University,               Partido State University,81152,9218,0,0,0,0,6642,0,0,74510,9218,0,0,0,0,0,0,0,0
               Sorsogon State College,               Sorsogon State College,78694,14941,0,0,0,0,6449,0,0,72245,14941,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,          Region VI - WESTERN VISAYAS,1247053,185562,0,0,0,0,102455,0,0,1144598,185562,0,0,0,0,0,0,0,1
               Aklan State University,               Aklan State University,131666,16149,0,0,0,0,10692,0,0,120974,16149,0,0,0,0,0,0,0,0
               Capiz State University,               Capiz State University,189884,24528,0,0,0,0,15859,0,0,174025,24528,0,0,0,0,0,0,0,0
               Carlos C. Hilado Memorial State College,               Carlos C. Hilado Memorial State College,90163,12443,0,0,0,0,7470,0,0,82693,12443,0,0,0,0,0,0,0,0
               Guimaras State College,               Guimaras State College,21480,2515,0,0,0,0,1742,0,0,19738,2515,0,0,0,0,0,0,0,0
               Iloilo State College of Fisheries,               Iloilo State College of Fisheries,111907,9014,0,0,0,0,9198,0,0,102709,9014,0,0,0,0,0,0,0,0
               Negros State College of Agriculture,               Negros State College of Agriculture,28955,8606,0,0,0,0,2373,0,0,26582,8606,0,0,0,0,0,0,0,0
               Northern Iloilo Polytechnic State College,               Northern Iloilo Polytechnic State College,144115,17462,0,0,0,0,12001,0,0,132114,17462,0,0,0,0,0,0,0,0
               Northern Negros State College of,               Northern Negros State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,19620,3630,0,0,0,0,1598,0,0,18022,3630,0,0,0,0,0,0,0,0
               University of Antique (Polytechnic,               University of Antique (Polytechnic,,,,,,,,,,,,,,,,,,,
                     State College of Antique),                     State College of Antique),75988,11923,0,0,0,0,6140,0,0,69848,11923,0,0,0,0,0,0,0,0
               Western Visayas College of Science,               Western Visayas College of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,147558,23738,0,0,0,0,12178,0,0,135380,23738,0,0,0,0,0,0,0,0
               West Visayas State University,               West Visayas State University,285717,55554,0,0,0,0,23204,0,0,262513,55554,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,          Region VII - CENTRAL VISAYAS,509203,134470,0,0,0,0,41545,0,0,467658,134470,0,0,0,0,0,0,0,1
               Cebu Normal University,               Cebu Normal University,60843,37909,0,0,0,0,4607,0,0,56236,37909,0,0,0,0,0,0,0,0
               Cebu Techhnological University,               Cebu Techhnological University,,,,,,,,,,,,,,,,,,,
                     (Cebu State College of,                     (Cebu State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology),                     Science and Technology),209408,31080,0,0,0,0,17237,0,0,192171,31080,0,0,0,0,0,0,0,0
               Central Visayas State College of,               Central Visayas State College of,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","                     Agriculture, Forestry and Technology",98252,23668,0,0,0,0,7930,0,0,90322,23668,0,0,0,0,0,0,0,0
               Negros Oriental State University,               Negros Oriental State University,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),                     (Central Visayas Polytechnic College),116042,38300,0,0,0,0,9763,0,0,106279,38300,0,0,0,0,0,0,0,0
               Siquijor State College,               Siquijor State College,24658,3513,0,0,0,0,2008,0,0,22650,3513,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,          Region VIII - EASTERN VISAYAS,1133154,155416,2312,0,0,0,90142,0,0,1043012,155416,2312,0,0,0,0,0,0,1
               Eastern Samar State University,               Eastern Samar State University,141741,12258,0,0,0,0,11274,0,0,130467,12258,0,0,0,0,0,0,0,0
               Eastern Visayas State University,               Eastern Visayas State University,,,,,,,,,,,,,,,,,,,
                     (Leyte Institute of Technology),                     (Leyte Institute of Technology),147571,24447,0,0,0,0,12032,0,0,135539,24447,0,0,0,0,0,0,0,0
               Leyte Normal University,               Leyte Normal University,69134,19678,0,0,0,0,5523,0,0,63611,19678,0,0,0,0,0,0,0,0
               Visayas State University (Leyte,               Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,
                     State University),                     State University),229460,29086,0,0,0,0,17267,0,0,212193,29086,0,0,0,0,0,0,0,0
               Naval Institute of Technology,               Naval Institute of Technology,58097,10388,0,0,0,0,4730,0,0,53367,10388,0,0,0,0,0,0,0,0
               Palompon Institute of Technology,               Palompon Institute of Technology,63680,8250,0,0,0,0,5225,0,0,58455,8250,0,0,0,0,0,0,0,0
               Southern Leyte State University,               Southern Leyte State University,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College,                     (Southern Leyte State College,,,,,,,,,,,,,,,,,,,
                     of Sci. and Tech. and TONC),                     of Sci. and Tech. and TONC),103183,12262,0,0,0,0,8398,0,0,94785,12262,0,0,0,0,0,0,0,0
               Samar State College of Agriculture,               Samar State College of Agriculture,,,,,,,,,,,,,,,,,,,
                     and Forestry,                     and Forestry,15719,1822,2312,0,0,0,1211,0,0,14508,1822,2312,0,0,0,0,0,0,0
               Samar State University (Samar State,               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),85944,11075,0,0,0,0,6754,0,0,79190,11075,0,0,0,0,0,0,0,0
               Tiburcio Tancinco Memorial,               Tiburcio Tancinco Memorial,,,,,,,,,,,,,,,,,,,
                     Institute of Science and Technology,                     Institute of Science and Technology,42112,10747,0,0,0,0,3376,0,0,38736,10747,0,0,0,0,0,0,0,0
               University of Eastern Philippines,               University of Eastern Philippines,176513,15403,0,0,0,0,14352,0,0,162161,15403,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,          Region IX - WESTERN MINDANAO,479378,68205,0,0,0,0,38693,0,0,440685,68205,0,0,0,0,0,0,0,1
               J. H. Cerilles State College,               J. H. Cerilles State College,46995,8320,0,0,0,0,3627,0,0,43368,8320,0,0,0,0,0,0,0,0
               Jose Rizal Memorial State College,               Jose Rizal Memorial State College,116987,13125,0,0,0,0,9578,0,0,107409,13125,0,0,0,0,0,0,0,0
               Western Mindanao State University,               Western Mindanao State University,200802,33269,0,0,0,0,16308,0,0,184494,33269,0,0,0,0,0,0,0,0
               Zamboanga City State Polytechnic College,               Zamboanga City State Polytechnic College,51064,3854,0,0,0,0,4146,0,0,46918,3854,0,0,0,0,0,0,0,0
               Zamboanga State College of Marine,               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,                     Sciences and Technology,63530,9637,0,0,0,0,5034,0,0,58496,9637,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,          Region X - NORTHERN MINDANAO,718039,143259,0,0,0,0,58972,0,0,659067,143259,0,0,0,0,0,0,0,1
               Bukidnon State College,               Bukidnon State College,61937,14227,0,0,0,0,4951,0,0,56986,14227,0,0,0,0,0,0,0,0
               Camiguin Polytechnic State College,               Camiguin Polytechnic State College,21429,4334,0,0,0,0,1740,0,0,19689,4334,0,0,0,0,0,0,0,0
               Central Mindanao University,               Central Mindanao University,200880,35368,0,0,0,0,16069,0,0,184811,35368,0,0,0,0,0,0,0,0
               Mindanao University of Science and Technology,               Mindanao University of Science and Technology,81315,19470,0,0,0,0,6571,0,0,74744,19470,0,0,0,0,0,0,0,0
               MSU-Iligan Institute of Technology,               MSU-Iligan Institute of Technology,314584,62966,0,0,0,0,26711,0,0,287873,62966,0,0,0,0,0,0,0,0
               Misamis Oriental State College of,               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,24519,4512,0,0,0,0,1842,0,0,22677,4512,0,0,0,0,0,0,0,0
               Northwestern Mindanao State College,               Northwestern Mindanao State College,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,13375,2382,0,0,0,0,1088,0,0,12287,2382,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XI - SOUTHEASTERN MINDANAO,          Region XI - SOUTHEASTERN MINDANAO,233768,49345,1000,0,0,0,19346,0,0,214422,49345,1000,0,0,0,0,0,0,1
               Davao del Norte State College,               Davao del Norte State College,29814,4443,1000,0,0,0,2424,0,0,27390,4443,1000,0,0,0,0,0,0,0
               Davao Oriental State College of,               Davao Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,37082,5987,0,0,0,0,3024,0,0,34058,5987,0,0,0,0,0,0,0,0
               Southern Philippines Agri-Business,               Southern Philippines Agri-Business,,,,,,,,,,,,,,,,,,,
                     and Marine and Aquatic School,                     and Marine and Aquatic School,,,,,,,,,,,,,,,,,,,
                     of Technology,                     of Technology,29450,3255,0,0,0,0,2398,0,0,27052,3255,0,0,0,0,0,0,0,0
               University of Southeastern Philippines,               University of Southeastern Philippines,137422,35660,0,0,0,0,11500,0,0,125922,35660,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XII - CENTRAL MINDANAO,          Region XII - CENTRAL MINDANAO,395841,57724,3612,0,0,0,32689,0,0,363152,57724,3612,0,0,0,0,0,0,1
               Cotabato City State Polytechnic College,               Cotabato City State Polytechnic College,59745,7734,0,0,0,0,4882,0,0,54863,7734,0,0,0,0,0,0,0,0
               Cotabato Foundation College of,               Cotabato Foundation College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,54699,10453,0,0,0,0,4423,0,0,50276,10453,0,0,0,0,0,0,0,0
               Sultan Kudarat Polytechnic State College,               Sultan Kudarat Polytechnic State College,71494,7640,3612,0,0,0,5909,0,0,65585,7640,3612,0,0,0,0,0,0,0
               University of Southern Mindanao,               University of Southern Mindanao,209903,31897,0,0,0,0,17475,0,0,192428,31897,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Caraga Administrative Region,          Caraga Administrative Region,233483,32420,0,0,0,0,18845,0,0,214638,32420,0,0,0,0,0,0,0,1
               Agusan del Sur State College of,               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,22193,3739,0,0,0,0,1826,0,0,20367,3739,0,0,0,0,0,0,0,0
               Northern Mindanao State Institute,               Northern Mindanao State Institute,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,55966,11985,0,0,0,0,4506,0,0,51460,11985,0,0,0,0,0,0,0,0
               Surigao del Sur Polytechnic State College,               Surigao del Sur Polytechnic State College,85379,9941,0,0,0,0,6937,0,0,78442,9941,0,0,0,0,0,0,0,0
               Surigao State College of Technology,               Surigao State College of Technology,69945,6755,0,0,0,0,5576,0,0,64369,6755,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Autonomous Region in Muslim Mindanao,          Autonomous Region in Muslim Mindanao,1531286,99222,17288,0,0,0,125738,0,0,1405548,99222,17288,0,0,0,0,0,0,1
               Adiong Memorial Polytechnic State College,               Adiong Memorial Polytechnic State College,11023,3331,800,0,0,0,884,0,0,10139,3331,800,0,0,0,0,0,0,0
               Basilan State College,               Basilan State College,32210,5830,8988,0,0,0,2656,0,0,29554,5830,8988,0,0,0,0,0,0,0
               Mindanao State University,               Mindanao State University,1196426,72340,0,0,0,0,98648,0,0,1097778,72340,0,0,0,0,0,0,0,0
               MSU-Tawi-Tawi College of Technology,               MSU-Tawi-Tawi College of Technology,,,,,,,,,,,,,,,,,,,
                     and Oceanography,                     and Oceanography,224064,10266,0,0,0,0,18059,0,0,206005,10266,0,0,0,0,0,0,0,0
               Sulu State College,               Sulu State College,36994,2930,7500,0,0,0,2987,0,0,34007,2930,7500,0,0,0,0,0,0,0
               Tawi-Tawi Regional Agricultural College,               Tawi-Tawi Regional Agricultural College,30569,4525,0,0,0,0,2504,0,0,28065,4525,0,0,0,0,0,0,0,0
