particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     Land Registration Authority,581849,200108,7387,499101,176299,32000,492522,180650,0,,
     Mines and Geo-Sciences Bureau,372833,152295,44572,369050,215808,76581,365791,181743,25875,,
     National Commission on Indigenous Peoples,372629,180428,0,367689,312006,55745,383075,221800,5800,,
     National Mapping and Resource,,,,,,,,,,,
        Information Authority,211115,711356,214966,220501,611067,229769,221592,493567,0,,
     Palawan Council for Sustainable,,,,,,,,,,,
        Development Staff,23181,22491,0,23527,32612,0,24128,23134,0,,
,,,,,,,,,,,
   Department of Finance,5360603,23327258,6149682,5920297,7597282,333373,5598007,4770818,363579,1,
     Office of the Secretary,135064,1262786,202105,138460,218887,87020,134120,242095,4340,,
     Bureau of Customs,1586421,763965,5218658,1078050,3859938,0,1039488,1060515,246000,,
     Bureau of Internal Revenue,2941666,2009292,677391,4019033,2974118,108174,3745574,3144839,39966,,
     Bureau of Local Government Finance,100751,46433,4137,97675,74938,10400,99174,74938,6836,,
     Bureau of the Treasury,295109,19112207,31121,283889,343525,53771,280266,116593,0,,
     Central Board of Assessment Appeals,7287,1472,126,7687,1069,0,7370,1071,0,,
     Cooperative Development Authority,189701,66903,244,184350,63490,17790,181532,65052,8000,,
     Fiscal Incentives Review Board,0,145,0,0,123,0,0,123,0,,
     Insurance Commission,57574,45701,14859,58106,42022,56018,57271,45975,58437,,
     National Tax Research Center,26302,11111,370,24396,11299,200,24561,11519,0,,
     Privatization and Management Office,20728,7243,671,28651,7873,0,28651,8098,0,,
,,,,,,,,,,,
   Department of Foreign Affairs,4435034,4563193,945324,5576176,6176370,895843,5269540,6845994,385011,1,
     Office of the Secretary,4407701,4532827,943310,5547396,6148146,895343,5241344,6817415,384941,,
     Foreign Service Institute,22006,14251,1824,23393,12034,500,22751,12034,0,,
     Technical Cooperation Council of the Philippines,905,4249,190,960,4350,0,961,4409,70,,
     UNESCO National Commission of the Philippines,4422,11866,0,4427,11840,0,4484,12136,0,,
,,,,,,,,,,,
   Department of Health,7450661,5730290,1475766,7407471,14705604,6358375,7431374,14884410,6156476,1,
     Office of the Secretary,7300276,5297285,1466860,7284830,10612885,6354610,7310305,10859843,6156476,,
     Commission on Population,109303,172259,2363,87785,311814,3189,87731,186371,0,,
     National Nutrition Council,41082,260746,6543,34856,3780905,576,33338,3838196,0,,
,,,,,,,,,,,
   Department of the Interior and Local Government,63525472,13684933,2214945,50478719,8601315,4129152,53382181,8588339,3434168,1,
     Office of the Secretary,1641739,552384,34825,1671542,798507,104400,1673103,348485,0,,
     Bureau of Fire Protection,5465716,704067,480540,4686624,800101,1338048,4814166,860052,1105048,,
     Bureau of Jail Management and Penology,2493757,1350632,64469,2215722,1777102,201620,2336077,1921108,219120,,
     Local Government Academy,13340,105669,0,14052,70370,800,13791,72607,0,,
     National Police Commission,893399,120851,2447,947695,158591,19896,1181477,128708,0,,
     Philippine National Police,52565629,10526546,1632664,40468153,4584498,2304388,42847899,4806239,2100000,,
     Philippine Public Safety College,451892,324784,0,474931,412146,160000,515668,451140,10000,,
,,,,,,,,,,,
   Department of Justice,4343512,1615415,524010,4635707,1971553,443463,4469622,1940165,104647,1,
     Office of the Secretary,1779244,248037,183547,2107925,285467,300507,1860212,258905,52443,,
     Bureau of Corrections,471096,700198,0,445714,916935,10280,433481,917043,20196,,
     Bureau of Immigration,233647,148109,276651,225994,149140,0,228626,132261,0,,
     Commission on the Settlement of Land Problems,20905,2257,0,20518,1688,0,19870,1688,0,,
     National Bureau of Investigation,503509,270751,35824,478708,306783,87800,486179,312831,18000,,
     Office of the Government Corporate Counsel,49403,9825,0,58892,19789,200,51018,11975,0,,
     Office of the Solicitor General,183637,58190,7497,159464,115523,34500,213838,115224,4008,,
     Parole and Probation Administration,366576,56753,7497,354202,62524,0,347602,64629,0,,
     Presidential Commission on Good Government,44039,74002,918,43163,48401,176,44334,44995,0,,
     Public Attorney's Office,691456,47293,12076,741127,65303,10000,784462,80614,10000,,
,,,,,,,,,,,
   Department of Labor and Employment,2648737,4535063,588091,2812523,3878026,526096,2776098,3647044,124681,1,
     Office of the Secretary,723926,1201824,40863,738553,1215725,72900,722642,1165091,47100,,
     Institute for Labor Studies,13629,6264,0,13913,6800,5800,12322,6952,1410,,
     National Conciliation and Mediation Board,66806,45848,2580,62126,54637,3900,61318,54937,0,,
     National Labor Relations Commission,361931,107399,6769,331567,128344,21152,315088,113363,0,,
     National Maritime Polytechnic,32528,28751,36659,33730,32443,38050,30284,35601,1500,,
     National Wages and Productivity Commission,72388,39111,6505,75587,42807,15665,78576,44592,10792,,
     Philippine Overseas Employment Administration,152876,119160,12925,155602,124329,15615,146404,118090,19318,,
     Professional Regulation Commission,149877,248400,63008,150385,203463,89561,150490,216725,44561,,
     Technical Education and Skills,,,,,,,,,,,
        Development Authority,1074776,2738306,418782,1251060,2069478,263453,1258974,1891693,0,,
,,,,,,,,,,,
   Department of National Defense,76989473,19011704,4653307,41333148,15214621,100340,41419005,16274807,0,1,
     DND Proper (Office of the Secretary),95778,363577,174552,88275,443895,0,86723,382948,0,,
