Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Press Secretary (Proper),0,0,0,0,0,405,0,"4,151",0,0,0,0,"4,556"
          Bureau of Broadcast Services,0,0,0,0,0,"4,680",0,"3,000",0,0,0,0,"7,680"
          Bureau of Communications Services,0,0,0,0,0,190,0,0,0,0,0,0,190
          National Printing Office,0,0,0,0,0,6,0,"1,000","8,986",0,0,0,"9,992"
          News and Information Bureau,0,0,0,0,0,0,0,800,0,0,0,0,800
          Philippine Information Agency,0,0,0,0,0,"2,119",0,0,0,0,0,0,"2,119"
          Presidential Broadcast Staff (RTVM),0,0,0,0,0,514,0,"6,234","4,256",0,0,0,"11,004"
,,,,,,,,,,,,,
     Other Executive Offices,"22,070",0,0,"5,146","193,461","164,071",0,"18,286","52,626",0,0,0,"455,660"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Anti-Money Laundering Council,0,0,0,0,0,"5,000",0,0,0,0,0,0,"5,000"
          Commission on Filipinos Overseas,0,0,0,0,0,"1,111",0,0,0,0,0,0,"1,111"
          Commission on the Filipino Language,0,0,0,0,0,312,0,0,0,0,0,0,312
          Dangerous Drugs Board,0,0,0,0,0,"8,500",0,0,0,0,0,0,"8,500"
          Energy Regulatory Commission,0,0,0,0,0,"22,168",0,0,0,0,0,0,"22,168"
          Film Development Council of the Philippines,0,0,0,0,0,"1,630",0,0,0,0,0,0,"1,630"
          Games and Amusements Board,0,0,0,0,0,367,0,0,0,0,0,0,367
          Housing and Urban Development Coordinating Council,0,0,0,0,0,"1,436",0,0,42,0,0,0,"1,478"
          Movie and Television Review and,,,,,,,,,,,,,
                Classification Board,0,0,0,0,0,520,0,921,0,0,0,0,"1,441"
          National Anti-Poverty Commission,0,0,0,0,0,"8,686",0,0,0,0,0,0,"8,686"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,
                     Arts (Proper),"22,070",0,0,0,"1,533","2,315",0,"2,400","1,222",0,0,0,"29,540"
               National Historical Institute,0,0,0,0,"43,034",34,0,0,"3,825",0,0,0,"46,893"
               The National Library,0,0,0,0,0,"16,813",0,0,"1,945",0,0,0,"18,758"
               National Archives of the Philippines,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,
                     Archives Office),0,0,0,0,0,"1,586",0,0,0,0,0,0,"1,586"
          Philippine Commission on Women (National,,,,,,,,,,,,,
                Commission on the Role of Filipino Women),0,0,0,0,0,"2,343",0,0,0,0,0,0,"2,343"
