particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
          Bureau of Post-Harvest Research and Extension,"32,264",0,0,0,0,0,0,0,0,"3,640",175,0,577,0,232,0,0,"3,166","3,575",0,0,"34,473",0,"78,102"
          Cotton Development Administration,"25,194",0,0,0,0,0,0,0,0,"2,998",151,0,314,0,138,0,0,"1,320","2,828",0,0,"9,711",0,"42,654"
          Fertilizer and Pesticide Authority,"16,975",0,123,0,0,337,0,0,0,"2,022",102,0,204,0,98,0,0,706,"1,919",0,0,"3,980",0,"26,466"
          Fiber Industry Development Authority,"102,318",0,734,0,0,"3,622",0,0,0,"11,417",635,0,598,0,616,0,0,963,"11,075",0,0,"19,768",0,"151,746"
          Livestock Development Council,"5,409",0,288,0,0,0,0,0,0,563,31,0,57,0,9,0,0,456,413,0,0,"1,834",0,"9,060"
          National Agricultural and Fishery Council,"21,636",0,"1,927",0,0,"7,179",0,0,0,"3,019",163,0,302,0,139,0,0,565,"2,458",0,0,"6,031",0,"43,419"
          National Meat Inspection Service,"63,080",0,0,0,0,0,0,0,0,"8,732",448,0,872,0,448,0,0,886,"7,605",0,0,"25,105",0,"107,176"
          Philippine Carabao Center,"34,751",0,0,0,0,106,0,0,0,"4,169",272,0,420,0,251,0,0,"1,756","10,483",0,0,"6,677",0,"58,885"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"188,393",0,"9,749",0,0,"2,864",0,"1,183",0,"388,572","1,039",0,"1,075",0,"1,010",0,0,"14,782","21,620",0,0,"63,468",0,"693,755"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"188,393",0,"9,749",0,0,"2,864",0,"1,183",0,"388,572","1,039",0,"1,075",0,"1,010",0,0,"14,782","21,620",0,0,"63,468",0,"693,755"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"83,833,942",0,"647,362","509,681",0,"413,232",0,"132,298",82,"10,147,455","602,086",0,"711,132",0,"579,174",0,"55,772","82,439","8,800,203","70,996",0,"22,962,874",0,"129,548,728"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"83,782,876",0,"647,202","509,681",0,"412,973",0,"132,298",0,"10,141,409","601,703",0,"710,699",0,"579,032",0,"55,355","79,627","8,794,131","70,996",0,"22,948,741",0,"129,466,723"
          National Book Development Board,"6,518",0,0,0,0,0,0,0,0,724,37,0,79,0,34,0,0,772,684,0,0,"1,203",0,"10,051"
          National Council for Children's Television,652,0,0,0,0,0,0,0,0,63,2,0,6,0,5,0,0,108,78,0,0,62,0,976
          National Museum,"37,135",0,130,0,0,195,0,0,0,"4,510",302,0,273,0,91,0,417,"1,571","4,588",0,0,"11,481",0,"60,693"
          Philippine High School for the Arts,"6,761",0,30,0,0,64,0,0,82,749,42,0,75,0,12,0,0,361,722,0,0,"1,387",0,"10,285"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"10,710,243",0,"456,170","2,718",0,"219,111",0,"37,656",0,"1,266,774","70,261",0,"92,239",0,"63,466",0,"6,132","668,467","1,229,447",0,0,"2,605,485",0,"17,428,169"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"3,533,777",0,"178,989",0,0,"77,255",0,"3,838",0,"418,952","21,702",0,"29,553",0,"18,027",0,0,"419,469","404,229",0,0,"800,400",0,"5,906,191"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"61,499",0,"1,458",0,0,"2,519",0,0,0,"6,614",378,0,369,0,366,0,0,"2,292","6,973",0,0,"9,937",0,"92,405"
               Marikina Polytechnic College,"28,019",0,339,0,0,0,0,0,0,"2,511",186,0,106,0,402,0,0,500,"2,721",0,0,"6,621",0,"41,405"
               Philippine Normal University,"108,391",0,"3,159",0,0,"1,518",0,0,0,"13,206",628,0,"1,101",0,562,0,0,"67,361","12,256",0,0,"19,717",0,"227,899"
               Philippine State College of Aeronautics,"26,744",0,0,0,0,0,0,0,0,"2,984",168,0,290,0,146,0,0,"6,560","3,107",0,0,"6,989",0,"46,988"
               Polytechnic University of the Philippines,"300,028",0,"24,508",0,0,"5,983",0,"3,838",0,"35,780","2,078",0,"1,922",0,"1,973",0,0,"75,427","49,639",0,0,"52,276",0,"553,452"
               Rizal Technological University,"72,760",0,"13,345",0,0,0,0,0,0,"9,289",496,0,943,0,533,0,0,"6,311","8,898",0,0,"16,552",0,"129,127"
               Technological University of the Philippines,"187,683",0,"4,133",0,0,"1,600",0,0,0,"22,141","1,163",0,"1,074",0,"1,112",0,0,"33,362","18,578",0,0,"35,076",0,"305,922"
               University of the Philippines System,"2,748,653",0,"132,047",0,0,"65,635",0,0,0,"326,427","16,605",0,"23,748",0,"12,933",0,0,"227,656","302,057",0,0,"653,232",0,"4,508,993"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"613,858",0,"42,812",0,0,"9,656",0,0,0,"73,212","4,179",0,"6,132",0,"3,750",0,0,"20,344","70,975",0,0,"145,813",0,"990,731"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"213,641",0,"5,493",0,0,"1,678",0,0,0,"22,909","1,279",0,"2,339",0,"1,268",0,0,"5,845","22,865",0,0,"39,253",0,"316,570"
               Ilocos Sur Polytechnic State College,"48,793",0,"2,771",0,0,477,0,0,0,"5,888",353,0,588,0,329,0,0,670,"5,557",0,0,"13,519",0,"78,945"
               Mariano Marcos State University,"143,742",0,"21,845",0,0,"1,965",0,0,0,"17,633","1,089",0,"1,739",0,790,0,0,"8,383","17,677",0,0,"29,334",0,"244,197"
               Pangasinan State University,"95,434",0,"10,763",0,0,"4,726",0,0,0,"13,502",765,0,826,0,701,0,0,"2,797","12,211",0,0,"42,010",0,"183,735"
               University of Northern Philippines,"112,248",0,"1,940",0,0,810,0,0,0,"13,280",693,0,640,0,662,0,0,"2,649","12,665",0,0,"21,697",0,"167,284"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"283,267",0,"10,146",0,0,"4,377",0,753,0,"32,720","1,861",0,"2,129",0,"1,859",0,801,"17,195","33,652",0,0,"66,887",0,"455,647"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"33,113",0,797,0,0,"1,555",0,0,0,"4,268",236,0,432,0,233,0,261,"4,269","4,047",0,0,"10,540",0,"59,751"
               Apayao State College,"16,709",0,"1,055",0,0,393,0,0,0,"2,097",119,0,128,0,116,0,0,464,"1,984",0,0,"6,010",0,"29,075"
               Benguet State University,"126,686",0,"1,669",0,0,"1,178",0,0,0,"13,852",865,0,848,0,816,0,0,"6,990","14,575",0,0,"26,426",0,"193,905"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),"43,522",0,"1,909",0,0,568,0,0,0,"5,225",307,0,284,0,288,0,0,"3,890","5,143",0,0,"9,618",0,"70,754"
               Kalinga-Apayao State College,"33,871",0,365,0,0,126,0,753,0,"3,773",130,0,230,0,225,0,0,"1,395","3,867",0,0,"6,555",0,"51,290"
               Mountain Province State Polytechnic College,"29,366",0,"4,351",0,0,557,0,0,0,"3,505",204,0,207,0,181,0,540,187,"4,036",0,0,"7,738",0,"50,872"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"450,584",0,"28,418",0,0,"9,627",0,"4,559",0,"54,174","2,935",0,"2,865",0,"2,701",0,4,"20,630","51,886",0,0,"95,260",0,"723,643"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"2,199",0,"4,819",0,0,0,0,0,0,715,64,0,41,0,1,0,0,429,699,0,0,"1,979",0,"10,946"
               Cagayan State University,"133,678",0,"15,409",0,0,"3,417",0,"2,190",0,"15,983",893,0,818,0,834,0,0,"12,223","15,493",0,0,"28,592",0,"229,530"
               Isabela State University,"204,835",0,"4,180",0,0,"2,154",0,"2,369",0,"24,396","1,258",0,"1,163",0,"1,193",0,0,"4,032","23,081",0,0,"39,233",0,"307,894"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"93,768",0,"4,010",0,0,"3,559",0,0,0,"11,149",609,0,650,0,567,0,0,"3,328","10,746",0,0,"21,901",0,"150,287"
               Quirino State College,"16,104",0,0,0,0,497,0,0,0,"1,931",111,0,193,0,106,0,4,618,"1,867",0,0,"3,555",0,"24,986"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"724,425",0,"12,260",0,0,"8,329",0,"14,489",0,"80,624","4,624",0,"5,858",0,"4,367",0,"1,096","17,582","79,422",0,0,"152,808",0,"1,105,884"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"13,375",0,604,0,0,32,0,0,0,"1,642",105,0,165,0,95,0,0,"1,705","1,620",0,0,"5,611",0,"24,954"
               Bataan Peninsula State University,"80,899",0,"2,678",0,0,0,0,0,0,"8,255",510,0,320,0,231,0,0,"1,095","8,785",0,0,"16,885",0,"119,658"
               Bulacan Agricultural State College,"20,790",0,0,0,0,70,0,0,0,"2,505",152,0,140,0,144,0,25,252,"2,475",0,0,"5,682",0,"32,235"
               Bulacan State University,"80,129",0,0,0,0,"1,895",0,0,0,"9,657",540,0,978,0,521,0,"1,071",249,"9,534",0,0,"19,167",0,"123,741"
               Central Luzon State University,"149,156",0,804,0,0,34,0,"10,080",0,"14,665",876,0,"1,029",0,"1,036",0,0,"1,969","14,704",0,0,"25,198",0,"219,551"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"48,365",0,"3,859",0,0,263,0,"1,618",0,"5,906",301,0,303,0,304,0,0,844,"5,531",0,0,"9,038",0,"76,332"
               Nueva Ecija University of Science and Technology,"92,327",0,714,0,0,582,0,0,0,"9,487",537,0,887,0,528,0,0,"1,849","9,065",0,0,"17,820",0,"133,796"
               Pampanga Agricultural College,"49,282",0,"1,371",0,0,0,0,"2,791",0,"5,559",334,0,314,0,310,0,0,"2,593","4,741",0,0,"8,306",0,"75,601"
               Philippine Merchant Marine Academy,"32,285",0,883,0,0,70,0,0,0,"3,913",253,0,229,0,228,0,0,"2,281","4,837",0,0,"6,535",0,"51,514"
               Ramon Magsaysay Technological University,"44,668",0,"1,347",0,0,"4,742",0,0,0,"5,523",312,0,542,0,294,0,0,"1,846","5,291",0,0,"11,970",0,"76,535"
               Tarlac College of Agriculture,"49,179",0,0,0,0,420,0,0,0,"5,915",322,0,598,0,307,0,0,"1,476","5,732",0,0,"13,616",0,"77,565"
               Tarlac State University,"63,970",0,0,0,0,221,0,0,0,"7,597",382,0,353,0,369,0,0,"1,423","7,107",0,0,"12,980",0,"94,402"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"418,327",0,"10,480",0,0,"3,872",0,40,0,"49,070","2,845",0,"4,723",0,"2,711",0,0,"13,819","46,330",0,0,"105,703",0,"657,920"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"84,641",0,"1,547",0,0,0,0,0,0,"9,524",519,0,944,0,499,0,0,"4,235","9,664",0,0,"17,458",0,"129,031"
               Cavite State University,"82,608",0,"3,524",0,0,330,0,0,0,"9,332",505,0,862,0,469,0,0,"2,627","7,656",0,0,"19,848",0,"127,761"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"74,327",0,"1,511",0,0,"3,042",0,40,0,"9,038",540,0,894,0,512,0,0,"3,846","9,273",0,0,"18,932",0,"121,955"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"62,685",0,"1,989",0,0,500,0,0,0,"7,308",459,0,739,0,448,0,0,413,"7,987",0,0,"22,117",0,"104,645"
               University of Rizal System,"114,066",0,"1,909",0,0,0,0,0,0,"13,868",822,0,"1,284",0,783,0,0,"2,698","11,750",0,0,"27,348",0,"174,528"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"260,623",0,"9,033",0,0,"1,873",0,0,0,"31,616","1,880",0,"2,855",0,"1,761",0,"1,335","5,794","32,205",0,0,"105,688",0,"454,663"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"26,735",0,370,0,0,0,0,0,0,"3,175",208,0,301,0,176,0,0,601,"3,074",0,0,"7,023",0,"41,663"
               Mindoro State College of Agriculture and Technology,"33,623",0,"3,195",0,0,178,0,0,0,"4,339",246,0,293,0,238,0,0,674,"4,706",0,0,"9,313",0,"56,805"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),"45,115",0,"1,477",0,0,130,0,0,0,"5,490",329,0,553,0,333,0,0,"1,263","6,163",0,0,"12,597",0,"73,450"
               Palawan State University,"58,365",0,974,0,0,0,0,0,0,"7,058",393,0,711,0,378,0,249,"1,631","7,004",0,0,"48,898",0,"125,661"
               Romblon State University (Romblon State College),"50,715",0,311,0,0,"1,189",0,0,0,"6,040",372,0,608,0,321,0,0,653,"6,026",0,0,"14,870",0,"81,105"
               Western Philippines University,"46,070",0,"2,706",0,0,376,0,0,0,"5,514",332,0,389,0,315,0,"1,086",972,"5,232",0,0,"12,987",0,"75,979"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"512,583",0,"19,996",0,0,"6,894",0,"2,791",0,"63,449","3,505",0,"5,066",0,"2,923",0,406,"23,585","59,525",0,0,"157,548",0,"858,271"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"168,940",0,"3,509",0,0,"3,273",0,"1,603",0,"22,140","1,053",0,"2,015",0,"1,038",0,0,"11,173","19,186",0,0,"53,595",0,"287,525"
               Camarines Norte State College,"57,728",0,997,0,0,350,0,0,0,"6,401",440,0,439,0,442,0,0,"1,216","7,029",0,0,"13,159",0,"88,201"
               Camarines Sur Polytechnic Colleges,"37,208",0,751,0,0,0,0,0,0,"4,245",255,0,400,0,139,0,0,"1,321","4,302",0,0,"8,823",0,"57,444"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"71,809",0,"9,761",0,0,"1,388",0,0,0,"8,603",476,0,866,0,358,0,0,"1,227","8,417",0,0,"22,114",0,"125,019"
               Catanduanes State Colleges,"71,917",0,"2,357",0,0,745,0,"1,188",0,"8,702",489,0,526,0,391,0,0,"6,308","8,309",0,0,"28,495",0,"129,427"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"17,449",0,193,0,0,382,0,0,0,"2,121",129,0,80,0,40,0,30,606,"2,114",0,0,"4,921",0,"28,065"
               Partido State University,"40,962",0,"1,202",0,0,0,0,0,0,"5,712",334,0,209,0,219,0,0,"1,002","5,048",0,0,"12,778",0,"67,466"
               Sorsogon State College,"46,570",0,"1,226",0,0,756,0,0,0,"5,525",329,0,531,0,296,0,376,732,"5,120",0,0,"13,663",0,"75,124"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"753,770",0,"14,850",0,0,"11,054",0,"1,390",0,"89,678","5,219",0,"6,824",0,"4,767",0,"1,009","11,032","86,636",0,0,"198,974",0,"1,185,203"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"71,391",0,"3,653",0,0,"1,389",0,0,0,"9,130",540,0,947,0,498,0,774,808,"8,728",0,0,"24,440",0,"122,298"
               Capiz State University,"112,543",0,"1,960",0,0,"4,069",0,0,0,"13,595",765,0,695,0,731,0,0,"1,100","13,182",0,0,"28,392",0,"177,032"
               Carlos C. Hilado Memorial State College,"55,149",0,"1,320",0,0,585,0,0,0,"6,894",392,0,400,0,314,0,128,774,"6,830",0,0,"14,347",0,"87,133"
               Guimaras State College,"12,994",0,390,0,0,0,0,0,0,"1,556",97,0,90,0,93,0,0,416,"1,521",0,0,"3,705",0,"20,862"
               Iloilo State College of Fisheries,"65,730",0,"1,742",0,0,369,0,0,0,"7,747",425,0,678,0,440,0,0,216,"7,746",0,0,"15,071",0,"100,164"
               Negros State College of Agriculture,"18,062",0,215,0,0,0,0,0,0,"2,152",133,0,123,0,125,0,0,233,"2,136",0,0,"4,899",0,"28,078"
               Northern Iloilo Polytechnic State College,"97,681",0,0,0,0,854,0,0,0,"10,167",633,0,916,0,528,0,0,"1,554","9,262",0,0,"21,183",0,"142,778"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"11,974",0,324,0,0,0,0,0,0,"1,397",78,0,139,0,81,0,0,415,"1,400",0,0,"3,132",0,"18,940"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"43,375",0,"1,409",0,0,0,0,0,0,"5,203",312,0,372,0,294,0,0,"1,202","5,053",0,0,"12,610",0,"69,830"
               Western Visayas College of Science and Technology,"92,448",0,"2,278",0,0,647,0,0,0,"11,203",628,0,587,0,605,0,0,"1,005","10,633",0,0,"21,920",0,"141,954"
               West Visayas State University,"172,423",0,"1,559",0,0,"3,141",0,"1,390",0,"20,634","1,216",0,"1,877",0,"1,058",0,107,"3,309","20,145",0,0,"49,275",0,"276,134"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"284,131",0,"1,416",0,0,"1,190",0,0,0,"32,796","1,933",0,"3,049",0,"1,823",0,0,"16,110","32,496",0,0,"88,317",0,"463,261"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"30,988",0,0,0,0,0,0,0,0,"3,621",191,0,343,0,184,0,0,"5,604","3,501",0,0,"7,488",0,"51,920"
               Cebu Techhnological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"114,979",0,0,0,0,0,0,0,0,"13,601",805,0,"1,353",0,776,0,0,"5,852","13,451",0,0,"46,324",0,"197,141"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","56,841",0,920,0,0,0,0,0,0,"6,916",400,0,439,0,353,0,0,"1,760","6,734",0,0,"16,029",0,"90,392"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"65,135",0,201,0,0,514,0,0,0,"6,916",431,0,746,0,410,0,0,"2,112","7,224",0,0,"15,818",0,"99,507"
               Siquijor State College,"16,188",0,295,0,0,676,0,0,0,"1,742",106,0,168,0,100,0,0,782,"1,586",0,0,"2,658",0,"24,301"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"652,428",0,"47,158",0,0,"12,149",0,"2,840",0,"80,564","4,697",0,"5,883",0,"3,962",0,"1,146","34,205","78,450",0,0,"179,765",0,"1,103,247"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"80,095",0,"5,706",0,0,929,0,0,0,"9,694",613,0,824,0,561,0,0,"4,275","9,604",0,0,"27,188",0,"139,489"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"87,159",0,"1,766",0,0,"2,069",0,0,0,"10,614",607,0,923,0,239,0,0,754,"10,045",0,0,"27,924",0,"142,100"
               Leyte Normal University,"40,539",0,387,0,0,73,0,0,0,"5,120",288,0,294,0,268,0,0,"3,164","6,295",0,0,"7,184",0,"63,612"
               Visayas State University (Leyte State University),"122,807",0,"25,758",0,0,"1,614",0,0,0,"16,145",876,0,755,0,859,0,387,"4,916","14,358",0,0,"37,210",0,"225,685"
               Naval Institute of Technology,"33,459",0,"2,079",0,0,0,0,0,0,"4,068",234,0,389,0,226,0,0,590,"4,239",0,0,"9,938",0,"55,222"
               Palompon Institute of Technology,"38,333",0,"2,314",0,0,906,0,0,0,"4,436",260,0,238,0,77,0,0,502,"3,902",0,0,"9,823",0,"60,791"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"59,330",0,"1,287",0,0,518,0,0,0,"7,145",457,0,542,0,435,0,0,"2,257","7,227",0,0,"17,404",0,"96,602"
               Samar State College of Agriculture and Forestry,"9,444",0,441,0,0,177,0,0,0,"1,136",50,0,34,0,34,0,0,767,"1,083",0,0,"2,267",0,"15,433"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"51,521",0,"1,497",0,0,"1,048",0,0,0,"6,161",365,0,415,0,384,0,0,"4,449","6,081",0,0,"12,301",0,"84,222"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"26,264",0,533,0,0,0,0,0,0,"3,146",186,0,172,0,176,0,0,"1,757","2,956",0,0,"5,648",0,"40,838"
