program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Kamanikan-Kalipay Section (LGU equity for DA FMR Program)",-,1000000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Additional Concreting of road leading to KISANDI NHS,Barangay Kianlagan ,400000,-,-,-,195730,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kibuging,300000,-,-,-,285000,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kipontos,300000,-,-,-,285000,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Lawaan,400000,-,-,-,206563,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concteting of road at Langguyod,Barangay Libertad,400000,-,-,-,5679.72,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road leading to GMTC, ",Barangay Lunao,500000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of road leading to Kalumbangan,Barangay Maribucao,200000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at restllement site,"Purok 4, Barangay San Juan",300000,-,-,-,186565.2,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Clearing of proposed road leading to Sikongan Falls,"Kibalisa, Barangay San Juan",10000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Tagpako section (LGU equity for DA FMR Program)",-,200000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at Purok 1,Barangay Talon,300000,-,-,-,143110,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Rehabilitation and Maintenance of Barangay roads,Hinterland Barangays,15000000,-,-,-,7541468.91,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Program for fisherfolks and Coops,-,1052950,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Home Extension Services- Livelihood projects thru subsidy program,-,95994,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Home Extension Services- Support for Nutrition Program,-,4000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Project (Livestock Dispersal),-,300000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Projects under BuB Program (equity),-,9532562,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Community-Based Trainings for Entp. Dev't or Livelihood Assistance,-,200000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Lawi Livelihood Program at 10 Brgys.,-,100000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,OTOP Program Development - Livelihood Program,-,100000,-,-,-,-,-,-
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Heavy Eqpt. Exclusive for the const or impvt or maint of brgy roads (6th year),-,13600000,-,-,-,-,-,-
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Public Market (2nd year),-,21700000,-,-,-,-,-,-
