city_or_municipality,position,name,nickname,party_affiliation,voted_obtained
Dulag,Councilor,"Alicando, Eugenio Garcia",Jun,Puwersa ng Masang Pilipino,8678
Dulag,Councilor,"Tupaz, Marfe Aguillon",Adas,Puwersa ng Masang Pilipino,8686
Dulag,Councilor,"De Veyra, Julia Kabingue",Julia,Lakas-Kampi,9626
Dulag,Councilor,"Dugos, Roubel Pundavela",Bel,Lakas-Kampi,9628
Dulag,Councilor,"Agullo, Jade Artates",Jade,Lakas-Kampi,12842
Hilongos,Mayor,"Roble, Jose Emery Fulache",Joy,B.BAYAN,14454
Hilongos,Vice-Mayor,"Go, Panfilo Ornido",Pamping,Lakas-Kampi,19403
Hilongos,Councilor,"Badilla, Reynaldo Ruiz",N-N,B.BAYAN,7571
Hilongos,Councilor,"Olo, Giovanni Go",Gev,Lakas-Kampi,8052
Hilongos,Councilor,"Flanco, Lamberto R Lor",Dondon,Lakas-Kampi,8259
Hilongos,Councilor,"Villaquer, Garry Flores",Garry,B.BAYAN,9176
Hilongos,Councilor,"Villahermosa, Albert Rubio",Bentong,Lakas-Kampi,9445
Hilongos,Councilor,"Yan, Roseller Arribal",Roy,Independent,9463
Hilongos,Councilor,"Nerves, Lemuel Jan Mular",Jan-Jan,Lakas-Kampi,9492
Hilongos,Councilor,"Gabisan, Miguela Macuto",Inday,Lakas-Kampi,13081
Hindang,Mayor,"Roble, Jose Emery Fulache",Joy,B.BAYAN,14454
Hindang,Vice-Mayor,"Go, Panfilo Ornido",Pamping,Lakas-Kampi,19403
Hindang,Councilor,"Badilla, Reynaldo Ruiz",N-N,B.BAYAN,7571
Hindang,Councilor,"Olo, Giovanni Go",Gev,Lakas-Kampi,8052
Hindang,Councilor,"Flanco, Lamberto R Lor",Dondon,Lakas-Kampi,8259
Hindang,Councilor,"Villaquer, Garry Flores",Garry,B.BAYAN,9176
Hindang,Councilor,"Villahermosa, Albert Rubio",Bentong,Lakas-Kampi,9445
Hindang,Councilor,"Yan, Roseller Arribal",Roy,Independent,9463
Hindang,Councilor,"Nerves, Lemuel Jan Mular",Jan-Jan,Lakas-Kampi,9492
Hindang,Councilor,"Gabisan, Miguela Macuto",Inday,Lakas-Kampi,13081
Inopacan,Mayor,"Lumarda, Silvestre Tilao",Loloy,Liberal Party,5640
Inopacan,Vice-Mayor,"Pua, Rogelio, Jr Dotollo",Jojo,Liberal Party,5682
Inopacan,Councilor,"Joseph, Ernesto Bulacan",Taguloy,Liberal Party,4765
Inopacan,Councilor,"Sumabong, Efren Lucero",Eploy,Lakas-Kampi,4793
Inopacan,Councilor,"De Los Santos, Isabelo Bisnar",Belo,Liberal Party,4817
Inopacan,Councilor,"Buhi, Romeo Lopez",Micmic,Liberal Party,4978
Inopacan,Councilor,"Villas, Lourdes Bisnar",Odette,Liberal Party,4984
Inopacan,Councilor,"Chiong, Ariel Cristino",Archie,Liberal Party,5067
Inopacan,Councilor,"Siao, Diosdado Piamonte",Ados,Liberal Party,5171
Inopacan,Councilor,"Evangelista, Andres Ii Lozano",Dodong,Liberal Party,5199
Isabel,Mayor,"Medina, Saturnino, Jr Manipol",Jun,Lakas-Kampi,14507
Isabel,Vice-Mayor,"Dayandayan, Cherry Colon",Che-Che,Lakas-Kampi,8853
Isabel,Councilor,"Cerillo, Marcos Gregorio Martin",Greg,Liberal Party,9943
Isabel,Councilor,"Bandal, Edgar Funda",Arse,Lakas-Kampi,9944
Isabel,Councilor,"Centino, Flaviano, Jr Castor",Ivan,Lakas-Kampi,10242
Isabel,Councilor,"Galos, Wilfredo Colon",Indoy,Lakas-Kampi,10360
Isabel,Councilor,"Salamat, Abelardo Tamayo",Abe,Independent,10972
Isabel,Councilor,"Tentativa, Dan Antonio Gadin",Dan,Liberal Party,11743
Isabel,Councilor,"Pinar, Nicanor, Jr Cabonegro",Dodong,Lakas-Kampi,14392
Isabel,Councilor,"Alcantara, Godfrey Tiro",Bj,Lakas-Kampi,14967
Jaro,Mayor,"Celebre, Rolando Tualla",Lando,Lakas-Kampi,10711
Jaro,Vice-Mayor,"Arbas, Rodrigo Calumpiano",Rigo,Lakas-Kampi,9865
Jaro,Councilor,"Cabello, Teofilo Cabelin",Teddy,Partido Demokratiko Sosyalista ng Pilipinas,7093
Jaro,Councilor,"Arbas, Bienvenido Garabillo",Beyen,Lakas-Kampi,7182
Jaro,Councilor,"Emnas, Julian Llena",Julie,Partido Demokratiko Sosyalista ng Pilipinas,7551
Jaro,Councilor,"Sanagan, Eduardo Antoni",Bombo,Lakas-Kampi,7803
Jaro,Councilor,"Aure, Rey Pore",Peye,Partido Demokratiko Sosyalista ng Pilipinas,7948
Jaro,Councilor,"Trota, Clara Sabarre",Lala,Lakas-Kampi,8545
Jaro,Councilor,"Gariando, Benjamin, Sr Artoza",Bebot,Lakas-Kampi,8953
Jaro,Councilor,"Elises, Gualberto, Sr Villamor",Onyo,Lakas-Kampi,9815
Javier Bugho,Mayor,"Javier, Leonardo, Jr Morales",Sandy,Liberal Party,9400
Javier Bugho,Vice-Mayor,"Lanoy, Guilbert Malinao",Eting,Liberal Party,9003
Javier Bugho,Councilor,"Paran, Eugeniano Malquisto",Onick,Liberal Party,7059
Javier Bugho,Councilor,"Moreno, Amado Sr Barbarona",Mading,Liberal Party,7420
Javier Bugho,Councilor,"Jordan, Rufino Malasaga Iii",Botchoy,Liberal Party,7598
Javier Bugho,Councilor,"Cinco, Justino Madera",Tony,Liberal Party,7719
Javier Bugho,Councilor,"Papalid, Juan Callido",John,Liberal Party,7721
Javier Bugho,Councilor,"Tano, Loreta Impuesto",Babie,Liberal Party,8047
Javier Bugho,Councilor,"Meras, Celestino Roste",Celing,Liberal Party,8332
Javier Bugho,Councilor,"Rinos, Alberto Abarca",Berto,Liberal Party,8384
Julita,Mayor,"Dy, Irvin Ramos",Toytoy,Lakas-Kampi,3532
Julita,Vice-Mayor,"Daya, Geraldine Sayong",Jenny,Lakas-Kampi,3827
Julita,Councilor,"Remandaban, Nilo Trapela",Nilo,Lakas-Kampi,3089
Julita,Councilor,"Duquiatan, Enrico Escobal",Tatang,Lakas-Kampi,3107
Julita,Councilor,"Silvano, Manuel Jr Adonis",Junle,Liberal Party,3334
Julita,Councilor,"Encarnacion, Ricardo Borromeo",Kadong,Lakas-Kampi,3572
Julita,Councilor,"Tubi, Alicia Ambolario",Diday,Liberal Party,3701
Julita,Councilor,"Grado, Porferio, Jr Capiyoc",Dondoy,Liberal Party,3825
Julita,Councilor,"Robino, Expedito Epil",Dito,Lakas-Kampi,3984
Julita,Councilor,"Cana, Rowena Chan",Rowena,Lakas-Kampi,4318
Kananga,Mayor,"Codilla, Elmer Capahi",Eming,Lakas-Kampi,14808
Kananga,Vice-Mayor,"Lumangtad, Macario, Jr Villamor",Boy,Lakas-Kampi,14371
Kananga,Councilor,"Villar, Ana Florentino",An,Nationalista Party,9307
Kananga,Councilor,"Taganas, Vincent Rey Torda",Vince,Lakas-Kampi,10008
Kananga,Councilor,"Recta, Jose Tryphoon A Dasigan",Opong,Lakas-Kampi,10232
Kananga,Councilor,"Sanchez, Nenito On",Winnie,Lakas-Kampi,10691
Kananga,Councilor,"Capanas, Godfrey Obando",Pdic,Lakas-Kampi,11464
Kananga,Councilor,"Clavel, Marcos Bergantinos",Mark,Lakas-Kampi,11485
Kananga,Councilor,"Borela, Ferdinand Brasilino",Tibo,Nationalista Party,11706
Kananga,Councilor,"Aseo, Lorenzo Mejares",Onsot,Lakas-Kampi,11748
La Paz,Mayor,"Lumen, Lesmes Chan",Lemy,Nationalista Party,5186
La Paz,Vice-Mayor,"Cinco, Joel Custodio",Joel,Lakas-Kampi,4968
La Paz,Councilor,"Cartel, Jose Tolibas",Josing,Lakas-Kampi,3402
La Paz,Councilor,"Condes, Silvino Tan",Berting,Lakas-Kampi,3508
La Paz,Councilor,"Barona, Pio Superio",Pio,Lakas-Kampi,4886
La Paz,Councilor,"Chua, Ricky Chan",Ricky,Liberal Party,4948
La Paz,Councilor,"Lor, Andrea Alberio",Andrea,Nationalista Party,5220
La Paz,Councilor,"Co, Jul Chan",Jul,Independent,5292
La Paz,Councilor,"Go, Jose Macasusi",Joe,Nationalista Party,5432
La Paz,Councilor,"Cernal, Erwin Moquia",Manu,Nationalista Party,5708
Leyte,Mayor,"Ysidoro, Arnold James Mendiola",Noli,Nationalista Party,8202
Leyte,Vice-Mayor,"Gatchalian, Lilette Isidoro",Lilit,Liberal Party,8752
Leyte,Councilor,"Espina, Mariano Digman",Boy,Lakas-Kampi,6953
Leyte,Councilor,"Cabardo, Evelyn Villarin",Belen,Lakas-Kampi,7093
Leyte,Councilor,"Salvacion, Gemma Marquez",Gema,Lakas-Kampi,7471
Leyte,Councilor,"Batang, Cristina Granados",Estin,Lakas-Kampi,7552
Leyte,Councilor,"Ysidoro, Armando Mendiola",Amay,Nationalista Party,7582
Leyte,Councilor,"Benitez, Ramon Jr Delantar",Bebot,Lakas-Kampi,7687
Leyte,Councilor,"Rojas, Roque, Jr Franco",Jun,Lakas-Kampi,7832
Leyte,Councilor,"Durante, Edward Jay Astilla",Jay,Lakas-Kampi,7854
Macarthur,Mayor,"Leria, Rene Ruba",Rene,Lakas-Kampi,4845
Macarthur,Vice-Mayor,"Leria, Leonardo, Sr Balaga",Leonar,Lakas-Kampi,5131
Macarthur,Councilor,"Remanes, Ireneo, Jr Guimoc",Jun,Puwersa ng Masang Pilipino,3300
Macarthur,Councilor,"Cabias, Eduardo Castil",Egwad,Puwersa ng Masang Pilipino,3441
Macarthur,Councilor,"Pantin, Xandrix Pica",Idoy,Puwersa ng Masang Pilipino,3541
Macarthur,Councilor,"Matoza, Roehl Baranda",Owe,Lakas-Kampi,3600
Macarthur,Councilor,"Campos, Lazaro Tomines",Liloy,Lakas-Kampi,3655
Macarthur,Councilor,"Balaga, Alberto Hermoso",Berting,Lakas-Kampi,4220
Macarthur,Councilor,"Algodon, Perlito Raagas",Perling,Lakas-Kampi,4693
Macarthur,Councilor,"Baranda, Jesus Abella",Intoy,Puwersa ng Masang Pilipino,4805
Mahaplag,Mayor,"Lleve, Ronaldo Terol",Lolot,Lakas-Kampi,7812
Mahaplag,Vice-Mayor,"Bartolini, Glenn Honoridez",Glen,Lakas-Kampi,8172
Mahaplag,Councilor,"Dizon, Bernardo Manunog",Bernie,Lakas-Kampi,6271
Mahaplag,Councilor,"Terol, Arcelito Martinez",Lelet,Lakas-Kampi,6327
Mahaplag,Councilor,"Castanarez, Aurelio Llano",Delio,Lakas-Kampi,6477
Mahaplag,Councilor,"Relevo, Jeffrey Mesario",Jeff,Lakas-Kampi,6549
Mahaplag,Councilor,"Dizon, Aida Lleve",Aida,Lakas-Kampi,6572
Mahaplag,Councilor,"Bantaculo, Justina Japon",Tina,Lakas-Kampi,6624
Mahaplag,Councilor,"Abuyabor, Job Dedal",Jobie,Lakas-Kampi,6844
Mahaplag,Councilor,"Aralan, Mar Boja",Mar,Lakas-Kampi,7320
Matag-ob,Mayor,"Torrevillas, Michael Larrazabal",Mike,Lakas-Kampi,5098
Matag-ob,Vice-Mayor,"Pedrano, Agustin, Sr Bojos",Osting,Lakas-Kampi,4809
Matag-ob,Councilor,"Tordillo, Jose Arvin Seco",Dongdong,Liberal Party,4052
Matag-ob,Councilor,"Tampos, Edgardo, Sr Viovicente",Eddie,Lakas-Kampi,4076
Matag-ob,Councilor,"Olorvida, Benjamin, Sr Calvez",Ben,Lakas-Kampi,4107
Matag-ob,Councilor,"Pandac, Alfredo Viovicente",Fredo,Lakas-Kampi,4155
Matag-ob,Councilor,"Seco, Alfredo Denoy",Nisar,Lakas-Kampi,4330
Matag-ob,Councilor,"Denoy, Evangelina Neri",Eva,Lakas-Kampi,4349
Matag-ob,Councilor,"Sanoria, Sergio Encarnacion",Indoy,Lakas-Kampi,4436
Matag-ob,Councilor,"Torrevillas, Bushi Du",Bosyong,Lakas-Kampi,4649
Matalom,Mayor,"Pajulio, Eric Sayson",Eric,Lakas-Kampi,11095
Matalom,Vice-Mayor,"Gado, Constancio Delapena",Tani,Lakas-Kampi,10637
Matalom,Councilor,"Paderes, Joseph Lao",Jojo,Lakas-Kampi,6673
Matalom,Councilor,"Pael, Junevismin Paz",Bansoy,Lakas-Kampi,6942
Matalom,Councilor,"Tan, Alfredo Borong",Fred,Lakas-Kampi,7474
Matalom,Councilor,"Tan, Leonardo Puda",Ogos,Lakas-Kampi,7509
Matalom,Councilor,"Garma, Gregorio Garao",Oyong,Lakas-Kampi,7851
Matalom,Councilor,"Dances, Joseleo, Sr Wabina",Cadong,Lakas-Kampi,8215
Matalom,Councilor,"Siega, Rodrigo Clavez",Rudy,Lakas-Kampi,8271
Matalom,Councilor,"Pajulio, Rodrigo Nadal",Rico,Nationalista Party,9971
Mayorga,Mayor,"Adolfo, Valente Ong",Eboy,Lakas-Kampi,4893
Mayorga,Vice-Mayor,"De Paz, Alexander Salvador",Alex,Lakas-Kampi,5325
Mayorga,Councilor,"Vertulfo, Mateo, Sr Cabero",Budoy,Lakas-Kampi,3593
Mayorga,Councilor,"Beltran, Jairo Calupaz",Jai,Lakas-Kampi,3674
Mayorga,Councilor,"Lagarto, Henry Batis",Totoybibo,Lakas-Kampi,3799
Mayorga,Councilor,"Alpino, Zosimo Iii Abella",Butch,Lakas-Kampi,3906
Mayorga,Councilor,"Sumayod, Joel Calupaz",Joel,Lakas-Kampi,3981
Mayorga,Councilor,"Zabala, Sergio Ibanez",Dodoy,Lakas-Kampi,4113
Mayorga,Councilor,"Saballa, Ronnie Silvio",Bogs,Lakas-Kampi,4230
Mayorga,Councilor,"Advincula, Jose Manacpo",Jules,Lakas-Kampi,4524
Merida,Mayor,"Solana, Marcos Antonio Diwa",Marthon,Lakas-Kampi,8522
Merida,Vice-Mayor,"Dumagsa, Kumar Muertigue",Kumar,Lakas-Kampi,7737
Merida,Councilor,"Itchon, Pepito Fernandez",Pito,Lakas-Kampi,5537
Merida,Councilor,"Arpon, Emmanuel Sta Rosa",Tata,Independent,5703
Merida,Councilor,"Avila, Bonifacio Laborte",Boning,Lakas-Kampi,5909
Merida,Councilor,"Martinez, Jesus Antonio Rodriguez",Tony,Liberal Party,5970
Merida,Councilor,"Guinarez, Igmedio Alkuino",Medio,Liberal Party,5982
Merida,Councilor,"Mendola, Gemmabel Llacuna",Gemma,Lakas-Kampi,6016
Merida,Councilor,"Dejon, Camilo Loro",Nene,Lakas-Kampi,6658
Merida,Councilor,"Solana, Samuel Bobares",Sammy,Lakas-Kampi,6907
Ormoc City,Mayor,"Codilla, Eric Capahi",Beboy,Lakas-Kampi,37661
Ormoc City,Vice-Mayor,"Aparis, Nepomuceno Palana",Nepnep,Lakas-Kampi,35680
Ormoc City,Councilor,"Omega, Rafael, Jr Conopio",Payling,Lakas-Kampi,19712
Ormoc City,Councilor,"Togonon, Demothenes Fiel",Demy,Lakas-Kampi,20934
Ormoc City,Councilor,"Pepito, Sotero Mendoza",Chuchi,Lakas-Kampi,21264
Ormoc City,Councilor,"Alfaro, Jose Jr Codilla",Pepe,Lakas-Kampi,21780
Ormoc City,Councilor,"Maglasang, Filomeno Pepito",Menoy,Lakas-Kampi,22068
Ormoc City,Councilor,"Villar, Lea Doris Capuyan",Lea,Lakas-Kampi,22099
Ormoc City,Councilor,"Rodriguez, Mario Mejia",Mayong,Independent,23193
Ormoc City,Councilor,"Larrazabal, Claudio Pongos",Dudy,Lakas-Kampi,23985
Ormoc City,Councilor,"Villasencio, Rolando Marson",Lando,Liberal Party,24895
Ormoc City,Councilor,"Capahi, Ruben Ruflo",Bingo,Lakas-Kampi,27068
Palo,Mayor,"Petilla, Remedios Loreto",Matin,Liberal Party,13696
Palo,Vice-Mayor,"Dolina, Jose Campo",Joe,Liberal Party,12901
Palo,Councilor,"Estoya, Sotero, Jr Domilom",Jun,Lakas-Kampi,8797
Palo,Councilor,"Ilagan, Raul Miranda",Raul,Lakas-Kampi,8830
Palo,Councilor,"Nalda, Myra Valera",My,Liberal Party,9037
Palo,Councilor,"Yu, Jaime Holanda",Mikie,Liberal Party,9669
Palo,Councilor,"Agner, Ciriaco, Jr Dumas",Junie,Liberal Party,11207
Palo,Councilor,"Lejarde, Rey Anthony Yu",Rey,Liberal Party,11292
Palo,Councilor,"Reposar, Ronnan C Mora",Bolingling,Liberal Party,11817
Palo,Councilor,"Uy, Wilson Sia",Sonuy,Liberal Party,12694
Palompon,Mayor,"Onate, Ramon Chu",Mon,Liberal Party,15222
Palompon,Vice-Mayor,"Arevalo, Myra Georgina Laurente",Georg,Liberal Party,14397
Palompon,Councilor,"Patalinghug, Reubin Basarte",Ruben,Liberal Party,12131
Palompon,Councilor,"Dela Calzada, Ferdinand Tabernero",Ferdie,Liberal Party,12248
