region,province,city_or_municipality,existing_establishment_number_of_aes,existing_establishment_number_of_rooms,existing_establishment_expension_rooms,under_construction_estblishment_number_of_aes,under_construction_estblishment_number_of_rooms,total_number_of_aes,total_number_of_rooms
II (Cagayan Valley),Quirino,Maddela,2,26,0,0,0,2,26
III (Central Luzon),Bataan,Abucay,2,51,0,0,0,2,51
III (Central Luzon),Bataan,Bagac,8,270,0,0,0,8,270
III (Central Luzon),Bataan,Balanga City,10,263,0,0,0,10,263
III (Central Luzon),Bataan,Hermosa,2,22,0,0,0,2,22
III (Central Luzon),Bataan,Limay,0,0,0,1,6,1,6
III (Central Luzon),Bataan,Mariveles,10,110,0,0,0,10,110
III (Central Luzon),Bataan,Morong,32,604,4,0,0,32,608
III (Central Luzon),Bataan,Orani,2,20,5,1,34,3,59
III (Central Luzon),Bataan,Orion,3,27,0,1,62,4,89
III (Central Luzon),Bataan,Pilar,2,35,4,0,0,2,39
III (Central Luzon),Bulacan,Angat,1,4,0,0,0,1,4
III (Central Luzon),Bulacan,Balagtas,8,130,5,0,0,8,135
III (Central Luzon),Bulacan,Baliuag,5,128,20,0,0,5,148
III (Central Luzon),Bulacan,Bocaue,3,63,0,0,0,3,63
III (Central Luzon),Bulacan,Bulacan,3,41,3,0,0,3,44
III (Central Luzon),Bulacan,Bustos,5,138,42,0,0,5,180
III (Central Luzon),Bulacan,Calumpit,7,175,2,0,0,7,177
III (Central Luzon),Bulacan,Guiguinto,2,33,0,0,0,2,33
III (Central Luzon),Bulacan,Malolos City,12,419,0,0,0,12,419
III (Central Luzon),Bulacan,Marilao,12,295,0,0,0,12,295
III (Central Luzon),Bulacan,Meycauayan City,7,136,0,0,0,7,136
III (Central Luzon),Bulacan,Norzagaray,5,53,9,0,0,5,62
III (Central Luzon),Bulacan,Pandi,4,123,0,0,0,4,123
III (Central Luzon),Bulacan,Paombong,1,10,0,0,0,1,10
III (Central Luzon),Bulacan,Plaridel,2,50,0,0,0,2,50
III (Central Luzon),Bulacan,Pulilan,13,174,3,0,0,13,177
III (Central Luzon),Bulacan,San Ildefonso,1,5,0,0,0,1,5
III (Central Luzon),Bulacan,San Jose del Monte City,7,116,0,0,0,7,116
III (Central Luzon),Bulacan,San Miguel,1,13,0,0,0,1,13
III (Central Luzon),Bulacan,San Rafael,5,104,0,0,0,5,104
III (Central Luzon),Bulacan,Santa Maria,6,69,0,0,0,6,69
III (Central Luzon),Pampanga,Apalit,4,39,0,0,0,4,39
III (Central Luzon),Pampanga,Bacolor,3,97,0,0,0,3,97
III (Central Luzon),Pampanga,Candaba,1,29,0,0,0,1,29
III (Central Luzon),Pampanga,Guagua,2,25,0,0,0,2,25
III (Central Luzon),Pampanga,Lubao,3,45,0,0,0,3,45
III (Central Luzon),Pampanga,Mabalacat,9,192,0,0,0,9,192
III (Central Luzon),Pampanga,Mexico,1,25,0,0,0,1,25
III (Central Luzon),Pampanga,Porac,1,87,0,0,0,1,87
III (Central Luzon),Pampanga,San Fernando City,18,699,3,0,0,18,702
III (Central Luzon),Pampanga,San Simon,1,4,0,0,0,1,4
III (Central Luzon),Pampanga,Santo Tomas,1,30,0,0,0,1,30
III (Central Luzon),Zambales,Botolan,4,68,0,0,0,4,68
III (Central Luzon),Zambales,Cabangan,4,118,4,0,0,4,122
III (Central Luzon),Zambales,Candelaria,12,250,2,0,0,12,252
III (Central Luzon),Zambales,Castillejos,1,10,0,0,0,1,10
III (Central Luzon),Zambales,Iba,18,361,3,0,0,18,364
III (Central Luzon),Zambales,Masinloc,3,27,12,0,0,3,39
III (Central Luzon),Zambales,Palauig,5,59,13,0,0,5,72
III (Central Luzon),Zambales,San Felipe,0,0,0,1,9,1,9
III (Central Luzon),Zambales,San Narciso,3,86,0,0,0,3,86
III (Central Luzon),Zambales,Santa Cruz,3,43,0,1,4,4,47
III (Central Luzon),Zambales,Subic,5,239,0,0,0,5,239
III (Central Luzon),Angeles City,Angeles City,122,5970,25,5,252,127,6247
III (Central Luzon),Olongapo City,Olongapo City,84,2840,422,4,312,88,3574
IV-A (CALABARZON),Batangas,Calatagan,16,217,0,0,0,16,217
IV-A (CALABARZON),Batangas,Lian,32,343,3,0,0,32,346
IV-A (CALABARZON),Batangas,Lobo,22,149,0,0,0,22,149
IV-A (CALABARZON),Batangas,Mabini,25,547,0,1,16,26,563
IV-A (CALABARZON),Batangas,Nasugbu,4,264,0,0,0,4,264
IV-A (CALABARZON),Batangas,San Juan,44,595,0,0,0,44,595
IV-A (CALABARZON),Cavite,Alfonso,4,62,0,0,0,4,62
IV-A (CALABARZON),Cavite,Cavite City,1,20,0,0,0,1,20
IV-A (CALABARZON),Cavite,Tagaytay City,100,2050,9,3,126,103,2185
IV-A (CALABARZON),Cavite,Ternate,8,198,32,0,0,8,230
IV-A (CALABARZON),Laguna,Calamba City,47,692,0,0,0,47,692
IV-A (CALABARZON),Laguna,Los Banos,39,303,0,0,0,39,303
IV-A (CALABARZON),Laguna,Pagsanjan,6,81,0,0,0,6,81
IV-B (MIMAROPA),Marinduque,Boac,10,112,15,0,0,10,127
IV-B (MIMAROPA),Marinduque,Gasan,1,6,0,1,7,2,13
IV-B (MIMAROPA),Oriental Mindoro,Calapan City,13,217,0,0,0,13,217
IV-B (MIMAROPA),Oriental Mindoro,Puerto Galera,105,2028,12,0,0,105,2040
IV-B (MIMAROPA),Oriental Mindoro,Socorro,1,27,0,1,27,2,54
IV-B (MIMAROPA),Palawan,Busuanga,18,107,16,0,0,18,123
IV-B (MIMAROPA),Palawan,Coron,58,786,219,6,1064,64,2069
IV-B (MIMAROPA),Palawan,El Nido,81,765,27,3,64,84,856
IV-B (MIMAROPA),Palawan,Narra,11,120,0,0,0,11,120
IV-B (MIMAROPA),Palawan,Roxas,10,127,17,0,0,10,144
IV-B (MIMAROPA),Palawan,San Vicente,28,185,5,0,0,28,190
IV-B (MIMAROPA),Palawan,Taytay,13,194,0,0,0,13,194
IV-B (MIMAROPA),Puerto Princesa City,Puerto Princesa City,168,2923,121,5,389,173,3433
V (Bicol Region),Albay,Bacacay,5,132,27,0,0,5,159
V (Bicol Region),Albay,Camalig,1,18,0,0,0,1,18
V (Bicol Region),Albay,Daraga,16,269,29,0,0,16,298
V (Bicol Region),Albay,Guinobatan,2,31,4,0,0,2,35
V (Bicol Region),Albay,Legazpi City,48,1403,79,1,19,49,1501
V (Bicol Region),Albay,Ligao City,5,64,0,0,0,5,64
V (Bicol Region),Albay,Malilipot,1,8,6,0,0,1,14
V (Bicol Region),Albay,Malinao,2,15,5,0,0,2,20
V (Bicol Region),Albay,Oas,1,33,10,0,0,1,43
V (Bicol Region),Albay,Pio Duran,3,11,3,0,0,3,14
V (Bicol Region),Albay,Polangui,10,71,5,0,0,10,76
V (Bicol Region),Albay,Santo Domingo,16,223,13,0,0,16,236
V (Bicol Region),Albay,Tabaco City,13,326,0,0,0,13,326
V (Bicol Region),Albay,Tiwi,4,42,0,0,0,4,42
V (Bicol Region),Camarines Norte,Basud,1,12,6,0,0,1,18
V (Bicol Region),Camarines Norte,Capalonga,2,24,0,0,0,2,24
V (Bicol Region),Camarines Norte,Daet,24,422,0,0,0,24,422
V (Bicol Region),Camarines Norte,Jose Panganiban,6,69,0,0,0,6,69
V (Bicol Region),Camarines Norte,Labo,3,41,0,0,0,3,41
V (Bicol Region),Camarines Norte,Mercedes,3,17,0,0,0,3,17
V (Bicol Region),Camarines Norte,Paracale,4,34,0,0,0,4,34
V (Bicol Region),Camarines Norte,Santa Elena,5,22,12,0,0,5,34
V (Bicol Region),Camarines Norte,Talisay,1,55,0,0,0,1,55
V (Bicol Region),Camarines Sur,Baao,2,22,0,0,0,2,22
V (Bicol Region),Camarines Sur,Balatan,3,10,0,0,0,3,10
V (Bicol Region),Camarines Sur,Bato,1,13,0,0,0,1,13
V (Bicol Region),Camarines Sur,Bombon,1,12,0,0,0,1,12
V (Bicol Region),Camarines Sur,Buhi,5,50,0,0,0,5,50
V (Bicol Region),Camarines Sur,Bula,1,9,0,0,0,1,9
V (Bicol Region),Camarines Sur,Calabanga,3,34,0,0,0,3,34
V (Bicol Region),Camarines Sur,Camaligan,1,40,0,0,0,1,40
V (Bicol Region),Camarines Sur,Canaman,1,3,0,0,0,1,3
V (Bicol Region),Camarines Sur,Caramoan,59,524,10,1,4,60,538
V (Bicol Region),Camarines Sur,del Gallego,1,5,0,0,0,1,5
V (Bicol Region),Camarines Sur,Goa,8,51,0,0,0,8,51
V (Bicol Region),Camarines Sur,Iriga City,10,144,0,0,0,10,144
V (Bicol Region),Camarines Sur,Lagonoy,1,19,0,0,0,1,19
V (Bicol Region),Camarines Sur,Libmanan,2,8,0,0,0,2,8
V (Bicol Region),Camarines Sur,Milaor,1,10,0,0,0,1,10
V (Bicol Region),Camarines Sur,Nabua,4,86,0,0,0,4,86
V (Bicol Region),Camarines Sur,Naga City,41,1446,0,0,0,41,1446
V (Bicol Region),Camarines Sur,Pamplona,2,16,0,0,0,2,16
V (Bicol Region),Camarines Sur,Pasacao,18,111,0,1,6,19,117
V (Bicol Region),Camarines Sur,Pili,8,164,0,1,2,9,166
V (Bicol Region),Camarines Sur,Presentacion,1,2,0,0,0,1,2
V (Bicol Region),Camarines Sur,Ragay,2,12,0,0,0,2,12
V (Bicol Region),Camarines Sur,Sagnay,16,65,2,0,0,16,67
V (Bicol Region),Camarines Sur,San Fernando,1,4,0,0,0,1,4
V (Bicol Region),Camarines Sur,San Jose,5,59,0,0,0,5,59
V (Bicol Region),Camarines Sur,Sipocot,6,86,0,0,0,6,86
V (Bicol Region),Camarines Sur,Tigaon,5,37,0,0,0,5,37
V (Bicol Region),Camarines Sur,Tinambac,9,368,2,0,0,9,370
V (Bicol Region),Catanduanes,Baras,1,10,0,0,0,1,10
V (Bicol Region),Catanduanes,San Andres,2,8,16,0,0,2,24
V (Bicol Region),Catanduanes,Viga,3,29,0,0,0,3,29
V (Bicol Region),Catanduanes,Virac,11,198,18,0,0,11,216
V (Bicol Region),Masbate,Aroroy,3,56,0,0,0,3,56
V (Bicol Region),Masbate,Baleno,1,20,0,0,0,1,20
V (Bicol Region),Masbate,Balud,1,7,0,0,0,1,7
V (Bicol Region),Masbate,Cataingan,1,4,0,1,20,2,24
V (Bicol Region),Masbate,Cawayan,1,13,0,1,8,2,21
V (Bicol Region),Masbate,Mandaon,1,3,0,1,5,2,8
V (Bicol Region),Masbate,Masbate City,19,336,28,0,0,19,364
V (Bicol Region),Masbate,Milagros,1,20,0,0,0,1,20
V (Bicol Region),Masbate,Mobo,4,80,2,0,0,4,82
V (Bicol Region),Masbate,Monreal,3,22,4,1,3,4,29
V (Bicol Region),Masbate,Palanas,2,6,8,0,0,2,14
V (Bicol Region),Masbate,Pio V. Corpuz,2,6,6,0,0,2,12
V (Bicol Region),Masbate,Placer,4,23,9,0,0,4,32
V (Bicol Region),Masbate,San Fernando,5,19,2,0,0,5,21
V (Bicol Region),Masbate,San Jacinto,6,46,1,0,0,6,47
V (Bicol Region),Sorsogon,Bulan,9,70,16,0,0,9,86
V (Bicol Region),Sorsogon,Bulusan,3,12,5,0,0,3,17
V (Bicol Region),Sorsogon,Donsol,15,205,3,0,0,15,208
V (Bicol Region),Sorsogon,Gubat,4,87,0,0,0,4,87
V (Bicol Region),Sorsogon,Irosin,5,25,4,0,0,5,29
V (Bicol Region),Sorsogon,Juban,1,9,0,0,0,1,9
V (Bicol Region),Sorsogon,Magallanes,0,0,0,1,9,1,9
V (Bicol Region),Sorsogon,Matnog,3,23,0,1,3,4,26
V (Bicol Region),Sorsogon,Pilar,5,28,10,1,4,6,42
V (Bicol Region),Sorsogon,Santa Magdalena,1,3,0,1,0,2,3
V (Bicol Region),Sorsogon,Sorsogon City,22,429,16,1,47,23,492
VI (Western Visayas),Aklan,Kalibo,29,487,45,1,37,30,569
VI (Western Visayas),Aklan,Malay (Boracay Island),358,7751,1554,22,1118,380,10423
VI (Western Visayas),Antique,Culasi,8,73,30,0,0,8,103
VI (Western Visayas),Antique,Pandan,7,41,13,0,0,7,54
VI (Western Visayas),Antique,Tibiao,3,23,5,0,0,3,28
VI (Western Visayas),Capiz,Dao,1,12,0,0,0,1,12
VI (Western Visayas),Capiz,Dumalag,1,7,0,0,0,1,7
VI (Western Visayas),Capiz,Ivisan,6,62,16,0,0,6,78
VI (Western Visayas),Capiz,Jamindan,1,5,0,0,0,1,5
VI (Western Visayas),Capiz,Mambusao,1,9,0,0,0,1,9
VI (Western Visayas),Capiz,Pilar,1,3,0,0,0,1,3
VI (Western Visayas),Capiz,Pontevedra,2,31,7,0,0,2,38
VI (Western Visayas),Capiz,Roxas City,44,702,43,0,0,44,745
VI (Western Visayas),Capiz,Sigma,2,8,10,0,0,2,18
VI (Western Visayas),Guimaras,Buenavista,10,69,0,0,0,10,69
VI (Western Visayas),Guimaras,Jordan,12,148,0,0,0,12,148
VI (Western Visayas),Guimaras,Nueva Valencia,13,200,17,0,0,13,217
VI (Western Visayas),Guimaras,San Lorenzo,1,6,0,0,0,1,6
VI (Western Visayas),Guimaras,Sibunag,6,111,0,0,0,6,111
VI (Western Visayas),Negros Occidental,Silay City,9,116,0,0,0,9,116
VI (Western Visayas),Bacolod City,Bacolod City,59,2685,0,0,0,59,2685
VI (Western Visayas),Iloilo City,Iloilo City,61,2651,0,1,42,62,2693
VII (Central Visayas),Bohol,Alicia,1,3,0,0,0,1,3
VII (Central Visayas),Bohol,Anda,16,129,40,0,0,16,169
VII (Central Visayas),Bohol,Baclayon,20,155,68,0,0,20,223
VII (Central Visayas),Bohol,Batuan,2,10,0,0,0,2,10
VII (Central Visayas),Bohol,Bien Unido,1,10,0,0,0,1,10
VII (Central Visayas),Bohol,Bilar,3,15,5,0,0,3,20
VII (Central Visayas),Bohol,Buenavista,1,11,0,0,0,1,11
VII (Central Visayas),Bohol,Calape,5,35,10,1,2,6,47
VII (Central Visayas),Bohol,Candijay,1,8,6,0,0,1,14
VII (Central Visayas),Bohol,Carmen,4,41,0,0,0,4,41
VII (Central Visayas),Bohol,Catigbian,2,8,4,0,0,2,12
VII (Central Visayas),Bohol,Clarin,3,20,4,0,0,3,24
VII (Central Visayas),Bohol,Dagohoy,3,19,0,0,0,3,19
VII (Central Visayas),Bohol,Danao,5,46,12,0,0,5,58
VII (Central Visayas),Bohol,Dauis,27,514,66,0,0,27,580
VII (Central Visayas),Bohol,Dimiao,1,6,4,0,0,1,10
VII (Central Visayas),Bohol,Duero,1,2,0,0,0,1,2
VII (Central Visayas),Bohol,Garcia Hernandez,1,3,0,0,0,1,3
VII (Central Visayas),Bohol,Guindulman,3,30,1,0,0,3,31
VII (Central Visayas),Bohol,Jagna,9,67,6,0,0,9,73
VII (Central Visayas),Bohol,Jetafe,2,6,6,0,0,2,12
VII (Central Visayas),Bohol,Lila,2,6,4,0,0,2,10
VII (Central Visayas),Bohol,Loay,1,10,0,0,0,1,10
VII (Central Visayas),Bohol,Loboc,6,66,0,0,0,6,66
VII (Central Visayas),Bohol,Loon,5,64,0,0,0,5,64
VII (Central Visayas),Bohol,Maribojoc,9,33,25,0,0,9,58
VII (Central Visayas),Bohol,Panglao,119,1875,704,16,647,135,3226
VII (Central Visayas),Bohol,Pilar,2,20,6,0,0,2,26
VII (Central Visayas),Bohol,Sagbayan,3,57,0,0,0,3,57
VII (Central Visayas),Bohol,Sierra Bullones,1,10,0,0,0,1,10
VII (Central Visayas),Bohol,Tagbilaran City,70,1204,210,0,0,70,1414
VII (Central Visayas),Bohol,Talibon,12,130,37,0,0,12,167
VII (Central Visayas),Bohol,Tubigon,11,94,20,0,0,11,114
VII (Central Visayas),Bohol,Ubay,10,140,12,0,0,10,152
VII (Central Visayas),Bohol,Valencia,3,27,0,1,22,4,49
