particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"3,021,724",0,"477,173",0,0,0,0,0,"362,656",0,"14,979",0,"29,213",0,"14,965",0,"209,831","314,106",0,0,"381,101",0,"4,825,748"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"3,021,724",0,"477,173",0,0,0,0,0,"362,656",0,"14,979",0,"29,213",0,"14,965",0,"209,831","314,106",0,0,"381,101",0,"4,825,748"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"2,254,165",0,"72,617",0,0,0,0,0,"270,578",0,"12,238",0,"23,581",0,"12,054",0,"38,724","238,629",0,0,"378,151",0,"3,300,737"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,572,172",0,"65,261",0,0,0,0,0,"188,706",0,"8,749",0,"16,612",0,"8,606",0,"22,064","167,360",0,0,"280,285",0,"2,329,815"
          Agricultural Credit Policy Council,"12,677",0,0,0,0,0,0,0,"1,522",0,44,0,95,0,44,0,"2,036","1,237",0,0,"1,113",0,"18,768"
          Bureau of Fisheries and Aquatic Resources,"287,913",0,"4,293",0,0,0,0,0,"34,568",0,"1,595",0,"3,026",0,"1,571",0,"4,932","30,580",0,0,"41,255",0,"409,733"
          Cotton Development Administration,"32,323",0,0,0,0,0,0,0,"3,879",0,146,0,327,0,146,0,"1,328","3,299",0,0,"3,712",0,"45,160"
          Fertilizer and Pesticide Authority,"20,720",0,112,0,0,0,0,0,"2,489",0,92,0,199,0,92,0,768,"2,103",0,0,"2,304",0,"28,879"
          Fiber Industry Development Authority,"110,163",0,734,0,0,0,0,0,"13,223",0,566,0,"1,172",0,561,0,"1,284","11,531",0,0,"14,351",0,"153,585"
          Livestock Development Council,"5,909",0,355,0,0,0,0,0,710,0,30,0,59,0,30,0,420,613,0,0,736,0,"8,862"
          National Agricultural and Fishery Council,"30,101",0,"1,862",0,0,0,0,0,"3,613",0,147,0,303,0,145,0,348,"3,119",0,0,"3,736",0,"43,374"
          National Meat Inspection Service,"96,847",0,0,0,0,0,0,0,"11,623",0,438,0,972,0,437,0,"2,136","9,892",0,0,"11,164",0,"133,509"
          Philippine Carabao Center,"48,894",0,0,0,0,0,0,0,"5,870",0,273,0,479,0,264,0,"1,968","5,207",0,0,"6,906",0,"69,861"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"36,446",0,0,0,0,0,0,0,"4,375",0,158,0,337,0,158,0,"1,440","3,688",0,0,"12,589",0,"59,191"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"239,264",0,"19,766",0,0,0,0,0,"28,731",0,940,0,"2,066",0,941,0,"18,461","23,761",0,0,"23,603",0,"357,533"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"239,264",0,"5,700",0,0,0,0,0,"28,731",0,940,0,"2,066",0,941,0,"18,461","23,761",0,0,"23,603",0,"343,467"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,0,0,"14,066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,066"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"121,079,220",0,"892,616","12,246,269",0,0,0,0,"14,532,213",0,"670,524",0,"1,394,700",0,"668,490",0,"95,679","12,876,113",0,0,"17,246,699",0,"181,702,523"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"121,008,730",0,"892,583","12,246,269",0,0,0,0,"14,523,749",0,"670,111",0,"1,393,964",0,"668,086",0,"91,088","12,868,533",0,0,"17,236,317",0,"181,599,430"
          National Book Development Board,"6,295",0,0,0,0,0,0,0,757,0,30,0,58,0,29,0,"2,028",642,0,0,707,0,"10,546"
          National Council for Children's Television,"1,401",0,0,0,0,0,0,0,169,0,5,0,12,0,5,0,168,137,0,0,124,0,"2,021"
          National Museum,"54,091",0,0,0,0,0,0,0,"6,493",0,335,0,577,0,327,0,"1,852","5,900",0,0,"8,478",0,"78,053"
          Philippine High School for the Arts,"8,703",0,33,0,0,0,0,0,"1,045",0,43,0,89,0,43,0,543,901,0,0,"1,073",0,"12,473"
,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"14,300,665",0,"402,839","6,041",0,0,0,0,"1,716,319",0,"67,980",0,"138,894",0,"67,096",0,"570,807","1,473,498",0,0,"1,878,149",0,"20,622,288"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"4,616,092",0,"184,284",0,0,0,0,0,"553,948",0,"19,381",0,"40,530",0,"19,248",0,"368,973","464,692",0,0,"630,029",0,"6,897,177"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"80,785",0,"1,462",0,0,0,0,0,"9,697",0,397,0,848,0,392,0,"2,196","8,375",0,0,"10,083",0,"114,235"
               Marikina Polytechnic College,"35,837",0,852,0,0,0,0,0,"4,301",0,216,0,415,0,213,0,778,"3,887",0,0,"5,569",0,"52,068"
               Philippine Normal University,"146,183",0,"2,960",0,0,0,0,0,"17,544",0,598,0,"1,271",0,591,0,"53,990","14,671",0,0,"15,463",0,"253,271"
               Philippine State College of Aeronautics,"34,326",0,243,0,0,0,0,0,"4,120",0,180,0,373,0,178,0,"1,797","3,612",0,0,"4,612",0,"49,441"
               Polytechnic University of the Philippines,"423,805",0,"24,508",0,0,0,0,0,"50,859",0,"2,057",0,"4,245",0,"2,035",0,"75,245","43,879",0,0,"52,829",0,"679,462"
               Rizal Technological University,"104,072",0,"2,130",0,0,0,0,0,"12,491",0,492,0,"1,057",0,487,0,"8,358","10,716",0,0,"12,638",0,"152,441"
               Technological University of the Philippines,"208,881",0,"4,133",0,0,0,0,0,"25,069",0,"1,013",0,"2,120",0,"1,007",0,"31,295","21,620",0,0,"25,957",0,"321,095"
               University of the Philippines System,"3,582,203",0,"147,996",0,0,0,0,0,"429,867",0,"14,428",0,"30,201",0,"14,345",0,"195,314","357,932",0,0,"502,878",0,"5,275,164"
,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"797,172",0,"14,822",0,0,0,0,0,"95,671",0,"4,015",0,"8,034",0,"3,949",0,"14,003","83,130",0,0,"102,826",0,"1,123,622"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"266,798",0,"4,072",0,0,0,0,0,"32,018",0,"1,319",0,"2,635",0,"1,301",0,"3,007","27,721",0,0,"33,778",0,"372,649"
               Ilocos Sur Polytechnic State College,"65,058",0,"1,214",0,0,0,0,0,"7,808",0,380,0,738,0,370,0,677,"7,002",0,0,"9,742",0,"92,989"
               Mariano Marcos State University,"172,093",0,"4,869",0,0,0,0,0,"20,654",0,892,0,"1,756",0,876,0,"3,506","18,050",0,0,"22,856",0,"245,552"
               North Luzon Philippines State College,"12,381",0,476,0,0,0,0,0,"1,486",0,68,0,143,0,67,0,173,"1,312",0,0,"1,748",0,"17,854"
               Pangasinan State University,"143,551",0,"2,479",0,0,0,0,0,"17,228",0,715,0,"1,433",0,704,0,"4,451","14,941",0,0,"18,297",0,"203,799"
               University of Northern Philippines,"137,291",0,"1,712",0,0,0,0,0,"16,477",0,641,0,"1,329",0,631,0,"2,189","14,104",0,0,"16,405",0,"190,779"
,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"377,825",0,"5,326",0,0,0,0,0,"45,348",0,"1,961",0,"3,913",0,"1,938",0,"18,239","39,628",0,0,"50,004",0,"544,182"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"44,103",0,"1,135",0,0,0,0,0,"5,294",0,234,0,473,0,231,0,"3,465","4,644",0,0,"5,942",0,"65,521"
               Apayao State College,"24,186",0,"1,899",0,0,0,0,0,"2,903",0,128,0,270,0,127,0,485,"2,546",0,0,"3,255",0,"35,799"
               Benguet State University,"168,156",0,"1,669",0,0,0,0,0,"20,182",0,857,0,"1,668",0,845,0,"6,033","17,577",0,0,"21,875",0,"238,862"
               Ifugao State University,"58,834",0,0,0,0,0,0,0,"7,061",0,306,0,606,0,303,0,"3,850","6,174",0,0,"7,861",0,"84,995"
               Kalinga-Apayao State College,"41,805",0,355,0,0,0,0,0,"5,018",0,216,0,445,0,214,0,"3,148","4,380",0,0,"5,495",0,"61,076"
               Mountain Province State Polytechnic College,"40,741",0,268,0,0,0,0,0,"4,890",0,220,0,451,0,218,0,"1,258","4,307",0,0,"5,576",0,"57,929"
,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"621,994",0,"11,823",0,0,0,0,0,"74,654",0,"2,967",0,"6,088",0,"2,907",0,"13,287","64,149",0,0,"76,182",0,"874,051"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"9,701",0,"1,872",0,0,0,0,0,"1,165",0,56,0,110,0,55,0,264,"1,039",0,0,"1,494",0,"15,756"
               Cagayan State University,"192,566",0,"3,994",0,0,0,0,0,"23,110",0,929,0,"1,903",0,909,0,"4,938","19,914",0,0,"23,809",0,"272,072"
               Isabela State University,"270,504",0,"4,180",0,0,0,0,0,"32,466",0,"1,242",0,"2,572",0,"1,220",0,"3,321","27,702",0,0,"31,998",0,"375,205"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"128,033",0,"1,619",0,0,0,0,0,"15,368",0,626,0,"1,274",0,610,0,"3,986","13,261",0,0,"16,016",0,"180,793"
               Quirino State College,"21,190",0,158,0,0,0,0,0,"2,545",0,114,0,229,0,113,0,778,"2,233",0,0,"2,865",0,"30,225"
,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"943,640",0,"11,956",0,0,0,0,0,"113,271",0,"4,743",0,"9,568",0,"4,665",0,"18,266","98,305",0,0,"123,063",0,"1,327,477"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"19,979",0,"1,075",0,0,0,0,0,"2,399",0,112,0,212,0,110,0,"1,879","2,126",0,0,"2,876",0,"30,768"
               Bataan Peninsula State University,"92,623",0,"2,060",0,0,0,0,0,"11,118",0,500,0,"1,039",0,497,0,"1,013","9,786",0,0,"12,824",0,"131,460"
               Central Luzon State University,"191,731",0,804,0,0,0,0,0,"23,011",0,"1,003",0,"1,855",0,974,0,"1,706","20,144",0,0,"26,624",0,"267,852"
               Bulacan State University,"121,793",0,401,0,0,0,0,0,"14,619",0,563,0,"1,227",0,558,0,"2,743","12,487",0,0,"14,391",0,"168,782"
               Bulacan Agricultural State College,"28,479",0,179,0,0,0,0,0,"3,420",0,148,0,309,0,148,0,324,"2,986",0,0,"3,747",0,"39,740"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"63,043",0,"2,159",0,0,0,0,0,"7,568",0,282,0,625,0,281,0,782,"6,421",0,0,"7,213",0,"88,374"
               Nueva Ecija University of Science and Technology,"108,255",0,715,0,0,0,0,0,"12,995",0,517,0,"1,075",0,511,0,"1,595","11,166",0,0,"13,227",0,"150,056"
               Pampanga Agricultural College,"62,945",0,"1,235",0,0,0,0,0,"7,557",0,325,0,637,0,319,0,"2,713","6,593",0,0,"9,054",0,"91,378"
               Philippine Merchant Marine Academy,"40,288",0,883,0,0,0,0,0,"4,837",0,244,0,427,0,233,0,"2,209","4,369",0,0,"6,298",0,"59,788"
               Ramon Magsaysay Technological University,"62,112",0,"1,559",0,0,0,0,0,"7,455",0,324,0,667,0,319,0,"1,365","6,519",0,0,"8,297",0,"88,617"
               Tarlac College of Agriculture,"63,207",0,372,0,0,0,0,0,"7,588",0,308,0,608,0,302,0,937,"6,546",0,0,"7,862",0,"87,730"
               Tarlac State University,"89,185",0,514,0,0,0,0,0,"10,704",0,417,0,887,0,413,0,"1,000","9,162",0,0,"10,650",0,"122,932"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"574,648",0,"11,935",0,0,0,0,0,"68,972",0,"2,991",0,"6,220",0,"2,954",0,"7,897","60,309",0,0,"76,524",0,"812,450"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"123,581",0,"2,086",0,0,0,0,0,"14,833",0,638,0,"1,324",0,632,0,"1,468","12,953",0,0,"16,594",0,"174,109"
               Cavite State University,"111,908",0,"3,674",0,0,0,0,0,"13,433",0,577,0,"1,147",0,565,0,"2,101","11,718",0,0,"14,696",0,"159,819"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"99,679",0,"3,533",0,0,0,0,0,"11,963",0,537,0,"1,130",0,532,0,864,"10,539",0,0,"13,699",0,"142,476"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"84,297",0,900,0,0,0,0,0,"10,119",0,424,0,899,0,419,0,806,"8,784",0,0,"10,801",0,"117,449"
               University of Rizal System,"155,183",0,"1,742",0,0,0,0,0,"18,624",0,815,0,"1,720",0,806,0,"2,658","16,315",0,0,"20,734",0,"218,597"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"383,679",0,"10,075",0,0,0,0,0,"46,056",0,"2,055",0,"4,187",0,"2,023",0,"5,553","40,490",0,0,"52,385",0,"546,503"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"37,782",0,559,0,0,0,0,0,"4,536",0,196,0,414,0,194,0,692,"3,961",0,0,"4,970",0,"53,304"
               Mindoro State College of Agriculture and Technology,"46,758",0,"1,088",0,0,0,0,0,"5,612",0,264,0,525,0,261,0,491,"4,989",0,0,"6,732",0,"66,720"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),"58,628",0,"3,833",0,0,0,0,0,"7,037",0,325,0,658,0,322,0,264,"6,238",0,0,"8,470",0,"85,775"
               Palawan State University,"107,667",0,748,0,0,0,0,0,"12,923",0,551,0,"1,144",0,545,0,"1,614","11,260",0,0,"14,018",0,"150,470"
               Romblon State University (Romblon State College),"68,920",0,920,0,0,0,0,0,"8,273",0,383,0,766,0,372,0,"1,386","7,326",0,0,"9,721",0,"98,067"
               Western Philippines University,"63,924",0,"2,927",0,0,0,0,0,"7,675",0,336,0,680,0,329,0,"1,106","6,716",0,0,"8,474",0,"92,167"
,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"683,208",0,"25,662",0,0,0,0,0,"81,996",0,"3,401",0,"7,069",0,"3,369",0,"18,056","71,071",0,0,"87,105",0,"980,937"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"221,643",0,"4,728",0,0,0,0,0,"26,600",0,"1,012",0,"2,114",0,"1,001",0,"6,611","22,684",0,0,"25,966",0,"312,359"
               Camarines Norte State College,"67,441",0,997,0,0,0,0,0,"8,093",0,360,0,772,0,356,0,"1,156","7,116",0,0,"9,189",0,"95,480"
               Camarines Sur Polytechnic Colleges,"56,307",0,999,0,0,0,0,0,"6,758",0,284,0,600,0,284,0,978,"5,870",0,0,"7,255",0,"79,335"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"101,044",0,"14,893",0,0,0,0,0,"12,128",0,497,0,"1,024",0,491,0,"1,130","10,484",0,0,"12,689",0,"154,380"
               Catanduanes State Colleges,"88,908",0,990,0,0,0,0,0,"10,671",0,464,0,916,0,460,0,"4,792","9,337",0,0,"11,934",0,"128,472"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"23,540",0,424,0,0,0,0,0,"2,826",0,133,0,261,0,131,0,693,"2,513",0,0,"3,400",0,"33,921"
               Partido State University,"63,014",0,"1,571",0,0,0,0,0,"7,562",0,328,0,703,0,326,0,"1,083","6,617",0,0,"8,397",0,"89,601"
               Sorsogon State College,"61,311",0,"1,060",0,0,0,0,0,"7,358",0,323,0,679,0,320,0,"1,613","6,450",0,0,"8,275",0,"87,389"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"1,010,419",0,"19,012",0,0,0,0,0,"121,277",0,"5,074",0,"10,569",0,"5,007",0,"13,335","105,203",0,0,"131,729",0,"1,421,625"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"97,409",0,"4,047",0,0,0,0,0,"11,692",0,502,0,"1,033",0,495,0,"1,477","10,199",0,0,"12,815",0,"139,669"
               Capiz State University,"174,931",0,"2,801",0,0,0,0,0,"20,994",0,754,0,"1,629",0,746,0,"1,525","17,712",0,0,"19,381",0,"240,473"
               Carlos C. Hilado Memorial State College,"65,996",0,670,0,0,0,0,0,"7,921",0,349,0,734,0,346,0,274,"6,951",0,0,"8,905",0,"92,146"
               Guimaras State College,"17,277",0,362,0,0,0,0,0,"2,074",0,89,0,192,0,88,0,440,"1,806",0,0,"2,248",0,"24,576"
               Iloilo State College of Fisheries,"90,735",0,"2,338",0,0,0,0,0,"10,891",0,473,0,965,0,464,0,715,"9,519",0,0,"12,027",0,"128,127"
               Negros State College of Agriculture,"23,860",0,241,0,0,0,0,0,"2,864",0,131,0,273,0,130,0,404,"2,535",0,0,"3,345",0,"33,783"
               Northern Iloilo Polytechnic State College,"111,862",0,379,0,0,0,0,0,"13,428",0,597,0,"1,247",0,587,0,"1,294","11,791",0,0,"15,149",0,"156,334"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"16,683",0,475,0,0,0,0,0,"2,003",0,83,0,177,0,82,0,339,"1,732",0,0,"2,103",0,"23,677"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"61,347",0,"1,177",0,0,0,0,0,"7,364",0,326,0,662,0,322,0,"1,633","6,460",0,0,"8,316",0,"87,607"
               Western Visayas College of Science and Technology,"118,861",0,"2,988",0,0,0,0,0,"14,268",0,591,0,"1,259",0,584,0,897,"12,354",0,0,"15,109",0,"166,911"
               West Visayas State University,"231,458",0,"3,534",0,0,0,0,0,"27,778",0,"1,179",0,"2,398",0,"1,163",0,"4,337","24,144",0,0,"32,331",0,"328,322"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"393,863",0,"3,501",0,0,0,0,0,"47,273",0,"2,020",0,"4,165",0,"1,986",0,"15,299","41,205",0,0,"51,602",0,"560,914"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"44,243",0,277,0,0,0,0,0,"5,311",0,215,0,431,0,212,0,"6,490","4,574",0,0,"5,472",0,"67,225"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"162,095",0,"1,139",0,0,0,0,0,"19,454",0,855,0,"1,752",0,838,0,"3,861","17,061",0,0,"21,856",0,"228,911"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"72,502",0,"1,126",0,0,0,0,0,"8,701",0,403,0,811,0,395,0,"2,492","7,717",0,0,"10,319",0,"104,466"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"95,673",0,664,0,0,0,0,0,"11,483",0,454,0,971,0,449,0,"1,855","9,854",0,0,"11,583",0,"132,986"
               Siquijor State College,"19,350",0,295,0,0,0,0,0,"2,324",0,93,0,200,0,92,0,601,"1,999",0,0,"2,372",0,"27,326"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"906,070",0,"37,056",0,0,0,0,0,"108,755",0,"4,774",0,"9,451",0,"4,697",0,"24,233","95,300",0,0,"122,641",0,"1,312,977"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"104,722",0,"2,916",0,0,0,0,0,"12,569",0,614,0,"1,167",0,598,0,"2,875","11,274",0,0,"15,624",0,"152,359"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"127,267",0,"2,643",0,0,0,0,0,"15,277",0,646,0,"1,308",0,634,0,"1,912","13,279",0,0,"16,498",0,"179,464"
               Leyte Normal University,"53,372",0,700,0,0,0,0,0,"6,407",0,267,0,540,0,266,0,"3,125","5,551",0,0,"6,810",0,"77,038"
               Visayas State University (Leyte State University),"183,033",0,"21,953",0,0,0,0,0,"21,968",0,922,0,"1,769",0,904,0,"3,294","19,082",0,0,"24,307",0,"277,232"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"48,332",0,569,0,0,0,0,0,"5,801",0,259,0,515,0,253,0,923,"5,099",0,0,"6,588",0,"68,339"
               Palompon Institute of Technology,"50,815",0,818,0,0,0,0,0,"6,100",0,263,0,532,0,259,0,988,"5,321",0,0,"6,690",0,"71,786"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"80,513",0,"1,449",0,0,0,0,0,"9,664",0,471,0,920,0,467,0,685,"8,662",0,0,"12,017",0,"114,848"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"67,121",0,"1,317",0,0,0,0,0,"8,056",0,351,0,689,0,345,0,"4,532","7,050",0,0,"9,045",0,"98,506"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),"48,186",0,"1,055",0,0,0,0,0,"5,784",0,256,0,514,0,250,0,"2,390","5,077",0,0,"6,541",0,"70,053"
               University of Eastern Philippines,"142,709",0,"3,636",0,0,0,0,0,"17,129",0,725,0,"1,497",0,721,0,"3,509","14,905",0,0,"18,521",0,"203,352"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"373,847",0,"10,846",0,0,0,0,0,"44,869",0,"2,017",0,"4,080",0,"1,989",0,"9,151","39,540",0,0,"51,422",0,"537,761"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"32,256",0,"1,120",0,0,0,0,0,"3,872",0,194,0,369,0,190,0,"1,798","3,490",0,0,"4,909",0,"48,198"
