particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
               Guimaras State College,27091,0,0,2074,0,25017,0,0,0,0,0,0
               Iloilo State College of Fisheries,137881,0,0,10891,0,126990,0,0,0,0,0,0
               Negros State College of Agriculture,41933,0,0,2864,0,39069,0,0,0,0,0,0
               Northern Iloilo Polytechnic State College,172506,0,0,13428,0,159078,0,0,0,0,0,0
               Northern Negros State College of Science,,,,,,,,,,,,
                     and Technology,28035,0,0,2003,0,26032,0,0,0,0,0,0
               University of Antique (Polytechnic State,,,,,,,,,,,,
                     College of Antique),101527,0,0,7364,0,94163,0,0,0,0,0,0
               Western Visayas College of Science and Technology,193862,0,0,14268,0,179594,0,0,0,0,0,0
               West Visayas State University,380115,0,0,27778,0,352337,0,0,0,0,0,0
,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,701574,0,0,47273,0,654301,0,0,0,0,0,1
               Cebu Normal University,102857,0,0,5311,0,97546,0,0,0,0,0,0
               Cebu Technological University (Cebu,,,,,,,,,,,,
                     State College of Science and Technology),266221,0,0,19454,0,246767,0,0,0,0,0,0
               Bohol Island State University  (Central,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,
                     Forestry and Tech.),129072,0,0,8701,0,120371,0,0,0,0,0,0
               Negros Oriental State University,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),171881,0,0,11483,0,160398,0,0,0,0,0,0
               Siquijor State College,31543,0,0,2324,0,29219,0,0,0,0,0,0
,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,1478233,0,0,108755,0,1369478,0,0,0,0,0,1
               Eastern Samar State University,164860,0,0,12569,0,152291,0,0,0,0,0,0
               Eastern Visayas State University (Leyte,,,,,,,,,,,,
                     Institute of Technology),206142,0,0,15277,0,190865,0,0,0,0,0,0
               Leyte Normal University,95310,0,0,6407,0,88903,0,0,0,0,0,0
               Visayas State University (Leyte State University),306068,0,0,21968,0,284100,0,0,0,0,0,0
               Naval State University (Naval Institute,,,,,,,,,,,,
                     of Technology),80809,0,0,5801,0,75008,0,0,0,0,0,0
               Palompon Institute of Technology,81690,0,0,6100,0,75590,0,0,0,0,0,0
               Southern Leyte State University,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,
                     Sci. and Tech. and TONC),129568,0,0,9664,0,119904,0,0,0,0,0,0
               Samar State University (Samar State,,,,,,,,,,,,
                     Polytechnic College),109920,0,0,8056,0,101864,0,0,0,0,0,0
               Northwest Samar State University (TTMIST,,,,,,,,,,,,
                     and SSCAF),82023,0,0,5784,0,76239,0,0,0,0,0,0
               University of Eastern Philippines,221843,0,0,17129,0,204714,0,0,0,0,0,0
,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,616456,0,0,44869,0,571587,0,0,0,0,0,1
               J. H. Cerilles State College,57023,0,0,3872,0,53151,0,0,0,0,0,0
               Jose Rizal Memorial State University,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),141656,0,0,10733,0,130923,0,0,0,0,0,0
               Western Mindanao State University,267827,0,0,19124,0,248703,0,0,0,0,0,0
               Zamboanga City State Polytechnic College,65142,0,0,5093,0,60049,0,0,0,0,0,0
               Zamboanga State College of Marine,,,,,,,,,,,,
                     Sciences and Technology,84808,0,0,6047,0,78761,0,0,0,0,0,0
,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,956960,0,0,68904,0,888056,0,0,0,0,0,1
               Bukidnon State University,90083,0,0,6212,0,83871,0,0,0,0,0,0
               Camiguin Polytechnic State College,30383,0,0,2122,0,28261,0,0,0,0,0,0
               Central Mindanao University,259823,0,0,18058,0,241765,0,0,0,0,0,0
               Mindanao University of Science and Technology,99147,0,0,6503,0,92644,0,0,0,0,0,0
               MSU-Iligan Institute of Technology,427621,0,0,32597,0,395024,0,0,0,0,0,0
               Misamis Oriental State College of,,,,,,,,,,,,
                     Agriculture and Technology,33403,0,0,2267,0,31136,0,0,0,0,0,0
