Particular,A031,A032,A033,A034,A035,A036,A038,A040,A041,A042,A960,Total
     Department of Trade and Industry,0,0,0,0,0,"271,424",0,0,0,0,0,"271,424"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"250,000",0,0,0,0,0,"250,000"
          Board of Investments,0,0,0,0,0,"19,812",0,0,0,0,0,"19,812"
          Construction Manpower Development Foundation,0,0,0,0,0,412,0,0,0,0,0,412
          Philippine Trade Training Center,0,0,0,0,0,"1,200",0,0,0,0,0,"1,200"
,,,,,,,,,,,,
     Department of Transportation and Communications,0,0,0,"125,000","423,000","450,209","1,560,523","78,933","15,439,335",0,0,"18,077,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"125,000","423,000","446,259","1,560,523","28,933","15,439,335",0,0,"18,023,050"
          Maritime Industry Authority,0,0,0,0,0,"3,850",0,0,0,0,0,"3,850"
          Office of Transportation Cooperatives,0,0,0,0,0,100,0,0,0,0,0,100
          Office for Transportation Security,0,0,0,0,0,0,0,"50,000",0,0,0,"50,000"
,,,,,,,,,,,,
     National Economic and Development Authority,"20,000",0,0,0,"8,952","16,885",0,0,0,0,0,"45,837"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Director-General,0,0,0,0,"8,952","12,085",0,0,0,0,0,"21,037"
          National Statistical Coordination Board,0,0,0,0,0,"4,800",0,0,0,0,0,"4,800"
          Statistical Research and Training Center,"20,000",0,0,0,0,0,0,0,0,0,0,"20,000"
,,,,,,,,,,,,
     Presidential Communications Operations Office,0,0,0,0,0,0,0,"32,442",0,0,0,"32,442"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Bureau of Broadcast Services,0,0,0,0,0,0,0,"16,221",0,0,0,"16,221"
          Philippine Information Agency,0,0,0,0,0,0,0,"16,221",0,0,0,"16,221"
,,,,,,,,,,,,
     Other Executive Offices,0,0,0,0,"34,742","70,260",0,"5,341","57,505",0,0,"167,848"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Commission on Filipinos Overseas,0,0,0,0,0,"5,045",0,0,0,0,0,"5,045"
          Commission on Higher Education,0,0,0,0,"5,000","1,680",0,0,0,0,0,"6,680"
          Games and Amusements Board,0,0,0,0,0,"1,142",0,0,0,0,0,"1,142"
          Housing and Urban Development Coordinating Council,0,0,0,0,"5,573","1,627",0,0,0,0,0,"7,200"
          Mindanao Development Authority,0,0,0,0,0,900,0,0,0,0,0,900
          Movie and Television Review and,,,,,,,,,,,,
                Classification Board,0,0,0,0,"7,519","1,750",0,0,0,0,0,"9,269"
          National Anti-Poverty Commission,0,0,0,0,0,"3,974",0,0,0,0,0,"3,974"
          Climate Change Commission,0,0,0,0,0,"3,700",0,0,0,0,0,"3,700"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,
                     Arts (Proper),0,0,0,0,650,"3,852",0,475,0,0,0,"4,977"
               National Historical Commission of the,,,,,,,,,,,,
                     Philippines (National Historical Institute),0,0,0,0,"10,000",516,0,0,0,0,0,"10,516"
               The National Library of the Philippines,,,,,,,,,,,,
                     (The National Library),0,0,0,0,"6,000","3,920",0,0,0,0,0,"9,920"
               National Archives of the Philippines,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,
                     Archives Office),0,0,0,0,0,"1,961",0,490,0,0,0,"2,451"
          National Commission on Indigenous Peoples,0,0,0,0,0,"6,380",0,0,0,0,0,"6,380"
          National Intelligence Coordinating Agency,0,0,0,0,0,"1,369",0,0,0,0,0,"1,369"
          National Security Council,0,0,0,0,0,"1,000",0,0,0,0,0,"1,000"
          National Commission on Muslim Filipinos,,,,,,,,,,,,
                (Office on Muslim Affairs),0,0,0,0,0,"1,070",0,0,0,0,0,"1,070"
