particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
             Pasig River Rehabilitation Commission,2441109,157737,293578,0,0,2012,34,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Climate Change Commission,5453,38880,63280,0,0,2012,35,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Forest Products Research and Development Institute,117202,96128,81730,0,0,2012,36,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Laguna Lake Development Authority,857,0,0,0,0,2012,37,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Natural Resources Development Corporation,95000,0,0,0,0,2012,38,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1271836,1826821,0,0,2012,39,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,40,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Industrial Technology Development Institute,211959,172753,245638,0,0,2012,41,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Metals Industry Research and Development Center,140034,128078,244504,0,0,2012,42,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
"             Philippine Council for Industry, Energy and Emerging
                Technology Research and Development",273002,141500,595852,0,0,2012,43,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Philippine Textile Research Institute,77377,60345,53627,0,0,2012,44,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Technology Application and Promotion Institute,81313,72981,85659,0,0,2012,45,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Office of the Secretary,2644813,2179700,2351799,0,0,2012,46,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Board of Investments,235980,233562,231049,0,0,2012,47,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Construction Industry Authority of the Philippines,44843,42968,50360,0,0,2012,48,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Construction Manpower Development Foundation,22833,21372,22390,0,0,2012,49,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Philippine Trade Training Center,38897,35157,75252,0,0,2012,50,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Product Development and Design Center of the Philippines,48904,50582,53811,0,0,2012,51,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Cagayan Economic Zone Authority,1114450,294550,915503,0,0,2012,52,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Center for International Trade Expositions and Missions,73746,79686,88510,0,0,2012,53,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
"      Food Terminal, Incorporated",40898,0,0,0,0,2012,54,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Cottage Industry Technology Center,10000,8000,8000,0,0,2012,55,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Aurora Pacific Economic Zone and Freeport Authority (formerly ASEZA),122500,145000,332500,0,0,2012,56,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Zamboanga City Special Economic Zone Authority,30000,60100,60100,0,0,2012,57,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Small Business Corporation,91669,0,0,0,0,2012,58,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Authority of the Freeport Area of Bataan,0,100000,100000,0,0,2012,60,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,211973,304470,0,0,2012,61,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Priority Development Assistance Fund,0,221580,224010,0,0,2012,62,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Office of the Secretary,1316672,1303978,1382413,0,0,2012,63,0,ECONOMIC SERVICES,Tourism,,,,,,1
             Intramuros Administration,43715,32766,35052,0,0,2012,64,0,ECONOMIC SERVICES,Tourism,,,,,,1
             National Parks Development Committee,141836,115271,236733,0,0,2012,65,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Cultural Center of the Philippines,105000,200000,202000,0,0,2012,66,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Development Academy of the Philippines,20000,45000,45000,0,0,2012,67,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Philippine Convention and Visitors Corporation,27085,0,0,0,0,2012,68,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Tourism Promotions Board,37915,65000,250000,0,0,2012,69,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,70,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Department of Energy,987830,1366640,8814727,0,0,2012,71,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Philippine Nuclear Research Institute,154006,140646,140461,0,0,2012,72,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Energy Regulatory Commission,232252,206170,213717,0,0,2012,73,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      National Transmission Corporation,1024563,0,0,0,0,2012,74,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      National Electrification Administration,21599,0,2568500,0,0,2012,75,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,76,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Office of the Secretary,18415872,14381883,16320441,0,0,2012,77,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
             National Water Resources Board,44261,45102,53755,0,0,2012,78,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      Local Water Utilities Administration,2702,0,0,0,0,2012,79,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      Tax Expenditures Fund,0,150000,330430,0,0,2012,80,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      General Fund Adjustments,0,0,0,0,0,2012,81,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
             Office of the Secretary,122819697,95916096,108844789,0,0,2012,82,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of the Secretary,19384898,31630623,33728059,0,0,2012,83,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Civil Aeronautics Board,46789,40556,49971,0,0,2012,84,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Maritime Industry Authority,355377,339722,383743,0,0,2012,85,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of Transportation Cooperatives,14448,14679,15707,0,0,2012,86,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office for Transportation Security,336147,307191,383462,0,0,2012,87,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Toll Regulatory Board,13726,13298,13542,0,0,2012,88,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Information and Communications Technology Office,1900955,1226368,1288163,0,0,2012,89,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             National Telecommunications Commission,284380,203285,220997,0,0,2012,90,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Philippine National Railways,348656,131000,0,0,0,2012,91,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      North Luzon Railways Corporation,399060,0,0,0,0,2012,92,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Philippine Postal Corporation,281276,0,301000,0,0,2012,93,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Calamity Fund,0,1990000,2985000,0,0,2012,94,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1483808,2131291,0,0,2012,95,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Priority Development Assistance Fund,0,7804540,7890130,0,0,2012,96,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Tax Expenditures Fund,0,4200000,9252040,0,0,2012,97,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of the Secretary,1344317,2281426,2048514,0,0,2012,98,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Advanced Science and Technology Institute,70824,55451,80917,0,0,2012,99,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             National Academy of Science and Technology,43160,37842,42787,0,0,2012,100,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Science and Technology Information Institute,45621,43699,37528,0,0,2012,101,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Palawan Council for Sustainable Development Staff,56760,52021,56052,0,0,2012,102,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Equity/Subsidy (Unallocated),0,13606,13606,0,0,2012,103,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Credit Information Corporation,17500,0,66032,0,0,2012,104,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Philippine Center for Economic Development,29750,0,14500,0,0,2012,105,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Special Shares of Local Government Units in the Proceeds of National Taxes,11445118,11871126,16679895,0,0,2012,106,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,107,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
         ,93030832,100430484,95658357,0,0,2012,108,0,ECONOMIC SERVICES,Subsidy to Local Government Units,,,,,,1
             Office of the Secretary,190086305,206037470,228538290,0,0,2012,109,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine High School for the Arts,45917,56435,59537,0,0,2012,110,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Council for Children's Television,10608,6343,6605,0,0,2012,111,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Museum,154252,148903,244666,0,0,2012,112,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Book Development Board,22003,21867,22083,0,0,2012,113,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      State Universities and Colleges,26404083,23725535,23608964,0,0,2012,114,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Local Government Academy,89016,106503,86650,0,0,2012,115,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine Public Safety College,1102728,1079423,1143597,0,0,2012,116,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Maritime Polytechnic,73572,95906,114155,0,0,2012,117,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Technical Education and Skills Development Authority,3067993,2953413,2854106,0,0,2012,118,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Defense College of the Philippines,50826,58557,52990,0,0,2012,119,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine Science High School,590785,479001,705435,0,0,2012,120,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Science Education Institute,720951,511279,1369612,0,0,2012,121,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Commission on Higher Education,1660425,1694772,2207484,0,0,2012,122,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Commission on the Filipino Language,32903,32657,37506,0,0,2012,123,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
                 National Commission for Culture and the Arts (Proper),336036,268936,332206,0,0,2012,124,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
                 National Historical Commission of the Philippines (National Historical Institute),115092,90665,167730,0,0,2012,125,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
                 The National Library of the Philippines (The National Library),98090,94897,141698,0,0,2012,126,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
                 National Archives of the Philippines (formerly Records
                    Management and Archives Office),67307,79882,88771,0,0,2012,127,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine Sports Commission,253411,197874,208526,0,0,2012,128,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Film Development Council of the Philippines,105179,77246,69112,0,0,2012,129,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Department of Education - School Building Program,0,1000000,1000000,0,0,2012,130,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Calamity Fund,0,230000,345000,0,0,2012,131,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Miscellaneous Personnel Benefits Fund,0,29958797,43031782,0,0,2012,132,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Priority Development Assistance Fund,0,2486620,2513890,0,0,2012,133,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Office of the Secretary,24359796,32522520,42771536,0,0,2012,134,0,SOCIAL SERVICES,Health,,,,,,2
             Commission on Population,327462,298124,299455,0,0,2012,135,0,SOCIAL SERVICES,Health,,,,,,2
             National Nutrition Council,482795,311047,324923,0,0,2012,136,0,SOCIAL SERVICES,Health,,,,,,2
             Dangerous Drugs Board,145727,165168,170842,0,0,2012,137,0,SOCIAL SERVICES,Health,,,,,,2
             Veterans Memorial Medical Center,792156,848060,836767,0,0,2012,138,0,SOCIAL SERVICES,Health,,,,,,2
             Food and Nutrition Research Institute,117200,141236,159448,0,0,2012,139,0,SOCIAL SERVICES,Health,,,,,,2
             Philippine Council for Health Research and Development,123023,78786,262288,0,0,2012,140,0,SOCIAL SERVICES,Health,,,,,,2
      Local Water Utilities Administration,0,0,0,0,0,2012,141,0,SOCIAL SERVICES,Health,,,,,,2
      Lung Center of the Philippines,184205,157560,157560,0,0,2012,142,0,SOCIAL SERVICES,Health,,,,,,2
      National Kidney and Transplant Institute,305341,162800,164800,0,0,2012,143,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Children`s Medical Center,269920,318000,345000,0,0,2012,144,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Heart Center,303557,122000,187000,0,0,2012,145,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Institute of Traditional and Alternative Health Care,40000,37000,40000,0,0,2012,146,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Health Insurance Corporation,3546773,0,0,0,0,2012,147,0,SOCIAL SERVICES,Health,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,1625123,2334271,0,0,2012,148,0,SOCIAL SERVICES,Health,,,,,,2
      Calamity Fund,0,100000,150000,0,0,2012,149,0,SOCIAL SERVICES,Health,,,,,,2
      Tax Expenditures Fund,0,150000,330430,0,0,2012,150,0,SOCIAL SERVICES,Health,,,,,,2
      Priority Development Assistance Fund,0,1354100,1368950,0,0,2012,151,0,SOCIAL SERVICES,Health,,,,,,2
             Public Attorney's Office,1335346,1270681,1457100,0,0,2012,152,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Office of the Secretary,2281066,1993499,2363322,0,0,2012,153,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Institute for Labor Studies,23392,21928,26181,0,0,2012,154,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Conciliation and Mediation Board,132057,127772,154677,0,0,2012,155,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Labor Relations Commission,558357,492831,567952,0,0,2012,156,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Wages and Productivity Commission,138300,144817,173834,0,0,2012,157,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Overseas Employment Administration,316522,311355,324516,0,0,2012,158,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Veterans Affairs Office (Proper),352243,13043843,7461096,0,0,2012,159,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Office of the Secretary,15893869,34207874,49272410,0,0,2012,160,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Council for the Welfare of Children,22645,23411,28994,0,0,2012,161,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Inter-Country Adoption Board,29009,24977,25960,0,0,2012,162,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Youth Commission,66526,63156,64880,0,0,2012,163,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Council on Disability Affairs,34498,29308,31420,0,0,2012,164,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Commission on Filipinos Overseas,50776,50853,56137,0,0,2012,165,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Commission on Women (National Commission
                on the Role of Filipino Women),81415,111552,103285,0,0,2012,166,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Anti-Poverty Commission,60943,73851,102856,0,0,2012,167,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Presidential Commission for the Urban Poor,67044,63853,81462,0,0,2012,168,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Miscellaneous Personnel Benefits Fund,0,565260,811920,0,0,2012,169,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Calamity Fund,0,720000,1080000,0,0,2012,170,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Retirement Benefits Fund (Pension and Gratuity Fund),58787407,35000000,34437891,0,0,2012,171,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Contingent Fund,0,77000,77000,0,0,2012,172,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,173,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Priority Development Assistance Fund,0,5687220,5749590,0,0,2012,174,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Housing and Land Use Regulatory Board,211473,178076,217545,0,0,2012,175,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
             Housing and Urban Development Coordinating Council,98166,113733,128424,0,0,2012,176,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      Home Guaranty Corporation,600000,500000,500000,0,0,2012,177,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Home Mortgage Finance Corporation,900000,500000,500000,0,0,2012,178,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Housing Authority,3423040,4375000,5631025,0,0,2012,179,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Livelihood Development Corporation,1912397,0,0,0,0,2012,180,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,181,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
             Land Bank of the Philippines,4028400,3966110,2500000,0,0,2012,182,0,SOCIAL SERVICES,Land Distribution,,,,,,2
             National Commission on Indigenous Peoples,709679,691127,758106,0,0,2012,183,0,SOCIAL SERVICES,Other Social Services,,,,,,2
             National Commission on Muslim Filipinos (Office on Muslim Affairs),389301,369977,393993,0,0,2012,184,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Commission on Human Rights,335746,285466,279783,0,0,2012,185,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,211973,304470,0,0,2012,186,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,187,0,SOCIAL SERVICES,Other Social Services,,,,,,2
         ,98346879,106169368,101124549,0,0,2012,188,0,SOCIAL SERVICES,Subsidy to Local Government Units,,,,,,2
             DND Proper (Office of the Secretary),532937,316608,690307,0,0,2012,189,0,DEFENSE,Domestic Security,,,,,,3
"                 General Headquarters, AFP and AFP Wide Service
                    Support Units (AFPWSSUS)",11663817,34732305,37896847,0,0,2012,190,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Air Force (Air Force),10562870,10166488,10576799,0,0,2012,191,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Army (Land Forces),36783992,33607948,35414458,0,0,2012,192,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Navy (Naval Forces),11989175,11368980,12100115,0,0,2012,193,0,DEFENSE,Domestic Security,,,,,,3
             Government Arsenal,399781,430926,656914,0,0,2012,194,0,DEFENSE,Domestic Security,,,,,,3
      AFP Commissary and Exchange Service,248582,0,0,0,0,2012,195,0,DEFENSE,Domestic Security,,,,,,3
      Miscellaneous Personnel Benefits Fund,0,10386658,14919038,0,0,2012,196,0,DEFENSE,Domestic Security,,,,,,3
      Contingent Fund,0,14000,14000,0,0,2012,197,0,DEFENSE,Domestic Security,,,,,,3
      Calamity Fund,0,125000,187500,0,0,2012,198,0,DEFENSE,Domestic Security,,,,,,3
      Tax Expenditures Fund,0,300000,660860,0,0,2012,199,0,DEFENSE,Domestic Security,,,,,,3
             Senate,2650913,2693824,2739987,0,0,2012,200,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Senate Electoral Tribunal,120501,101273,90043,0,0,2012,201,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Commission on Appointments,367347,397038,416991,0,0,2012,202,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             House of Representatives,6008645,5412825,5527022,0,0,2012,203,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             House Electoral Tribunal,115146,118073,103835,0,0,2012,204,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Office of the President,2388816,2478248,2721817,0,0,2012,205,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Office of the Vice-President,175321,187805,404802,0,0,2012,206,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,1673816,757303,841863,0,0,2012,207,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Government Procurement Policy Board - Technical Support Office,0,23577,23645,0,0,2012,208,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,2247432,1959422,1566320,0,0,2012,209,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Customs,2404993,1959827,9441273,0,0,2012,210,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Internal Revenue,6459130,6993597,10722070,0,0,2012,211,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Local Government Finance,201564,188900,181402,0,0,2012,212,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of the Treasury,7723903,629713,543961,0,0,2012,213,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Central Board of Assessment Appeals,9758,8878,9278,0,0,2012,214,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
