particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     Office of the Secretary,1063118,261434,356019,338432,387871,31000,343467,406520,91876,,
     Government Procurement Policy Board -,,,,,,,,,,,
        Technical Support Office,0,0,0,12922,10035,620,14066,8379,1200,,
,,,,,,,,,,,
   Department of Education,168756479,18177127,4172233,166267727,24880054,15123237,181702523,26390236,20778422,1,
     Office of the Secretary,168656584,18061176,4154957,166173450,24753871,15110149,181599430,26257329,20681531,,
     National Book Development Board,9683,11497,823,10600,11267,0,10546,11537,0,,
     National Council for Children's Television,1918,8601,89,1766,4477,100,2021,4384,200,,
     National Museum,75172,62805,16364,68766,67657,12480,78053,71122,95491,,
     Philippine High School for the Arts,13122,33048,0,13145,42782,508,12473,45864,1200,,
,,,,,,,,,,,
   State Universities and Colleges,21308442,3499119,1902300,20610813,3114722,0,20622288,2986676,0,1,
,,,,,,,,,,,
     NATIONAL CAPITAL REGION,7075199,1214309,1633853,6917731,1157687,0,6897177,979385,0,1,
        Eulogio 'Amang' Rodriguez Institute,,,,,,,,,,,
           of Science and Technology,115814,24227,7,108812,23073,0,114235,21369,0,,
        Marikina Polytechnic College,52629,6460,0,59052,5693,0,52068,5693,0,,
        Philippine Normal University,280871,51236,0,262670,53156,0,253271,49229,0,,
        Philippine State College of Aeronautics,53210,11192,0,56902,9383,0,49441,8748,0,,
        Polytechnic University of the Philippines,684860,97364,26595,627549,95614,0,679462,106180,0,,
        Rizal Technological University,152543,22945,0,151500,21047,0,152441,25266,0,,
        Technological University of the Philippines,342469,69700,0,355626,69598,0,321095,64457,0,,
        University of the Philippines System,5392803,931185,1607251,5295620,880123,0,5275164,698443,0,,
,,,,,,,,,,,
     Region I - ILOCOS,1215387,192628,0,1202340,164880,0,1123622,155920,0,1,
        Don Mariano Marcos Memorial State University,377682,60599,0,412970,39550,0,372649,36628,0,,
        Ilocos Sur Polytechnic State College,102898,8906,0,95342,8907,0,92989,10079,0,,
        Mariano Marcos State University,293352,56980,0,291216,48094,0,245552,44541,0,,
        North Luzon Philippines State College,17838,3786,0,16294,2540,0,17854,2540,0,,
        Pangasinan State University,228323,36868,0,210405,37123,0,203799,35771,0,,
        University of Northern Philippines,195294,25489,0,176113,28666,0,190779,26361,0,,
,,,,,,,,,,,
     CORDILLERA ADMINISTRATIVE REGION,563494,92438,32,539960,88576,0,544182,84132,0,1,
        Abra State Institute of Science and Technology,67642,7716,0,71279,8621,0,65521,7984,0,,
        Apayao State College,36381,4420,0,34384,4170,0,35799,3862,0,,
        Benguet State University,242120,36254,0,227412,36085,0,238862,34966,0,,
        Ifugao State University,92653,17078,32,86991,14730,0,84995,13642,0,,
        Kalinga-Apayao State College,62862,7989,0,59564,7989,0,61076,7951,0,,
        Mountain Province State Polytechnic College,61836,18981,0,60330,16981,0,57929,15727,0,,
,,,,,,,,,,,
     Region II - CAGAYAN VALLEY,869632,139081,4657,843965,122039,0,874051,123475,0,1,
        Batanes State College (Batanes,,,,,,,,,,,
           Polytechnic College),13730,1865,3012,15921,1865,0,15756,2239,0,,
        Cagayan State University,258228,55041,1645,266297,50668,0,272072,49033,0,,
        Isabela State University,378040,54170,0,356050,43623,0,375205,47710,0,,
        Nueva Vizcaya State University (,,,,,,,,,,,
           NVSIT and NVSPC),187101,23357,0,176247,21235,0,180793,19666,0,,
        Quirino State College,32533,4648,0,29450,4648,0,30225,4827,0,,
,,,,,,,,,,,
     Region III - CENTRAL LUZON,1393073,300750,64102,1301367,237051,0,1327477,249818,0,1,
        Aurora State College of Technology,32404,7411,3012,30451,5008,0,30768,6012,0,,
        Bataan Peninsula State University,131487,28324,0,125607,24574,0,131460,25846,0,,
        Central Luzon State University,293661,40648,5012,254357,36053,0,267852,33390,0,,
        Bulacan State University,166188,60759,182,161826,42009,0,168782,50430,0,,
        Bulacan Agricultural State College,41585,4696,325,40786,4148,0,39740,4980,0,,
        Don Honorio Ventura Technological,,,,,,,,,,,
           State University (DHVCAT),95032,14177,0,87959,10658,0,88374,12794,0,,
        Nueva Ecija University of Science and Technology,169803,31256,1335,163980,24994,0,150056,26076,0,,
        Pampanga Agricultural College,91135,9571,50035,85260,8456,0,91378,9855,0,,
        Philippine Merchant Marine Academy,58007,46372,0,60045,37669,0,59788,38573,0,,
        Ramon Magsaysay Technological University,91487,29987,0,85745,14656,0,88617,13891,0,,
        Tarlac College of Agriculture,99880,6961,3940,91704,8499,0,87730,8773,0,,
        Tarlac State University,122404,20588,261,113647,20327,0,122932,19198,0,,
,,,,,,,,,,,
     Region IV-A - CALABARZON,814645,228520,26379,826504,179179,0,812450,176580,0,1,
        Batangas State University,175387,66958,0,176424,54684,0,174109,51127,0,,
        Cavite State University,160215,59718,1498,177077,30372,0,159819,35725,0,,
        Laguna State Polytechnic University,,,,,,,,,,,
           (Laguna State Polytechnic College),146715,21825,1950,147639,24338,0,142476,24506,0,,
        Southern Luzon State University,,,,,,,,,,,
           (Southern Luzon Polytechnic College),116620,40867,828,116323,35186,0,117449,33179,0,,
        University of Rizal System,215708,39152,22103,209041,34599,0,218597,32043,0,,
,,,,,,,,,,,
     Region IV-B - MIMAROPA,557326,95481,14795,547472,74846,0,546503,79264,0,1,
        Marinduque State College,53967,13546,4648,52584,9604,0,53304,10513,0,,
        Mindoro State College of Agriculture,,,,,,,,,,,
           and Technology,70415,5853,400,67979,5853,0,66720,7026,0,,
        Occidental Mindoro State College,,,,,,,,,,,
           (Occidental Mindoro National College),89320,11040,1695,88701,10058,0,85775,9668,0,,
        Palawan State University,156443,35395,2887,147510,30172,0,150470,30388,0,,
        Romblon State University (Romblon,,,,,,,,,,,
           State College),94688,13187,2929,93758,8937,0,98067,9398,0,,
        Western Philippines University,92493,16460,2236,96940,10222,0,92167,12271,0,,
,,,,,,,,,,,
     Region V - BICOL,1105451,213088,36052,1061686,164841,0,980937,181244,0,1,
        Bicol University,363096,85257,20502,342525,66165,0,312359,74761,0,,
        Camarines Norte State College,117749,14449,0,109564,10092,0,95480,9672,0,,
        Camarines Sur Polytechnic Colleges,69345,23932,0,78080,23127,0,79335,27763,0,,
        Central Bicol State University of,,,,,,,,,,,
           Agriculture  (Camarines Sur State,,,,,,,,,,,
           Agricultural College),166479,29624,0,162522,16894,0,154380,16509,0,,
        Catanduanes State Colleges,159325,26569,2946,156369,18917,0,128472,21445,0,,
"        Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,
           State College of Agriculture and Technology,35721,5687,423,33340,5487,0,33921,5222,0,,
        Partido State University,98321,9218,11724,90746,9218,0,89601,10409,0,,
        Sorsogon State College,95415,18352,457,88540,14941,0,87389,15463,0,,
,,,,,,,,,,,
     Region VI - WESTERN VISAYAS,1461726,222000,19035,1418889,185562,0,1421625,187068,0,1,
        Aklan State University,156555,16149,0,149199,16149,0,139669,15802,0,,
        Capiz State University,237928,24828,3012,224503,24528,0,240473,22716,0,,
        Carlos C. Hilado Memorial State College,101845,13043,368,100495,12443,0,92146,14937,0,,
        Guimaras State College,26052,2736,3012,24588,2515,0,24576,2515,0,,
        Iloilo State College of Fisheries,123269,18658,3009,127129,9014,0,128127,9754,0,,
        Negros State College of Agriculture,34146,18368,673,32029,8606,0,33783,8150,0,,
        Northern Iloilo Polytechnic State College,162208,17462,0,160373,17462,0,156334,16172,0,,
        Northern Negros State College of,,,,,,,,,,,
           Science and Technology,23936,3274,3012,21745,3630,0,23677,4358,0,,
        University of Antique (Polytechnic,,,,,,,,,,,
           State College of Antique),87115,17618,3002,86515,11923,0,87607,13920,0,,
        Western Visayas College of Science,,,,,,,,,,,
           and Technology,173840,24286,210,170216,23738,0,166911,26951,0,,
        West Visayas State University,334832,65578,2737,322097,55554,0,328322,51793,0,,
,,,,,,,,,,,
     Region VII - CENTRAL VISAYAS,565233,117420,1000,573115,134470,0,560914,140660,0,1,
        Cebu Normal University,65783,17314,0,68591,37909,0,67225,35632,0,,
        Cebu Technological University (Cebu,,,,,,,,,,,
           State College of Science and Technology),235151,32166,0,233992,31080,0,228911,37310,0,,
        Bohol Island State University ,,,,,,,,,,,
           (Central Visayas State College of,,,,,,,,,,,
"           Agr.,  Forestry and Tech.)",106256,23657,0,109186,23668,0,104466,24606,0,,
        Negros Oriental State University,,,,,,,,,,,
           (Central Visayas Polytechnic College),128595,41300,0,133861,38300,0,132986,38895,0,,
        Siquijor State College,29448,2983,1000,27485,3513,0,27326,4217,0,,
,,,,,,,,,,,
     Region VIII - EASTERN VISAYAS,1362875,162808,9639,1276425,155416,0,1312977,165256,0,1,
        Eastern Samar State University,169263,16242,0,159278,12258,0,152359,12501,0,,
        Eastern Visayas State University,,,,,,,,,,,
           (Leyte Institute of Technology),177106,25963,2050,168683,24447,0,179464,26678,0,,
        Leyte Normal University,81031,20565,2957,78436,19678,0,77038,18272,0,,
        Visayas State University (Leyte State University),281710,30963,757,255939,29086,0,277232,28836,0,,
        Naval State University (Naval,,,,,,,,,,,
           Institute of Technology),71589,9735,0,66140,10388,0,68339,12470,0,,
        Palompon Institute of Technology,76738,8211,0,71356,8250,0,71786,9904,0,,
        Southern Leyte State University,,,,,,,,,,,
           (Southern Leyte State College of,,,,,,,,,,,
           Sci. and Tech. and TONC),120769,12720,98,115300,12262,0,114848,14720,0,,
        Samar State University (Samar State,,,,,,,,,,,
           Polytechnic College),102232,11512,1400,95639,11075,0,98506,11414,0,,
        Northwest Samar State University,,,,,,,,,,,
           (TTMIST and SSCAF),67104,12236,1952,66305,12569,0,70053,11970,0,,
        University of Eastern Philippines,215333,14661,425,199349,15403,0,203352,18491,0,,
,,,,,,,,,,,
     Region IX - ZAMBOANGA PENINSULA,554190,69066,6921,538596,68205,0,537761,78695,0,1,
        J. H. Cerilles State College,53523,8320,0,52309,8320,0,48198,8825,0,,
        Jose Rizal Memorial State University,,,,,,,,,,,
           (Jose Rizal Memorial State College),134677,13351,1500,130602,13125,0,127491,14165,0,,
        Western Mindanao State University,230345,33921,639,228064,33269,0,227889,39938,0,,
        Zamboanga City State Polytechnic College,61067,3854,2512,56898,3854,0,60515,4627,0,,
        Zamboanga State College of Marine,,,,,,,,,,,
           Sciences and Technology,74578,9620,2270,70723,9637,0,73668,11140,0,,
,,,,,,,,,,,
     Region X - NORTHERN MINDANAO,833748,147902,4000,823313,143259,0,806886,150074,0,1,
        Bukidnon State University,76107,13908,0,70148,14227,0,74295,15788,0,,
        Camiguin Polytechnic State College,25566,4334,0,23751,4334,0,25180,5203,0,,
        Central Mindanao University,204203,34197,0,225288,35368,0,217365,42458,0,,
        Mindanao University of Science and Technology,93854,24670,3000,93188,19470,0,78330,20817,0,,
        MSU-Iligan Institute of Technology,388487,63935,0,368582,62966,0,369306,58315,0,,
        Misamis Oriental State College of,,,,,,,,,,,
           Agriculture and Technology,29285,4226,0,27415,4512,0,28769,4634,0,,
        Northwestern Mindanao State College,,,,,,,,,,,
           of Science and Technology,16246,2632,1000,14941,2382,0,13641,2859,0,,
,,,,,,,,,,,
     Region XI - DAVAO REGION,278879,98161,64882,264444,49345,0,253748,50980,0,1,
        Davao del Norte State College,35650,4414,1897,32951,4443,0,32656,5317,0,,
        Davao Oriental State College of,,,,,,,,,,,
           Science and Technology,44382,5778,1628,41548,5987,0,40546,5545,0,,
        Southern Philippines Agri-Business,,,,,,,,,,,
           and Marine and Aquatic School of Technology,35059,2928,224,33156,3255,0,34919,3907,0,,
        University of Southeastern Philippines,163788,85041,61133,156789,35660,0,145627,36211,0,,
,,,,,,,,,,,
     Region XII - MAIN SOCCSKSARGEN,459007,59399,6524,447161,57724,0,447755,56580,0,1,
        Cotabato City State Polytechnic College,65130,9434,0,65970,7734,0,64754,7163,0,,
        Cotabato Foundation College of,,,,,,,,,,,
           Science and Technology,60486,10453,0,60589,10453,0,57703,10704,0,,
        Sultan Kudarat State University,,,,,,,,,,,
           (Sultan Kudarat Polytechnic State College),84500,7615,3612,82831,7640,0,80746,9172,0,,
        University of Southern Mindanao,248891,31897,2912,237771,31897,0,244552,29541,0,,
,,,,,,,,,,,
     AUTONOMOUS REGION IN MUSLIM MINDANAO,1939715,110225,9978,1754421,99222,0,1906375,92939,0,1,
        Adiong Memorial Polytechnic State College,12191,3300,800,12401,3331,0,13164,3085,0,,
        Basilan State College,38449,5830,0,35836,5830,0,37242,6188,0,,
        Mindanao State University,1489171,83374,1678,1373959,72340,0,1501106,66996,0,,
        MSU-Tawi-Tawi College of Technology,,,,,,,,,,,
           and Oceanography,315609,10266,0,254492,10266,0,275549,9508,0,,
        Sulu State College,47367,2930,7500,42476,2930,0,40583,2714,0,,
        Tawi-Tawi Regional Agricultural College,36928,4525,0,35257,4525,0,38731,4448,0,,
,,,,,,,,,,,
     CARAGA ADMINISTRATIVE REGION,258862,35843,451,273424,32420,0,267848,34606,0,1,
        Agusan del Sur State College of,,,,,,,,,,,
           Agriculture and Technology,26074,7239,373,24857,3739,0,24436,3463,0,,
        Caraga State University (Northern,,,,,,,,,,,
           Mindanao State Institute of,,,,,,,,,,,
           Science and Technology),65908,11918,78,63593,11985,0,62086,11100,0,,
        Surigao del Sur State University,,,,,,,,,,,
           (Surigao del Sur Polytechnic State College),87084,9831,0,98514,9941,0,92988,11934,0,,
        Surigao State College of Technology,79796,6855,0,86460,6755,0,88338,8109,0,,
,,,,,,,,,,,
   Department of Energy,237588,686906,63511,227217,1095115,44308,254303,1174261,7386163,1,
     Office of the Secretary,237588,686906,63511,227217,1095115,44308,254303,1174261,7386163,,
,,,,,,,,,,,
   Department of Environment and Natural Resources,5754846,4039516,2089918,5229136,3839981,2527078,5314931,8933988,3230601,1,
     Office of the Secretary,4762214,3032238,1876841,4283666,2853577,2210347,4364919,7775568,2727780,,
     Environmental Management Bureau,237837,260366,124587,220205,300203,231871,236086,358322,238271,,
     Mines and Geo-Sciences Bureau,421644,165945,71595,411096,239437,66906,384911,245183,112400,,
     National Mapping and Resource,,,,,,,,,,,
        Information Authority,264718,547823,16895,254169,411026,16569,263071,511940,151262,,
     National Water Resources Board,34547,10010,0,32723,10994,1385,36206,17009,540,,
     Palawan Council for Sustainable,,,,,,,,,,,
        Development Staff,33886,23134,0,27277,24744,0,29738,25966,348,,
,,,,,,,,,,,
   Department of Finance,5935897,11653970,2378941,5872923,5022931,1585068,6112511,14377898,3077273,1,
     Office of the Secretary,163574,363011,1721337,148310,505820,1305292,166461,217199,1182660,,
     Bureau of Customs,1300563,824902,360626,1113255,846572,0,1158707,7542326,740240,,
     Bureau of Internal Revenue,3487617,2793209,227259,3688420,3258547,46630,3819708,6194799,707563,,
     Bureau of Local Government Finance,118658,70000,14218,111744,63049,14107,117154,60998,3250,,
     Bureau of the Treasury,341134,7356823,39524,302534,132553,194626,322428,132553,88980,,
     Central Board of Assessment Appeals,8939,1071,0,7723,1155,0,8095,1183,0,,
     Cooperative Development Authority,216022,78890,11260,202457,71848,0,216158,73572,32200,,
     Insurance Commission,69570,45426,4365,64453,54675,24113,70044,63987,73935,,
     National Tax Research Center,31284,11643,81,28185,11301,300,30539,12073,0,,
     Privatization and Management Office,21733,9762,0,28651,0,0,28651,0,0,,
     Securities and Exchange Commission,176803,96504,0,177191,77411,0,174566,79208,248445,,
     Special National Public Reconstruction Commission,0,2729,271,0,0,0,0,0,0,,
,,,,,,,,,,,
   Department of Foreign Affairs,5485217,3677513,611230,5305722,5643699,151745,5479523,5016688,491936,1,
     Office of the Secretary,5452482,3651158,610983,5276217,5619558,151545,5441729,4992223,490871,,
     Foreign Service Institute,26874,12605,177,23489,11500,200,30613,11576,1010,,
     Technical Cooperation Council of the Philippines,1064,3036,70,1011,2288,0,1061,2288,55,,
     UNESCO National Commission of the Philippines,4797,10714,0,5005,10353,0,6120,10601,0,,
,,,,,,,,,,,
   Department of Health,8787869,11010811,5509325,8504887,15689773,8937031,8430764,26726301,8238849,1,
     Office of the Secretary,8598487,10389612,5506300,8374036,15221547,8926937,8295301,26248235,8228000,,
     Commission on Population,143305,186762,744,94889,193141,10094,98579,197777,3099,,
     National Nutrition Council,46077,434437,2281,35962,275085,0,36884,280289,7750,,
,,,,,,,,,,,
   Department of the Interior and Local Government,80795590,13111426,1413041,74875418,10022010,3216188,79708135,11924526,4553498,1,
     Office of the Secretary,2089188,648717,61378,1878305,856386,0,1855367,2287845,1500000,,
     Bureau of Fire Protection,6838911,713432,281548,6254787,915022,1052000,6727019,992329,851330,,
     Bureau of Jail Management and Penology,3279029,1599274,186160,3266001,1831844,55208,3686535,1849850,80968,,
     Local Government Academy,16919,72097,0,16684,89819,0,17702,68948,0,,
     National Police Commission,1238405,108236,9896,1224295,118064,0,1241673,125128,0,,
     Philippine National Police,66731540,9479218,863027,61654404,5721374,2100000,65560828,6097040,2100000,,
     Philippine Public Safety College,601598,490452,11032,580942,489501,8980,619011,503386,21200,,
,,,,,,,,,,,
   Department of Justice,6603410,2401734,247320,6039498,2353367,95121,6659560,2529550,553946,1,
     Office of the Secretary,2373958,261695,119038,2205471,367652,35891,2426386,441446,450812,,
     Bureau of Corrections,509328,879570,15356,499296,1043832,3500,504860,1051187,35860,,
     Bureau of Immigration,293196,245545,41000,263815,136718,0,294843,181344,10000,,
     Land Registration Authority,667114,356578,5486,540201,219270,30730,583774,240230,30000,,
     National Bureau of Investigation,587136,301679,22923,530893,270546,25000,573184,288408,27274,,
     Office of the Government Corporate Counsel,69061,11394,0,58386,10678,0,71882,11295,0,,
     Office of the Solicitor General,361133,114724,33216,317453,108404,0,367112,114251,0,,
     Parole and Probation Administration,433754,61765,251,389887,66581,0,417059,68272,0,,
     Presidential Commission on Good Government,52973,88170,51,48106,44995,0,50895,45582,0,,
     Public Attorney's Office,1255757,80614,9999,1185990,84691,0,1369565,87535,0,,
,,,,,,,,,,,
   Department of Labor and Employment,3316538,3437388,407051,3147106,3299074,169463,3314032,3586503,337724,1,
     Office of the Secretary,896015,1305472,89042,807054,1174945,11500,924605,1388374,50343,,
     Institute for Labor Studies,15642,6846,1403,12323,6690,2915,15930,8015,2236,,
     National Conciliation and Mediation Board,82206,46463,3647,75050,51339,1383,83926,56307,14444,,
     National Labor Relations Commission,435472,119661,18827,375523,107048,10260,452663,113489,1800,,
     National Maritime Polytechnic,35697,33615,4327,33556,27418,34932,34125,31880,48150,,
     National Wages and Productivity Commission,90351,43486,5121,88897,42428,13492,94798,45698,33338,,
     Philippine Overseas Employment Administration,180400,122414,14856,157486,127449,26420,176789,131527,16200,,
     Professional Regulation Commission,201606,247942,77205,187053,238508,48561,220096,288207,151213,,
     Technical Education and Skills,,,,,,,,,,,
        Development Authority,1379149,1511489,192623,1410164,1523249,20000,1311100,1523006,20000,,
,,,,,,,,,,,
   Department of National Defense,87041615,17645672,5298829,82500774,17083582,5085752,82083643,19026784,5803878,1,
     DND Proper (Office of the Secretary),104000,430260,0,93111,223497,0,107104,350703,232500,,
     Government Arsenal,206532,226899,958,148080,272846,10000,161964,468583,26367,,
     National Defense College of the Philippines,24535,26816,1635,28765,29792,0,22479,30511,0,,
     Office of Civil Defense,76500,196952,0,68898,27495,0,78707,1149305,0,,
,,,,,,,,,,,
     Philippine Veterans Affairs Office,13263113,565954,22365,13205143,633760,53000,7612597,652266,33000,1,
        Philippine Veterans Affairs Office (Proper),12809544,238942,700,12781672,262171,0,7195124,265972,0,,
        Veterans Memorial Medical Center,453569,327012,21665,423471,371589,53000,417473,386294,33000,,
,,,,,,,,,,,
     Armed Forces of the Philippines,73366935,16198791,5273871,68956777,15896192,5022752,74100792,16375416,5512011,1,
        Philippine Army (Land Forces),31763662,5017630,2700,28456742,5130454,20752,29944701,5311087,158670,,
        Philippine Air Force (Air Force),7275545,3957890,19943,6128246,4038242,0,6307286,4089263,180250,,
        Philippine Navy (Naval Forces),9078678,3618823,0,7696721,3672259,0,8137865,3835402,126848,,
"        General Headquarters, AFP and AFP",,,,,,,,,,,
           Wide Service Support Units (AFPWSSUS),25249050,3604448,5251228,26675068,3055237,5002000,29710940,3139664,5046243,,
,,,,,,,,,,,
   Department of Public Works and Highways,4567970,7030111,130181391,4184102,15758565,90687201,4512243,11614525,109415088,1,
     Office of the Secretary,4567970,7030111,130181391,4184102,15758565,90687201,4512243,11614525,109415088,,
,,,,,,,,,,,
   Department of Science and Technology,2850261,3774930,905902,2435689,4271264,615768,2632792,5732915,982752,1,
     Office of the Secretary,322220,924436,100943,253071,1945565,82790,294702,1609352,144460,,
     Advanced Science and Technology Institute,26719,43721,384,21837,23549,10065,30585,29187,21145,,
     Food and Nutrition Research Institute,72620,34437,12289,53976,66168,21092,61795,49751,47902,,
     Forest Products Research and Development Institute,83390,39480,7775,56177,18690,21261,61236,19162,1332,,
     Industrial Technology Development Institute,143872,46835,22545,108915,41588,22250,119789,125849,0,,
     Information and Communications,,,,,,,,,,,
        Technology Office,1141086,557770,229850,1013974,208390,4004,1072069,214794,1300,,
     Metals Industry Research and Development Center,101052,45632,1084,74750,28298,25030,80187,129223,35094,,
     National Academy of Science and Technology,6288,36682,190,5595,32247,0,6142,36367,278,,
     National Research Council of the Philippines,17647,22600,0,16712,17291,6000,17792,37799,669,,
"     Philippine Atmospheric, Geophysical and",,,,,,,,,,,
        Astronomical Services Administration,275887,220734,297759,258693,602144,214764,284622,585208,413816,,
"     Philippine Council for Agriculture,",,,,,,,,,,,
        Forestry and Natural Resources,,,,,,,,,,,
        Research and Development,78103,241136,1659,66997,227437,1782,70079,224919,1495,,
     Philippine Council for Aquatic and,,,,,,,,,,,
        Marine Research and Development,18602,83713,0,16797,20918,0,18246,31612,0,,
     Philippine Council for Health Research,,,,,,,,,,,
        and Development,24234,103084,669,17748,59338,1700,21565,235533,5190,,
"     Philippine Council for Industry, Energy",,,,,,,,,,,
        and Emerging Technology Research and Development,34809,240535,124,29697,109088,2715,27538,567314,1000,,
     Philippine Institute of Volcanology and Seismology,75853,50580,56317,66416,76458,62793,71246,79108,69685,,
     Philippine Nuclear Research Institute,91201,66020,3455,67776,45365,27505,79659,52323,8479,,
     Philippine Science High School,227644,215657,152731,214844,187157,77000,215005,274996,215434,,
     Philippine Textile Research Institute,35656,25151,17229,31142,15326,13877,33379,16975,3273,,
     Science Education Institute,21671,700440,899,17550,492739,990,21027,1347385,1200,,
     Science and Technology Information Institute,24532,22131,0,17593,18956,7150,18572,18956,0,,
     Technology Application and Promotion Institute,27175,54156,0,25429,34552,13000,27557,47102,11000,,
,,,,,,,,,,,
   Department of Social Welfare and Development,899098,14699949,455401,836433,33158192,354101,931137,48304236,188291,1,
     Office of the Secretary,828775,14620378,451575,771568,33085055,351251,863469,48224320,184621,,
     Council for the Welfare of Children,11915,10730,0,10539,11672,1200,12653,15976,365,,
     Inter-Country Adoption Board,6147,20470,2392,5617,18110,1250,6675,18545,740,,
     National Council on Disability Affairs,21543,11890,1434,19640,9668,0,19855,9900,1665,,
     National Youth Commission,30718,36481,0,29069,33687,400,28485,35495,900,,
,,,,,,,,,,,
   Department of Tourism,352097,1137227,20358,311933,1140082,0,321330,1242868,90000,1,
     Office of the Secretary,263221,1051535,9045,230231,1073747,0,234471,1147942,0,,
     Intramuros Administration,21197,16203,6315,19885,12881,0,21863,13189,0,,
     National Parks Development Committee,67679,69489,4998,61817,53454,0,64996,81737,90000,,
,,,,,,,,,,,
   Department of Trade and Industry,1186661,1611854,248351,1048481,1243436,271424,1125036,1577145,82480,1,
     Office of the Secretary,1001512,1413316,238562,885135,1044565,250000,941309,1368490,42000,,
     Board of Investments,104444,125885,5998,90751,122999,19812,104720,126329,0,,
     Construction Industry Authority of the Philippines,26878,17965,0,25153,17815,0,27476,22884,0,,
     Construction Manpower Development Foundation,12001,10832,0,11031,9929,412,12225,10165,0,,
     Philippine Trade Training Center,19211,17509,2177,16256,17701,1200,17189,18123,39940,,
     Product Development and Design Center of,,,,,,,,,,,
        the Philippines,22615,26347,1614,20155,30427,0,22117,31154,540,,
,,,,,,,,,,,
   Department of Transportation and Communications,3875170,10383900,6396840,3575222,10693847,18077000,3784659,9417067,21372758,1,
     Office of the Secretary,3477947,10059873,6347262,3219384,10388189,18023050,3360096,9050305,21317658,,
     Civil Aeronautics Board,28030,16119,3500,25636,14920,0,29093,15878,5000,,
     Maritime Industry Authority,155116,188320,14584,151241,184631,3850,165613,218130,0,,
     Office of Transportation Cooperatives,11007,3441,0,10573,4006,100,11301,4306,100,,
     Office for Transportation Security,192447,112206,31494,159322,97869,50000,209708,123754,50000,,
     Toll Regulatory Board,10623,3941,0,9066,4232,0,8848,4694,0,,
,,,,,,,,,,,
   National Economic and Development Authority,1284499,2654991,189249,1171114,970749,45837,1318716,1608962,41009,1,
     Office of the Director-General,463158,211084,85024,426292,316078,21037,476085,326156,23000,,
     National Statistical Coordination Board,52938,43791,1202,49513,35950,4800,54121,37710,756,,
     National Statistics Office,721057,2369082,103023,651286,586805,0,707513,1026664,0,,
     Philippine National Volunteer Service,,,,,,,,,,,
        Coordinating Agency,7710,4969,0,7378,6208,0,7598,6357,0,,
     Public-Private Partnership Center of the Philippines,0,0,0,0,0,0,33365,184855,7500,,
     Statistical Research and Training Center,10403,7484,0,9453,6413,20000,10546,7925,8753,,
     Tariff Commission,29233,18581,0,27192,19295,0,29488,19295,1000,,
,,,,,,,,,,,
