bus_operator,case_number,number_of_units
Naia Metro Link Bus,2003-0313ST,10
Naia Metro Link Bus,2003-1110ST,10
Newman Gold Liner Inc.,2003-3216ST,11
Newman Goldliner Inc.,2002-1756ST,21
Nicholas Albert Transport Inc.,2002-6440ST1,10
Nicholas Albert Transport Inc.,2003-0116ST,10
Nicholas Albert Transport Inc.,2003-0121ST,17
Nova Auto Transport Inc.,2002-3628ST,11
Nova Auto Transport Inc.,2002-6416,10
Nova Auto Transport Inc.,2002-6417,15
Nova Auto Transport Inc.,2003-0463ST,30
Nuestra Senora Del Carmen,2002-6302,37
Nuestra Senora Del Carmen Transport Service Inc.,2002-6303,11
Nuestra Senora Del Carmen Transport Service Inc.,2002-6304,10
Nuestra Senora Del Carmen Transport Service Inc.,2002-6305,9
Nuestra Senora Del Carmen Transport Service Inc.,2002-6306,10
Original Transport Service Cooperative,2002-4257,29
P B T Pitbull Bus Transport Corporation,2003-0612ST,10
P V Pajarillo Liner Inc.,2002-6116,15
P V Pajarillo Liner Inc.,2002-6117,13
P V Pajarillo Liner Inc.,2003-0743,6
Palma Eduardo L,2003-0726ST,21
Pamana Transport Services Inc.,2003-0322,16
Pamana Transport Services Inc.,2003-0323,6
Pana Sergio S,2003-1457,10
Pandacan Transport Service Multi-Purpose,2003-0668,13
Pandacan Transport Service Multi-Purpose,2003-0669,24
Pascual Liner Inc.,2002-3704,51
Pascual Liner Inc.,2002-3705,87
Pascual Liner Inc.,2002-3707,13
Penalosa Margarito G,2002-1800,15
Penalosa Margarito G,2002-3781,3
Phil Touristers Inc.orporated,2002-4470,50
Philippians Bus Lines Inc.,2002-2773ST,18
Prado Alberto,2008-1971,8
PrInc.e Transport Inc.,2000-3217,5
Rainbow Express Inc.,2002-2672,6
Rainbow Express Inc.,2002-2674ST,10
Rainbow Express Inc.,2002-2676,9
Rbm Grand Rally Transport Inc.,2003-0274ST,13
Regal Starliner Transport Service Inc.,2012-1680,9
Reinalyn Bus Lines Corporation,2007-1143-20,20
Reinalyn Bus Lines Corporation,2010-3236,10
Reinalyn Bus Lines Corporation,2011-0832,10
Rov Transport Service Inc.,2002-3220,17
Roval Transport Corporation,2002-3498ST,10
Roval Transport Corporation,2010-1993,4
Roval Transport Corporation,2000-871,20
Roval Transport Corporation,2002-3504,10
Roval Transport Inc.,2002-0782,13
Roval Transport Inc.,2002-0783,10
Roval Transprt Corporation,2002-3505,5
RRCG Transport System Co. Inc.,2002-4046,40
RRCG Transport System Co. Inc.,2002-4346,20
RRCG Transport System Co. Inc.,2002-4347,20
RRCG Transport System Co. Inc.,2002-4348,7
RRCG Transport System Co. Inc.,99-1902,5
RRCG Transport System Co. Inc.,99-1904,30
RRCG Transport System Co. Inc.,2000-2676,3
RRCG Transport System Co. Inc.,2002-6530,10
RRCG Transport System Co. Inc.,99-1903,10
RS Master Inc.,2009-1234,6
Ruiz Marites G and Ruiz Cerilo C SPS,2003-1274ST,10
Safeway Bus Lines Inc.,2002-5809ST,15
Safeway Bus Lines Inc.,2011-1253,10
Saint Rose Transit Inc.,2002-4664,25
Saint Rose Transit Inc.,2002-4665,25
Sampaguita Transport Inc.,2003-1208ST,5
San Agustin Transport Service Corporation,2004-1704,20
San Agustin Transport Service Corporation,2001-1743,20
San Agustin Transport Service Corporation,2003-1426,4
San Agustin Transport Service Corporation,2002-3602ST,10
San Agustin Transport Service Corporation,2002-3603ST,10
San Agustin Transport Service Corporation,2003-4362ST,10
Santos Severino,2002-3451,5
Santos Severino,2002-6559,28
Santos Severino,2003-0534,13
Santrans Corporation,2003-1475,10
Santrans Corporation,2002-3458,2
Santrans Corporation,2007-3156,6
Santrans Inc.,2003-0533,7
Santrans Inc.,2002-3460,26
Santrans Inc.,2002-3459,29
