city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Luba,Councilor,"Bayudang, Delfin Sr. Angyadan",Pastor,Lakas-Christian Muslim Democrats,1474
Luba,Councilor,"Daoili, Romeo Colet",Romy,Lakas-Christian Muslim Democrats,1516
Luba,Councilor,"Damuasen, Dionisio Jhon",Boting,Lakas-Christian Muslim Democrats,1574
Luba,Councilor,"Gabaoen, Osias Bisly",Osias,Lakas-Kampi,1625
Luba,Councilor,"Martinez, Crispin Tul-Ing",Bebot,Lakas-Kampi,1789
Luba,Councilor,"Siblon, Fernando Segundo",Salbino,Lakas-Christian Muslim Democrats,2125
Malibcong,Mayor,"Bacuyag, Benido Galunay",Ben,Lakas-Kampi,635
Malibcong,Vice-Mayor,"Baawa, Mario Agyao",Mar,-,1089
Malibcong,Councilor,"Dagwat, Crispin Malaggay",Ippin Wating,Partido Demokratiko Sosyalista ng Pilipinas,503
Malibcong,Councilor,"Molina, Carmelo Sr. Bonglas",Milo,Pwersa ng Masang Pilipino,506
Malibcong,Councilor,"Labbagan, Gibson Danao",Mayong,Partido Demokratiko Sosyalista ng Pilipinas,517
Malibcong,Councilor,"Calvario, Lucia Manangdao",Losing,Lakas-Kampi or  Lakas-Christian Muslim Democrats,525
Malibcong,Councilor,"Bagayao, Robert Elvena",Bob,Lakas-Kampi or  Lakas-Christian Muslim Democrats,575
Malibcong,Councilor,"Gayban, Jefferson Gupaal",Jf,Lakas-Kampi or  Lakas-Christian Muslim Democrats,576
Malibcong,Councilor,"Bayudang, Antonio Lomioan",Tony,Lakas-Kampi or  Lakas-Christian Muslim Democrats,595
Malibcong,Councilor,"Balitnang, Clemente Bayudang",Menti,-,601
Manabo,Mayor,"Masayo, Domasing Cayto",Sayo,Lakas-Kampi,4070
Manabo,Vice-Mayor,"Gayao, Arturo Sawadan",Arthur,Lakas-Kampi,3473
Manabo,Councilor,"Crisologo, Rosendo Jr. Bersamin",Joe,Lakas-Kampi,2430
Manabo,Councilor,"Pabrua, Apolinario Agabas",Ruben,Lakas-Kampi,2670
Manabo,Councilor,"Balangcad, Agapito Jr. Marcos",Pikaw,Lakas-Kampi,3021
Manabo,Councilor,"Gumanab, Baylon Guzman",Lolong,Lakas-Kampi,3312
Manabo,Councilor,"Sabaot, Norma Bersamin",Norma,Lakas-Kampi,3319
Manabo,Councilor,"Licuben, Jaime Murphy",Ammi,Lakas-Kampi,3385
Manabo,Councilor,"Prieto, Nixon Sapongen",Nick,Lakas-Kampi,4028
Manabo,Councilor,"Fetalvero, Artemio Piano",Boy Vigan,Lakas-Kampi,2106
Penarrubia,Mayor,"Balbuena, Geraldine Mamsaang",Jing Jing,Lakas-Kampi,1802
Penarrubia,Vice-Mayor,"Atmosfera, Carmelo Lyndon Ablan",Lyndon,Lakas-Kampi,1679
Penarrubia,Councilor,"Masaoay, Carmelo Dimeg",Milo,Lakas-Kampi,1928
Penarrubia,Councilor,"Blanca, Joel Reboldela",Jo,Lakas-Kampi,1523
Penarrubia,Councilor,"Damasen, Valeriano Valera, Jr.",Rany,Lakas-Kampi,1638
Penarrubia,Councilor,"Bumogas, Delfin Balbin",Pin,Independent,1657
Penarrubia,Councilor,"Daipan, Leonardo Casibo",Nardo,Independent,1746
Penarrubia,Councilor,"Viado, Helen Liwaliw",Len,Partido Demokratiko Sosyalista ng Pilipinas,1786
Penarrubia,Councilor,"Hacutina, Noel Jr. Rebucan",Tibong,Independent,1918
Penarrubia,Councilor,"Valencia, Perlita Giwagiw",Piit,Lakas-Kampi,1963
Pidigan,Mayor,"Bisares, Arnulfo Menor",Anno,Nationalist People's Coalition ,3430
Pidigan,Vice-Mayor,"Pilarta, Florante Sr. Angeles",Amboy,Nationalist People's Coalition ,2762
Pidigan,Councilor,"Chong, Jumel Parinas",Joy,Independent,2321
Pidigan,Councilor,"Dumlao, Darlito Pilar",Iye,Nationalist People's Coalition ,1700
Pidigan,Councilor,"Valeros, Renato Dela Rosa",Atong,Independent,1771
Pidigan,Councilor,"Pacleba, Loreto Cardenas",Loring,Independent,1797
Pidigan,Councilor,"Billedo, Roberto Plurad",Atting,Nationalist People's Coalition ,1875
