region,private_hei,bacc,ms_or_ma,phd,total
VII (Central Visayas),Felipe R. Verallo Memorial Foundation-Bogo,38,0,6,44
VII (Central Visayas),Foundation University,107,0,14,121
VII (Central Visayas),University of the Visayas-Gullas College of Medicine,112,0,0,112
VII (Central Visayas),Holy Trinity College,9,0,2,11
VII (Central Visayas),Immaculate Heart of Mary Seminary,22,0,0,22
VII (Central Visayas),Indiana School of Aeronautics,23,4,1,28
VII (Central Visayas),University of the Visayas-Mandaue Campus,15,0,3,18
VII (Central Visayas),Manto Memorial Foundation College,10,4,0,14
VII (Central Visayas),Mater Dei College-Bohol,63,1,7,71
VII (Central Visayas),Northern Cebu College,12,1,3,16
VII (Central Visayas),PMI Colleges-Bohol,44,16,2,62
VII (Central Visayas),St. Francis College-Guihulngan,27,7,2,36
VII (Central Visayas),St. Joseph College of Canlaon,30,0,1,31
VII (Central Visayas),St. Joseph Seminary College,4,13,1,18
VII (Central Visayas),St. Paul University Dumaguete,91,2,17,110
VII (Central Visayas),St. Theresa's College of Cebu,21,17,3,41
VII (Central Visayas),Salazar Colleges of Science and Institute of Technology,37,0,4,41
VII (Central Visayas),San Carlos Seminary College,9,0,7,16
VII (Central Visayas),Silliman University,203,279,49,531
VII (Central Visayas),Southwestern University,104,155,59,318
VII (Central Visayas),St. Catherines' College,44,0,1,45
VII (Central Visayas),Southwestern University-Matias H. Aznar Memorial College of Medicine,152,0,1,153
VII (Central Visayas),University of the Visayas-Gullas College Toledo Branch,65,0,7,72
VII (Central Visayas),University of Bohol,209,6,29,244
VII (Central Visayas),University of Cebu,149,2,9,160
VII (Central Visayas),University of San Carlos,715,1,100,816
VII (Central Visayas),University of San Jose-Recoletos,373,16,50,439
VII (Central Visayas),University of Southern Philippines Foundation,56,68,21,145
VII (Central Visayas),Quezon Memorial Institute of Siquijor,20,0,0,20
VII (Central Visayas),Velez College,103,39,2,144
VII (Central Visayas),Villaflores College,14,7,2,23
VII (Central Visayas),Batuan Colleges,2,6,1,9
VII (Central Visayas),Don Bosco Technology Center,27,18,5,50
VII (Central Visayas),Negros Maritime College Foundation,17,0,1,18
VII (Central Visayas),Royal Christian College,24,0,6,30
VII (Central Visayas),University of Cebu-Lapulapu and Mandaue,253,4,6,263
VII (Central Visayas),Asian College of Science and Technology-Dumaguete,35,1,0,36
VII (Central Visayas),De La Salle Andres Soriano Memorial College,15,0,3,18
VII (Central Visayas),Bantayan Southern Institute,26,0,0,26
VII (Central Visayas),Mount Moriah College,17,0,0,17
VII (Central Visayas),Presbyterian Theological College,9,6,5,20
VII (Central Visayas),STI College-Cebu City,17,0,0,17
VII (Central Visayas),Visayan Nazarene Bible College,21,0,0,21
VII (Central Visayas),Bohol Northern Star College,33,0,6,39
VII (Central Visayas),CBD College,11,0,2,13
VII (Central Visayas),Consolatrix College of Toledo City,36,0,4,40
VII (Central Visayas),Evangelical Theological College of the Philippines,20,4,0,24
VII (Central Visayas),St. Louise de Marillac College-Bogo,18,2,2,22
VII (Central Visayas),Seminaryo Mayor de San Carlos,0,10,3,13
VII (Central Visayas),Advanced Institute of Technology,7,0,0,7
VII (Central Visayas),Collegium Societatis Angeli Pacis,7,4,4,15
VII (Central Visayas),Centre for International Education Global Colleges,12,0,3,15
VII (Central Visayas),BIT International College-Carmen,7,2,0,9
VII (Central Visayas),AMA Computer College-Dumaguete City,13,4,0,17
VII (Central Visayas),Flight Dynamic School of Aeronautics,8,0,0,8
VII (Central Visayas),University of the Visayas-Gullas College Danao City Branch,15,7,2,24
VII (Central Visayas),Negros College,38,0,2,40
VII (Central Visayas),Benedicto College,34,0,5,39
VII (Central Visayas),Northeastern Cebu Colleges,20,0,1,21
VII (Central Visayas),St. Paul College Foundation-Mandaue,9,0,0,9
VII (Central Visayas),University of Cebu-Banilad,143,0,7,150
VII (Central Visayas),Bohol Northwestern College,8,3,0,11
VII (Central Visayas),Cebu Sacred Heart College,20,0,1,21
VII (Central Visayas),Larmen De Guia Memorial College,4,2,4,10
VII (Central Visayas),Interface Computer College,11,1,0,12
VII (Central Visayas),Mary's Children Formation College,7,6,4,17
VII (Central Visayas),Rogationist Seminary College-Cebu,12,1,4,17
VII (Central Visayas),Colegio de San Antonio de Padua,32,16,7,55
VII (Central Visayas),Cristal e-College,17,0,1,18
VII (Central Visayas),STI College-Tagbilaran,25,1,0,26
VII (Central Visayas),University of the Visayas-Gullas College Minglanilla Campus,7,3,0,10
VII (Central Visayas),Bohol Wisdom School,20,1,2,23
VII (Central Visayas),Central Philippine Bible College,12,0,1,13
VII (Central Visayas),Cebu Mary Immaculate College,19,0,0,19
VII (Central Visayas),ACLC College of Mandaue,62,2,1,65
VII (Central Visayas),Immanuel Bible College,26,0,1,27
VII (Central Visayas),Trade-Tech International Science Institute,16,8,1,25
VII (Central Visayas),Cristal e-College-Panglao Campus,60,1,1,62
VII (Central Visayas),Professional Academy of the Philippines,34,0,5,39
VII (Central Visayas),La Consolacion College-Liloan,17,0,1,18
VII (Central Visayas),Sto. Tomas College,16,0,2,18
VII (Central Visayas),Microsystem International Institute of Technology,9,2,0,11
VII (Central Visayas),Metro Dumaguete College,28,0,1,29
VII (Central Visayas),University of The Visayas-Dalaguete Campus,17,5,2,24
VII (Central Visayas),Maxino College,5,2,7,14
VII (Central Visayas),La Consolacion College-Bais,26,14,1,41
VII (Central Visayas),Lyceum of Cebu,18,2,3,23
VII (Central Visayas),Golden Success College,20,2,4,26
VII (Central Visayas),ACLC College of Tagbilaran,10,0,0,10
VII (Central Visayas),St. Cecilia's College-Cebu,12,7,4,23
VII (Central Visayas),NISSI Academy ,0,4,1,5
VII (Central Visayas),St. Louis College-Cebu ,17,2,1,20
VII (Central Visayas),Mary Our Help Technical Institute for Women,13,5,1,19
VII (Central Visayas),Carmelite College-Siquijor ,7,1,2,10
VII (Central Visayas),Rosemont Hills Montessori Academy ,10,0,2,12
VII (Central Visayas),I.K.O.N. College ,9,1,0,10
VII (Central Visayas),Tabor Hills College,11,0,0,11
VII (Central Visayas),Rizwoods Colleges,10,0,2,12
VIII (Eastern Visayas),Asian Development Foundation College,66,0,10,76
VIII (Eastern Visayas),Christ the King College-Calbayog City,40,3,2,45
VIII (Eastern Visayas),The College of Maasin,61,21,1,83
VIII (Eastern Visayas),Dr. V. Orestes Romualdez Educational Foundation,16,0,0,16
VIII (Eastern Visayas),Dona Remedios Trinidad Medical Foundation,84,43,6,133
VIII (Eastern Visayas),Franciscan College of the Immaculate Conception,37,1,1,39
VIII (Eastern Visayas),Holy Infant College,42,0,6,48
VIII (Eastern Visayas),Leyte Colleges,61,25,8,94
VIII (Eastern Visayas),Northern Leyte College,15,0,0,15
