region,private_hei,bacc,ms_or_ma,phd,total
CAR (Cordillera Administrative Region),San Pablo Major Seminary,5,9,11,25
CAR (Cordillera Administrative Region),Casiciaco Recoletos Seminary,0,11,10,21
CAR (Cordillera Administrative Region),University of Baguio,142,197,49,388
CAR (Cordillera Administrative Region),Easter College,29,19,0,48
CAR (Cordillera Administrative Region),Keystone College,12,8,3,23
CAR (Cordillera Administrative Region),STI Education Group Services,20,10,0,30
CAR (Cordillera Administrative Region),Baguio College of Technology,18,14,1,33
CAR (Cordillera Administrative Region),BVS College,5,8,2,15
CAR (Cordillera Administrative Region),International Christian Colleges ,4,3,1,8
CAR (Cordillera Administrative Region),Cordillera A+ Computer Technology College,17,7,0,24
CAR (Cordillera Administrative Region),AMA Computer College-Baguio,11,10,0,21
CAR (Cordillera Administrative Region),Data Center College of the Philippines of Bangued-Abra,24,12,0,36
CAR (Cordillera Administrative Region),Kalinga Colleges of Science and Technology,18,9,0,27
CAR (Cordillera Administrative Region),Data Center College of the Philippines of Baguio City,16,7,0,23
CAR (Cordillera Administrative Region),Philippines Women's University-Baguio City,23,10,5,38
CAR (Cordillera Administrative Region),Baguio Christian Mission International College,6,3,3,12
CAR (Cordillera Administrative Region),Kings Colleges of the Philippines-Benguet,65,33,10,108
CAR (Cordillera Administrative Region),St. Tonis College,7,17,3,27
CAR (Cordillera Administrative Region),Colegio Nacional,10,17,9,36
CAR (Cordillera Administrative Region),BSBT College,21,6,0,27
CAR (Cordillera Administrative Region),Xijen College of Mt. Province,11,3,2,16
CAR (Cordillera Administrative Region),Pinnacle Colleges of Bangued,8,2,0,10
CAR (Cordillera Administrative Region),Baguio City Academy Colleges,9,2,1,12
CAR (Cordillera Administrative Region),HML International College,7,3,1,11
CAR (Cordillera Administrative Region),Remnant International School ,6,10,4,20
CAR (Cordillera Administrative Region),Triniville Central College ,4,4,2,10
CAR (Cordillera Administrative Region),International School of Asia and the Pacific-Tabuk Branch,22,5,0,27
ARMM (Autonomous Region in Muslim Mindanao),Jamiatu Marawi Al-Islamia Foundation,19,5,1,25
ARMM (Autonomous Region in Muslim Mindanao),Jamiatu Muslim Mindanao,4,7,5,16
ARMM (Autonomous Region in Muslim Mindanao),Jamiatul Philippine Al-Islamia,26,2,2,30
ARMM (Autonomous Region in Muslim Mindanao),Datu Mala-Muslim Mindanao Islamic College Foundation,9,4,2,15
ARMM (Autonomous Region in Muslim Mindanao),Gani L. Abpi Colleges,13,3,2,18
ARMM (Autonomous Region in Muslim Mindanao),Notre Dame of Jolo College,83,37,2,122
ARMM (Autonomous Region in Muslim Mindanao),Shariff Kabunsuan College-Annex,0,11,9,20
ARMM (Autonomous Region in Muslim Mindanao),Sultan Kudarat Islamic Academy Foundation College,9,2,0,11
ARMM (Autonomous Region in Muslim Mindanao),Southwestern Mindanao Islamic Institute,20,13,2,35
ARMM (Autonomous Region in Muslim Mindanao),Abubakar Computer Learning Center Foundation,36,4,0,40
ARMM (Autonomous Region in Muslim Mindanao),Lanao Educational Institute,13,3,4,20
ARMM (Autonomous Region in Muslim Mindanao),Mahardika Institute of Technology,68,24,4,96
ARMM (Autonomous Region in Muslim Mindanao),Sal Foundation College,1,5,2,8
ARMM (Autonomous Region in Muslim Mindanao),Mindanao Autonomous College Foundation,21,6,2,29
ARMM (Autonomous Region in Muslim Mindanao),Datu Ibrahim Paglas Memorial College,13,7,1,21
ARMM (Autonomous Region in Muslim Mindanao),Saffrullah M. Dipatuan Foundation Academy,18,4,2,24
ARMM (Autonomous Region in Muslim Mindanao),Southern Philippines College of Sciences and Health Education,28,5,0,33
ARMM (Autonomous Region in Muslim Mindanao),Mariam School of Nursing,9,7,0,16
ARMM (Autonomous Region in Muslim Mindanao),Alexian College of Parang,6,5,1,12
ARMM (Autonomous Region in Muslim Mindanao),Lanao College of Criminology,16,1,0,17
ARMM (Autonomous Region in Muslim Mindanao),Lake Lanao College,12,3,1,16
ARMM (Autonomous Region in Muslim Mindanao),Hiland Institute Colleges,5,2,0,7
ARMM (Autonomous Region in Muslim Mindanao),Datu Blo Umpar Adiong Agricultural School Foundation,5,1,0,6
ARMM (Autonomous Region in Muslim Mindanao),Bai Malgen Mama College,12,0,1,13
ARMM (Autonomous Region in Muslim Mindanao),Al Kwarizmi International College Foundation,19,7,5,31
ARMM (Autonomous Region in Muslim Mindanao),Hardam Furigay Colleges Foundation,24,7,1,32
XIII (Caraga),Agusan Business and Arts Foundation,10,1,0,11
XIII (Caraga),Agusan Colleges,19,10,7,36
XIII (Caraga),Agusan Del Sur College,47,12,5,64
XIII (Caraga),Agusan Institute of Technology,5,30,0,35
XIII (Caraga),Asian College Foundation,9,4,0,13
XIII (Caraga),Butuan City Colleges,25,5,1,31
XIII (Caraga),Butuan Doctors' College,27,14,2,43
XIII (Caraga),Don Jose Ecleo Memorial Foundation College of Science and Technology,13,13,2,28
XIII (Caraga),Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,14,4,2,20
XIII (Caraga),New Northern Mindanao Colleges,50,10,2,62
XIII (Caraga),Northwestern Agusan Colleges,21,7,1,29
XIII (Caraga),St. Francis Xavier College,37,6,1,44
XIII (Caraga),St. Joseph Institute of Technology,86,14,9,109
XIII (Caraga),St. Jude Thaddeus Institute of Technology,28,3,2,33
XIII (Caraga),San Francisco Colleges,12,5,0,17
XIII (Caraga),St. Paul University Surigao,41,51,15,107
XIII (Caraga),Surigao Education Center,63,27,3,93
XIII (Caraga),Father Saturnino Urios University,174,84,30,288
XIII (Caraga),West Agusan Colleges,11,4,1,16
XIII (Caraga),Northeastern Mindanao Colleges,37,16,6,59
XIII (Caraga),Andres Soriano College,12,10,3,25
XIII (Caraga),St. Michael's College Cantilan,17,11,2,30
XIII (Caraga),St. Theresa College of Tandag,18,13,4,35
XIII (Caraga),St. Vincent de Paul Diocesan College,29,1,0,30
XIII (Caraga),Southern Technological Institute of the Philippines,36,2,1,39
XIII (Caraga),Surigao Sur Colleges,8,2,0,10
XIII (Caraga),Siargao Island Institute of Technology,33,12,2,47
XIII (Caraga),Caraga Institute of Technology,25,5,0,30
XIII (Caraga),De La Salle John Bosco College,54,12,1,67
XIII (Caraga),Mt. Carmel College of San Francisco,16,11,1,28
XIII (Caraga),Sunrise Christian College Foundation of the Philippines,11,2,2,15
XIII (Caraga),St. Michael College of Caraga,20,22,2,44
XIII (Caraga),Southway College of Technology,33,4,0,37
XIII (Caraga),Holy Child Colleges of Butuan City,18,24,7,49
XIII (Caraga),STI College-Surigao,18,5,0,23
XIII (Caraga),Balite Institute of Technology-Butuan,0,9,2,11
XIII (Caraga),St. Peter College Seminary,5,7,1,13
XIII (Caraga),Bucas Grande Foundation College,4,9,5,18
XIII (Caraga),ACLC College of Butuan City,31,9,0,40
XIII (Caraga),Philippine Electronics and Communication Institute of Technology,12,9,1,22
XIII (Caraga),Rafael A. Mondejar Memorial College,7,2,1,10
XIII (Caraga),Caraga Computer College,7,2,1,10
XIII (Caraga),Golden Gate International Career Institute,4,7,1,12
XIII (Caraga),Candelaria Institute of Cabadbaran,6,1,1,8
V-B (MIMAROPA),Abada College,26,14,3,43
V-B (MIMAROPA),Colegio De San Sebastian-Sablayan,20,8,0,28
V-B (MIMAROPA),Divine Word College of Calapan,76,61,14,151
V-B (MIMAROPA),Divine Word College of San Jose,27,24,3,54
V-B (MIMAROPA),Eastern Mindoro College,16,3,0,19
V-B (MIMAROPA),EMA EMITS College Philippines,6,10,0,16
V-B (MIMAROPA),Grace Mission College,9,5,1,15
V-B (MIMAROPA),Holy Trinity University,39,34,10,83
V-B (MIMAROPA),St. Mary's College of Marinduque,14,5,0,19
V-B (MIMAROPA),Loyola College of Culion,10,4,0,14
V-B (MIMAROPA),Luna Goco Colleges-Calapan,19,12,1,32
V-B (MIMAROPA),Palawan Polytechnic College,21,16,4,41
V-B (MIMAROPA),St. Augustine Seminary,0,13,2,15
V-B (MIMAROPA),San Francisco Javier College,14,3,0,17
V-B (MIMAROPA),Santa Cruz Institute,7,14,0,21
V-B (MIMAROPA),Seminario De San Jose,5,5,1,11
V-B (MIMAROPA),Educational Systems Technological Institute,21,4,1,26
V-B (MIMAROPA),"CLCC Institute of Computer, Arts and Technology",4,5,0,9
V-B (MIMAROPA),Fullbright College,41,7,2,50
V-B (MIMAROPA),Marinduque Midwest College,24,14,1,39
V-B (MIMAROPA),Prince of Peace College,7,1,1,9
V-B (MIMAROPA),John Paul College,16,26,5,47
V-B (MIMAROPA),San Lorenzo Ruiz Seminary,7,3,0,10
V-B (MIMAROPA),Clarendon College,1,25,1,27
V-B (MIMAROPA),Mina de Oro Institute of Science and Technology,6,5,0,11
V-B (MIMAROPA),ACMCL College,1,6,0,7
V-B (MIMAROPA),Palawan Technological College,3,13,3,19
V-B (MIMAROPA),IATEC Computer College,12,4,0,16
V-B (MIMAROPA),Innovative College of Science and Technology,38,8,1,47
V-B (MIMAROPA),St. Anthony College of Calapan City,11,21,4,36
V-B (MIMAROPA),Southwestern Institute of Business and Technology,7,10,3,20
V-B (MIMAROPA),Paradigm College of Science and Technology,21,11,1,33
V-B (MIMAROPA),Erhard Systems Technological Institute,13,13,2,28
V-B (MIMAROPA),Institute of Business Science and Medical Arts,14,3,0,17
V-B (MIMAROPA),Philippine Central Islands College Foundation,10,9,1,20
V-B (MIMAROPA),ACLC College of Calapan,12,5,2,19
V-B (MIMAROPA),Pinamalayan Maritime Foundation and Technological Institute,11,11,0,22
V-B (MIMAROPA),STI College-Puerto Princesa,11,4,0,15
V-B (MIMAROPA),Remnant Christian College-Palawan,1,6,1,8
V-B (MIMAROPA),Luna Goco College-Roxas,6,0,0,6
Grand Total, Grand Total ,43577,33992,8432,86001
