city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Hungduan,Vice-Mayor,"Hangdaan, John Dayuwan",John,Liberal Party,1580
Hungduan,Councilor,"Lacbawan, Jessie Binwag",Jess,Independent,1130
Hungduan,Councilor,"Bugatti, Lucas Adamme",Luke,Independent,1130
Hungduan,Councilor,"Gamboc, Juanito Binumnga",Hummoldang,Independent,1134
Hungduan,Councilor,"Binwag, Pedro Ippit",Pedro,Independent,1138
Hungduan,Councilor,"Wacoy, Ruben Pinkihan",Wacoy,Independent,1214
Hungduan,Councilor,"Haguyayap, Romeo Lango",Agayap,Liberal Party,1341
Hungduan,Councilor,"Balenga, Evelyn Yagonda",Bannak,Independent,1476
Hungduan,Councilor,"Ipan, Agustina Madangeng",Tina,Independent,1549
Kiangan,Mayor,"Guyguyon, Joselito Gano",Josel,Independent,3485
Kiangan,Vice-Mayor,"Dulnuan, Roel Francis Atiwon",Hato,Independent,4011
Kiangan,Councilor,"Dulnuan, Nuel Longdahon",Noel,Independent,2239
Kiangan,Councilor,"Tayaban, James Torres",Jaime,Independent,2309
Kiangan,Councilor,"Castillo, Hilario Tuguinay",Larry,Independent,2313
Kiangan,Councilor,"Nidogma, Antonio Jr. Talosig",Dun-Dun,Independent,2444
Kiangan,Councilor,"Dulnuan, Lawrence, Jr. Agnanao",Allig,Independent,2488
Kiangan,Councilor,"Famorca, Gregory Villamor",Guyyu,Independent,2766
Kiangan,Councilor,"Binlang, Alberto, Jr. Dumalnog",Boy,Independent,2831
Kiangan,Councilor,"Piggangay, Magdalena Dulnuan",Dalen,Independent,3012
Lagawe,Mayor,"Cabbigat, Ceasario Dominong",Ceasar,Lakas-Kampi,4855
Lagawe,Vice-Mayor,"Habawel, Martin, Jr. Luglug",Omar,Independent,4655
Lagawe,Councilor,"Pulao, Davis Hampuy",White,Independent,2476
Lagawe,Councilor,"Nabanalan, Johnny Polahon",Kaibigan,Independent,2481
Lagawe,Councilor,"Dangayo, Jason Galap",Jason,Independent,2665
Lagawe,Councilor,"Hoggang, Irene Gallangi",Irene,Lakas-Kampi,2804
Lagawe,Councilor,"Bumanghat, Wilson Guidangen",Wilson,Lakas-Kampi,2844
Lagawe,Councilor,"Kimayong, Reynold Allaga",Mayongki,Lakas-Kampi,2916
Lagawe,Councilor,"Campul, Noel Pingao",Noel,Lakas-Kampi,3032
Lagawe,Councilor,"Buhulon, James Mumoh",Mumoh,Lakas-Kampi,3667
Lamut,Mayor,"Tenenan, Francisco, Sr. Pumihic",Francis,Liberal Party,5524
Lamut,Vice-Mayor,"Bunnol, Victomar Hagada",Tomar,Lakas-Kampi,4343
Lamut,Councilor,"Westnit, Jose Ecocruz",None,Independent,2722
Lamut,Councilor,"Bantag, Benjamin Laoyan",Benjie,Liberal Party,2797
Lamut,Councilor,"Sawad, Brenda Malingan",Brenda,Liberal Party,2849
Lamut,Councilor,"Belingon, Napoleon Cablin",Nap,Liberal Party,2853
Lamut,Councilor,"Chaguile, Adryan Bongyo",Adry,Independent,3057
Lamut,Councilor,"Mateo, Dolores Dancel",Dollie,Liberal Party,3075
Lamut,Councilor,"Dulinayan, Ferdinand Hodom",Din-Din,Independent,3136
Lamut,Councilor,"In-Uyay, Joseph Guinid",Joe,Liberal Party,3158
Mayoyao,Mayor,"Lumayna, Ronie Hamchawan",Ronie,Independent,2999
Mayoyao,Vice-Mayor,"Padchanan, Vencetine Batang",Teng Teng,Independent,3149
Mayoyao,Councilor,"Licnachan, Joseph Langgawan",Johep,Independent,1923
Mayoyao,Councilor,"Gopeng, William Alagoy",Willy,Lakas-Kampi,1966
Mayoyao,Councilor,"Oybon, Dennis Atiwon",Den-Den,Lakas-Kampi,1978
Mayoyao,Councilor,"Panangon, Cesar Bumaguing",Z-zar,Nacionalista Party,2020
Mayoyao,Councilor,"Lim-Ang, Letty Maguiwe",Letty,Lakas-Kampi,2070
Mayoyao,Councilor,"Mangetag, Samuel Lengachao",Sammy,Independent,2191
Mayoyao,Councilor,"Panitio, Ruben Elahe",Ben,Independent,2202
Mayoyao,Councilor,"Abagan, Ulysis Chupalan",Anyum,Independent,2373
Tinoc,Mayor,"Pugong, Lopez Dulnuan",Loy,Lakas-Kampi,3603
Tinoc,Vice-Mayor,"Calya-En, Agustin Cayat",Al,Independent,2455
Tinoc,Councilor,"Tacio, Efren Alhido",Banghi-il,Lakas-Kampi,2402
Tinoc,Councilor,"Danao, Emerita Alindayo",Emerita,Independent,2416
Tinoc,Councilor,"Mayomes, Ben Madino",Mbm,Lakas-Kampi,2444
Tinoc,Councilor,"Calyaen, Victor, Sr. Vicente",Vic,Lakas-Kampi,2535
Tinoc,Councilor,"Patnaan, Paul Taguiling",Pol,Lakas-Kampi,2542
Tinoc,Councilor,"Donato, Dolores Saking",Dolores,Independent,2809
Tinoc,Councilor,"Humakey, Randy Binay-An",Gaki,Lakas-Kampi,3299
Tinoc,Councilor,"Nagayos, Felicitas Tayaban",Fely,Lakas-Kampi,3311
