code,name_of_project, amount ,date_utilized, amount_paid , balance 
300-2013-07-011011,"Improvement of 3 Bays Multi-Purpose Bldg. at San Miguel E/S, Brgy. San Miguel, Sto. Tomas, Batangas",1500000,-,-,1500000
300-2013-02-001843,"Rehabilitation orImprovement of Multi-Purpose Bldg. at Brgy. San Lucas, Lipa City, Batangas",901101.68,5/10/2013,135165.25,-
300-2013-02-001843,"Rehabilitation or Improvement of Multi-Purpose Bldg. at Brgy. San Lucas, Lipa City, Batangas",-,8/29/2013,765936.43,0
300-2013-06-010379,"Improvement of Multi-Purpose Bldg. at Brgy. San Martin, San Luis, Batangas",998671.71,7/2/2013,998671.71,0
300-2013-06-010464,"Improvement of Multi-Purpose Bldg. at Brgy. Poblacion, Lobo, Batangas",498706.73,7/2/2013,498706.73,0
300-2013-08-014189,Rehabilitation or Improvement of Waiting Sheds at Various Municipalities,932428.73,8/28/2013,932428.73,0
300-2013-08-014189,"Installation of Solar Electrification at Brgy. Alas-as, San Nicolas, Batangas",798805.99,-,-,798805.99
300-2013-08-014189,"Installation of Streetlights at Brgy. Inosluban,Lipa City",3366085.46,-,-,3366085.46
300-2013-02-001858,"Construction of Balete Municipal Health Center at Brgy. Poblacion, Balete, Batangas",9741000,5/20/2013,1461150,-
300-2013-02-001858,"Construction of Balete Municipal Health Center at Brgy. Poblacion, Balete, Batangas",-,9/26/2013,3621345,4658505
300-2013-03-003571,"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Brgy. Miranda, Talisay, Batangas",4210680.92,9/20/2013,4210680.92,0
300-2013-03-003574,"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Brgy. Dita, Lemery, Batangas",3669510.19,4/30/2013,550426.53,3119083.66
300-2013-03-003562,"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at NAVERA NHS, Brgy. Concepcion, Batangas City",2625005.99,5/9/2013,393750.9,2231255.09
300-2013-03-003558,"Installation of Submersible Pump and Construction of Elevated Water Tank (5,500gals) at Brgy. Sta. Maria (Sitio Dayap), Laurel,Batangas",3596818.77,4/30/2013,539522.82,-
300-2013-03-003558,"Installation of Submersible Pump and Construction of Elevated Water Tank (5,500gals) at Brgy. Sta. Maria (Sitio Dayap), Laurel,Batangas",-,8/28/2013,3057295.95,0
300-2013-03-003558,"Installation of Submersible Pump and Waterlines at Brgy. Leviste, Rosario, Batangas",1900000,-,-,1900000
300-2013-03-003576,"Construction of One (1) Unit Artesian Well at Brgy. Malabrigo, Lobo, Batangas",274056.31,7/2/2013,274056.31,0
300-2013-03-003576,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Sico and Janao-janao,San Juan, Batangas",5957677.32,-,-,5957677.32
300-2013-02-001810,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Bolbok, Tuy, Batangas",5692865.6,7/15/2013,853929.84,-
300-2013-02-001810,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Bolbok, Tuy, Batangas",-,-,4838935.76,0
300-2013-02-001815,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Lucsuhin, Calatagan,Batangas",4274393.34,5/6/2013,640462.88,3633930.46
300-2013-02-001815,Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Muzon along Municipalities of San Luis and Alitagtag,6827299.46,-,-,6827299.46
300-2013-07-010892,"Rehabilitation or Improvement of Pavement of Provincial Road connecting Sections of Brgy. Pob. 2 Road, Cuta West Road and Cuta East Road, Sta. Teresita, Batangas",4134808,7/4/2013,4134808,0
300-2013-06-010725,"Rehabilitation or Improvement of Pavement of Provincial Road Section of Brgy. Dalipit East Road, Alitagtag, Section of Brgy. Dalipit West and East Roads and Section of Bungahan Road,Cuenca, Batangas",3410315,7/4/2013,3410315,0
300-2013-07-012967,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgys. San Felix, San Jose,Sta. Ana Sect., Sto. Tomas, Batangas",1997711.85,8/29/2013,1997711.85,0
300-2013-07-012290,"Rehabilitation or Improvement of Pavement of Provincial Road at Brgys. Sambungan and Real,Calatagan, Batangas",2282968.46,7/26/2013,2282968.46,0
300-2013-07-012113,"Concreting of Palsara-Kinalaglagan Bridge Approach along Balete and Mataas na Kahoy Road, Batangas",3188901.35,7/25/2013,3188901.35,0
300-2013-07-012113,"Concreting of Provincial Road at Brgy. Luya,San Luis, Batangas",1460688.88,-,-,1460688.88
300-2013-08-014217,"Concreting of Provincial Road at Brgy. San Miguel, Sto. Tomas, Batangas",1291700,8/29/2013,1291700,0
300-2013-06-010364,"Concreting of Various Brgy. Road at Municipality of San Jose, Batangas",1748004,7/1/2013,1748004,0
300-2013-07-012346,"Concreting of Various Brgy. Road at Lipa City,Batangas",2996794.86,7/26/2013,2996794.86,0
300-2013-07-012346,"Concreting of Various Brgy. Road at Municipality of Calatagan, Batangas",3000000,-,-,3000000
300-2013-08-014038,"Concreting of Various Brgy. Road at Municipality of Rosario, Batangas",1997967.6,8/29/2013,1997967.6,0
300-2013-06-010427,"Concreting of Various Brgy. Road at Municipality of Agoncillo, Batangas",2796734.82,7/2/2013,2796734.82,0
300-2013-07-011714,"Concreting of Various Brgy. Road at Municipality of San Juan, Batangas",2350796.06,7/16/2013,2350796.06,0
300-2013-07-011714,"Concreting of Brgy. Road at Brgy. Talumpok Silangan, Batangas City",1000000,-,-,1000000
300-2013-06-010570,"Concreting of Brgy. Road at Brgy. Leviste,Laurel, Batangas",998725.01,7/2/2013,998725.01,0
300-2013-08-014061,"Concreting of Brgy. Road at Brgy. Halang, Taal,Batangas",698272.78,8/29/2013,698272.78,0
300-2013-06-010564,"Concreting of Brgy. Road at Brgy. Natunuan North, San Pascual, Batangas",498169.94,7/2/2013,498169.94,0
300-2013-09-016132,"Concreting of Brgy. Road at Quilo-quilo North and Construction of Concret Pavement at Municipal Cultural Center Compound at Brgy. Quilo-quilo North, Padre Garcia, Batangas",998523.42,9/20/2013,998523.42,0
300-2013-07-011395,"Rehabilitation of Brgy. Road at Brgy. Anilao East, Mabini, Batangas",998815.55,7/16/2013,998815.55,0
300-2013-06-010558,"Rehabilitation of Brgy. Road at Brgy. Quisumbing, Calaca, Batangas",1747708.49,7/2/2013,1747708.49,0
300-2013-06-010558,"Rehabilitation and Improvement of Road at Brgy. San Mariano, San Pascual, Batangas",1500000,-,-,1500000
300-2013-06-010558,"Rehabilitation or Improvement and Reblocking of Brgy. Road at Brgy. Suplang, Tanauan City",2568725.9,-,-,2568725.9
300-2013-08-014822,"Asphalt Overlay of Brgy. Road at Brgy. Poblacion IV, San Jose, Batangas",998472,9/4/2013,998472,0
300-2013-08-014822,"Asphalt Overlay of Provincial Road at Ibaan to San Jose, Batangas",15644934.79,-,-,15644934.79
300-2013-06-010529,"Asphalt Overlay of Brgy. Road at Brgy. Poblacion E, Rosario, Batangas",3746546.59,7/2/2013,3746546.59,0
300-2013-07-012296,"Construction of Sidewalk, Curb and Gutter and Widening of Road at Brgy. San Lucas, Lipa City,Batangas",998763.73,7/26/2013,998763.73,0
300-2013-06-010471,"Construction of Drainage System at Brgy. Baluk-Baluk, San Nicolas, Batangas",998757.68,7/2/2013,998757.68,0
300-2013-06-010419,"Construction of Drainage System at Brgy. Poblacion, Agoncillo, Batangas",998914.34,7/1/2013,998914.34,0
300-2013-06-010475,"Construction of Drainage System at Brgy. Bolbok, Batangas City",1501661.78,7/2/2013,1501661.78,0
300-2013-07-011735,"Construction of Drainage System (Covered Canal) at Brgy. Burgos, Tuy, Batangas",1800195.45,7/26/2013,1800195.45,0
300-2013-06-010550,"Repair of Home Economics Bldg. at Saimsim E/S, Brgy. Saimsim, Sta. Teresita, Batangas",894576,7/2/2013,894576,0
300-2013-06-010561,"Repair or Improvement of Three (3) Classroom Bagong Lipunan School Bldg. at Mohon E/S,Bihis, Sta. Teresita, Batangas",1222920,7/2/2013,1222920,0
300-2013-09-017047,"Construction of Two (2) Classroom VSR Type School Bldg. at Sala E/S, Brgy. Sala, Tanauan City, Batangas",3674591.85,9/30/2013,3674591.85,0
300-2013-02-001887,"Construction of Two (2) Storey Four (4) Classroom VSR Type School Bldg. at Sambat E/S, Brgy. Sambat, Tanauan City, Batangas",9750841.28,5/6/2013,1462626.19,8288215.09
300-2013-02-001888,"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Concepcion E/S, Brgy. Concepcion, Batangas City, Batangas",13437322.82,5/6/2013,2015598.42,-
300-2013-02-001888,"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Concepcion E/S, Brgy. Concepcion, Batangas City, Batangas",-,9/10/2013,8002592.31,3419132.09
300-2013-02-001892,"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Rafael M. Lojo MES, Brgy. Banay-Banay, Lipa City,Batangas",13511015,5/28/2013,2026652.25,-
300-2013-02-001892,"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Rafael M. Lojo MES, Brgy. Banay-Banay, Lipa City,Batangas",-,7/22/2013,7824971.95,-
300-2013-02-001892,"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Rafael M. Lojo MES, Brgy. Banay-Banay, Lipa City,Batangas",-,9/26/2013,3659390.8,0
300-2013-02-001910,"Construction of Provincial Community Park (Phase II) at Brgy. Kumintang Ibaba, Batangas City, Batangas",19988922.75,5/17/2013,2998338.41,16990584.34
-,Total,259680302.7,-,-,138104653.3
