particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Taopon Multi-Purpose Hall, Panganiban","Completion of Taopon Multi-Purpose Hall, Panganiban",-300-4c,120000,-,-,120000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban","Bagumbayan Multi-Purpose Hall (Phase III), Panganiban",-300-4d,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,Construction of San Andres Covered Court (Phase II),Construction of San Andres Covered Court (Phase II),-300-4e,1000000,-,-,1000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Const of Palawig Multi-Purpose Hall, SA","Const of Palawig Multi-Purpose Hall, SA",-300-4f,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation or Conversion of Bagsakan Center to convert to Day Care Center, Concepcion, Virac","Rehabilitation or Conversion of Bagsakan Center to convert to Day Care Center, Concepcion, Virac",-300-4g,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC","Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC",-300-4h,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation of Simamla Day Care Center, Virac","Rehabilitation of Simamla Day Care Center, Virac",-300-4i,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of Multi-Purpose Hall (Phase I), Batag, Virac","Construction of Multi-Purpose Hall (Phase I), Batag, Virac",-300-4j,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Renovation of Multi-Purpose Hall, San Roque, Virac","Renovation of Multi-Purpose Hall, San Roque, Virac",-300-4k,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Rehab of Barangay Plaza, Palta, Virac","Rehab of Barangay Plaza, Palta, Virac",-300-4L,300000,-,-,300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc",-300-4m,-,-,-,-,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Bagatabao Bagamanoc Footbridge,Construction of Bagatabao Bagamanoc Footbridge,-,57263.29,-,-,57263.29,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Isidro, Bagamanoc Drainage System","Construction of San Isidro, Bagamanoc Drainage System",-,39554.56,-,-,39554.56,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center with Embankment, San Rafael","Construction of 1 unit Day Care Center with Embankment, San Rafael",-,31862.69,-,-,31862.69,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Sta. Mesa","Construction of 1 unit Day Care Center, Sta. Mesa",-,29540.98,-,-,29540.98,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Quigaray Drainage System,Construction of Quigaray Drainage System,-,30077.09,-,-,30077.09,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Antipolo Drainage System,Construction of Antipolo Drainage System,-,24847.71,-,-,24847.71,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Sta. Teresa Drainage System with Stone Masonry Canal Outlet,Construction of Sta. Teresa Drainage System with Stone Masonry Canal Outlet,-,25436.46,-,-,25436.46,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Magsaysay BR with Drainage Canal,Improvement of Magsaysay BR with Drainage Canal,-,8930.39,-,-,8930.39,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Salvacion BR with Slope Protection,Improvement of Salvacion BR with Slope Protection,-,6199.68,-,-,6199.68,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Cahan Spillway with Slope Protection and Embankment,Construction of Cahan Spillway with Slope Protection and Embankment,-,76508.39,-,-,76508.39,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Vicente Water System, Level 2","Construction of San Vicente Water System, Level 3",-,77108.96,-,-,77108.96,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Bacak Spillway with Slope Protection and Embankment,Const of Bacak Spillway with Slope Protection and Embankment,-,41037.56,"-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",41037.56,"-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Quezon","Construction of 1 unit Day Care Center, Quezon",-,29754.71,-,-,29754.71,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Sagrada Drainage System,Const of Sagrada Drainage System,-,21877.53,-,-,21877.53,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran 
","KALAHI CIDDS Counterpart, Caramoran",-300-4n,-,-,-,-,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Camburo Flood Control,Construction of Camburo Flood Control,-,"135,819.00
",-,-,"135,819.00
",-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Tucao Flood Control,Construction of Tucao Flood Control,-,119081,-,-,119081,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Maysuram Flood Control,Construction of Maysuram Flood Control,-,101241,-,-,101241,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Bulalacao Flood Control,Construction of Bulalacao Flood Control,-,15997,-,-,15997,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","Construction of FMR with Box Culvert, Embankmen Slope Protection","Construction of FMR with Box Culvert, Embankmen Slope Protection",-,14425,-,-,14425,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","Construction of Inalmasinan Flood Control
","Construction of Inalmasinan Flood Control
",-,113437,-,-,113437,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga 
","KALAHI CIDDS Counterpart, Viga 
","KALAHI CIDDS Counterpart, Viga 
",300-4o,-,-,-,-,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga 
",Construction of Water System,Construction of Water System,-,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto",8919-300-4p,-,-,-,-,-,
January-February 20% Economic Development Fund 2013,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Purchase of Disaster Alarm or Warning System,,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Plaza, Cabcab, San Andres",-300-4q,300000,-,-,300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Road Opening Jct of Taopon - Tamahoyan FTMR, Pang.",300-5,5000000,5000000,-,5000000,5000000,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of Antipolo - Casoocan Road, Virac",300-6,2000000,-,-,2000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Sipi Road Opening, Bato",300-7,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling of Kagnipa - Balangonan FTMR, Pandan",300-8,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Sta. Elena Patagan FTMR, San Mig.",300-9,4750000,-,-,4750000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling of Casoocan - Magnesia Road, Virac",300-10,1500000,-,-,1500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Concreting of SIV to Palnab del Sur BR (Phase II),300-11,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of San Juan to District 2 BR, San Miguel",300-12,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Oguis - Tilis Road, Bato",300-13,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Comagaycay Rd, SA",300-14,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Pagsangahan BR, San Miguel",300-15,300000,-,-,300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR P. Arcilla St., Rawis, VRC",300-16,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, JMA Poniton, VRC",300-17,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, Sogod Simamla, VRC",300-18,300000,-,-,300000,,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, Gogon Centro, VRC",300-19,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of BR, Palnab del Sur (Sabang), VRC",300-20,300000,-,-,300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Pathway, Ibong Sapa, VRC",300-21,83816,-,-,83816,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of PR, Batalay, Bato",300-22,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Salvacion PR, Bagamanoc",300-23,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo Baguio, VRC",300-24,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo San Isidro, VRC",300-25,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Norte, VRC",300-26,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Sur, VRC",300-27,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Igang VRC",-300-29g,800000,-,-,800000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Talisoy, VRC",-300-29h,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of PR (Concreting and Drainage), Calatagan Tibang, VRC",-300-29i,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Roads at Jct Calatagan to Hicming,-300-29j,600000,-,-,600000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of Roads and Bridges, Provincewide",-300-29k,3000000,-,-,3000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Additional Install. Of Concrete Pipes at Jct PR to Yocti, SA",-300-29L,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Datag-Maui FTMR, Caramoran",-300-29m,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Antipolo-Igang PR,-300-29o,3000000,-,-,3000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Almojuela St., Libod, Pandan",-300-29p,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Construction of Box Culvert to Pinatawan Creek, Osmeña, Viga","Construction of Box Culvert to Pinatawan Creek, Osmeña, Viga",-300-30a,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Const of Spillway, back of Rizal E or S to Sitio Cantuba, Viga","Const of Spillway, back of Rizal E or S to Sitio Cantuba, Viga",-300-30b,400000,-,-,400000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Erosion and Flood Control Projects,-300-28a,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Bislig Seawall (Phase III), SA","Construction of Bislig Seawall (Phase III), SA",-300-28b,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Repair or Rehabilitation of Carangag River Control, SA","Repair or Rehabilitation of Carangag River Control, SA",-300-28c,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of San Pedro-San Roque Drainage System, Virac","Construction of San Pedro-San Roque Drainage System, Virac",-300-28d,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of SIV-Palnab del Sur Drainage System,Construction of SIV-Palnab del Sur Drainage System,-300-28e,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Bigaa Drainage System,Construction of Bigaa Drainage System,-300-28f,500000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Constantino Drainage System,Construction of Constantino Drainage System,-300-28g,200000,-,-,300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Calatagan Drainage System,Construction of Calatagan Drainage System,-300-28h,300000,-,-,170000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Bagatabao Seawall Embankment,Construction of Bagatabao Seawall Embankment,-300-28i,170000,-,-,1500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Improvement of Museum Center (Tourism Program),Improvement of Museum Center (Tourism Program),-300-29a,1500000,-,-,1000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Completion of Tramline Access Transport Facility for Farmers, Ba","Completion of Tramline Access Transport Facility for Farmers, Ba",-300-29b,1000000,-,-,2000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Provl Multi-Purpose Bldg. (PAFC), Phase V","Construction of Provl Multi-Purpose Bldg. (PAFC), Phase V",-300-29d,2000000,-,-,-,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Improvement of Materials Recovery Facility (MRF),Improvement of Materials Recovery Facility (MRF),8919-300-29e-1,214388,-,-,214388,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Establishment of Community Nurseries,300-29e-2,335612,-,-,335612,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Debt Amortization,-300-29f,11200000,3100000,-,11200000,3100000,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Embankment of Passenger Terminal Site, Viga",-300-31a,1000000,-,-,1000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Construction of Terminal (Phase II), Panganiban",-300-31b,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Camp Francisco Camacho cum Multi-Purpose Bldg.,-300-31d,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Quality Control Bldg. (Phase II),-300-31e,200000,-,-,200000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Construction of Youth Center Mall (Phase III),-300-31f,14500000,14500000,-,14500000,14500000,
January-February 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Dome and other Facilities,-300-31g,3450000,-,-,3450000,-,
January-February 20% Economic Development Fund 2012,Total - Januray-February 2012,Total - Januray-February 2012,Total - Januray-February 2012,Total - Januray-February 2012,-,82878816,22600000,-,82878816,22600000,
January-February 20%  2011 Continuing,Social Sector,Social Sector,PDPFP Update and Data Research Project,PDPFP Update and Data Research Project,8919-200-1,13219.27,13219.27,-,13219.27,13219.27,
January-February 20%  2011 Continuing,Social Sector,Social Sector,Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),-300-2a,600000,600000,-,600000,600000,
January-February 20%  2011 Continuing,Social Sector,Social Sector,"Construction, Alma E or S Stage, San Miguel","Construction, Alma E or S Stage, San Miguel",-300-2d,296341.34,296341.34,-,296341.34,296341.34,
January-February 20%  2011 Continuing,Social Sector,Social Sector,"Rehabilitation of One (1) CL S or B, Bagawang, Pandan","Rehabilitation of One (1) CL S or B, Bagawang, Pandan",-300-2e,345540.53,345540.53,-,345540.53,345540.53,
January-February 20%  2011 Continuing,Social Sector,Water System,"Construction, Canlubi Water System (Reservoir), Pandan","Construction, Canlubi Water System (Reservoir), Pandan",-300-3a,294351.44,294351.44,-,294351.44,294351.44,
January-February 20%  2011 Continuing,Social Sector,Water System,"Construction, Katipunan Water Tank, San Miguel","Construction, Katipunan Water Tank, San Miguel",-300-3b,245919.14,245919.14,-,245919.14,245919.14,
January-February 20%  2011 Continuing,Social Sector,Water System,"Construction, District I Water Tank, San Miguel","Construction, District I Water Tank, San Miguel",-300-3c,250000,250000,-,250000,250000,
January-February 20%  2011 Continuing,Social Sector,Water System,"Construction, Lictin Water Tank, San Andres","Construction, Lictin Water Tank, San Andres",-300-3d,145284.5,145284.5,-,145284.5,145284.5,
January-February 20%  2011 Continuing,Social Sector,Water System,"Construction, Calampong Water Tank, Virac","Construction, Calampong Water Tank, Virac",-300-3e,296034.01,296034.01,-,296034.01,296034.01,
January-February 20%  2011 Continuing,Social Sector,Others,Rehabilitation of Sogod Simamla Day Care Center,Rehabilitation of Sogod Simamla Day Care Center,-300-4a,147548.42,147548.42,-,147548.42,147548.42,
January-February 20%  2011 Continuing,Social Sector,Others,"Concreting, Tokyo Plaza, Pandan","Concreting, Tokyo Plaza, Pandan",-300-4e,847000,847000,-,847000,847000,
January-February 20%  2011 Continuing,Social Sector,Others,"Levelling, Tokyo Plaza, Pandan, Phase II","Levelling, Tokyo Plaza, Pandan, Phase II",-300-4f,4095801,4095801,-,4095801,4095801,
January-February 20%  2011 Continuing,Social Sector,Others,"Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I","Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I",-300-4h,500000,500000,-,500000,500000,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening, Bislig Brgy Road, San Andres","Road Opening, Bislig Brgy Road, San Andres",-300-5b,150000,150000,-,150000,150000,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening of Balangonan-Sitio Kagnipa FMR, Pandan","Road Opening of Balangonan-Sitio Kagnipa FMR, Pandan",-300-5c,32386.67,32386.67,-,32386.67,32386.67,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction, Sogod Tibgao Brgy. Road, Virac","Construction, Sogod Tibgao Brgy. Road, Virac",-300-5d,294427.56,294427.56,-,294427.56,294427.56,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Sto. Cristo St., Calatagan Proper, Virac","Concreting of Sto. Cristo St., Calatagan Proper, Virac",-300-5h,393371.23,393371.23,-,393371.23,393371.23,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Francia Brgy. Road, Virac","Concreting of Francia Brgy. Road, Virac",-300-5i,199286.93,199286.93,-,199286.93,199286.93,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Cabihian Brgy. Road, Virac","Concreting of Cabihian Brgy. Road, Virac",-300-5j,196889.11,196889.11,-,196889.11,196889.11,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Sta. Elena Road Shouldering, Virac","Concreting of Sta. Elena Road Shouldering, Virac",-300-5n,80000,80000,-,80000,80000,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Hicming Brgy. Road, Virac","Concreting of Hicming Brgy. Road, Virac",-300-5o,294427.56,294427.56,-,294427.56,294427.56,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga",-300-5p,29940.58,29940.58,-,29940.58,29940.58,
