psgc_brgy,hearing,visual,speech,orthopedic,multiple_ disabilities,mental,other,no_ household_member_is_disabled
174004021,0,1,1,0,0,0,0,70
174004022,0,1,0,3,3,0,0,108
174004023,3,0,1,0,0,1,1,52
174004024,1,0,0,0,0,1,0,57
174004025,1,1,1,1,0,0,7,50
174004026,0,0,0,2,0,0,0,43
174004027,3,1,0,1,1,0,1,155
174004028,1,2,0,2,0,1,1,85
174004029,1,0,1,1,1,0,6,235
174004030,1,2,0,3,4,5,1,216
174004032,0,0,0,0,1,1,0,120
174004033,0,1,0,0,0,0,2,40
174004034,2,3,1,1,2,0,2,112
174004035,2,2,2,7,0,0,9,164
174004036,6,7,3,5,2,1,6,281
174004037,2,0,3,1,0,0,1,118
174004038,0,1,0,0,0,0,0,22
174005001,1,1,0,0,4,0,2,282
174005002,2,1,0,0,5,1,7,218
174005003,2,2,1,3,1,1,2,258
174005004,0,1,1,0,0,0,1,53
174005005,0,0,0,0,0,0,0,47
174005006,0,0,0,0,0,0,1,177
174005007,0,0,0,1,0,1,0,32
174005008,3,0,1,0,0,0,0,150
174005009,0,2,0,0,0,2,2,114
174005010,0,1,0,2,2,0,1,77
174005011,0,0,0,0,1,0,0,99
174005012,0,0,0,0,2,1,1,222
174005013,3,2,1,1,3,2,3,248
174005014,0,0,0,0,1,0,1,93
174005015,0,2,1,1,1,1,3,132
174005016,0,1,2,0,0,0,2,63
174005017,0,0,1,3,0,0,0,103
174005018,1,0,0,0,4,4,0,111
174005019,8,0,2,4,1,2,1,503
174005020,0,2,0,0,0,0,0,62
174005021,0,2,1,0,0,0,0,63
174005022,3,1,0,1,0,1,2,117
174005023,0,5,1,1,0,0,0,168
174005024,6,0,0,0,4,1,5,238
174005025,0,1,1,1,1,0,2,251
174005026,0,0,0,0,0,0,0,89
174005027,0,1,1,0,1,3,2,119
174005028,3,0,1,0,1,0,1,190
174005029,3,4,6,4,4,2,2,319
174005030,2,0,0,4,1,0,1,219
174005031,0,0,2,0,0,1,0,85
174005032,0,0,1,2,1,4,3,307
