psgc_brgy,water_sealed,closed_pit,open_pit,others_ pails_etc,none
175110014,292,22,1,2,101
175110015,1024,142,49,5,166
175110016,5,1,0,2,82
175110017,190,32,15,1,68
175110018,1497,38,11,7,251
175110019,46,6,4,1,115
175110020,1056,207,49,12,400
175110021,84,15,4,12,226
175110022,22,1,4,0,70
175110023,24,1,7,0,63
175110024,509,10,6,0,103
175110025,292,16,0,0,136
175110026,1067,23,1,4,67
175110027,397,11,6,4,72
175110028,531,9,3,0,89
175110029,418,21,16,3,153
175110030,859,51,36,8,287
175110031,702,89,29,14,358
175110032,225,9,1,3,432
175110033,22,3,5,0,192
175110034,1535,40,0,2,137
175110035,64,1,2,4,338
175110037,524,33,8,7,344
175110038,153,44,14,2,75
175110039,1733,352,48,3,131
175111001,480,24,60,0,376
175111002,1119,27,5,19,1036
175111003,437,15,3,5,581
175111004,360,8,9,9,501
175111006,328,16,0,1,629
175111007,786,14,4,2,348
175111008,1088,127,39,5,1277
175111009,482,1,0,6,251
175111010,517,14,8,4,195
175111011,589,41,4,1,171
175111012,312,6,0,1,252
175201001,234,10,1,0,39
175201002,242,7,5,2,94
175201004,78,1,2,0,22
175201005,186,15,8,1,46
175201006,254,8,2,2,32
175201007,288,5,3,1,42
175201008,368,12,40,0,103
175201010,109,2,0,1,33
175201011,65,0,0,0,18
175201012,292,13,15,1,139
175201013,117,7,1,0,32
175201014,239,8,32,1,30
175201015,183,0,0,2,54
175201016,127,0,0,0,73
175201017,77,0,0,2,14
175201018,30,0,0,1,38
175201019,139,5,21,2,224
175201020,57,1,6,0,48
175201021,295,17,16,0,56
175201022,277,7,11,2,81
175201023,209,2,0,0,79
175201024,196,2,24,0,49
175201025,208,0,3,1,86
175201026,26,4,14,5,182
175201027,94,17,106,1,132
175201028,3,3,8,2,161
175201029,476,15,1,0,61
175202001,146,105,4,2,107
175202003,28,46,22,0,59
175202004,298,75,33,2,270
175202005,41,65,38,8,151
175202006,57,10,1,0,111
175202007,382,75,18,0,217
175202008,104,492,22,5,208
175202009,125,228,10,4,165
175202010,60,87,31,13,192
175202011,152,289,104,7,216
175202012,214,108,2,1,199
175202013,279,16,1,2,137
175202014,367,13,16,3,225
175203001,49,188,38,6,189
175203002,48,2,2,7,161
175203003,100,0,3,4,35
175203004,182,12,6,8,135
175203005,115,5,10,1,229
175203006,74,145,73,3,261
175203007,191,126,9,2,112
175203008,218,1,2,4,75
175203009,87,92,14,2,319
175203010,106,3,1,1,36
175203011,248,77,30,0,79
175203012,278,141,67,3,191
175203013,118,39,10,3,140
175203014,92,61,27,4,146
175203015,86,25,13,7,831
175203016,204,13,5,4,52
175203017,402,13,6,18,161
175203018,57,22,8,1,64
175203019,277,37,45,2,119
175203020,111,47,30,0,115
175203021,2,90,27,0,58
175203022,115,36,7,0,111
175203023,50,18,11,0,47
175203024,38,169,46,2,191
175203025,273,2,2,2,59
175203026,100,17,14,0,61
175203027,32,25,4,0,52
175203028,57,40,14,3,117
175203029,5,57,21,3,83
175203031,133,22,4,0,92
175203032,109,94,3,0,59
175203033,287,7,1,1,89
175203034,320,98,23,0,30
175203035,138,0,4,0,22
175203036,212,146,23,3,78
175203037,132,17,10,0,106
175204001,16,16,0,2,82
175204002,151,51,12,5,281
175204003,17,54,64,21,626
175204005,21,1,2,0,152
175204006,108,53,28,2,115
175204007,154,77,5,2,124
175204008,65,8,11,4,51
175204009,126,15,27,4,208
175204010,48,13,11,14,155
175204011,88,71,17,18,445
175204012,193,102,22,5,229
175204013,30,27,0,1,48
175204014,37,3,1,0,45
175204015,135,28,5,4,374
175204017,180,32,10,9,620
175205001,165,24,2,0,11
175205002,552,9,3,4,21
175205003,532,25,3,6,36
175205004,112,35,25,0,12
175205005,168,4,0,4,4
175205006,360,4,1,4,18
175205007,308,12,7,8,17
175205008,31,7,3,0,1
175205009,349,43,10,17,27
175205010,100,5,3,0,33
175205011,318,37,17,3,31
175205012,226,5,1,2,33
175205013,408,38,5,0,34
175205015,452,14,32,23,29
175205016,584,42,23,1,8
175205017,589,16,5,2,3
175205018,260,44,4,7,43
175205019,438,23,4,2,13
175205021,296,19,4,1,28
175205022,127,10,4,5,13
175205023,166,38,12,6,21
175205025,186,0,1,2,4
175205026,381,5,7,2,28
175205027,769,14,2,2,21
175205028,717,4,4,5,8
175205029,552,17,8,21,110
175205030,252,11,1,2,3
175205031,827,20,12,13,33
175205032,157,15,2,0,4
175205033,213,16,5,4,5
175205034,137,1,1,1,7
175205035,192,3,0,1,20
175205036,323,15,5,5,25
175205037,696,7,3,0,17
175205038,148,8,2,5,33
175205039,83,19,1,2,53
175205041,351,94,3,2,41
175205042,476,33,8,3,24
175205043,86,3,3,2,1
175205044,375,18,1,0,14
175205045,141,5,0,0,9
175205046,204,13,6,6,17
175205047,253,6,5,3,12
175205048,311,10,1,2,0
175205049,553,35,3,5,72
175205050,60,3,0,0,0
175205051,80,3,0,0,2
175205052,137,6,5,2,5
175205053,130,1,0,0,1
175205054,102,6,1,0,1
175205055,119,11,3,0,18
175205056,496,27,10,1,40
175205057,349,36,20,2,17
175205058,482,7,0,1,29
175205059,194,14,2,5,24
175205061,167,4,0,0,1
175205062,382,26,1,3,18
175205063,174,7,0,3,7
175205064,301,1,3,1,13
175205065,253,11,0,12,16
175205066,177,8,0,4,5
175205068,254,5,9,6,20
175206001,107,4,5,0,74
175206002,162,8,4,3,68
175206003,170,7,0,0,57
175206004,374,36,13,23,114
175206005,257,65,13,0,87
175206006,126,2,2,0,45
175206007,40,3,5,0,156
175206008,156,2,5,1,37
175206009,274,8,6,0,59
175206010,195,6,4,0,41
175206012,244,22,40,3,110
175206013,462,3,1,0,100
175206014,133,21,7,0,51
175206015,359,37,0,14,159
175206016,156,5,1,1,116
175206017,304,204,7,7,56
175206018,125,7,4,0,92
175206020,160,30,17,1,65
175206021,190,9,2,0,88
175206022,91,26,12,4,129
175206023,305,9,3,24,133
175206024,199,6,1,0,45
175206025,143,5,1,0,105
175206026,382,6,2,1,19
175206027,221,1,1,0,80
175206028,455,8,0,3,91
175206029,195,1,1,0,103
175207001,415,155,125,10,404
175207002,185,70,32,3,250
175207003,143,10,1,5,126
175207004,24,14,8,1,157
175207005,70,4,3,3,164
175207007,113,150,17,4,221
175207010,112,27,27,0,84
175207011,138,22,9,1,316
175207012,17,12,12,10,1345
175207013,330,14,1,7,181
175207014,160,29,32,2,74
175207016,175,22,15,0,91
175207017,185,37,7,5,92
175207018,99,116,21,0,67
175207019,104,107,15,1,167
175207020,257,41,71,18,293
175207021,16,7,17,3,139
175208001,232,11,48,0,91
175208002,56,4,4,0,5
175208003,9,116,7,0,28
175208004,115,20,11,0,32
175208005,198,177,46,1,101
175208006,6,184,12,0,53
175208007,136,111,21,14,146
175208008,21,255,20,1,72
175208010,422,74,34,1,124
175208011,101,118,8,1,134
175208012,5,131,23,1,45
175208013,102,22,7,8,35
175208014,26,68,12,0,82
175208015,151,151,14,6,45
175208016,91,137,83,24,124
175208017,56,285,54,1,136
175208018,8,81,18,0,23
175208019,16,88,76,2,57
175208020,67,15,1,1,99
175208021,197,32,42,0,67
175208022,197,8,3,8,37
175208023,69,97,15,3,97
175208024,4,92,8,0,30
175208025,2,78,23,2,27
175208026,180,18,51,0,91
175208027,181,4,26,1,37
175208028,130,93,9,12,79
175208029,97,17,31,0,45
175208030,43,70,24,5,22
175208031,96,19,0,0,23
175208032,234,21,9,1,64
175208033,39,45,19,3,19
175208034,82,91,9,20,155
175208035,69,23,1,0,56
175208036,251,6,26,11,78
175208037,152,30,16,0,20
175208038,4,141,11,0,42
175208039,1,225,17,0,58
175208040,261,6,16,0,50
175208042,157,49,24,0,59
175208043,172,131,13,8,146
175208044,265,15,26,0,66
175208045,134,27,14,0,56
175208046,7,86,7,0,6
175208047,49,73,5,0,16
175208048,100,19,0,0,13
175208049,313,16,38,1,91
175208050,9,235,24,3,28
175208051,8,183,19,1,55
175208052,103,44,16,1,47
175208053,57,1,0,0,42
175208054,37,52,6,0,42
175208055,83,56,16,1,31
175208056,41,5,2,14,23
175208057,24,57,18,1,20
175208058,15,60,33,0,40
175208059,60,75,23,4,76
175208060,66,107,21,3,50
175208061,128,176,42,13,106
175208062,38,76,37,2,32
175208063,229,6,26,0,77
175208064,96,18,18,1,34
175208065,13,89,17,2,22
175208066,199,30,1,1,59
175208067,112,81,3,10,71
175208068,14,48,4,0,96
175208069,13,0,18,3,73
175208070,9,18,9,1,48
175208071,0,4,3,1,83
175208072,9,4,8,2,223
175209001,361,6,5,4,68
175209002,148,7,0,0,125
175209003,168,1,0,2,51
175209004,130,3,178,0,101
175209005,218,6,4,0,71
175209006,571,1,0,8,130
175209007,272,2,14,12,74
175209008,223,2,9,0,14
175209009,135,2,138,6,26
175209010,416,0,2,1,187
175209011,16,61,4,0,108
175209012,147,2,41,2,94
175209013,239,2,3,1,87
175209014,248,5,34,3,65
175209015,1100,1,4,3,61
175209016,463,8,16,1,100
175209017,238,1,8,6,26
175209018,381,19,1,0,33
175209019,170,153,25,1,55
175209020,121,9,0,1,70
175209021,440,5,1,5,103
175209022,870,29,16,138,384
175209023,325,58,2,3,249
175209024,447,1,2,0,59
175209025,454,2,0,3,35
175209026,197,2,1,2,7
175209027,198,132,2,1,105
175209028,13,78,32,7,41
175209029,173,5,0,9,108
175209030,276,39,49,3,327
175209031,374,5,1,4,139
175209032,209,8,3,7,36
175209033,464,4,0,1,97
175209034,654,9,4,3,246
175209035,592,10,3,2,110
